,Rank,Player (age that year),Stolen Bases Allowed as C,Year,Throws
217,217.,Nig Clarke (24),114,1907,R
218,217.,Brian Harper (33),114,1993,R
219,217.,Malachi Kittridge (22),114,1892,R
220,217.,Mike Piazza+ (32),114,2001,R
221,217.,Lew Ritter (31),114,1907,R
222,217.,Wilbert Robinson+ (35),114,1899,R
223,224.,Gary Carter+ (23),113,1977,R
224,224.,Red Dooin (31),113,1910,R
225,224.,Doc Marshall (31),113,1907,R
226,224.,Jack O'Neill (30),113,1903,R
227,224.,Jack Warner (32),113,1905,R
228,224.,Butch Wynegar (20),113,1976,R
229,230.,Brian Downing (27),112,1978,R
230,230.,Malachi Kittridge (21),112,1891,R
231,230.,Jack Lapp (29),112,1914,R
232,230.,Chief Meyers (29),112,1910,R
233,230.,Mike Piazza+ (28),112,1997,R
234,230.,Admiral Schlei (27),112,1905,R
235,230.,Jack Warner (28),112,1901,R
236,237.,Mark Bailey (22),111,1984,R
237,237.,Marty Bergen (26),111,1898,R
238,237.,Duke Farrell (33),111,1900,R
239,237.,Jason Kendall (33),111,2007,R
240,237.,Terry Kennedy (31),111,1987,R
241,237.,Steve O'Neill (24),111,1916,R
242,237.,Bill Rariden (28),111,1916,R
243,237.,Ossee Schrecongost (31),111,1906,R
244,237.,Jack Warner (23),111,1896,R
245,246.,George Gibson (34),110,1915,R
246,246.,Mike González (27),110,1918,R
247,246.,Mike Grady (35),110,1905,R
248,246.,Tom Kinslow (26),110,1892,R
249,246.,Mike Piazza+ (31),110,2000,R
250,246.,Wilbert Robinson+ (32),110,1896,R
251,246.,Farmer Vaughn (27),110,1891,R
252,253.,Con Daily (27),109,1892,R
253,253.,William Fischer (25),109,1916,R
254,253.,Darrin Fletcher (29),109,1996,R
255,253.,Malachi Kittridge (28),109,1898,R
256,253.,Malachi Kittridge (31),109,1901,R
257,253.,Morgan Murphy (29),109,1896,R
258,253.,Tom Needham (25),109,1904,R
259,253.,Tony Pena (29),109,1986,R
260,253.,Gabby Street (25),109,1908,R
261,253.,Billy Sullivan (33),109,1908,R
262,263.,Alan Ashby (30),108,1982,R
263,263.,Walter Blair (30),108,1914,R
264,263.,Pat Borders (30),108,1993,R
265,263.,Bo Diaz (30),108,1983,R
266,263.,Tex Erwin (25),108,1911,R
267,263.,Charlie Ganzel (33),108,1895,R
268,263.,Fred Jacklitsch (38),108,1914,R
269,263.,Bill Merritt (23),108,1894,R
270,263.,Chief Meyers (30),108,1911,R
271,263.,Tom Needham (27),108,1906,R
272,263.,Matt Nokes (28),108,1992,R
273,263.,Mike Piazza+ (24),108,1993,R
274,263.,Admiral Schlei (28),108,1906,R
275,263.,Billy Sullivan (26),108,1901,R
276,263.,Jason Varitek (37),108,2009,R
277,263.,Jack Warner (33),108,1906,R
278,263.,Ivey Wingo (22),108,1913,R
279,280.,Gary Carter+ (30),107,1984,R
280,280.,Todd Hundley (30),107,1999,R
281,280.,Johnny Kling (28),107,1904,R
282,280.,Chief Zimmer (33),107,1894,R
283,284.,Otto Miller (24),106,1913,R
284,284.,Pat Moran (28),106,1904,R
285,284.,Howard Wakefield (22),106,1906,R
286,287.,Bill Bergen (32),105,1910,R
287,287.,Bill Carrigan (28),105,1912,R
288,287.,Lew Drill (28),105,1905,R
289,287.,Mike Grady (26),105,1896,R
290,287.,John Henry (23),105,1913,R
291,287.,Terry Kennedy (30),105,1986,R
292,287.,Malachi Kittridge (25),105,1895,R
293,287.,Tony Pena (26),105,1983,R
294,295.,Walter Blair (27),104,1911,R
295,295.,Brian McCann (27),104,2011,R
296,295.,Doggie Miller (31),104,1896,R
297,295.,Morgan Murphy (25),104,1892,R
298,295.,Dave Nilsson (29),104,1999,R
