,Rank,Player (age that year),Putouts as RF (s.1901),Year,Throws
142,141.,Roberto Clemente+ (23),311,1958,R
143,141.,Rocky Colavito (25),311,1959,R
144,141.,Kiki Cuyler+ (31),311,1930,R
145,141.,Shawn Green (28),311,2001,L
146,141.,Al Kaline+ (23),311,1958,R
147,141.,Nick Markakis (27),311,2011,L
148,141.,Nick Markakis (32),311,2016,L
149,141.,Ruben Sierra (22),311,1988,R
150,151.,George Burns (33),310,1923,R
151,151.,Kole Calhoun (31),310,2019,L
152,151.,Jerry Martin (33),310,1982,R
153,154.,Bobby Abreu (27),309,2001,R
154,154.,Bob Allison (28),309,1963,R
155,154.,Roberto Clemente+ (31),309,1966,R
156,154.,Roy Johnson (28),309,1931,R
157,154.,Justin Upton (24),309,2012,R
158,154.,Randy Winn (34),309,2008,R
159,160.,Vladimir Guerrero+ (29),308,2004,R
160,160.,Al Kaline+ (26),308,1961,R
161,160.,Hunter Pence (31),308,2014,R
162,160.,Cory Snyder (25),308,1988,R
163,160.,Rusty Staub (26),308,1970,R
164,160.,Paul Waner+ (29),308,1932,L
165,166.,Al Cowens (24),307,1976,R
166,166.,Kiki Cuyler+ (26),307,1925,R
167,166.,Rob Deer (30),307,1991,R
168,166.,Ival Goodman (29),307,1938,R
169,166.,Geoff Jenkins (30),307,2005,R
170,166.,Wally Moses (34),307,1945,L
171,172.,Jay Bruce (24),306,2011,L
172,172.,Jeromy Burnitz (29),306,1998,R
173,172.,Kole Calhoun (28),306,2016,L
174,172.,Al Kaline+ (20),306,1955,R
175,172.,Chuck Klein+ (28),306,1933,R
176,177.,Jermaine Dye (32),305,2006,R
177,177.,Pete Rose (29),305,1970,R
178,179.,Bobby Abreu (29),304,2003,R
179,179.,Bing Miller (36),304,1931,R
180,179.,Charlie Moore (30),304,1983,R
181,179.,Dave Parker (27),304,1978,R
182,179.,George Springer (26),304,2016,R
183,184.,Tom Brunansky (29),303,1990,R
184,184.,Jeromy Burnitz (36),303,2005,R
185,184.,Jose Cruz (29),303,1977,L
186,184.,Dwight Evans (27),303,1979,R
187,184.,Al Kaline+ (21),303,1956,R
188,184.,Nick Markakis (23),303,2007,L
189,190.,Corey Hart (26),302,2008,R
190,190.,Paul O'Neill (28),302,1991,L
191,190.,Pete Rose (30),302,1971,R
192,190.,Tim Salmon (27),302,1996,R
193,194.,Bob Allison (26),301,1961,R
194,194.,Glenn Braggs (24),301,1987,R
195,194.,Tom Brunansky (23),301,1984,R
196,194.,Dwight Evans (24),301,1976,R
197,194.,Reggie Jackson+ (27),301,1973,L
198,194.,Ruben Sierra (25),301,1991,R
199,200.,Jesse Barfield (29),300,1989,R
200,200.,Jay Bruce (28),300,2015,L
201,200.,Jose Canseco (23),300,1988,R
202,200.,Chili Davis (28),300,1988,R
203,200.,Dwight Evans (26),300,1978,R
204,200.,Carl Furillo (32),300,1954,R
205,200.,Tony Gwynn+ (27),300,1987,L
206,200.,Reggie Sanders (25),300,1993,R
207,200.,Dave Winfield+ (23),300,1975,R
208,209.,Harold Baines+ (25),299,1984,L
209,209.,Bobby Bonds (26),299,1972,R
210,209.,Johnny Callison (24),299,1963,R
211,209.,Roy Cullenbine (31),299,1945,R
212,209.,Brian Giles (35),299,2006,L
213,209.,Vladimir Guerrero+ (25),299,2000,R
214,209.,Vladimir Guerrero+ (27),299,2002,R
