,Rank,Player (age that year),Win Probability Added (WPA),Year,Throws
90,90.,John Tudor (31),6.13,1985,L
91,92.,Jacob deGrom (30),6.12,2018,R
92,93.,Ray Narleski (26),6.11,1955,R
93,94.,Ray Starr (36),6.10,1942,R
94,95.,Roger Clemens (42),6.03,2005,R
95,96.,Randy Johnson+ (38),6.01,2002,L
96,96.,Tom Seaver+ (26),6.01,1971,R
97,98.,Urban Shocker (30),6.00,1921,R
98,99.,Kevin Brown (31),5.98,1996,R
99,100.,J.J. Putz (30),5.95,2007,R
100,101.,Red Ruffing+ (34),5.94,1939,R
101,102.,Dick Ellsworth (23),5.93,1963,L
102,103.,Cliff Lee (29),5.92,2008,L
103,104.,Billy Wagner (27),5.89,1999,L
104,105.,Rich Gossage+ (25),5.87,1977,R
105,105.,Randy Johnson+ (36),5.87,2000,L
106,107.,Luis Tiant (33),5.84,1974,R
107,108.,Zack Greinke (25),5.83,2009,R
108,108.,Jim Palmer+ (27),5.83,1973,R
109,110.,Sam McDowell (22),5.82,1965,L
110,111.,Mel Harder (24),5.81,1934,R
111,112.,Jesse Haines+ (33),5.80,1927,R
112,113.,Roger Clemens (23),5.79,1986,R
113,113.,Mark Davis (28),5.79,1989,L
114,113.,Randy Johnson+ (33),5.79,1997,L
115,113.,Joe Nathan (29),5.79,2004,R
116,117.,Curt Schilling (34),5.78,2001,R
117,118.,Walter Johnson+ (31),5.77,1919,R
118,119.,Jake Arrieta (29),5.75,2015,R
119,119.,Tom Gordon (30),5.75,1998,R
120,121.,Mel Parnell (27),5.74,1949,L
121,122.,Lindy McDaniel (34),5.73,1970,R
122,122.,Herb Pennock+ (30),5.73,1924,L
123,122.,Bret Saberhagen (25),5.73,1989,R
124,122.,Mike Scott (31),5.73,1986,R
125,122.,John Wetteland (26),5.73,1993,R
126,127.,Eric Gagne (26),5.72,2002,R
127,127.,Randy Johnson+ (35),5.72,1999,L
128,129.,Vida Blue (26),5.71,1976,L
129,129.,Brad Lidge (27),5.71,2004,R
130,129.,Johan Santana (25),5.71,2004,L
131,132.,Pete Alexander+ (33),5.70,1920,R
132,132.,Larry Benton (30),5.70,1928,R
133,132.,Bill Caudill (25),5.70,1982,R
134,132.,Lefty Gomez+ (25),5.70,1934,L
135,136.,Sandy Koufax+ (28),5.69,1964,L
136,136.,Kent Tekulve (32),5.69,1979,R
137,138.,Carl Hubbell+ (31),5.67,1934,L
138,138.,Lindy McDaniel (24),5.67,1960,R
139,138.,Bob Purkey (32),5.67,1962,R
