,Rank,Player (age that year),Double Plays Turned as 3B,Year,Throws
0,1.,Graig Nettles (26),54,1971,R
1,2.,Harlond Clift (24),50,1937,R
2,3.,Kyle Seager (30),49,2018,R
3,4.,Paul Molitor+ (25),48,1982,R
4,4.,Johnny Pesky (30),48,1949,R
5,6.,Clete Boyer (28),46,1965,R
6,6.,Gary Gaetti (24),46,1983,R
7,6.,Sammy Hale (30),46,1927,R
8,6.,Evan Longoria (24),46,2010,R
9,6.,Kyle Seager (28),46,2016,R
10,6.,Kyle Seager (29),46,2017,R
11,12.,Jeff Cirillo (28),45,1998,R
12,12.,Darrell Evans (27),45,1974,R
13,12.,Frank Malzone (31),45,1961,R
14,12.,Eddie Yost (23),45,1950,R
15,16.,Nolan Arenado (27),44,2018,R
16,16.,Buddy Bell (21),44,1973,R
17,16.,Brooks Robinson+ (37),44,1974,R
18,19.,Nolan Arenado (28),43,2019,R
19,19.,Adrian Beltre (37),43,2016,R
20,19.,Vinny Castilla (28),43,1996,R
21,19.,Eric Chavez (28),43,2006,R
22,19.,Josh Donaldson (28),43,2014,R
23,19.,Evan Longoria (23),43,2009,R
24,19.,Brooks Robinson+ (26),43,1963,R
25,19.,Hank Thompson (24),43,1950,R
26,27.,Nolan Arenado (24),42,2015,R
27,27.,Aaron Boone (29),42,2002,R
28,27.,Brandon Inge (28),42,2005,R
29,27.,Manny Machado (20),42,2013,R
30,27.,Don Money (27),42,1974,R
31,27.,Aurelio Rodriguez (21),42,1969,R
32,33.,Clete Boyer (25),41,1962,R
33,33.,Ken Boyer (27),41,1958,R
34,33.,Vinny Castilla (29),41,1997,R
35,33.,Jeff Cirillo (30),41,2000,R
36,33.,Doug DeCinces (29),41,1980,R
37,33.,Doug DeCinces (31),41,1982,R
38,33.,Darrell Evans (28),41,1975,R
39,33.,Brandon Inge (32),41,2009,R
40,33.,Mike Moustakas (23),41,2012,R
41,33.,Gene Robertson (25),41,1925,R
42,33.,Aurelio Rodriguez (22),41,1970,R
43,33.,Scott Rolen (27),41,2002,R
44,33.,Ron Santo+ (21),41,1961,R
45,33.,Pie Traynor+ (26),41,1925,R
46,47.,Wade Boggs+ (25),40,1983,R
47,47.,Ken Keltner (22),40,1939,R
48,47.,Frank Malzone (29),40,1959,R
49,47.,Graig Nettles (25),40,1970,R
50,47.,Brooks Robinson+ (27),40,1964,R
51,47.,Aurelio Rodriguez (26),40,1974,R
52,47.,Mike Schmidt+ (24),40,1974,R
53,54.,Bobby Adams (31),39,1953,R
54,54.,Nolan Arenado (25),39,2016,R
55,54.,Nolan Arenado (26),39,2017,R
56,54.,Les Bell (23),39,1925,R
57,54.,Vinny Castilla (30),39,1998,R
58,54.,Ron Cey (25),39,1973,R
59,54.,Todd Frazier (31),39,2017,R
60,54.,Gary Gaetti (32),39,1991,R
61,54.,Mike Lowell (32),39,2006,R
62,54.,Ken McMullen (28),39,1970,R
63,54.,Graig Nettles (28),39,1973,R
64,54.,Doug Rader (25),39,1970,R
65,54.,Ryan Zimmerman (22),39,2007,R
66,67.,Bob Bailey (20),38,1963,R
67,67.,Josh Donaldson (33),38,2019,R
68,67.,Chone Figgins (31),38,2009,R
69,67.,Travis Fryman (26),38,1995,R
70,67.,Ken Keltner (25),38,1942,R
71,67.,Manny Machado (22),38,2015,R
72,67.,Gil McDougald (24),38,1952,R
73,67.,Ken McMullen (25),38,1967,R
74,67.,Rico Petrocelli (29),38,1972,R
75,67.,Al Rosen (29),38,1953,R
76,67.,Kyle Seager (25),38,2013,R
77,67.,Robin Ventura (30),38,1998,R
78,79.,Les Bell (26),37,1928,R
79,79.,Wade Boggs+ (29),37,1987,R
80,79.,Ken Boyer (25),37,1956,R
81,79.,Ken Boyer (29),37,1960,R
82,79.,Andy Carey (23),37,1955,R
83,79.,Matt Chapman (25),37,2018,R
84,79.,Larry Gardner (34),37,1920,R
85,79.,Troy Glaus (29),37,2006,R
86,79.,Ken Keltner (27),37,1944,R
87,79.,Manny Machado (24),37,2017,R
88,79.,Hank Majeski (32),37,1949,R
89,79.,Paul Molitor+ (26),37,1983,R
90,79.,Yoan Moncada (24),37,2019,R
91,79.,Billy Nash (25),37,1890,R
92,79.,Rico Petrocelli (28),37,1971,R
93,79.,Brooks Robinson+ (30),37,1967,R
94,79.,Brooks Robinson+ (32),37,1969,R
95,79.,Kyle Seager (27),37,2015,R
96,97.,Garrett Atkins (26),36,2006,R
97,97.,Sal Bando (25),36,1969,R
98,97.,Sal Bando (31),36,1975,R
99,97.,Clete Boyer (24),36,1961,R
100,97.,Joe Foy (25),36,1968,R
101,97.,Gary Gaetti (27),36,1986,R
102,97.,Gary Gaetti (31),36,1990,R
103,97.,Wayne Garrett (25),36,1973,R
104,97.,Willie Jones (27),36,1953,R
105,97.,Ken Keltner (24),36,1941,R
106,97.,Mike Lowell (28),36,2002,R
107,97.,Steve Lyons (28),36,1988,R
108,97.,Frank Malzone (28),36,1958,R
109,97.,Frank Malzone (30),36,1960,R
110,97.,Gil McDougald (25),36,1953,R
111,97.,Bill Melton (23),36,1969,R
112,97.,Terry Pendleton (25),36,1986,R
113,97.,Brooks Robinson+ (28),36,1965,R
114,97.,Ron Santo+ (26),36,1966,R
115,97.,Ron Santo+ (30),36,1970,R
116,97.,Mike Schmidt+ (29),36,1979,R
117,97.,Kyle Seager (26),36,2014,R
118,119.,Home Run Baker+ (24),35,1910,R
119,119.,Tony Batista (26),35,2000,R
120,119.,Tony Batista (28),35,2002,R
121,119.,Tony Batista (30),35,2004,R
122,119.,Buddy Bell (30),35,1982,R
123,119.,Buddy Bell (33),35,1985,R
124,119.,Jeff Cirillo (29),35,1999,R
125,119.,Billy Cox (30),35,1950,R
126,119.,Pedro Feliz (34),35,2009,R
127,119.,Gary Gaetti (23),35,1982,R
128,119.,Oscar Grimes (30),35,1945,R
129,119.,Heinie Groh (28),35,1918,R
130,119.,Frankie Gustine (27),35,1947,R
131,119.,Evan Longoria (25),35,2011,R
132,119.,Mike Lowell (27),35,2001,R
133,119.,Ken McMullen (27),35,1969,R
134,119.,Steve Mesner (27),35,1945,R
135,119.,Buddy Myer (24),35,1928,R
136,119.,Mike Pagliarulo (27),35,1987,R
137,119.,Larry Parrish (22),35,1976,R
138,119.,Tony Perez+ (27),35,1969,R
139,119.,Johnny Pesky (29),35,1948,R
140,119.,Ken Reitz (26),35,1977,R
141,119.,Brooks Robinson+ (34),35,1971,R
142,119.,Jerry Royster (23),35,1976,R
143,119.,Howie Shanks (30),35,1921,R
144,145.,Garrett Atkins (27),34,2007,R
145,145.,Ossie Bluege (27),34,1928,R
146,145.,Wade Boggs+ (33),34,1991,R
147,145.,Ken Boyer (31),34,1962,R
148,145.,John Castino (25),34,1980,R
