,Rank,Player (age that year),Hits,Year,Bats
97,94.,Derek Jeter+ (25),219,1999,R
98,94.,Willie Keeler+ (22),219,1894,L
99,94.,Chuck Klein+ (24),219,1929,L
100,94.,Lefty O'Doul (35),219,1932,L
101,94.,Cy Seymour (32),219,1905,L
102,94.,Paul Waner+ (34),219,1937,L
103,104.,Felipe Alou (31),218,1966,R
104,104.,Beau Bell (29),218,1937,R
105,104.,Rod Carew+ (28),218,1974,L
106,104.,Lou Gehrig+ (24),218,1927,L
107,104.,Tony Gwynn+ (27),218,1987,L
108,104.,Rogers Hornsby+ (24),218,1920,R
109,104.,Shoeless Joe Jackson (32),218,1920,L
110,104.,George Kell+ (27),218,1950,R
111,104.,Pete Rose (28),218,1969,B
112,104.,Tris Speaker+ (35),218,1923,L
113,104.,Cecil Travis (27),218,1941,L
114,104.,Paul Waner+ (33),218,1936,L
115,116.,Sam Crawford+ (31),217,1911,L
116,116.,Babe Herman (26),217,1929,L
117,116.,Tony Oliva (25),217,1964,L
118,116.,Paul Waner+ (27),217,1930,L
119,116.,Paul Waner+ (31),217,1934,L
120,116.,Michael Young (29),217,2006,R
121,122.,Jose Altuve (26),216,2016,R
122,122.,George Burns (33),216,1926,R
123,122.,Ty Cobb+ (22),216,1909,L
124,122.,Mike Donlin (27),216,1905,L
125,122.,Todd Helton (26),216,2000,L
126,122.,Matt Holliday (27),216,2007,R
127,122.,Baby Doll Jacobson (29),216,1920,R
128,122.,Derek Jeter+ (38),216,2012,R
129,122.,Willie Keeler+ (26),216,1898,L
130,122.,Willie Keeler+ (27),216,1899,L
131,122.,Willie McGee (26),216,1985,B
132,122.,Paul Molitor+ (34),216,1991,R
133,122.,Magglio Ordonez (33),216,2007,R
134,122.,Sam Rice+ (34),216,1924,L
135,122.,Sam Rice+ (36),216,1926,L
136,122.,Al Simmons+ (30),216,1932,R
137,122.,George Sisler+ (28),216,1921,L
138,122.,Hal Trosky (23),216,1936,L
139,122.,Joe Vosmik (25),216,1935,R
140,122.,Michael Young (27),216,2004,R
141,142.,Dale Alexander (26),215,1929,R
142,142.,Richie Ashburn+ (31),215,1958,L
143,142.,Carson Bigbee (27),215,1922,L
144,142.,George Brett+ (23),215,1976,L
145,142.,Joe DiMaggio+ (22),215,1937,R
146,142.,Charlie Gehringer+ (26),215,1929,L
147,142.,Buddy Myer (31),215,1935,L
148,142.,Dave Parker (26),215,1977,L
149,142.,Kirby Puckett+ (29),215,1989,R
150,142.,Alex Rodriguez (20),215,1996,R
151,142.,Pete Rose (35),215,1976,B
152,142.,Paul Waner+ (29),215,1932,L
153,142.,Vernon Wells (24),215,2003,R
154,155.,Mookie Betts (23),214,2016,R
155,155.,Wade Boggs+ (30),214,1988,L
156,155.,Doc Cramer (29),214,1935,L
157,155.,Johnny Damon (26),214,2000,L
158,155.,Woody English (24),214,1930,R
159,155.,Ralph Garr (28),214,1974,L
160,155.,Charlie Gehringer+ (31),214,1934,L
161,155.,Derek Jeter+ (32),214,2006,R
162,155.,Nap Lajoie+ (31),214,1906,R
163,155.,Heinie Manush+ (30),214,1932,L
164,155.,Tris Speaker+ (32),214,1920,L
165,155.,Ichiro Suzuki (36),214,2010,L
166,155.,Miguel Tejada (32),214,2006,R
167,155.,Lloyd Waner+ (25),214,1931,L
168,169.,Charlie Blackmon (30),213,2017,L
169,169.,Jesse Burkett+ (29),213,1898,L
170,169.,Dave Cash (27),213,1975,R
171,169.,Tony Fernandez (24),213,1986,B
172,169.,Jimmie Foxx+ (24),213,1932,R
173,169.,Adrian Gonzalez (29),213,2011,L
174,169.,Tony Gwynn+ (24),213,1984,L
175,169.,Charlie Jamieson (31),213,1924,L
176,169.,Willie Keeler+ (23),213,1895,L
177,169.,Dustin Pedroia (24),213,2008,R
178,169.,Jim Rice+ (25),213,1978,R
179,169.,Alex Rodriguez (22),213,1998,R
180,169.,Red Rolfe (30),213,1939,L
181,169.,Ichiro Suzuki (34),213,2008,L
182,169.,Bill Terry+ (32),213,1931,L
183,169.,Bill Terry+ (35),213,1934,L
184,169.,Gee Walker (29),213,1937,R
185,169.,Michael Young (34),213,2011,R
186,187.,Beau Bell (28),212,1936,R
187,187.,George Brett+ (26),212,1979,L
188,187.,Ty Cobb+ (20),212,1907,L
189,187.,Frank Demaree (26),212,1936,R
190,187.,Jacoby Ellsbury (27),212,2011,L
191,187.,Derek Jeter+ (35),212,2009,R
192,187.,Ron LeFlore (29),212,1977,R
193,187.,Bobby Lowe (28),212,1894,R
194,187.,Don Mueller (27),212,1954,L
195,187.,Albert Pujols (23),212,2003,R
196,187.,Hanley Ramirez (23),212,2007,R
197,187.,Jimmy Rollins (28),212,2007,B
198,187.,Al Simmons+ (27),212,1929,R
199,187.,Ichiro Suzuki (29),212,2003,L
200,187.,Zack Wheat+ (36),212,1924,L
201,202.,Ellis Burks (31),211,1996,R
202,202.,Roberto Clemente+ (29),211,1964,R
203,202.,Ty Cobb+ (35),211,1922,L
204,202.,Ty Cobb+ (37),211,1924,L
205,202.,Curt Flood (26),211,1964,R
206,202.,Frankie Frisch+ (23),211,1921,B
207,202.,Lou Gehrig+ (28),211,1931,L
208,202.,Tony Gwynn+ (26),211,1986,L
209,202.,Harry Heilmann+ (28),211,1923,R
210,202.,Billy Herman+ (26),211,1936,R
211,202.,Baby Doll Jacobson (30),211,1921,R
