,Rank,Player (age that year),Innings Pitched,Year,Throws
0,1.,Will White (24),680.0,1879,R
1,2.,Old Hoss Radbourn+ (29),678.2,1884,R
2,3.,Guy Hecker (28),670.2,1884,R
3,4.,Jim McCormick (23),657.2,1880,R
4,5.,Pud Galvin+ (26),656.1,1883,R
5,6.,Pud Galvin+ (27),636.1,1884,R
6,7.,Old Hoss Radbourn+ (28),632.1,1883,R
7,8.,John Clarkson+ (23),623.0,1885,R
8,9.,Jim Devlin (27),622.0,1876,R
9,9.,Bill Hutchison (32),622.0,1892,R
10,11.,John Clarkson+ (27),620.0,1889,R
11,12.,Tim Keefe+ (26),619.0,1883,R
12,13.,Bill Hutchison (30),603.0,1890,R
13,14.,Jim McCormick (25),595.2,1882,R
14,15.,John Ward+ (20),595.0,1880,R
15,16.,Pud Galvin+ (22),593.0,1879,R
16,17.,Lee Richmond (23),590.2,1880,L
17,18.,Matt Kilroy (21),589.1,1887,L
18,19.,Toad Ramsey (21),588.2,1886,L
19,20.,Charlie Buffinton (23),587.0,1884,R
20,20.,John Ward+ (19),587.0,1879,R
21,22.,Silver King (20),584.2,1888,R
22,23.,Matt Kilroy (20),583.0,1886,L
23,24.,Ed Morris (22),581.0,1885,L
24,25.,Will White (28),577.0,1883,R
25,26.,Mickey Welch+ (20),574.0,1880,R
26,27.,George Bradley (23),573.0,1876,R
27,28.,Jim McCormick (27),569.0,1884,R
28,29.,Tony Mullane (25),567.0,1884,R
29,30.,Bill Hutchison (31),561.0,1891,R
30,30.,Toad Ramsey (22),561.0,1887,L
31,32.,Jim Devlin (28),559.0,1877,R
32,33.,Mickey Welch+ (24),557.1,1884,R
33,34.,Tommy Bond (23),555.1,1879,R
34,34.,Ed Morris (23),555.1,1886,L
35,36.,Jim Whitney (23),552.1,1881,R
36,37.,Amos Rusie+ (19),548.2,1890,R
37,38.,Jim McCormick (22),546.1,1879,R
38,39.,Dupee Shaw (25),543.1,1884,L
39,40.,Amos Rusie+ (21),541.0,1892,R
40,41.,Hardie Henderson (22),539.1,1885,R
41,42.,John Coleman (20),538.1,1883,R
42,43.,Bill Sweeney (26),538.0,1884,R
43,44.,Larry Corcoran (20),536.1,1880,R
44,45.,Tim Keefe+ (29),535.0,1886,R
45,46.,Jersey Bakley (24),532.2,1888,R
46,46.,Tommy Bond (22),532.2,1878,R
47,48.,Tony Mullane (27),529.2,1886,R
48,49.,Al Spalding+ (25),528.2,1876,R
49,50.,Jim McCormick (24),526.0,1881,R
50,51.,John Clarkson+ (25),523.0,1887,R
51,51.,Billy Taylor (29),523.0,1884,R
