,Rank,Player (age that year),Win-Loss %,Year,Throws
95,87.,David Wells (35),.8182,1998,L
96,97.,Joe McGinnity+ (33),.8140,1904,R
97,98.,Mordecai Brown+ (29),.8125,1906,R
98,98.,Jim Coates (27),.8125,1960,R
99,98.,Atley Donald (28),.8125,1939,R
100,98.,Bob Feller+ (35),.8125,1954,R
101,98.,Russ Ford (27),.8125,1910,R
102,98.,Moose Haas (27),.8125,1983,R
103,98.,Al Hrabosky (25),.8125,1975,L
104,98.,Carl Hubbell+ (33),.8125,1936,L
105,98.,Tommy John (31),.8125,1974,L
106,98.,Howie Krist (26),.8125,1942,R
107,98.,Al McBean (25),.8125,1963,R
108,98.,Jamie Moyer (33),.8125,1996,L
109,98.,Eddie Plank+ (36),.8125,1912,L
110,98.,Rip Sewell (41),.8125,1948,R
111,98.,Jorge Sosa (27),.8125,2005,R
112,98.,Hooks Wiltse (24),.8125,1904,L
113,114.,Dizzy Dean+ (24),.8108,1934,R
114,115.,Paul Abbott (33),.8095,2001,R
115,115.,Johnny Allen (27),.8095,1932,R
116,115.,Chris Carpenter (34),.8095,2009,R
117,115.,Doc Crandall (22),.8095,1910,R
118,115.,Jimmy Key (33),.8095,1994,L
119,115.,Matt Moore (24),.8095,2013,L
120,115.,Phil Niekro+ (43),.8095,1982,R
121,115.,Ed Reulbach (24),.8095,1907,R
122,115.,Ted Wilks (28),.8095,1944,R
123,124.,Tiny Bonham (28),.8077,1942,R
124,124.,Chris Carpenter (30),.8077,2005,R
125,124.,General Crowder (29),.8077,1928,R
126,124.,Catfish Hunter+ (27),.8077,1973,R
127,124.,Larry Jansen (26),.8077,1947,R
128,124.,Clayton Kershaw (23),.8077,2011,L
129,124.,Dave McNally (28),.8077,1971,L
130,124.,Bobo Newsom (32),.8077,1940,R
131,124.,Blake Snell (25),.8077,2018,L
132,133.,Howie Camnitz (27),.8065,1909,R
133,133.,Dave Ferriss (24),.8065,1946,R
134,133.,Juan Marichal+ (28),.8065,1966,R
135,133.,Christy Mathewson+ (28),.8065,1909,R
136,137.,Eddie Cicotte (35),.8056,1919,R
137,138.,John Candelaria (23),.8000,1977,L
138,138.,Gerrit Cole (28),.8000,2019,R
139,138.,Stan Coveleski+ (35),.8000,1925,R
140,138.,Ed Doheny (28),.8000,1902,L
141,138.,Tommy Greene (26),.8000,1993,R
142,138.,Larry Gura (30),.8000,1978,L
143,138.,Bert Humphries (32),.8000,1913,R
144,138.,Sam Leever (33),.8000,1905,R
145,138.,Eddie Lopat (35),.8000,1953,L
146,138.,Firpo Marberry (32),.8000,1931,R
147,138.,Denny Neagle (28),.8000,1997,L
148,138.,Don Newcombe (29),.8000,1955,R
149,138.,Ivan Nova (24),.8000,2011,R
150,138.,Jim Palmer+ (23),.8000,1969,R
151,138.,Brad Penny (29),.8000,2007,R
152,138.,David Price (26),.8000,2012,L
153,138.,Robin Roberts+ (25),.8000,1952,R
154,138.,Matt Shoemaker (27),.8000,2014,R
155,138.,Jered Weaver (29),.8000,2012,R
156,138.,Mickey Welch+ (25),.8000,1885,R
157,158.,Al Spalding+ (25),.7966,1876,R
158,159.,Don Newcombe (30),.7941,1956,R
159,160.,Jocko Flynn (22),.7931,1886,R
160,160.,Ellis Kinder (34),.7931,1949,R
161,160.,Sal Maglie (34),.7931,1951,R
162,160.,Bret Saberhagen (25),.7931,1989,R
163,164.,Wally Bunker (19),.7917,1964,R
164,164.,Shawn Estes (24),.7917,1997,L
165,164.,Felix Hernandez (23),.7917,2009,R
166,164.,Sandy Koufax+ (28),.7917,1964,L
167,164.,Dutch Leonard (22),.7917,1914,L
168,164.,Jon Lester (32),.7917,2016,L
169,170.,Joe Black (28),.7895,1952,R
170,170.,Hank Borowy (26),.7895,1942,R
171,170.,Harry Brecheen (30),.7895,1945,L
172,170.,Mike Fiers (34),.7895,2019,R
173,170.,Larry French (34),.7895,1942,L
174,170.,Zack Greinke (29),.7895,2013,R
175,170.,Lefty Grove+ (39),.7895,1939,L
176,170.,Don Gullett (24),.7895,1975,L
177,170.,Red Lucas (34),.7895,1936,R
178,170.,Roy Mahaffey (27),.7895,1931,R
179,170.,Wade Miller (25),.7895,2002,R
180,170.,Stephen Strasburg (27),.7895,2016,R
181,170.,Stephen Strasburg (28),.7895,2017,R
182,183.,Bullet Joe Bush (29),.7879,1922,R
183,183.,Bill James (22),.7879,1914,R
184,183.,Fred Klobedanz (26),.7879,1897,L
185,186.,Jake Arrieta (29),.7857,2015,R
186,186.,Mark Clark (26),.7857,1994,R
187,186.,Doug Drabek (27),.7857,1990,R
188,186.,Tom Glavine+ (27),.7857,1993,L
189,186.,Ron Guidry (34),.7857,1985,L
190,186.,Tex Hughson (26),.7857,1942,R
191,186.,Jouett Meekin (27),.7857,1894,R
192,186.,Curt Schilling (34),.7857,2001,R
193,186.,Lon Warneke (23),.7857,1932,R
194,195.,Bob Caruthers (25),.7843,1889,R
195,196.,George Mullin (28),.7838,1909,R
196,197.,Bill Bernhard (31),.7826,1902,R
197,197.,Tom Browning (28),.7826,1988,L
198,197.,Bartolo Colon (26),.7826,1999,R
199,197.,Johnny Cueto (30),.7826,2016,R
200,197.,Zack Greinke (35),.7826,2019,R
201,197.,Tex Hughson (28),.7826,1944,R
202,197.,Jack Kramer (30),.7826,1948,R
203,197.,Cliff Lee (26),.7826,2005,L
204,197.,Tim Lincecum (24),.7826,2008,R
205,197.,Jack Manning (22),.7826,1876,R
206,197.,Mike Mussina+ (23),.7826,1992,R
207,197.,Bob Ojeda (28),.7826,1986,L
208,197.,Johnny Podres (28),.7826,1961,L
209,197.,David Price (29),.7826,2015,L
210,197.,Max Scherzer (29),.7826,2014,R
211,197.,Bryn Smith (29),.7826,1985,R
212,213.,Paul Derringer (32),.7813,1939,R
213,213.,Bill Hoffer (25),.7813,1896,R
214,213.,Sam Leever (31),.7813,1903,R
215,213.,Mel Parnell (27),.7813,1949,L
216,213.,Tom Seaver+ (24),.7813,1969,R
217,213.,Steve Stone (32),.7813,1980,R
218,219.,Johnny Beazley (24),.7778,1942,R
219,219.,Walker Buehler (24),.7778,2019,R
220,219.,Bob Caruthers (20),.7778,1884,R
221,219.,Roger Clemens (27),.7778,1990,R
222,219.,Russ Ford (31),.7778,1914,R
223,219.,Marco Gonzales (28),.7778,2020,L
224,219.,Lefty Grove+ (38),.7778,1938,L
225,219.,Don Gullett (26),.7778,1977,L
226,219.,Bump Hadley (31),.7778,1936,R
227,219.,Randy Johnson+ (37),.7778,2001,L
228,219.,Ed Klepfer (29),.7778,1917,R
229,219.,Ray Kolp (27),.7778,1922,R
230,219.,Mat Latos (24),.7778,2012,R
231,219.,Pedro Martinez+ (31),.7778,2003,R
232,219.,Joe McGinnity+ (29),.7778,1900,R
233,219.,Bobby Mitchell (22),.7778,1878,L
234,219.,John Montefusco (33),.7778,1983,R
235,219.,Jack Morris+ (37),.7778,1992,R
236,219.,Art Nehf (31),.7778,1924,L
237,219.,Gaylord Perry+ (39),.7778,1978,R
238,219.,Bret Saberhagen (30),.7778,1994,R
239,219.,Curt Schilling (37),.7778,2004,R
240,219.,Tom Seaver+ (32),.7778,1977,R
241,219.,Masahiro Tanaka (27),.7778,2016,R
242,219.,Justin Verlander (36),.7778,2019,R
243,219.,Pete Vuckovich (28),.7778,1981,R
244,219.,Bob Welch (28),.7778,1985,R
245,219.,Bob Wickman (24),.7778,1993,R
246,219.,Cy Young+ (28),.7778,1895,R
247,248.,Jack Coombs (27),.7750,1910,R
248,248.,Christy Mathewson+ (24),.7750,1905,R
249,250.,Whitey Ford+ (34),.7742,1963,L
250,250.,Lefty Gomez+ (23),.7742,1932,L
251,250.,Clark Griffith+ (31),.7742,1901,R
252,250.,Rube Marquard+ (24),.7742,1911,L
253,250.,Ed Reulbach (25),.7742,1908,R
254,250.,Jack Sanford (33),.7742,1962,R
255,250.,Bobby Shantz (26),.7742,1952,L
256,250.,Frank Viola (28),.7742,1988,L
257,250.,Rube Waddell+ (25),.7742,1902,L
258,259.,Jack Chesbro+ (30),.7736,1904,R
259,260.,Chief Bender+ (27),.7727,1911,R
260,260.,Bert Blyleven+ (38),.7727,1989,R
261,260.,Bill Campbell (27),.7727,1976,R
262,260.,Jamie Moyer (34),.7727,1997,L
263,260.,Charles Nagy (29),.7727,1996,R
264,260.,CC Sabathia (20),.7727,2001,L
265,260.,Jason Schmidt (30),.7727,2003,R
266,267.,Dolf Luque (32),.7714,1923,R
267,267.,Vic Willis+ (23),.7714,1899,R
268,269.,Christy Mathewson+ (27),.7708,1908,R
269,270.,Mordecai Brown+ (30),.7692,1907,R
270,270.,John Clarkson+ (22),.7692,1884,R
271,270.,Roger Clemens (35),.7692,1998,R
272,270.,R.A. Dickey (37),.7692,2012,R
273,270.,Carl Erskine (26),.7692,1953,R
274,270.,Charlie Ferguson (23),.7692,1886,R
275,270.,Tom Glavine+ (32),.7692,1998,L
276,270.,Bob Grim (24),.7692,1954,R
277,270.,Lefty Grove+ (29),.7692,1929,L
278,270.,Tim Hudson (24),.7692,2000,R
279,270.,Ray Kremer (31),.7692,1926,R
280,270.,Bill Lee (25),.7692,1935,R
281,270.,Jon Lieber (31),.7692,2001,R
282,270.,Ramon Martinez (22),.7692,1990,R
283,270.,Andy Messersmith (28),.7692,1974,R
284,270.,Jamie Moyer (38),.7692,2001,L
285,270.,Jerry Nops (22),.7692,1897,L
286,270.,Jim Perry (33),.7692,1969,R
287,270.,Bret Saberhagen (21),.7692,1985,R
288,270.,Johan Santana (25),.7692,2004,L
289,270.,Rick Sutcliffe (28),.7692,1984,R
290,270.,Jesse Tannehill (25),.7692,1900,L
291,270.,Jesse Tannehill (27),.7692,1902,L
292,270.,Mike Torrez (34),.7692,1981,R
293,270.,Will White (27),.7692,1882,R
294,295.,John Clarkson+ (23),.7681,1885,R
295,296.,Cy Young+ (34),.7674,1901,R
296,297.,Bob Gibson+ (34),.7667,1970,R
297,297.,Vean Gregg (26),.7667,1911,L
298,297.,Waite Hoyt+ (28),.7667,1928,R
299,297.,Walter Johnson+ (36),.7667,1924,R
300,297.,Bob Lemon+ (33),.7667,1954,R
301,297.,Jim Maloney (23),.7667,1963,R
302,297.,Orval Overall (26),.7667,1907,R
303,297.,Curt Schilling (35),.7667,2002,R
304,297.,Warren Spahn+ (32),.7667,1953,L
305,297.,Warren Spahn+ (42),.7667,1963,L
306,307.,Earl Caldwell (41),.7647,1946,R
307,307.,Steve Carlton+ (36),.7647,1981,L
308,307.,Mike Clevinger (28),.7647,2019,R
309,307.,Danny Darwin (24),.7647,1980,R
310,307.,Al Demaree (28),.7647,1913,R
311,307.,Jesse Haines+ (32),.7647,1926,R
312,307.,Ken Holloway (27),.7647,1925,R
313,307.,Tommy Hunter (23),.7647,2010,R
314,307.,Sandy Koufax+ (29),.7647,1965,L
315,307.,Ted Lewis (25),.7647,1898,R
316,307.,Bob Muncrief (29),.7647,1945,R
317,307.,Johnny Murphy (28),.7647,1937,R
318,307.,Allie Reynolds (37),.7647,1954,R
319,307.,Garrett Richards (26),.7647,2014,R
320,307.,Mike Soroka (21),.7647,2019,R
321,307.,Noah Syndergaard (25),.7647,2018,R
322,323.,Lady Baldwin (27),.7636,1886,L
323,324.,Mordecai Brown+ (31),.7632,1908,R
324,324.,Charlie Buffinton (30),.7632,1891,R
325,324.,Bob Caruthers (23),.7632,1887,R
326,324.,Hal Newhouser+ (23),.7632,1944,L
327,328.,Jack Bentley (29),.7619,1924,L
328,328.,Harry Brecheen (29),.7619,1944,L
329,328.,Tommy Byrne (35),.7619,1955,L
330,328.,Matt Cain (27),.7619,2012,R
331,328.,Spud Chandler (34),.7619,1942,R
332,328.,David Cone (31),.7619,1994,R
333,328.,Juan Guzman (25),.7619,1992,R
334,328.,Roy Halladay+ (29),.7619,2006,R
335,328.,Ken Hill (28),.7619,1994,R
336,328.,Derek Holland (24),.7619,2011,L
337,328.,Sad Sam Jones (25),.7619,1918,R
338,328.,Clayton Kershaw (31),.7619,2019,L
339,328.,Red Munger (28),.7619,1947,R
340,328.,Mike Mussina+ (25),.7619,1994,R
341,328.,Rosy Ryan (25),.7619,1923,R
342,328.,Rip Sewell (33),.7619,1940,R
343,328.,Bob Tewksbury (31),.7619,1992,R
344,345.,Jim Bibby (35),.7600,1980,R
345,345.,Larry Christenson (23),.7600,1977,R
346,345.,John Denny (30),.7600,1983,R
347,345.,Bill Doak (23),.7600,1914,R
348,345.,Whitey Ford+ (27),.7600,1956,L
349,345.,Roy Halladay+ (34),.7600,2011,R
350,345.,Jake Peavy (26),.7600,2007,R
351,345.,Herb Pennock+ (29),.7600,1923,L
352,345.,Eddie Plank+ (30),.7600,1906,L
353,345.,David Price (24),.7600,2010,L
354,345.,Eduardo Rodriguez (26),.7600,2019,L
355,345.,Charlie Root (30),.7600,1929,R
356,345.,Dutch Ruether (25),.7600,1919,L
357,345.,Johan Santana (27),.7600,2006,L
358,345.,Chien-Ming Wang (26),.7600,2006,R
359,360.,John Burkett (28),.7586,1993,R
360,360.,Mort Cooper (29),.7586,1942,R
361,360.,Mort Cooper (31),.7586,1944,R
362,360.,Richard Dotson (24),.7586,1983,R
363,360.,Roy Halladay+ (26),.7586,2003,R
364,360.,Waite Hoyt+ (27),.7586,1927,R
365,360.,Sam Leever (34),.7586,1906,R
366,360.,Brandon Webb (29),.7586,2008,R
367,368.,Juan Marichal+ (25),.7576,1963,R
368,368.,Sadie McMahon (26),.7576,1894,R
369,370.,Cy Young+ (36),.7568,1903,R
370,371.,Pete Alexander+ (28),.7561,1915,R
371,372.,George Haddock (24),.7556,1891,R
372,373.,Bob Caruthers (21),.7547,1885,R
373,374.,Larry Corcoran (20),.7544,1880,R
374,375.,Chase Anderson (29),.7500,2017,R
375,375.,Johnny Antonelli (24),.7500,1954,L
376,375.,Luis Arroyo (34),.7500,1961,L
377,375.,Steve Avery (23),.7500,1993,L
378,375.,Jim Bibby (34),.7500,1979,R
379,375.,Steve Blass (26),.7500,1968,R
380,375.,Vida Blue (21),.7500,1971,L
381,375.,Hank Borowy (29),.7500,1945,R
382,375.,Jim Bouton (24),.7500,1963,R
383,375.,Mordecai Brown+ (32),.7500,1909,R
384,375.,Charlie Buffinton (23),.7500,1884,R
385,375.,Lew Burdette (26),.7500,1953,R
386,375.,Rick Camp (28),.7500,1981,R
387,375.,Chris Carpenter (29),.7500,2004,R
388,375.,Carlos Carrasco (30),.7500,2017,R
389,375.,Roger Clemens (34),.7500,1997,R
390,375.,Gerrit Cole (27),.7500,2018,R
391,375.,Bartolo Colon (40),.7500,2013,R
392,375.,Joe Corbett (21),.7500,1897,R
393,375.,Doc Crandall (23),.7500,1911,R
394,375.,Mike Cuellar (33),.7500,1970,L
395,375.,Chuck Dobson (27),.7500,1971,R
396,375.,George Earnshaw (29),.7500,1929,R
397,375.,George Earnshaw (31),.7500,1931,R
398,375.,Mike Flanagan (31),.7500,1983,L
399,375.,Whitey Ford+ (24),.7500,1953,L
400,375.,Freddy Garcia (24),.7500,2001,R
401,375.,Hank Gastright (28),.7500,1893,R
402,375.,Lefty Gomez+ (32),.7500,1941,L
403,375.,Mudcat Grant (29),.7500,1965,R
404,375.,Zack Greinke (28),.7500,2012,R
405,375.,Lefty Grove+ (28),.7500,1928,L
406,375.,Lefty Grove+ (33),.7500,1933,L
407,375.,Roy Halladay+ (28),.7500,2005,R
408,375.,Cole Hamels (23),.7500,2007,L
409,375.,Cole Hamels (32),.7500,2016,L
410,375.,Erik Hanson (30),.7500,1995,R
411,375.,J.A. Happ (26),.7500,2009,L
412,375.,Orlando Hernandez (32),.7500,1998,R
413,375.,Joe Hesketh (32),.7500,1991,L
414,375.,LaMarr Hoyt (26),.7500,1981,R
415,375.,Catfish Hunter+ (26),.7500,1972,R
416,375.,Bruce Hurst (30),.7500,1988,L
417,375.,Josh Johnson (25),.7500,2009,R
418,375.,Clayton Kershaw (28),.7500,2016,L
419,375.,Clayton Kershaw (32),.7500,2020,L
420,375.,Dallas Keuchel (32),.7500,2020,L
421,375.,Jimmy Key (32),.7500,1993,L
422,375.,Eric King (26),.7500,1990,R
423,375.,Sandy Koufax+ (30),.7500,1966,L
424,375.,Jon Lester (34),.7500,2018,L
425,375.,Eddie Lopat (36),.7500,1954,L
426,375.,Pat Malone (33),.7500,1936,R
427,375.,Firpo Marberry (31),.7500,1930,R
428,375.,Firpo Marberry (35),.7500,1934,R
429,375.,Pedro Martinez+ (28),.7500,2000,R
430,375.,Christy Mathewson+ (29),.7500,1910,R
431,375.,Rudy May (35),.7500,1980,L
432,375.,Carl Mays (29),.7500,1921,R
433,375.,Jim McCormick (28),.7500,1885,R
434,375.,Lindy McDaniel (24),.7500,1960,R
435,375.,Russ Meyer (29),.7500,1953,R
436,375.,Jamie Moyer (40),.7500,2003,L
437,375.,Johnny Murphy (34),.7500,1943,R
438,375.,Joe Nathan (28),.7500,2003,R
439,375.,Gary Nolan (24),.7500,1972,R
440,375.,Fred Norman (32),.7500,1975,L
441,375.,Russ Ortiz (29),.7500,2003,R
442,375.,Jim Palmer+ (36),.7500,1982,R
443,375.,Jeff Parrett (26),.7500,1988,R
444,375.,Glen Perkins (25),.7500,2008,L
445,375.,David Peterson (24),.7500,2020,L
446,375.,Ed Poole (27),.7500,1902,R
447,375.,Mark Prior (22),.7500,2003,R
448,375.,Horacio Ramirez (23),.7500,2003,L
449,375.,Dennis Rasmussen (27),.7500,1986,L
450,375.,Robbie Ray (25),.7500,2017,L
451,375.,Jerry Reuss (31),.7500,1980,L
452,375.,Schoolboy Rowe (24),.7500,1934,R
453,375.,Red Ruffing+ (33),.7500,1938,R
454,375.,Red Ruffing+ (34),.7500,1939,R
455,375.,Vern Ruhle (29),.7500,1980,R
456,375.,Reb Russell (28),.7500,1917,L
457,375.,CC Sabathia (29),.7500,2010,L
458,375.,Chris Sale (25),.7500,2014,L
459,375.,Chris Sale (29),.7500,2018,L
460,375.,Slim Sallee (34),.7500,1919,L
461,375.,Jose Santiago (26),.7500,1967,R
462,375.,Ferdie Schupp (26),.7500,1917,L
463,375.,Aaron Sele (31),.7500,2001,R
464,375.,Bob Shaw (26),.7500,1959,R
465,375.,Urban Shocker (36),.7500,1927,R
466,375.,Bill Shores (26),.7500,1930,R
467,375.,John Smoltz+ (29),.7500,1996,R
468,375.,Dave Stieb (32),.7500,1990,R
469,375.,Stephen Strasburg (30),.7500,2019,R
470,375.,Monty Stratton (25),.7500,1937,R
471,375.,Mike Sullivan (25),.7500,1892,R
472,375.,John Tudor (36),.7500,1990,L
473,375.,Bob Turley (27),.7500,1958,R
474,375.,Russ Van Atta (27),.7500,1933,L
475,375.,Justin Verlander (24),.7500,2007,R
476,375.,Pete Vuckovich (29),.7500,1982,R
477,375.,Bill Walker (30),.7500,1934,L
478,375.,Jarrod Washburn (27),.7500,2002,L
479,375.,Doc White (27),.7500,1906,L
480,375.,Hoyt Wilhelm+ (31),.7500,1954,R
481,375.,Smoky Joe Wood (25),.7500,1915,R
482,375.,Cy Young+ (25),.7500,1892,R
483,484.,Tim Keefe+ (31),.7447,1888,R
484,485.,Cy Young+ (35),.7442,1902,R
485,486.,Claude Hendrix (25),.7436,1914,R
486,487.,Juan Marichal+ (30),.7429,1968,R
487,487.,Hal Newhouser+ (25),.7429,1946,L
488,489.,Noodles Hahn (20),.7419,1899,L
489,489.,Orel Hershiser (29),.7419,1988,R
490,489.,Danny Jackson (26),.7419,1988,L
491,489.,Nick Maddox (21),.7419,1908,R
492,489.,Eddie Plank+ (35),.7419,1911,L
493,489.,Bucky Walters (35),.7419,1944,R
494,495.,Gene Bearden (27),.7407,1948,L
495,495.,Josh Beckett (27),.7407,2007,R
496,495.,Harry Brecheen (33),.7407,1948,L
497,495.,Steve Carlton+ (31),.7407,1976,L
498,495.,David Cone (35),.7407,1998,R
499,495.,Bob Forsch (27),.7407,1977,R
500,495.,Wayne Garland (25),.7407,1976,R
501,495.,Rick Helling (27),.7407,1998,R
502,495.,Claude Hendrix (29),.7407,1918,R
503,495.,Tom Hughes (24),.7407,1903,R
504,495.,Walter Johnson+ (37),.7407,1925,R
505,495.,Tommy John (34),.7407,1977,L
506,495.,Corey Kluber (32),.7407,2018,R
507,495.,Al Maul (32),.7407,1898,R
508,495.,Dave McNally (26),.7407,1969,L
509,495.,Flint Rhem (25),.7407,1926,R
510,495.,Red Ruffing+ (32),.7407,1937,R
511,495.,Max Scherzer (31),.7407,2016,R
