,Rank,Player (age that year),Win-Loss %,Year,Throws
0,1.,Max Fried (26),1.0000,2020,L
1,2.,Roy Face (31),.9474,1959,R
2,3.,Johnny Allen (32),.9375,1937,R
3,4.,Perry Werden (22),.9231,1884,R
4,5.,Greg Maddux+ (29),.9048,1995,R
5,6.,Randy Johnson+ (31),.9000,1995,L
6,7.,Ron Guidry (27),.8929,1978,L
7,8.,Shane Bieber (25),.8889,2020,R
8,8.,Freddie Fitzsimmons (38),.8889,1940,R
9,10.,Lefty Grove+ (31),.8857,1931,L
10,11.,Aaron Sanchez (23),.8824,2016,R
11,11.,Bob Stanley (23),.8824,1978,R
12,13.,Cliff Lee (29),.8800,2008,L
13,13.,Preacher Roe (35),.8800,1951,L
14,15.,Ron Davis (23),.8750,1979,R
15,15.,Fred Goldsmith (24),.8750,1880,R
16,15.,Clayton Kershaw (26),.8750,2014,L
17,15.,Deacon Phillippe (38),.8750,1910,R
18,15.,Max Scherzer (28),.8750,2013,R
19,15.,Tom Seaver+ (36),.8750,1981,R
20,21.,Smoky Joe Wood (22),.8718,1912,R
21,22.,Roger Clemens (38),.8696,2001,R
22,22.,David Cone (25),.8696,1988,R
23,24.,Zack Greinke (31),.8636,2015,R
24,24.,Orel Hershiser (26),.8636,1985,R
25,26.,Bill Donovan (30),.8621,1907,R
26,26.,Whitey Ford+ (32),.8621,1961,L
27,28.,Jason Bere (23),.8571,1994,R
28,28.,Roger Clemens (23),.8571,1986,R
29,28.,Matt Foster (25),.8571,2020,R
30,28.,Dwight Gooden (20),.8571,1985,R
31,28.,Charlie Hodnett (24),.8571,1884,
32,28.,Kenta Maeda (32),.8571,2020,R
33,28.,Daisuke Matsuzaka (27),.8571,2008,R
34,28.,Harry Wheeler (20),.8571,1878,R
35,36.,Pedro Martinez+ (27),.8519,1999,R
36,37.,Chief Bender+ (30),.8500,1914,R
37,37.,John Smoltz+ (31),.8500,1998,R
38,39.,Lefty Grove+ (30),.8485,1930,L
39,40.,Mike Hampton (26),.8462,1999,L
40,40.,Rick Porcello (27),.8462,2016,R
41,42.,Sandy Consuegra (33),.8421,1954,R
42,42.,Tom Hughes (32),.8421,1916,R
43,42.,Kyle Lohse (33),.8421,2012,R
44,42.,Ron Perranoski (27),.8421,1963,L
45,42.,Schoolboy Rowe (30),.8421,1940,R
46,42.,Ralph Terry (25),.8421,1961,R
47,42.,Alex Wood (26),.8421,2017,L
48,42.,Emil Yde (24),.8421,1924,L
49,50.,Ian Kennedy (26),.8400,2011,R
50,51.,Lefty Gomez+ (25),.8387,1934,L
51,52.,Bill Hoffer (24),.8378,1895,R
52,52.,Denny McLain (24),.8378,1968,R
53,54.,Walter Johnson+ (25),.8372,1913,R
54,55.,Caleb Baragar (26),.8333,2020,L
55,55.,Henry Boyle (23),.8333,1884,R
56,55.,Spud Chandler (35),.8333,1943,R
57,55.,King Cole (24),.8333,1910,R
58,55.,Marvin Freeman (31),.8333,1994,R
59,55.,Tyler Glasnow (26),.8333,2020,R
60,55.,J.A. Happ (33),.8333,2016,L
61,55.,Jonathan Hernandez (23),.8333,2020,R
62,55.,Randy Johnson+ (33),.8333,1997,L
63,55.,Sandy Koufax+ (27),.8333,1963,L
64,55.,Pedro Martinez+ (30),.8333,2002,R
65,55.,Charlie Morton (34),.8333,2018,R
66,55.,Old Hoss Radbourn+ (29),.8333,1884,R
67,55.,Hoyt Wilhelm+ (29),.8333,1952,R
68,69.,Randy Johnson+ (38),.8276,2002,L
69,69.,Justin Verlander (28),.8276,2011,R
70,71.,Greg Maddux+ (31),.8261,1997,R
71,71.,Ed Reulbach (23),.8261,1906,R
72,71.,Elmer Riddle (26),.8261,1941,R
73,74.,Jack Chesbro+ (28),.8235,1902,R
74,74.,Nathan Eovaldi (25),.8235,2015,R
75,74.,Juan Guzman (26),.8235,1993,R
76,74.,Jay Hughes (25),.8235,1899,R
77,74.,Bob Moose (21),.8235,1969,R
78,74.,Roger Moret (25),.8235,1975,L
79,74.,Al Orth (26),.8235,1899,R
80,74.,Roy Oswalt (23),.8235,2001,R
81,74.,Wayne Simpson (21),.8235,1970,R
82,74.,Dazzy Vance+ (33),.8235,1924,R
83,84.,Chief Bender+ (26),.8214,1910,R
84,84.,Bob Purkey (32),.8214,1962,R
85,84.,Barry Zito (24),.8214,2002,L
86,87.,Joe Boever (33),.8182,1994,R
87,87.,Roger Clemens (41),.8182,2004,R
88,87.,Domingo German (26),.8182,2019,R
89,87.,Clayton Kershaw (29),.8182,2017,L
90,87.,Corey Kluber (31),.8182,2017,R
91,87.,Sal Maglie (33),.8182,1950,R
92,87.,Miles Mikolas (29),.8182,2018,R
93,87.,Mark Portugal (30),.8182,1993,R
94,87.,Bob Welch (33),.8182,1990,R
