,Rank,Player (age that year),Strikeouts,Year,Bats
46,44.,Jose Hernandez (31),185,2001,R
47,44.,Pete Incaviglia (22),185,1986,R
48,44.,Jim Thome+ (30),185,2001,L
49,50.,Mike Trout (22),184,2014,R
50,50.,Mark Trumbo (27),184,2013,R
51,50.,Rickie Weeks (27),184,2010,R
52,53.,Pete Alonso (24),183,2019,R
53,53.,Ian Desmond (28),183,2014,R
54,55.,Chris Carter (27),182,2014,R
55,55.,Cecil Fielder (26),182,1990,R
56,55.,Carlos Pena (34),182,2012,L
57,55.,Jim Thome+ (32),182,2003,L
58,59.,Ryan Howard (26),181,2006,L
59,59.,Austin Jackson (24),181,2011,R
60,59.,Mo Vaughn (32),181,2000,L
61,62.,Pedro Alvarez (25),180,2012,L
62,62.,Wil Myers (26),180,2017,R
63,62.,Mike Schmidt+ (25),180,1975,R
64,62.,Justin Upton (29),180,2017,R
65,66.,Rob Deer (25),179,1986,R
66,66.,Steven Souza Jr. (28),179,2017,R
67,66.,Justin Upton (28),179,2016,R
68,69.,Bryce Harper (26),178,2019,L
69,69.,J.D. Martinez (27),178,2015,R
70,69.,Rougned Odor (25),178,2019,L
71,69.,Miguel Sano (23),178,2016,R
72,69.,Domingo Santana (24),178,2017,R
73,69.,Richie Sexson (26),178,2001,R
74,69.,Jorge Soler (27),178,2019,R
75,69.,George Springer (26),178,2016,R
76,69.,Chris Taylor (27),178,2018,R
77,78.,Mark Bellhorn (29),177,2004,B
78,78.,Adam Dunn (29),177,2009,L
79,78.,Adam Dunn (31),177,2011,L
80,78.,Jose Hernandez (33),177,2003,R
81,82.,Mike Cameron (29),176,2002,R
82,82.,Justin Upton (30),176,2018,R
83,82.,Jonathan Villar (28),176,2019,B
84,85.,Keon Broxton (27),175,2017,R
85,85.,Jay Buhner (32),175,1997,R
86,85.,Jose Canseco (21),175,1986,R
87,85.,Khris Davis (30),175,2018,R
88,85.,Rob Deer (30),175,1991,R
89,85.,Dave Nicholson (23),175,1963,R
90,85.,Mark Reynolds (33),175,2017,R
91,85.,Gorman Thomas (28),175,1979,R
92,93.,Danny Espinosa (29),174,2016,B
93,93.,Curtis Granderson (25),174,2006,L
94,93.,Sammy Sosa (28),174,1997,R
95,93.,Trevor Story (26),174,2019,R
96,93.,Jonathan Villar (25),174,2016,B
97,98.,Chris Davis (28),173,2014,L
98,98.,Paul Goldschmidt (30),173,2018,R
99,98.,Rhys Hoskins (26),173,2019,R
100,98.,Miguel Sano (24),173,2017,R
101,98.,Melvin Upton Jr. (29),173,2014,R
102,103.,Ryan Howard (31),172,2011,L
103,103.,Bo Jackson (26),172,1989,R
104,103.,Adam LaRoche (30),172,2010,L
105,103.,Jim Presley (24),172,1986,R
106,107.,Freddie Freeman (26),171,2016,L
107,107.,Reggie Jackson+ (22),171,1968,L
108,107.,Sammy Sosa (29),171,1998,R
109,107.,Sammy Sosa (30),171,1999,R
110,107.,Jim Thome+ (28),171,1999,L
111,107.,Jim Thome+ (29),171,2000,L
112,107.,Dan Uggla (28),171,2008,R
113,107.,Dan Uggla (33),171,2013,R
114,107.,Justin Upton (26),171,2014,R
115,116.,Jose Bautista (36),170,2017,R
116,116.,Adam Dunn (22),170,2002,L
117,116.,Adam Duvall (28),170,2017,R
118,116.,Brandon Inge (32),170,2009,R
119,116.,Austin Jackson (23),170,2010,R
120,116.,Matt Kemp (25),170,2010,R
121,116.,Joc Pederson (23),170,2015,L
122,116.,Giancarlo Stanton (24),170,2014,R
123,116.,Gorman Thomas (29),170,1980,R
124,116.,Mark Trumbo (30),170,2016,R
125,126.,Chris Davis (26),169,2012,L
126,126.,Rob Deer (32),169,1993,R
127,126.,Andres Galarraga (29),169,1990,R
128,126.,Curtis Granderson (30),169,2011,L
129,126.,Bryce Harper (25),169,2018,L
130,126.,Melvin Upton Jr. (27),169,2012,R
131,126.,Rickie Weeks (29),169,2012,R
132,126.,Craig Wilson (27),169,2004,R
133,134.,Adam Dunn (25),168,2005,L
134,134.,Pete Incaviglia (23),168,1987,R
135,134.,Wil Myers (28),168,2019,R
136,134.,Corey Patterson (24),168,2004,L
137,134.,Juan Samuel (23),168,1984,R
138,134.,Sammy Sosa (31),168,2000,R
139,134.,Trevor Story (25),168,2018,R
140,134.,Drew Stubbs (25),168,2010,R
141,134.,Dan Uggla (32),168,2012,R
142,143.,Javier Baez (25),167,2018,R
143,143.,Tim Beckham (27),167,2017,R
144,143.,Jim Edmonds (30),167,2000,L
145,143.,Ian Happ (23),167,2018,B
146,143.,Richie Sexson (30),167,2005,R
147,143.,Dan Uggla (27),167,2007,R
148,149.,Gary Alexander (25),166,1978,R
149,149.,Steve Balboni (28),166,1985,R
150,149.,Khris Davis (28),166,2016,R
151,149.,Danny Espinosa (24),166,2011,B
152,149.,Paul Goldschmidt (31),166,2019,R
153,149.,Carlos Pena (30),166,2008,L
154,149.,Cory Snyder (24),166,1987,R
155,149.,Giancarlo Stanton (21),166,2011,R
156,149.,Drew Stubbs (27),166,2012,R
157,158.,Shin-Soo Choo (36),165,2019,L
158,158.,Matt Davidson (26),165,2017,R
159,158.,Matt Davidson (27),165,2018,R
160,158.,Adam Dunn (27),165,2007,L
161,158.,Chris Young (24),165,2008,R
162,163.,Kole Calhoun (27),164,2015,L
163,163.,Nelson Cruz (34),164,2015,R
164,163.,Jack Cust (28),164,2007,L
