,Rank,Player (age that year),Replay Challenge Success %,Year
125,119.,Bryan Price (56),50.000,2018
126,119.,Rick Renteria (56),50.000,2018
127,119.,Scott Servais (50),50.000,2017
128,119.,Buck Showalter (58),50.000,2014
129,119.,Don Wakamatsu (55),50.000,2018
130,131.,Kevin Cash (39),49.153,2017
131,132.,Bryan Price (54),49.020,2016
132,133.,Rick Renteria (55),48.571,2017
133,134.,Dave Martinez (54),48.387,2019
134,135.,Kevin Cash (40),48.148,2018
135,136.,Craig Counsell (44),48.000,2015
136,137.,AJ Hinch (41),47.917,2015
137,137.,Clint Hurdle (60),47.917,2018
138,139.,David Bell (47),47.826,2020
139,139.,Fredi Gonzalez (51),47.826,2015
140,141.,Andy Green (38),47.368,2016
141,141.,Scott Servais (52),47.368,2019
142,143.,Robin Ventura (46),47.222,2014
143,144.,Ryne Sandberg+ (55),47.059,2015
144,145.,Terry Francona (58),46.875,2017
145,146.,Craig Counsell (45),46.809,2016
146,147.,Paul Molitor+ (61),46.667,2018
147,148.,John Gibbons (56),46.154,2018
148,148.,AJ Hinch (43),46.154,2017
149,148.,Dave Roberts (46),46.154,2018
150,151.,Kevin Cash (41),45.833,2019
151,152.,Clint Hurdle (58),45.455,2016
152,153.,Terry Collins (65),45.161,2014
153,154.,Jeff Banister (52),45.098,2016
154,155.,Jayce Tingler (39),45.000,2020
155,156.,Tim Bogar (47),44.444,2014
156,156.,John Gibbons (53),44.444,2015
157,156.,Bryan Price (52),44.444,2014
158,156.,Luis Rojas (38),44.444,2020
159,160.,Andy Green (41),44.000,2019
160,161.,Rick Renteria (52),43.860,2014
161,162.,Ryne Sandberg+ (54),43.750,2014
162,163.,Charlie Montoyo (53),43.590,2019
163,164.,John Farrell (53),43.478,2016
164,165.,Brad Ausmus (48),43.243,2017
165,165.,Terry Francona (59),43.243,2018
166,165.,AJ Hinch (42),43.243,2016
167,168.,Andy Green (40),43.182,2018
168,169.,Joe Maddon (60),42.857,2014
169,169.,Rick Renteria (57),42.857,2019
170,171.,Mike Matheny (47),42.424,2018
171,172.,Don Mattingly (59),42.308,2020
172,173.,Bud Black (60),42.105,2017
173,174.,Aaron Boone (47),41.667,2020
174,174.,Clint Hurdle (61),41.667,2019
175,174.,Torey Lovullo (54),41.667,2020
176,174.,Scott Servais (53),41.667,2020
177,178.,Don Mattingly (54),41.463,2015
178,179.,Bob Melvin (57),41.379,2019
179,179.,Matt Williams (49),41.379,2015
180,181.,David Bell (46),41.177,2019
181,181.,Bud Black (63),41.177,2020
182,181.,Ron Gardenhire (61),41.177,2019
183,181.,AJ Hinch (44),41.177,2018
184,185.,Mike Shildt (50),41.026,2019
185,186.,Brad Ausmus (46),40.741,2015
186,187.,Mike Matheny (43),40.625,2014
187,188.,Andy Green (39),40.476,2017
188,189.,Dusty Baker (67),40.426,2016
189,189.,Brian Snitker (61),40.426,2017
190,191.,John Farrell (52),40.385,2015
191,192.,Jeff Banister (54),40.000,2018
192,192.,Craig Counsell (49),40.000,2020
193,192.,Brian Snitker (62),40.000,2018
194,195.,Craig Counsell (46),39.535,2017
195,196.,John Gibbons (54),38.776,2016
196,197.,Terry Francona (61),38.462,2020
197,198.,Walt Weiss (50),37.838,2014
198,199.,Dusty Baker (68),37.500,2017
199,200.,John Farrell (54),37.209,2017
200,201.,Pat Murphy (56),37.037,2015
201,202.,Rocco Baldelli (38),36.667,2020
202,202.,Brandon Hyde (45),36.667,2019
203,204.,Mickey Callaway (44),36.111,2019
204,205.,Jim Riggleman (65),35.294,2018
205,206.,Scott Servais (51),35.135,2018
206,207.,John Gibbons (52),34.043,2014
207,208.,Jeff Banister (51),34.000,2015
208,209.,Kevin Cash (42),33.333,2020
209,209.,Brandon Hyde (46),33.333,2020
210,211.,Kevin Cash (37),31.482,2015
211,212.,Gabe Kapler (44),31.429,2020
212,213.,Dusty Baker (71),30.769,2020
213,213.,Rocco Baldelli (37),30.769,2019
214,215.,Bob Melvin (58),30.435,2020
215,216.,Mike Shildt (49),28.571,2018
216,216.,Brian Snitker (64),28.571,2020
217,218.,John Gibbons (55),26.667,2017
218,219.,Charlie Montoyo (54),20.690,2020
219,220.,Craig Counsell (47),20.588,2018
220,221.,Derek Shelton (49),20.000,2020
