,Rank,Player (age that year),Errors Committed as 3B,Year,Throws
0,1.,Bill Joyce (22),107,1890,R
1,2.,Jumbo Davis (26),91,1888,R
2,3.,Joe Werrick (25),89,1887,R
3,4.,Arlie Latham (26),88,1886,R
4,4.,Billy Shindle (28),88,1889,R
5,6.,John Irwin (22),87,1884,R
6,6.,Ned Williamson (25),87,1883,R
7,8.,Charlie Hickman (24),86,1900,R
8,9.,Pete Gilbert (23),84,1891,R
9,9.,Jerry McCormick (21),84,1883,
10,11.,Jack Gleason (27),83,1882,R
11,12.,Bill Kuehne (31),82,1890,R
12,13.,Jack Gleason (29),80,1884,R
13,13.,Denny Lyons (23),80,1889,R
14,15.,Billy Nash (25),78,1890,R
15,15.,Billy Shindle (31),78,1892,R
16,17.,Bill Joyce (27),77,1895,R
17,18.,Bill Everitt (26),75,1895,R
18,18.,Arlie Latham (31),75,1891,R
19,20.,Jim Donnelly (20),73,1886,R
20,20.,Denny Lyons (21),73,1887,R
21,20.,Joe Mulvey (25),73,1884,R
22,20.,Al Nichols (24),73,1876,
23,24.,Tom Burns (32),72,1889,R
24,24.,Frank Hankinson (30),72,1886,R
25,24.,Joe Werrick (24),72,1886,R
26,27.,Hick Carpenter (31),70,1887,L
27,27.,Arlie Latham (24),70,1884,R
28,27.,Jerry McCormick (22),70,1884,
29,30.,Hick Carpenter (33),69,1889,L
30,30.,Frank Hankinson (31),69,1887,R
31,30.,George Pinkney (27),69,1886,R
32,33.,Billy Alvord (27),68,1891,R
33,33.,Deacon White+ (38),68,1886,R
34,35.,Billy Alvord (26),67,1890,R
35,35.,Charlie Reilly (23),67,1890,R
36,35.,Jimmy Williams (22),67,1899,R
37,38.,Hick Carpenter (30),66,1886,L
38,38.,Hick Carpenter (32),66,1888,L
39,38.,Joe Farrell (26),66,1883,
40,38.,Arlie Latham (32),66,1892,R
41,38.,Arlie Latham (34),66,1894,R
42,38.,Mike Muldoon (26),66,1884,
43,38.,Patsy Tebeau (25),66,1890,R
44,38.,Deacon White+ (36),66,1884,R
45,46.,Tommy Leach (25),65,1903,R
46,46.,Deacon White+ (40),65,1888,R
47,48.,George Davis+ (22),64,1893,R
48,48.,Duke Farrell (25),64,1892,R
49,48.,Fred Hartman (32),64,1897,R
50,48.,Bill Joyce (29),64,1897,R
51,48.,Will Smalley (19),64,1890,R
52,48.,Deacon White+ (39),64,1887,R
53,54.,Jim Donnelly (21),63,1887,R
54,54.,Jimmy Knowles (33),63,1890,
55,54.,Harry Schafer (29),63,1876,R
56,54.,Billy Shindle (32),63,1893,R
57,54.,Sammy Strang (25),63,1902,R
58,59.,Jerry Denny (22),62,1881,R
59,59.,Arlie Latham (27),62,1887,R
60,59.,Arlie Latham (28),62,1888,R
61,59.,Billy Lauder (25),62,1899,R
62,59.,Mike Muldoon (25),62,1883,
63,59.,Joe Mulvey (26),62,1885,R
64,59.,Joe Mulvey (31),62,1890,R
65,59.,Bert Myers (22),62,1896,R
66,59.,Billy Nash (27),62,1892,R
67,59.,Joe Werrick (26),62,1888,R
68,69.,Bill Bradley (22),61,1900,R
69,69.,Tom Burns (30),61,1887,R
70,69.,Jumbo Davis (25),61,1887,R
71,69.,Joe Farrell (27),61,1884,
72,69.,Harry Raymond (28),61,1890,
73,74.,Hick Carpenter (26),60,1882,L
74,74.,Roger Connor+ (22),60,1880,L
75,74.,Jack Gleason (31),60,1886,R
76,74.,Otto Krueger (24),60,1901,R
77,74.,Tommy Leach (26),60,1904,R
78,74.,Barry McCormick (23),60,1898,R
79,74.,Doggie Miller (25),60,1890,R
80,74.,Billy Nash (30),60,1895,R
81,74.,George Pinkney (28),60,1887,R
82,74.,Harry Raymond (27),60,1889,
83,74.,Charlie Reilly (24),60,1891,R
84,74.,Ned Williamson (26),60,1884,R
85,86.,Bill Gray (27),59,1898,
86,86.,Arlie Latham (29),59,1889,R
87,86.,Denny Lyons (25),59,1891,R
88,86.,Billy Nash (22),59,1887,R
89,86.,Phil Reccius (23),59,1885,
90,91.,Doc Casey (31),58,1901,R
91,91.,Jerry Denny (28),58,1887,R
92,91.,Hunter Hill (25),58,1904,R
93,91.,Arlie Latham (23),58,1883,R
94,91.,Billy Shindle (30),58,1891,R
95,96.,Emil Batch (25),57,1905,R
96,96.,Jumbo Davis (27),57,1889,R
97,96.,Fred Hartman (33),57,1898,R
98,96.,Art Whitney (31),57,1889,R
99,96.,Harry Wolverton (25),57,1899,R
100,101.,Hick Carpenter (25),56,1881,L
101,101.,Hick Carpenter (29),56,1885,L
