,Rank,Player (age that year),Batting Average,Year,Bats
0,1.,Hugh Duffy+ (27),.4397,1894,R
1,2.,Tip O'Neill (27),.4352,1887,R
2,3.,Ross Barnes (26),.4286,1876,R
3,4.,Nap Lajoie+ (26),.4265,1901,R
4,5.,Willie Keeler+ (25),.4238,1897,L
5,6.,Rogers Hornsby+ (28),.4235,1924,R
6,7.,George Sisler+ (29),.4198,1922,L
7,8.,Ty Cobb+ (24),.4189,1911,L
8,9.,Tuck Turner (27),.4179,1894,B
9,10.,Sam Thompson+ (34),.4146,1894,L
10,11.,Fred Dunlap (25),.4120,1884,R
11,12.,Jesse Burkett+ (27),.4096,1896,L
12,12.,Ed Delahanty+ (31),.4096,1899,R
13,14.,Ty Cobb+ (25),.4087,1912,L
14,15.,Shoeless Joe Jackson (23),.4081,1911,L
15,16.,George Sisler+ (27),.4073,1920,L
16,17.,Ted Williams+ (22),.4057,1941,L
17,18.,Jesse Burkett+ (26),.4054,1895,L
18,19.,Ed Delahanty+ (26),.4049,1894,R
19,20.,Ed Delahanty+ (27),.4042,1895,R
20,21.,Billy Hamilton+ (28),.4032,1894,L
21,22.,Rogers Hornsby+ (29),.4028,1925,R
22,23.,Harry Heilmann+ (28),.4027,1923,R
23,24.,Pete Browning (26),.4022,1887,R
24,25.,Rogers Hornsby+ (26),.4013,1922,R
25,25.,Bill Terry+ (31),.4013,1930,L
26,27.,Hughie Jennings+ (27),.4012,1896,R
27,28.,Ty Cobb+ (35),.4011,1922,L
28,29.,Cap Anson+ (29),.3994,1881,R
29,30.,Lefty O'Doul (32),.3981,1929,L
30,31.,Harry Heilmann+ (32),.3980,1927,R
31,32.,Rogers Hornsby+ (25),.3970,1921,R
32,33.,Ed Delahanty+ (28),.3968,1896,R
33,34.,Jesse Burkett+ (30),.3961,1899,L
34,35.,Shoeless Joe Jackson (24),.3951,1912,L
35,36.,Jack Clements (30),.3944,1895,L
36,37.,Tony Gwynn+ (34),.3938,1994,L
37,38.,Harry Heilmann+ (26),.3937,1921,R
38,39.,Harry Heilmann+ (30),.3927,1925,R
39,39.,Babe Ruth+ (28),.3927,1923,L
40,41.,Babe Herman (27),.3925,1930,L
41,41.,Joe Kelley+ (22),.3925,1894,R
42,43.,Sam Thompson+ (35),.3922,1895,L
43,44.,Al Simmons+ (25),.3916,1927,R
44,45.,John McGraw+ (26),.3910,1899,L
45,46.,Al Simmons+ (29),.3899,1931,R
46,47.,George Brett+ (27),.3898,1980,L
47,48.,Fred Clarke+ (24),.3897,1897,L
48,49.,Ty Cobb+ (26),.3893,1913,L
49,49.,Tris Speaker+ (37),.3893,1925,L
50,51.,Bill Lange (24),.3891,1895,R
51,52.,Billy Hamilton+ (29),.3888,1895,L
52,53.,Ty Cobb+ (34),.3886,1921,L
53,54.,Ted Williams+ (38),.3881,1957,L
54,55.,Rod Carew+ (31),.3880,1977,L
55,55.,King Kelly+ (28),.3880,1886,R
56,57.,Cap Anson+ (42),.3878,1894,R
57,57.,Luke Appling+ (29),.3878,1936,R
58,59.,Tris Speaker+ (32),.3877,1920,L
59,60.,Lave Cross (28),.3875,1894,R
60,61.,Deacon White+ (29),.3872,1877,L
61,62.,Al Simmons+ (23),.3869,1925,R
62,63.,Rogers Hornsby+ (32),.3868,1928,R
63,64.,Tris Speaker+ (28),.3864,1916,L
64,65.,Willie Keeler+ (24),.3860,1896,L
65,66.,Chuck Klein+ (25),.3858,1930,L
66,67.,Hughie Jennings+ (26),.3856,1895,R
67,68.,Willie Keeler+ (26),.3850,1898,L
68,69.,Arky Vaughan+ (23),.3848,1935,L
69,70.,Rogers Hornsby+ (27),.3844,1923,R
70,71.,Ty Cobb+ (32),.3835,1919,L
71,72.,Nap Lajoie+ (35),.3834,1910,R
72,73.,Jesse Burkett+ (28),.3830,1897,L
73,74.,Tris Speaker+ (24),.3828,1912,L
74,75.,Ty Cobb+ (30),.3827,1917,L
75,76.,Lefty O'Doul (33),.3826,1930,L
76,77.,Shoeless Joe Jackson (32),.3825,1920,L
77,78.,Ty Cobb+ (31),.3824,1918,L
78,79.,Ty Cobb+ (23),.3819,1910,L
79,80.,Babe Herman (26),.3814,1929,L
80,80.,Honus Wagner+ (26),.3814,1900,R
81,82.,Joe DiMaggio+ (24),.3810,1939,R
82,83.,Al Simmons+ (28),.3809,1930,R
83,84.,Rogers Hornsby+ (33),.3804,1929,R
84,84.,Paul Waner+ (24),.3804,1927,L
85,86.,Billy Hamilton+ (27),.3803,1893,L
86,87.,Tris Speaker+ (35),.3798,1923,L
87,88.,Goose Goslin+ (27),.3794,1928,L
88,89.,Freddie Lindstrom+ (24),.3793,1930,R
89,90.,Larry Walker+ (32),.3790,1999,L
90,91.,Willie Keeler+ (27),.3789,1899,L
91,92.,Lou Gehrig+ (27),.3787,1930,L
92,93.,Pete Browning (21),.3785,1882,R
93,93.,John Cassidy (22),.3785,1877,R
94,95.,Ty Cobb+ (38),.3783,1925,L
95,96.,Babe Ruth+ (29),.3781,1924,L
96,97.,Sam Crawford+ (31),.3780,1911,L
97,98.,Earl Averill+ (34),.3779,1936,L
98,98.,Tris Speaker+ (34),.3779,1922,L
99,100.,Nap Lajoie+ (27),.3778,1902,R
100,100.,Babe Ruth+ (26),.3778,1921,L
101,102.,Heinie Manush+ (26),.3777,1928,L
102,103.,Heinie Manush+ (24),.3775,1926,L
103,104.,Ed Delahanty+ (29),.3774,1897,R
104,105.,Ty Cobb+ (22),.3770,1909,L
105,105.,Willie Keeler+ (23),.3770,1895,L
106,107.,Cy Seymour (32),.3769,1905,L
107,108.,Stan Musial+ (27),.3764,1948,L
108,109.,Ed Delahanty+ (34),.3763,1902,R
109,110.,Bug Holliday (27),.3762,1894,R
110,111.,Nap Lajoie+ (29),.3761,1904,R
111,112.,Jesse Burkett+ (32),.3760,1901,L
112,113.,Babe Ruth+ (25),.3755,1920,L
113,114.,Zack Wheat+ (36),.3746,1924,L
114,115.,Joe Medwick+ (25),.3744,1937,R
115,116.,Dan Brouthers+ (25),.3741,1883,L
116,117.,Lou Gehrig+ (25),.3737,1928,L
117,118.,George Watkins (30),.3734,1930,L
118,119.,Lou Gehrig+ (24),.3733,1927,L
119,120.,Dan Brouthers+ (31),.3732,1889,L
120,120.,Pete Browning (29),.3732,1890,R
121,122.,Shoeless Joe Jackson (25),.3731,1913,L
122,123.,Babe Ruth+ (36),.3727,1931,L
123,124.,Paul Waner+ (33),.3726,1936,L
124,125.,Sam Thompson+ (27),.3725,1887,L
125,126.,Nomar Garciaparra (26),.3724,2000,R
126,126.,Todd Helton (26),.3724,2000,L
127,128.,Bill Terry+ (30),.3723,1929,L
128,129.,Ichiro Suzuki (30),.3722,2004,L
129,130.,Eddie Collins+ (33),.3721,1920,L
130,131.,Tommy Tucker (25),.3719,1889,B
131,132.,Babe Ruth+ (31),.3717,1926,L
132,133.,Tony Gwynn+ (37),.3716,1997,L
133,133.,Heinie Zimmerman (25),.3716,1912,R
134,135.,Roger Connor+ (27),.3714,1885,B
135,136.,Willie Keeler+ (22),.3712,1894,L
136,137.,George Sisler+ (28),.3711,1921,L
137,138.,Cap Anson+ (34),.3710,1886,R
138,139.,Jim Bottomley+ (23),.3709,1923,L
139,140.,Dave Orr (30),.3707,1890,R
140,140.,Jake Stenzel (28),.3707,1895,R
141,142.,Charlie Gehringer+ (34),.3706,1937,L
142,143.,Al Wingo (27),.3705,1925,L
143,144.,Paul Waner+ (25),.3704,1928,L
144,145.,Ty Cobb+ (29),.3702,1916,L
145,145.,Andres Galarraga (32),.3702,1993,R
146,147.,Dan Brouthers+ (28),.3701,1886,L
147,147.,Tony Gwynn+ (27),.3701,1987,L
148,147.,Rogers Hornsby+ (24),.3701,1920,R
149,150.,Sam Thompson+ (33),.3700,1893,L
150,151.,Barry Bonds (37),.3697,2002,L
151,152.,Benny Kauff (24),.3695,1914,L
152,153.,Ty Cobb+ (28),.3694,1915,L
153,153.,Ted Williams+ (29),.3694,1948,L
154,155.,Lew Fonseca (30),.3693,1929,R
155,155.,Billy Hamilton+ (32),.3693,1898,L
156,157.,John McGraw+ (22),.3686,1895,L
157,158.,Mike Tiernan (29),.3685,1896,L
158,159.,Cal McVey (27),.3684,1877,R
159,159.,Paul Waner+ (27),.3684,1930,L
160,161.,Nap Lajoie+ (37),.3683,1912,R
161,162.,Tony Gwynn+ (35),.3682,1995,L
162,163.,Ty Cobb+ (27),.3681,1914,L
163,163.,Ed Delahanty+ (25),.3681,1893,R
164,163.,Lefty O'Doul (35),.3681,1932,L
165,163.,Dave Orr (27),.3681,1887,R
166,167.,Chuck Klein+ (28),.3680,1933,L
167,168.,Jack Doyle (24),.3677,1894,R
168,169.,Jeff Bagwell+ (26),.3675,1994,R
169,169.,Wade Boggs+ (27),.3675,1985,L
170,169.,Dan Brouthers+ (24),.3675,1882,L
171,172.,Dale Alexander (29),.3673,1932,R
172,173.,Elmer Flick+ (24),.3670,1900,L
173,174.,Bob Fothergill (28),.3669,1926,R
174,175.,Babe Phelps (28),.3668,1936,L
175,176.,Jim Bottomley+ (25),.3667,1925,L
176,176.,Denny Lyons (21),.3667,1887,R
177,178.,Riggs Stephenson (32),.3666,1930,R
178,179.,Steve Brodie (25),.3665,1894,L
179,179.,Harry Heilmann+ (31),.3665,1926,R
180,181.,Wade Boggs+ (30),.3664,1988,L
181,181.,Billy Hamilton+ (30),.3664,1896,L
182,183.,Pie Traynor+ (31),.3662,1930,R
183,183.,Larry Walker+ (30),.3662,1997,L
184,185.,Rico Carty (30),.3661,1970,R
185,186.,George Hall (27),.3657,1876,L
186,187.,Stan Musial+ (25),.3654,1946,L
187,188.,Joe Mauer (26),.3652,2009,L
188,189.,Eddie Collins+ (24),.3651,1911,L
189,190.,Mickey Mantle+ (25),.3650,1957,B
190,191.,Joe Kelley+ (23),.3649,1895,R
191,191.,Al Simmons+ (27),.3649,1929,R
192,193.,Chipper Jones+ (36),.3645,2008,B
193,194.,Johnny Mize+ (24),.3643,1937,L
194,195.,Joe Kelley+ (24),.3642,1896,R
195,196.,Jimmie Foxx+ (24),.3641,1932,R
196,196.,DJ LeMahieu (31),.3641,2020,R
197,198.,Rod Carew+ (28),.3639,1974,L
198,199.,Tris Speaker+ (25),.3635,1913,L
199,200.,Larry Walker+ (31),.3634,1998,L
200,201.,Jesse Burkett+ (31),.3631,1900,L
201,201.,Honus Wagner+ (31),.3631,1905,R
202,203.,Wade Boggs+ (29),.3630,1987,L
203,203.,John Olerud (24),.3630,1993,L
204,203.,Magglio Ordonez (33),.3630,2007,R
205,206.,Joe Torre+ (30),.3628,1971,R
206,206.,Chicken Wolf (28),.3628,1890,R
207,208.,Lou Gehrig+ (31),.3627,1934,L
208,209.,Harry Walker (28),.3626,1947,L
209,210.,Hugh Duffy+ (26),.3625,1893,R
210,211.,Joe Kelley+ (25),.3624,1897,R
211,212.,Willie Keeler+ (28),.3623,1900,L
212,212.,Jim O'Rourke+ (26),.3623,1877,R
