,Rank,Player (age that year),Errors Committed as SS,Year,Throws
126,125.,Larry Kopf (26),68,1917,R
127,125.,Jimmy Macullar (29),68,1884,L
128,125.,Jimmy Macullar (30),68,1885,L
129,125.,Pop Smith (32),68,1889,R
130,125.,John Ward+ (29),68,1889,R
131,125.,Zeke Wrigley (24),68,1898,
132,133.,Ed Caskin (31),67,1883,R
133,133.,Tommy Corcoran (29),67,1898,R
134,133.,Kid Elberfeld (27),67,1902,R
135,133.,Jimmy Esmond (24),67,1914,R
136,133.,Shorty Fuller (21),67,1889,R
137,133.,Jack Glasscock (31),67,1889,R
138,133.,Bill Gleason (25),67,1884,R
139,133.,Jimmy Hallinan (27),67,1876,L
140,133.,Bill Hallman (22),67,1889,R
141,133.,Herman Long (32),67,1898,R
142,133.,John McGraw+ (20),67,1893,R
143,133.,Jack Rowe (33),67,1890,R
144,133.,Germany Smith (30),67,1889,R
145,133.,Sam Wise (27),67,1885,R
146,147.,Bob Allen (25),66,1893,R
147,147.,Donie Bush (24),66,1912,R
148,147.,Joe Cassidy (22),66,1905,R
149,147.,Monte Cross (32),66,1902,R
150,147.,Bill Dahlen (32),66,1902,R
151,147.,Mickey Doolin (26),66,1906,R
152,147.,Hughie Jennings+ (27),66,1896,R
153,147.,Otto Krueger (25),66,1902,R
154,147.,Phil Lewis (21),66,1905,R
155,147.,Herman Long (24),66,1890,R
156,147.,Herman Long (31),66,1897,R
157,147.,Freddy Parent (29),66,1905,R
158,147.,Bobby Wallace+ (27),66,1901,R
159,147.,John Ward+ (31),66,1891,R
160,161.,Charlie Babb (31),65,1904,R
161,161.,Ollie Beard (28),65,1890,R
162,161.,Monte Cross (31),65,1901,R
163,161.,Bill Dahlen (23),65,1893,R
164,161.,Jack Glasscock (26),65,1884,R
165,161.,Rudy Hulswitt (25),65,1902,R
166,161.,Arthur Irwin (25),65,1883,R
167,161.,Arthur Irwin (31),65,1889,R
168,161.,Arthur Irwin (32),65,1890,R
169,161.,Rabbit Maranville+ (22),65,1914,R
170,161.,Ned Williamson (30),65,1888,R
171,172.,Dave Bancroft+ (24),64,1915,R
172,172.,Dave Bancroft+ (27),64,1918,R
173,172.,Tommy Corcoran (23),64,1892,R
174,172.,Tommy Corcoran (26),64,1895,R
175,172.,Tommy Corcoran (27),64,1896,R
176,172.,Arthur Irwin (30),64,1888,R
177,172.,Joe Tinker+ (23),64,1904,R
178,172.,Phil Tomney (27),64,1890,R
179,180.,Jack Barry (23),63,1910,R
180,180.,Art Fletcher (29),63,1914,R
181,180.,Bill Gleason (26),63,1885,R
182,180.,Hughie Jennings+ (25),63,1894,R
183,180.,Candy Nelson (36),63,1885,R
184,180.,Freddy Parent (25),63,1901,R
185,180.,Freddy Parent (28),63,1904,R
186,180.,Frank Shugart (28),63,1895,R
187,188.,Dave Bancroft+ (31),62,1922,R
188,188.,Charlie Bastian (27),62,1885,R
189,188.,Joe Cronin+ (22),62,1929,R
190,188.,Monte Cross (30),62,1900,R
191,188.,George Davis+ (26),62,1897,R
192,188.,Tom Downey (25),62,1909,R
193,188.,Kid Elberfeld (28),62,1903,R
194,188.,Bones Ely (33),62,1896,R
195,188.,Ed Holly (27),62,1907,R
196,188.,Ed McKean (25),62,1889,R
197,188.,John Richmond (29),62,1884,R
198,188.,Joe Sullivan (25),62,1895,
199,188.,Bobby Wallace+ (29),62,1903,R
200,188.,Bobby Wallace+ (31),62,1905,R
201,202.,Al Brancato (22),61,1941,R
202,202.,Bill Dahlen (34),61,1904,R
203,202.,Swede Risberg (22),61,1917,R
204,202.,Germany Smith (38),61,1897,R
205,202.,Joe Tinker+ (22),61,1903,R
206,202.,Heinie Wagner (27),61,1908,R
207,202.,Heinie Wagner (31),61,1912,R
208,202.,John Ward+ (27),61,1887,R
209,202.,Ned Williamson (29),61,1887,R
210,202.,Sam Wise (26),61,1884,R
211,212.,Dave Bancroft+ (25),60,1916,R
212,212.,Tommy Corcoran (31),60,1900,R
213,212.,Mickey Doolin (27),60,1907,R
214,212.,Bones Ely (34),60,1897,R
215,212.,Chick Fulmer (32),60,1883,R
216,212.,Sadie Houck (28),60,1884,R
217,212.,Herman Long (33),60,1899,R
218,212.,Chippy McGarr (23),60,1886,R
219,212.,John Richmond (28),60,1883,R
220,212.,Heinie Sand (27),60,1925,R
221,212.,Honus Wagner+ (31),60,1905,R
222,223.,Ray Chapman (26),59,1917,R
223,223.,Wid Conroy (24),59,1901,R
224,223.,Jack Glasscock (30),59,1888,R
225,223.,Bill Kuehne (28),59,1887,R
226,223.,Barry McCormick (26),59,1901,R
227,223.,Joe Sewell+ (24),59,1923,R
228,223.,Frank Shugart (26),59,1893,R
229,223.,Germany Smith (36),59,1895,R
230,223.,Buck Weaver (23),59,1914,R
231,232.,Donie Bush (26),58,1914,R
232,232.,George Davis+ (33),58,1904,R
233,232.,Bones Ely (36),58,1899,R
234,232.,Art Fletcher (30),58,1915,R
235,232.,Arthur Irwin (29),58,1887,R
236,232.,Travis Jackson+ (20),58,1924,R
237,232.,Jim Levey (24),58,1931,R
238,232.,George McBride (28),58,1909,R
239,232.,George McBride (29),58,1910,R
240,232.,Charley O'Leary (30),58,1906,R
241,232.,Ivy Olson (32),58,1918,R
242,232.,Bill White (24),58,1884,R
243,232.,Sam Wise (29),58,1887,R
244,245.,Donie Bush (27),57,1915,R
245,245.,Bill Dahlen (31),57,1901,R
246,245.,Henry Easterday (24),57,1889,R
247,245.,Kid Elberfeld (30),57,1905,R
248,245.,Jack Glasscock (28),57,1886,R
249,245.,Doc Lavan (27),57,1918,R
250,245.,Ed McKean (32),57,1896,R
251,245.,Freddy Parent (26),57,1902,R
252,245.,Freddy Parent (27),57,1903,R
253,245.,Fred Smith (23),57,1915,R
254,245.,Pop Smith (29),57,1886,R
255,245.,Joe Sullivan (24),57,1894,
256,245.,Bill Sweeney (24),57,1910,R
257,245.,George Van Haltren (25),57,1891,L
258,245.,Heinie Wagner (29),57,1910,R
259,245.,Sam Wise (30),57,1888,R
260,261.,Charlie Babb (30),56,1903,R
261,261.,Tom Burns (26),56,1883,R
262,261.,Donie Bush (25),56,1913,R
263,261.,Tommy Corcoran (33),56,1902,R
264,261.,Tommy Corcoran (35),56,1904,R
265,261.,Henry Easterday (25),56,1890,R
266,261.,Bill Gleason (24),56,1883,R
267,261.,Arnold Hauser (22),56,1911,R
268,261.,Rudy Hulswitt (27),56,1904,R
269,261.,Arthur Irwin (28),56,1886,R
270,261.,Hughie Jennings+ (26),56,1895,R
271,261.,Jimmy Macullar (31),56,1886,L
272,261.,George McBride (30),56,1911,R
273,261.,Candy Nelson (35),56,1884,R
274,261.,Simon Nicholls (25),56,1908,R
275,261.,Freddy Parent (30),56,1906,R
276,261.,Tommy Thevenow (26),56,1930,R
277,261.,Joe Tinker+ (24),56,1905,R
278,261.,Glenn Wright (24),56,1925,R
279,280.,Luke Appling+ (26),55,1933,R
