,Rank,Player (age that year),Runs Scored,Year,Bats
0,1.,Billy Hamilton+ (28),198,1894,L
1,2.,Tom Brown (30),177,1891,L
2,2.,Babe Ruth+ (26),177,1921,L
3,4.,Lou Gehrig+ (33),167,1936,L
4,4.,Tip O'Neill (27),167,1887,R
5,6.,Billy Hamilton+ (29),166,1895,L
6,7.,Willie Keeler+ (22),165,1894,L
7,7.,Joe Kelley+ (22),165,1894,R
8,9.,Lou Gehrig+ (28),163,1931,L
9,9.,Arlie Latham (27),163,1887,R
10,9.,Babe Ruth+ (33),163,1928,L
11,12.,Willie Keeler+ (23),162,1895,L
12,13.,Hugh Duffy+ (23),161,1890,R
13,14.,Jesse Burkett+ (27),160,1896,L
14,14.,Hugh Duffy+ (27),160,1894,R
15,14.,Fred Dunlap (25),160,1884,R
16,17.,Hughie Jennings+ (26),159,1895,R
17,18.,Chuck Klein+ (25),158,1930,L
18,18.,Bobby Lowe (28),158,1894,R
19,18.,Babe Ruth+ (25),158,1920,L
20,18.,Babe Ruth+ (32),158,1927,L
21,22.,Rogers Hornsby+ (33),156,1929,R
22,22.,John McGraw+ (21),156,1894,L
23,24.,Kiki Cuyler+ (31),155,1930,R
24,24.,King Kelly+ (28),155,1886,R
25,26.,Dan Brouthers+ (29),153,1887,L
26,26.,Jesse Burkett+ (26),153,1895,L
27,26.,Billy Hamilton+ (30),153,1896,L
28,26.,Willie Keeler+ (24),153,1896,L
29,30.,Jeff Bagwell+ (32),152,2000,R
30,30.,Woody English (24),152,1930,R
31,30.,Mike Griffin (24),152,1889,L
32,30.,Billy Hamilton+ (31),152,1897,L
33,30.,Chuck Klein+ (27),152,1932,L
34,30.,Arlie Latham (26),152,1886,R
35,30.,Lefty O'Doul (32),152,1929,L
36,30.,Al Simmons+ (28),152,1930,R
37,30.,Harry Stovey (32),152,1889,R
38,39.,Joe DiMaggio+ (22),151,1937,R
39,39.,Jimmie Foxx+ (24),151,1932,R
40,39.,Babe Ruth+ (28),151,1923,L
41,42.,Bill Dahlen (24),150,1894,R
42,42.,George Gore (32),150,1886,L
43,42.,Babe Ruth+ (35),150,1930,L
44,42.,Jake Stenzel (27),150,1894,R
45,42.,Ted Williams+ (30),150,1949,L
46,47.,Tom Brown (29),149,1890,L
47,47.,Ed Delahanty+ (27),149,1895,R
48,47.,Lou Gehrig+ (24),149,1927,L
49,47.,Herman Long (27),149,1893,L
50,47.,Babe Ruth+ (36),149,1931,L
51,52.,Ty Cobb+ (24),148,1911,L
52,52.,Hub Collins (26),148,1890,R
53,52.,Ed Delahanty+ (26),148,1894,R
54,52.,Joe Kelley+ (23),148,1895,R
55,52.,Joe Kelley+ (24),148,1896,R
56,57.,Patsy Donovan (29),147,1894,L
57,57.,Hugh Duffy+ (26),147,1893,R
58,57.,Mike Tiernan (22),147,1889,L
59,60.,Craig Biggio+ (31),146,1997,R
60,60.,Rickey Henderson+ (26),146,1985,R
61,60.,Darby O'Brien (25),146,1889,R
62,60.,Sammy Sosa (32),146,2001,R
63,60.,Hack Wilson+ (30),146,1930,R
64,65.,Jesse Burkett+ (24),145,1893,L
65,65.,Cupid Childs (25),145,1893,L
66,65.,Harlond Clift (23),145,1936,R
67,65.,Ed Delahanty+ (25),145,1893,R
68,65.,Willie Keeler+ (25),145,1897,L
69,65.,Nap Lajoie+ (26),145,1901,R
70,65.,Harry Stovey (33),145,1890,R
71,72.,Ty Cobb+ (28),144,1915,L
72,72.,Kiki Cuyler+ (26),144,1925,R
73,72.,Hugh Duffy+ (22),144,1889,R
74,72.,Charlie Gehringer+ (27),144,1930,L
75,72.,Charlie Gehringer+ (33),144,1936,L
76,72.,Billy Hamilton+ (23),144,1889,L
77,72.,Al Simmons+ (30),144,1932,R
78,79.,Jeff Bagwell+ (31),143,1999,R
79,79.,Cupid Childs (26),143,1894,L
80,79.,Earle Combs+ (33),143,1932,L
81,79.,Lenny Dykstra (30),143,1993,L
82,79.,Lou Gehrig+ (27),143,1930,L
83,79.,Hank Greenberg+ (27),143,1938,R
84,79.,Babe Herman (27),143,1930,L
85,79.,John McGraw+ (25),143,1898,L
86,79.,Alex Rodriguez (31),143,2007,R
87,79.,Red Rolfe (28),143,1937,L
88,79.,Babe Ruth+ (29),143,1924,L
89,79.,Larry Walker+ (30),143,1997,L
90,91.,Jesse Burkett+ (32),142,1901,L
91,91.,Ellis Burks (31),142,1996,R
92,91.,Mike Griffin (22),142,1887,L
93,91.,Paul Waner+ (25),142,1928,L
94,91.,Ted Williams+ (27),142,1946,L
95,96.,Billy Hamilton+ (25),141,1891,L
96,96.,Rogers Hornsby+ (26),141,1922,R
97,96.,Alex Rodriguez (20),141,1996,R
98,96.,Ted Williams+ (23),141,1942,L
99,100.,Earl Averill+ (29),140,1931,L
