,Rank,Player (age that year),Bases on Balls,Year,Bats
0,1.,Barry Bonds (39),232,2004,L
1,2.,Barry Bonds (37),198,2002,L
2,3.,Barry Bonds (36),177,2001,L
3,4.,Babe Ruth+ (28),170,1923,L
4,5.,Mark McGwire (34),162,1998,R
5,5.,Ted Williams+ (28),162,1947,L
6,5.,Ted Williams+ (30),162,1949,L
7,8.,Ted Williams+ (27),156,1946,L
8,9.,Barry Bonds (31),151,1996,L
9,9.,Eddie Yost (29),151,1956,R
10,11.,Babe Ruth+ (25),150,1920,L
11,12.,Jeff Bagwell+ (31),149,1999,R
12,12.,Eddie Joost (33),149,1949,R
13,14.,Barry Bonds (38),148,2003,L
14,14.,Eddie Stanky (29),148,1945,R
15,14.,Jim Wynn (27),148,1969,R
16,17.,Jimmy Sheckard (32),147,1911,L
17,17.,Ted Williams+ (22),147,1941,L
18,19.,Mickey Mantle+ (25),146,1957,B
19,20.,Barry Bonds (32),145,1997,L
20,20.,Harmon Killebrew+ (33),145,1969,R
21,20.,Babe Ruth+ (26),145,1921,L
22,20.,Ted Williams+ (23),145,1942,L
23,24.,Babe Ruth+ (31),144,1926,L
24,24.,Eddie Stanky (34),144,1950,R
25,24.,Ted Williams+ (32),144,1951,L
26,27.,Joey Votto (31),143,2015,L
27,28.,Babe Ruth+ (29),142,1924,L
28,28.,Gary Sheffield (27),142,1996,R
29,30.,Eddie Yost (23),141,1950,R
30,31.,Frank Thomas+ (23),138,1991,R
31,32.,Roy Cullenbine (33),137,1947,B
32,32.,Jason Giambi (29),137,2000,L
33,32.,Ralph Kiner+ (28),137,1951,R
34,32.,Willie McCovey+ (32),137,1970,L
35,32.,Babe Ruth+ (32),137,1927,L
36,32.,Babe Ruth+ (33),137,1928,L
37,32.,Eddie Stanky (30),137,1946,R
38,39.,Jack Clark (31),136,1987,R
39,39.,Jack Crooks (26),136,1892,R
40,39.,Ferris Fain (28),136,1949,L
41,39.,Babe Ruth+ (35),136,1930,L
42,39.,Frank Thomas+ (27),136,1995,R
43,39.,Ted Williams+ (35),136,1954,L
44,45.,Jeff Bagwell+ (28),135,1996,R
45,45.,Brian Giles (31),135,2002,L
46,45.,Joey Votto (29),135,2013,L
47,45.,Eddie Yost (32),135,1959,R
48,49.,Joey Votto (33),134,2017,L
49,50.,Ferris Fain (29),133,1950,L
50,50.,Mark McGwire (35),133,1999,R
51,52.,Jose Bautista (30),132,2011,R
52,52.,Barry Bonds (42),132,2007,L
53,52.,Jack Clark (33),132,1989,R
54,52.,Lou Gehrig+ (32),132,1935,L
55,52.,Frank Howard (33),132,1970,R
56,52.,Joe Morgan+ (31),132,1975,L
57,52.,Tony Phillips (34),132,1993,B
58,59.,Bob Elliott (31),131,1948,R
59,59.,Harmon Killebrew+ (31),131,1967,R
60,59.,Eddie Yost (27),131,1954,R
61,62.,Barry Bonds (33),130,1998,L
62,62.,Lou Gehrig+ (33),130,1936,L
63,62.,Bryce Harper (25),130,2018,L
64,62.,Babe Ruth+ (37),130,1932,L
65,66.,Lenny Dykstra (30),129,1993,L
66,66.,Jason Giambi (30),129,2001,L
67,66.,Jason Giambi (32),129,2003,L
68,66.,Mickey Mantle+ (26),129,1958,B
69,66.,Eddie Yost (25),129,1952,R
70,71.,Max Bishop (29),128,1929,L
71,71.,Max Bishop (30),128,1930,L
72,71.,Adam Dunn (22),128,2002,L
73,71.,Billy Hamilton+ (28),128,1894,L
74,71.,Harmon Killebrew+ (34),128,1970,R
75,71.,Babe Ruth+ (36),128,1931,L
76,71.,Mike Schmidt+ (33),128,1983,R
77,71.,Carl Yastrzemski+ (30),128,1970,L
78,79.,Bobby Abreu (30),127,2004,L
79,79.,Jeff Bagwell+ (29),127,1997,R
80,79.,Lance Berkman (28),127,2004,B
81,79.,Lu Blue (34),127,1931,B
82,79.,Barry Bonds (27),127,1992,L
83,79.,Lou Gehrig+ (34),127,1937,L
84,79.,Todd Helton (30),127,2004,L
85,79.,Aaron Judge (25),127,2017,R
86,79.,Eddie Stanky (35),127,1951,R
87,79.,Jim Thome+ (28),127,1999,L
88,79.,Jim Wynn (34),127,1976,R
89,90.,Lu Blue (32),126,1929,B
90,90.,Barry Bonds (28),126,1993,L
91,90.,Darrell Evans (27),126,1974,L
92,90.,Rickey Henderson+ (30),126,1989,R
93,90.,Chipper Jones+ (27),126,1999,B
94,90.,Mickey Mantle+ (29),126,1961,B
95,90.,Ted Williams+ (29),126,1948,L
96,90.,Eddie Yost (24),126,1951,R
97,98.,Richie Ashburn+ (27),125,1954,L
98,98.,Wade Boggs+ (30),125,1988,L
99,98.,Rickey Henderson+ (37),125,1996,R
100,98.,John Olerud (30),125,1999,L
101,98.,Tony Phillips (37),125,1996,B
102,98.,Gene Tenace (30),125,1977,R
103,98.,Eddie Yost (33),125,1960,R
104,105.,Bobby Abreu (32),124,2006,L
105,105.,Norm Cash (27),124,1961,L
106,105.,Darrell Evans (26),124,1973,L
107,105.,Bryce Harper (22),124,2015,L
108,105.,Eddie Mathews+ (31),124,1963,L
109,105.,John McGraw+ (26),124,1899,L
110,111.,Carlos Delgado (28),123,2000,L
111,111.,Bill Joyce (22),123,1890,L
112,111.,Edgar Martinez+ (33),123,1996,R
113,111.,Ken Singleton (26),123,1973,B
114,111.,Jim Thome+ (25),123,1996,L
115,111.,Eddie Yost (26),123,1953,R
116,117.,Luke Appling+ (28),122,1935,R
117,117.,Adam Dunn (28),122,2008,L
118,117.,Lou Gehrig+ (26),122,1929,L
119,117.,Eddie Joost (36),122,1952,R
120,117.,Ralph Kiner+ (27),122,1950,R
121,117.,Mickey Mantle+ (30),122,1962,B
122,117.,John Mayberry (24),122,1973,L
123,117.,Jimmy Sheckard (33),122,1912,L
124,117.,Mickey Tettleton (31),122,1992,B
125,117.,Frank Thomas+ (24),122,1992,R
126,117.,Jim Thome+ (31),122,2002,L
127,117.,Mike Trout (26),122,2018,R
128,129.,Luke Appling+ (42),121,1949,R
129,129.,Jack Crooks (27),121,1893,R
130,129.,Roy Cullenbine (27),121,1941,B
131,129.,Topsy Hartsel (31),121,1905,L
132,129.,Von Hayes (28),121,1987,L
133,129.,Willie McCovey+ (31),121,1969,L
134,129.,Darrell Porter (27),121,1979,L
135,129.,Gary Sheffield (28),121,1997,R
136,137.,Barry Bonds (30),120,1995,L
137,137.,Cupid Childs (25),120,1893,L
138,137.,Rickey Henderson+ (34),120,1993,R
139,137.,Eddie Lake (31),120,1947,R
140,137.,Joe Morgan+ (30),120,1974,L
141,137.,Mike Schmidt+ (29),120,1979,R
142,137.,Jim Thome+ (26),120,1997,L
143,144.,Alex Bregman (25),119,2019,R
144,144.,Jay Buhner (32),119,1997,R
145,144.,Dolph Camilli (31),119,1938,L
146,144.,Eddie Collins+ (28),119,1915,L
147,144.,Elbie Fletcher (24),119,1940,L
148,144.,Jimmie Foxx+ (30),119,1938,R
149,144.,Brian Giles (34),119,2005,L
150,144.,Adrian Gonzalez (27),119,2009,L
151,144.,Hank Greenberg+ (27),119,1938,R
152,144.,Eddie Joost (32),119,1948,R
153,144.,Edgar Martinez+ (34),119,1997,R
154,144.,John Mayberry (26),119,1975,L
155,144.,Fred McGriff (25),119,1989,L
156,144.,David Ortiz (30),119,2006,L
157,144.,Willie Randolph (25),119,1980,R
158,144.,Earl Torgeson (26),119,1950,L
159,144.,Elmer Valo (28),119,1949,L
160,144.,Ted Williams+ (38),119,1957,L
161,144.,Carl Yastrzemski+ (28),119,1968,L
162,163.,Sal Bando (26),118,1970,R
163,163.,Donie Bush (27),118,1915,B
164,163.,Harlond Clift (25),118,1938,R
165,163.,Ty Cobb+ (28),118,1915,L
166,163.,J.D. Drew (28),118,2004,L
167,163.,Elbie Fletcher (25),118,1941,L
168,163.,Paul Goldschmidt (27),118,2015,R
169,163.,Rickey Henderson+ (39),118,1998,R
170,163.,Mel Ott+ (29),118,1938,L
171,163.,Yank Robinson (29),118,1889,R
172,163.,Burt Shotton (30),118,1915,L
