,Rank,Player (age that year),Strikeouts per 9 IP,Year,Throws
451,452.,Brandon Webb (24),8.5683,2003,R
452,453.,Mat Latos (23),8.5678,2011,R
453,454.,Ramon Martinez (22),8.5647,1990,R
454,455.,Tom Seaver+ (27),8.5534,1972,R
455,456.,Felix Hernandez (25),8.5506,2011,R
456,457.,Jon Lester (27),8.5461,2011,L
457,458.,Dick Selma (25),8.5437,1969,R
458,459.,Chuck Finley (35),8.5433,1998,L
459,460.,CC Sabathia (20),8.5342,2001,L
460,461.,Brady Singer (23),8.5337,2020,R
461,462.,A.J. Burnett (28),8.5263,2005,R
462,463.,Felix Hernandez (29),8.5240,2015,R
463,464.,Marco Estrada (33),8.5161,2017,R
464,464.,Bud Norris (26),8.5161,2011,R
465,466.,Robert Person (30),8.5154,2000,R
466,467.,Chuck Finley (34),8.5061,1997,L
467,468.,Ryan Dempster (34),8.4959,2011,R
468,469.,Jeremy Bonderman (23),8.4953,2006,R
469,470.,Bob Veale (33),8.4948,1969,L
470,471.,Sterling Hitchcock (28),8.4895,1999,L
471,472.,Sonny Gray (27),8.4825,2017,R
472,473.,John Maine (26),8.4817,2007,R
473,474.,Steve Carlton+ (36),8.4789,1981,L
474,475.,A.J. Burnett (32),8.4783,2009,R
475,476.,Zack Greinke (28),8.4772,2012,R
476,477.,Roy Halladay+ (34),8.4736,2011,R
477,478.,John Smoltz+ (30),8.4727,1997,R
478,479.,Andy Benes (27),8.4716,1995,R
479,480.,Aaron Harang (29),8.4691,2007,R
480,481.,Steve Carlton+ (35),8.4671,1980,L
481,482.,Mike Scott (32),8.4670,1987,R
482,483.,Dave Burba (33),8.4669,2000,R
483,484.,Ian Kennedy (31),8.4634,2016,R
484,484.,Max Scherzer (25),8.4634,2010,R
485,486.,Randy Johnson+ (44),8.4620,2008,L
486,487.,Mark Langston (28),8.4600,1989,L
487,488.,Floyd Bannister (30),8.4589,1985,L
488,489.,Hal Newhouser+ (25),8.4567,1946,L
489,490.,Nolan Ryan+ (34),8.4564,1981,R
490,491.,Nolan Ryan+ (28),8.4545,1975,R
491,492.,Kevin Brown (35),8.4522,2000,R
492,493.,Matt Cain (21),8.4493,2006,R
493,494.,Tom Gordon (21),8.4479,1989,R
494,495.,Patrick Corbin (27),8.4464,2017,L
495,496.,Rich Hill (27),8.4462,2007,L
496,497.,Wandy Rodriguez (30),8.4457,2009,L
497,498.,Marco Estrada (32),8.4375,2016,R
498,498.,Chuck Finley (36),8.4375,1999,L
499,500.,Josh Beckett (29),8.4349,2009,R
