,Rank,Player (age that year),Slugging %,Year,Bats
0,1.,Barry Bonds (36),.8634,2001,L
1,2.,Babe Ruth+ (25),.8472,1920,L
2,3.,Babe Ruth+ (26),.8463,1921,L
3,4.,Barry Bonds (39),.8123,2004,L
4,5.,Barry Bonds (37),.7990,2002,L
5,6.,Babe Ruth+ (32),.7722,1927,L
6,7.,Lou Gehrig+ (24),.7654,1927,L
7,8.,Babe Ruth+ (28),.7644,1923,L
8,9.,Rogers Hornsby+ (29),.7560,1925,R
9,10.,Mark McGwire (34),.7525,1998,R
10,11.,Jeff Bagwell+ (26),.7500,1994,R
11,12.,Barry Bonds (38),.7487,2003,L
12,12.,Jimmie Foxx+ (24),.7487,1932,R
13,14.,Babe Ruth+ (29),.7391,1924,L
14,15.,Babe Ruth+ (31),.7374,1926,L
15,16.,Sammy Sosa (32),.7366,2001,R
16,17.,Ted Williams+ (22),.7346,1941,L
17,18.,Babe Ruth+ (35),.7317,1930,L
18,19.,Ted Williams+ (38),.7310,1957,L
19,20.,Mark McGwire (32),.7305,1996,R
20,21.,Frank Thomas+ (26),.7293,1994,R
21,22.,Hack Wilson+ (30),.7231,1930,R
22,23.,Rogers Hornsby+ (26),.7223,1922,R
23,24.,Lou Gehrig+ (27),.7212,1930,L
24,25.,Larry Walker+ (30),.7201,1997,L
25,26.,Albert Belle (27),.7136,1994,R
26,27.,Larry Walker+ (32),.7100,1999,L
27,28.,Babe Ruth+ (33),.7090,1928,L
28,29.,Al Simmons+ (28),.7076,1930,R
29,30.,Lou Gehrig+ (31),.7064,1934,L
30,31.,Mickey Mantle+ (24),.7054,1956,B
31,32.,Jimmie Foxx+ (30),.7044,1938,R
32,33.,Jimmie Foxx+ (25),.7033,1933,R
33,34.,Stan Musial+ (27),.7021,1948,L
34,35.,Babe Ruth+ (36),.7004,1931,L
35,36.,Todd Helton (26),.6983,2000,L
36,37.,Babe Ruth+ (34),.6974,1929,L
37,38.,Manny Ramirez (28),.6970,2000,R
38,39.,Mark McGwire (35),.6967,1999,R
39,40.,Sam Thompson+ (34),.6962,1894,L
40,41.,Lou Gehrig+ (33),.6960,1936,L
41,42.,Rogers Hornsby+ (28),.6959,1924,R
42,43.,Juan Soto (21),.6948,2020,L
43,44.,Hugh Duffy+ (27),.6939,1894,R
44,45.,Jimmie Foxx+ (31),.6938,1939,R
45,46.,Albert Belle (28),.6905,1995,R
46,46.,Tip O'Neill (27),.6905,1887,R
47,48.,Luis Gonzalez (33),.6880,2001,L
48,49.,Barry Bonds (35),.6875,2000,L
49,50.,Mickey Mantle+ (29),.6868,1961,B
50,51.,Chuck Klein+ (25),.6867,1930,L
51,52.,Todd Helton (27),.6848,2001,L
52,53.,Hank Greenberg+ (27),.6835,1938,R
53,54.,Kevin Mitchell (32),.6806,1994,R
54,55.,Rogers Hornsby+ (33),.6794,1929,R
55,56.,Babe Herman (27),.6775,1930,L
56,57.,Barry Bonds (28),.6772,1993,L
57,58.,Jim Thome+ (31),.6771,2002,L
58,59.,Ken Griffey Jr.+ (24),.6744,1994,L
59,60.,Joe DiMaggio+ (22),.6731,1937,R
60,61.,Babe Ruth+ (27),.6724,1922,L
61,62.,Joe DiMaggio+ (24),.6710,1939,R
62,62.,Albert Pujols (26),.6710,2006,R
63,64.,Christian Yelich (27),.6708,2019,L
64,65.,Hank Greenberg+ (29),.6702,1940,R
65,66.,Hank Aaron+ (37),.6687,1971,R
66,67.,Hank Greenberg+ (26),.6684,1937,R
67,68.,Willie Mays+ (23),.6673,1954,R
68,68.,Ted Williams+ (27),.6673,1946,L
69,70.,Albert Pujols (23),.6667,2003,R
70,71.,Mickey Mantle+ (25),.6646,1957,B
71,72.,Carlos Delgado (28),.6643,2000,L
72,73.,George Brett+ (27),.6637,1980,L
73,73.,Vladimir Guerrero+ (25),.6637,2000,R
74,75.,Manny Ramirez (27),.6628,1999,R
75,76.,Lou Gehrig+ (28),.6624,1931,L
76,77.,Larry Walker+ (34),.6620,2001,L
77,78.,Norm Cash (27),.6617,1961,L
78,79.,Derrek Lee (29),.6616,2005,R
79,80.,Babe Ruth+ (37),.6608,1932,L
80,81.,Jason Giambi (30),.6596,2001,L
81,82.,Ryan Howard (26),.6592,2006,L
82,83.,Travis Hafner (29),.6586,2006,L
83,83.,Willie Mays+ (24),.6586,1955,R
84,85.,Albert Pujols (29),.6585,2009,R
85,86.,Ralph Kiner+ (26),.6576,1949,R
86,87.,Chuck Klein+ (24),.6575,1929,L
87,88.,Babe Ruth+ (24),.6574,1919,L
88,89.,Albert Pujols (24),.6571,2004,R
89,90.,Willie McCovey+ (31),.6558,1969,L
90,91.,Albert Belle (31),.6552,1998,R
91,92.,Sam Thompson+ (35),.6543,1895,L
92,93.,Jimmie Foxx+ (26),.6531,1934,R
93,94.,Albert Pujols (28),.6527,2008,R
94,95.,Chick Hafey+ (27),.6525,1930,R
95,96.,Rudy York (23),.6507,1937,R
96,97.,Ted Williams+ (30),.6502,1949,L
97,98.,Bryce Harper (22),.6488,2015,L
98,99.,Bill Joyce (26),.6479,1894,L
99,100.,Lou Gehrig+ (25),.6477,1928,L
100,101.,Ted Williams+ (23),.6475,1942,L
101,102.,Duke Snider+ (27),.6473,1954,L
102,103.,Barry Bonds (29),.6471,1994,L
103,103.,Jason Giambi (29),.6471,2000,L
104,105.,Sammy Sosa (29),.6470,1998,R
105,106.,Manny Ramirez (30),.6468,2002,R
106,107.,Ken Griffey Jr.+ (27),.6464,1997,L
107,108.,Mark McGwire (33),.6463,1997,R
108,109.,Chuck Klein+ (27),.6462,1932,L
109,110.,Jim Gentile (27),.6461,1961,L
110,111.,Willie Stargell+ (33),.6456,1973,L
111,112.,Al Simmons+ (25),.6453,1927,R
112,113.,Willie Mays+ (34),.6452,1965,R
113,114.,Alex Rodriguez (31),.6449,2007,R
114,115.,Mike Trout (27),.6447,2019,R
115,116.,Mike Schmidt+ (31),.6441,1981,R
116,117.,Hal Trosky (23),.6439,1936,L
117,118.,Nap Lajoie+ (26),.6434,1901,R
118,119.,Joe DiMaggio+ (26),.6433,1941,R
119,119.,Juan Gonzalez (26),.6433,1996,R
120,121.,Lou Gehrig+ (34),.6432,1937,L
121,122.,Gary Sheffield (31),.6427,2000,R
122,123.,Jim Edmonds (34),.6426,2004,L
123,124.,Ted Kluszewski (29),.6422,1954,L
124,125.,Al Simmons+ (27),.6420,1929,R
125,126.,Joe Medwick+ (25),.6414,1937,R
126,127.,Al Simmons+ (29),.6413,1931,R
127,128.,Mookie Betts (25),.6404,2018,R
128,129.,Freddie Freeman (30),.6402,2020,L
129,130.,Ellis Burks (31),.6395,1996,R
130,131.,Ralph Kiner+ (24),.6389,1947,R
131,132.,Nelson Cruz (38),.6388,2019,R
132,133.,Rogers Hornsby+ (25),.6385,1921,R
133,133.,Mike Piazza+ (28),.6385,1997,R
134,135.,Brady Anderson (32),.6373,1996,L
135,136.,Frank Robinson+ (30),.6372,1966,R
136,137.,Jimmie Foxx+ (22),.6370,1930,R
137,138.,Fred Lynn (27),.6365,1979,L
138,139.,Richard Hidalgo (25),.6362,2000,R
139,139.,David Ortiz (30),.6362,2006,L
140,141.,Miguel Cabrera (30),.6360,2013,R
141,141.,Marcell Ozuna (29),.6360,2020,R
142,143.,Hank Aaron+ (25),.6359,1959,R
143,144.,Johnny Mize+ (27),.6356,1940,L
144,145.,Jimmie Foxx+ (27),.6355,1935,R
145,146.,Kevin Mitchell (27),.6354,1989,R
146,147.,Sammy Sosa (30),.6352,1999,R
147,148.,Mel Ott+ (20),.6349,1929,L
148,149.,Ted Williams+ (28),.6345,1947,L
149,150.,Sammy Sosa (31),.6341,2000,R
150,151.,Chris Davis (27),.6336,2013,L
151,152.,Josh Hamilton (29),.6332,2010,L
152,152.,Chipper Jones+ (27),.6332,1999,B
153,154.,Juan Gonzalez (23),.6325,1993,R
154,154.,Chick Hafey+ (26),.6325,1929,R
155,156.,George Sisler+ (27),.6323,1920,L
156,157.,Dick Allen (24),.6317,1966,R
157,157.,Harry Heilmann+ (28),.6317,1923,R
158,157.,Rogers Hornsby+ (32),.6317,1928,R
159,160.,Giancarlo Stanton (27),.6315,2017,R
160,161.,Ed Delahanty+ (28),.6313,1896,R
161,162.,George Foster (28),.6309,1977,R
162,163.,Jimmie Foxx+ (28),.6308,1936,R
163,164.,Alex Rodriguez (20),.6306,1996,R
164,165.,Juan Gonzalez (28),.6304,1998,R
165,166.,Rafael Palmeiro (34),.6301,1999,L
166,167.,Larry Walker+ (31),.6300,1998,L
167,168.,Gabby Hartnett+ (29),.6299,1930,R
168,169.,Todd Helton (29),.6295,2003,L
169,170.,Mike Trout (25),.6294,2017,R
170,171.,J.D. Martinez (30),.6292,2018,R
171,172.,Cody Bellinger (23),.6290,2019,L
172,173.,Adrian Beltre (25),.6288,2004,R
173,174.,Jim Bottomley+ (28),.6285,1928,L
174,174.,Mike Trout (26),.6285,2018,R
175,176.,Hank Greenberg+ (24),.6284,1935,R
176,177.,Duke Snider+ (28),.6283,1955,L
177,178.,Edgar Martinez+ (32),.6282,1995,R
178,178.,Willie Stargell+ (31),.6282,1971,L
179,180.,Ken Griffey Jr.+ (26),.6275,1996,L
180,181.,Rogers Hornsby+ (27),.6274,1923,R
181,181.,Ken Williams (32),.6274,1922,L
182,183.,Aaron Judge (25),.6273,2017,R
183,184.,Ralph Kiner+ (28),.6271,1951,R
184,184.,Duke Snider+ (26),.6271,1953,L
185,186.,Earl Averill+ (34),.6270,1936,L
186,187.,Eddie Mathews+ (21),.6269,1953,L
187,188.,Carlos Pena (29),.6265,2007,L
188,189.,Frank Thomas+ (28),.6262,1996,R
189,190.,Joe DiMaggio+ (25),.6260,1940,R
190,191.,Johnny Mize+ (26),.6259,1939,L
191,192.,Willie Mays+ (26),.6256,1957,R
192,193.,Frank Thomas+ (32),.6254,2000,R
193,194.,Jimmie Foxx+ (21),.6248,1929,R
194,195.,Gary Sheffield (27),.6243,1996,R
195,196.,Stan Musial+ (28),.6242,1949,L
196,197.,Mike Schmidt+ (30),.6241,1980,R
197,198.,Frank Robinson+ (26),.6240,1962,R
198,199.,Barry Bonds (27),.6237,1992,L
199,200.,Jim Thome+ (30),.6236,2001,L
200,201.,Alex Rodriguez (26),.6234,2002,R
201,201.,Ken Williams (33),.6234,1923,L
202,203.,Moises Alou (33),.6233,2000,R
203,204.,Albert Belle (29),.6229,1996,R
204,205.,Fred McGriff (30),.6226,1994,L
205,206.,Miguel Cabrera (27),.6223,2010,R
206,206.,Lefty O'Doul (32),.6223,1929,L
207,208.,Hank Greenberg+ (28),.6220,1939,R
208,209.,Alex Rodriguez (25),.6218,2001,R
209,209.,Carl Yastrzemski+ (27),.6218,1967,L
210,211.,Brian Giles (31),.6217,2002,L
211,212.,Jermaine Dye (32),.6215,2006,R
212,212.,George Watkins (30),.6215,1930,L
213,214.,Fred Dunlap (25),.6214,1884,R
214,215.,Lance Berkman (30),.6213,2006,B
215,216.,David Ortiz (31),.6211,2007,L
216,217.,Ken Caminiti (33),.6209,1996,B
217,218.,Lou Gehrig+ (29),.6208,1932,L
218,219.,Lance Berkman (25),.6205,2001,B
219,220.,Roger Maris (26),.6203,1961,L
220,221.,David Ortiz (40),.6201,2016,L
221,222.,Dante Bichette (31),.6200,1995,R
222,223.,Ty Cobb+ (24),.6199,1911,L
223,224.,Todd Helton (30),.6197,2004,L
224,225.,Rocky Colavito (24),.6196,1958,R
225,226.,Bill Terry+ (31),.6193,1930,L
226,227.,Manny Ramirez (34),.6192,2006,R
227,228.,Hack Wilson+ (29),.6185,1929,R
228,229.,Hank Aaron+ (28),.6182,1962,R
229,230.,Prince Fielder (23),.6178,2007,L
230,231.,Mark McGwire (23),.6176,1987,R
231,232.,Jim Edmonds (33),.6174,2003,L
232,233.,Bill Dickey+ (29),.6170,1936,L
233,234.,Jose Bautista (29),.6169,2010,R
234,235.,Ken Griffey Jr.+ (23),.6168,1993,L
235,236.,José Abreu (33),.6167,2020,R
236,236.,Ed Delahanty+ (27),.6167,1895,R
237,238.,Harry Heilmann+ (32),.6158,1927,R
238,238.,Dominic Smith (25),.6158,2020,L
239,240.,Jeff Bagwell+ (32),.6153,2000,R
240,241.,Barry Bonds (31),.6151,1996,L
241,241.,Willie Mays+ (31),.6151,1962,R
242,243.,Ripper Collins (30),.6150,1934,B
243,244.,Ted Williams+ (29),.6149,1948,L
244,245.,Wally Berger (24),.6144,1930,R
245,246.,Ernie Banks+ (27),.6143,1958,R
246,246.,Johnny Mize+ (34),.6143,1947,L
247,248.,Brian Giles (28),.6142,1999,L
248,248.,Stan Musial+ (30),.6142,1951,L
249,250.,Mike Piazza+ (31),.6141,2000,R
250,251.,Goose Goslin+ (27),.6140,1928,L
251,252.,Johnny Mize+ (25),.6139,1938,L
252,253.,Ken Williams (35),.6131,1925,L
253,254.,Dave Kingman (30),.6128,1979,R
254,255.,Manny Ramirez (32),.6127,2004,R
255,255.,Al Rosen (29),.6127,1953,R
256,257.,Willie McCovey+ (32),.6121,1970,L
257,258.,Jim Thome+ (25),.6119,1996,L
258,259.,Jack Clements (30),.6118,1895,L
259,260.,Babe Herman (26),.6116,1929,L
260,260.,Stan Musial+ (36),.6116,1957,L
261,262.,Ken Griffey Jr.+ (28),.6114,1998,L
262,263.,Frank Thomas+ (29),.6113,1997,R
263,264.,Mickey Mantle+ (23),.6112,1955,B
264,265.,Frank Robinson+ (25),.6110,1961,R
265,266.,Roy Campanella+ (31),.6108,1953,R
266,267.,Luke Voit (29),.6103,2020,R
267,268.,Albert Pujols (21),.6102,2001,R
268,269.,Alex Rodriguez (29),.6099,2005,R
269,270.,Tris Speaker+ (35),.6098,1923,L
270,271.,Albert Pujols (25),.6091,2005,R
271,272.,Stan Musial+ (32),.6088,1953,L
272,272.,Ted Williams+ (20),.6088,1939,L
273,274.,Barry Bonds (33),.6087,1998,L
274,274.,Manny Ramirez (29),.6087,2001,R
275,276.,Orlando Cepeda+ (23),.6085,1961,R
276,277.,Reggie Jackson+ (23),.6084,1969,L
277,278.,Jose Bautista (30),.6082,2011,R
278,279.,Stan Musial+ (33),.6074,1954,L
279,280.,Willie Mays+ (33),.6073,1964,R
280,280.,Jose Ramirez (27),.6073,2020,B
281,280.,Larry Walker+ (28),.6073,1995,L
282,283.,Arky Vaughan+ (23),.6072,1935,L
283,284.,Hank Aaron+ (35),.6069,1969,R
284,284.,Matt Holliday (27),.6069,2007,R
285,286.,Matt Williams (28),.6067,1994,R
286,287.,Frank Thomas+ (25),.6066,1993,R
287,288.,Alex Rodriguez (24),.6065,2000,R
288,288.,Frank Thomas+ (27),.6065,1995,R
289,290.,Harry Heilmann+ (26),.6063,1921,R
290,290.,Harmon Killebrew+ (25),.6063,1961,R
291,290.,Billy Williams+ (34),.6063,1972,L
292,293.,Miguel Cabrera (29),.6061,2012,R
293,293.,Wil Myers (29),.6061,2020,R
294,293.,Boog Powell (22),.6061,1964,L
295,296.,Mike Piazza+ (26),.6060,1995,R
296,297.,Tris Speaker+ (34),.6056,1922,L
297,298.,Lou Gehrig+ (30),.6054,1933,L
298,299.,Ted Williams+ (37),.6050,1956,L
299,300.,George Bell (27),.6049,1987,R
300,300.,Chipper Jones+ (29),.6049,2001,B
301,302.,Mickey Mantle+ (30),.6048,1962,B
302,303.,Chipper Jones+ (35),.6043,2007,B
303,304.,Hank Greenberg+ (35),.6042,1946,R
304,304.,Lefty O'Doul (33),.6042,1930,L
305,304.,Gary Sheffield (34),.6042,2003,R
306,307.,David Ortiz (29),.6040,2005,L
307,308.,Troy Glaus (23),.6039,2000,R
308,309.,Chick Hafey+ (25),.6038,1928,R
309,310.,Nomar Garciaparra (25),.6034,1999,R
310,311.,Paul O'Neill (31),.6033,1994,L
311,312.,David Ortiz (28),.6031,2004,L
312,313.,Mike Trout (28),.6030,2020,R
313,314.,Eddie Mathews+ (22),.6029,1954,L
314,315.,Dick Allen (30),.6028,1972,R
315,316.,Prince Fielder (25),.6024,2009,L
316,317.,Chuck Klein+ (28),.6023,1933,L
317,318.,Andres Galarraga (32),.6021,1993,R
318,319.,Larry Walker+ (35),.6017,2002,L
319,320.,Jeff Heath (23),.6016,1938,L
320,320.,Joe Kelley+ (22),.6016,1894,R
321,322.,Juan Gonzalez (29),.6014,1999,R
322,322.,Manny Ramirez (36),.6014,2008,R
323,324.,Eddie Mathews+ (23),.6012,1955,L
324,325.,Goose Goslin+ (29),.6010,1930,L
325,325.,Ed Morgan (26),.6010,1930,R
326,327.,Charlie Blackmon (30),.6009,2017,L
327,328.,Mel Ott+ (23),.6007,1932,L
328,329.,Andres Galarraga (35),.6006,1996,R
329,330.,Hank Greenberg+ (23),.6003,1934,R
330,331.,Hank Aaron+ (23),.6000,1957,R
331,331.,Vladimir Guerrero+ (24),.6000,1999,R
332,333.,Jim Rice+ (25),.5997,1978,R
333,333.,Alex Rodriguez (27),.5997,2003,R
334,335.,Joey Votto (26),.5996,2010,L
335,336.,Bob Hamelin (26),.5994,1994,L
336,336.,Al Simmons+ (23),.5994,1925,R
337,338.,Nomar Garciaparra (26),.5992,2000,R
338,339.,John Olerud (24),.5989,1993,L
339,339.,Manny Ramirez (26),.5989,1998,R
340,341.,Hal Trosky (21),.5984,1934,L
341,342.,Jason Giambi (31),.5982,2002,L
342,342.,Anthony Rendon (29),.5982,2019,R
343,344.,Kiki Cuyler+ (26),.5981,1925,R
344,345.,Carlos Gonzalez (24),.5980,2010,L
345,345.,Vladimir Guerrero+ (29),.5980,2004,R
346,345.,Scott Rolen (29),.5980,2004,R
347,345.,Jim Thome+ (35),.5980,2006,L
348,349.,Harry Heilmann+ (27),.5978,1922,R
349,349.,Duke Snider+ (29),.5978,1956,L
350,351.,Shawn Green (28),.5977,2001,L
351,352.,Ty Cobb+ (38),.5976,1925,L
352,352.,Joe DiMaggio+ (33),.5976,1948,R
353,352.,Christian Yelich (26),.5976,2018,L
354,355.,Reggie Jackson+ (34),.5973,1980,L
355,356.,Joe Adcock (28),.5969,1956,R
356,356.,Greg Vaughn (32),.5969,1998,R
357,358.,Ryan Braun (27),.5968,2011,R
358,359.,Jack Clark (31),.5967,1987,R
359,360.,Magglio Ordonez (28),.5966,2002,R
360,361.,Stan Musial+ (29),.5964,1950,L
361,362.,Jeff Kent (32),.5963,2000,R
362,362.,Albert Pujols (30),.5963,2010,R
363,364.,Jim Rice+ (26),.5961,1979,R
364,365.,David Justice (31),.5960,1997,L
365,366.,Ernie Banks+ (28),.5959,1959,R
366,367.,Ty Cobb+ (34),.5957,1921,L
367,368.,Ernie Banks+ (24),.5956,1955,R
