,Rank,Player (age that year),Runs Created,Year,Bats
0,1.,Barry Bonds (36),230,2001,L
1,2.,Babe Ruth+ (26),229,1921,L
2,3.,Babe Ruth+ (28),209,1923,L
3,4.,Barry Bonds (37),208,2002,L
4,4.,Lou Gehrig+ (24),208,1927,L
5,6.,Barry Bonds (39),203,2004,L
6,7.,Jimmie Foxx+ (24),202,1932,R
7,7.,Rogers Hornsby+ (26),202,1922,R
8,9.,Babe Ruth+ (32),201,1927,L
9,10.,Babe Ruth+ (25),200,1920,L
10,11.,Babe Ruth+ (29),194,1924,L
11,12.,Chuck Klein+ (25),193,1930,L
12,12.,Mark McGwire (34),193,1998,R
13,12.,Sammy Sosa (32),193,2001,R
14,15.,Lou Gehrig+ (27),192,1930,L
15,15.,Todd Helton (26),192,2000,L
16,15.,Stan Musial+ (27),192,1948,L
17,15.,Hack Wilson+ (30),192,1930,R
18,19.,Lou Gehrig+ (31),189,1934,L
19,19.,Lou Gehrig+ (33),189,1936,L
20,21.,Babe Herman (27),188,1930,L
21,21.,Rogers Hornsby+ (33),188,1929,R
22,21.,Mickey Mantle+ (24),188,1956,B
23,24.,Hugh Duffy+ (27),187,1894,R
24,24.,Larry Walker+ (30),187,1997,L
25,26.,Carlos Delgado (28),186,2000,L
26,27.,Rogers Hornsby+ (29),185,1925,R
27,27.,Babe Ruth+ (31),185,1926,L
28,29.,Babe Ruth+ (36),184,1931,L
29,30.,Jimmie Foxx+ (30),183,1938,R
30,30.,Rogers Hornsby+ (28),183,1924,R
31,30.,Lefty O'Doul (32),183,1929,L
32,30.,Babe Ruth+ (35),183,1930,L
33,30.,Ted Williams+ (22),183,1941,L
34,35.,Luis Gonzalez (33),182,2001,L
35,36.,Jimmie Foxx+ (25),180,1933,R
36,36.,Lou Gehrig+ (28),180,1931,L
37,36.,Ted Williams+ (30),180,1949,L
38,39.,Norm Cash (27),178,1961,L
39,39.,Mickey Mantle+ (25),178,1957,B
40,39.,George Sisler+ (27),178,1920,L
41,42.,Bill Terry+ (31),177,1930,L
42,43.,Albert Pujols (23),176,2003,R
43,44.,Todd Helton (27),174,2001,L
44,44.,Mickey Mantle+ (29),174,1961,B
45,46.,Tip O'Neill (27),173,1887,R
46,46.,Babe Ruth+ (33),173,1928,L
47,48.,Barry Bonds (28),172,1993,L
48,48.,Jason Giambi (29),172,2000,L
49,48.,Hank Greenberg+ (26),172,1937,R
50,51.,Joe DiMaggio+ (22),171,1937,R
51,51.,Lou Gehrig+ (34),171,1937,L
52,51.,Jason Giambi (30),171,2001,L
53,54.,Ted Williams+ (27),170,1946,L
54,55.,Ryan Howard (26),169,2006,L
55,55.,Chuck Klein+ (27),169,1932,L
56,57.,Ty Cobb+ (24),168,1911,L
57,57.,Todd Helton (29),168,2003,L
58,57.,Todd Helton (30),168,2004,L
59,57.,Ted Williams+ (23),168,1942,L
60,61.,Earl Averill+ (34),167,1936,L
61,61.,Rogers Hornsby+ (25),167,1921,R
62,61.,Derrek Lee (29),167,2005,R
63,61.,Joe Medwick+ (25),167,1937,R
64,61.,Ted Williams+ (38),167,1957,L
65,66.,Barry Bonds (38),166,2003,L
66,66.,Hank Greenberg+ (29),166,1940,R
67,66.,Alex Rodriguez (31),166,2007,R
68,66.,Al Simmons+ (28),166,1930,R
69,66.,Ted Williams+ (28),166,1947,L
70,71.,Chipper Jones+ (27),165,1999,B
71,71.,Chuck Klein+ (24),165,1929,L
72,71.,Stan Musial+ (28),165,1949,L
73,71.,Albert Pujols (29),165,2009,R
74,75.,Lou Gehrig+ (25),164,1928,L
75,75.,Hank Greenberg+ (27),164,1938,R
76,77.,Jimmie Foxx+ (28),163,1936,R
77,77.,Alex Rodriguez (29),163,2005,R
78,77.,George Sisler+ (29),163,1922,L
79,77.,Frank Thomas+ (32),163,2000,R
80,81.,Barry Bonds (31),162,1996,L
81,82.,Jeff Bagwell+ (31),161,1999,R
82,82.,Lou Gehrig+ (29),161,1932,L
83,82.,Bryce Harper (22),161,2015,L
84,82.,Edgar Martinez+ (32),161,1995,R
85,82.,John Olerud (24),161,1993,L
86,87.,Rod Carew+ (31),160,1977,L
87,87.,Mark McGwire (35),160,1999,R
88,87.,Albert Pujols (28),160,2008,R
89,87.,Frank Robinson+ (26),160,1962,R
90,87.,Duke Snider+ (27),160,1954,L
91,87.,Tris Speaker+ (35),160,1923,L
92,93.,Jimmie Foxx+ (26),159,1934,R
93,93.,Hank Greenberg+ (24),159,1935,R
94,93.,Harry Heilmann+ (26),159,1921,R
95,93.,Alex Rodriguez (25),159,2001,R
96,93.,Gary Sheffield (27),159,1996,R
97,98.,Albert Belle (31),158,1998,R
98,98.,Lance Berkman (25),158,2001,B
99,98.,Ellis Burks (31),158,1996,R
100,98.,Derek Jeter+ (25),158,1999,R
101,98.,Nap Lajoie+ (26),158,1901,R
102,98.,Manny Ramirez (27),158,1999,R
103,98.,Mo Vaughn (28),158,1996,L
104,105.,Charlie Blackmon (30),157,2017,L
105,105.,Willie Mays+ (24),157,1955,R
106,105.,Stan Musial+ (30),157,1951,L
107,105.,Albert Pujols (24),157,2004,R
108,105.,Alex Rodriguez (20),157,1996,R
109,105.,Al Simmons+ (23),157,1925,R
110,105.,Sammy Sosa (31),157,2000,R
111,105.,Carl Yastrzemski+ (30),157,1970,L
112,113.,Hank Aaron+ (25),156,1959,R
113,113.,Jeff Bagwell+ (28),156,1996,R
114,113.,Jeff Bagwell+ (32),156,2000,R
115,113.,Albert Belle (29),156,1996,R
116,113.,Mookie Betts (25),156,2018,R
117,113.,Ed Delahanty+ (31),156,1899,R
118,113.,Jimmie Foxx+ (27),156,1935,R
