,Rank,Player (age that year),Games Played,Year,Throws
143,133.,Ryan Madson (28),79,2009,R
144,133.,Gary Majewski (25),79,2005,R
145,133.,Carlos Marmol (26),79,2009,R
146,133.,Jose Mesa (40),79,2006,R
147,133.,Trever Miller (30),79,2003,L
148,133.,Peter Moylan (38),79,2017,R
149,133.,Robb Nen (31),79,2001,R
150,133.,Hector Neris (27),79,2016,R
151,133.,Bob Patterson (37),79,1996,L
152,133.,Chad Qualls (28),79,2007,R
153,133.,Dick Radatz (27),79,1964,R
154,133.,Duaner Sanchez (25),79,2005,R
155,133.,Scott Sauerbeck (31),79,2003,L
156,133.,Bryan Shaw (29),79,2017,R
157,133.,Mike Stanton (35),79,2002,L
158,133.,Scott Sullivan (28),79,1999,R
159,133.,Scott Sullivan (29),79,2000,R
160,133.,Scott Sullivan (30),79,2001,R
161,133.,Anthony Telford (33),79,1999,R
162,133.,Jonny Venters (25),79,2010,L
163,133.,Jose Veras (30),79,2011,R
164,133.,Ron Villone (35),79,2005,L
165,133.,Duane Ward (28),79,1992,R
166,167.,Ted Abernathy (35),78,1968,R
167,167.,Mitchell Boggs (28),78,2012,R
168,167.,Chad Bradford (32),78,2007,R
169,167.,Tim Burke (26),78,1985,R
170,167.,Bill Campbell (27),78,1976,R
171,167.,Tyler Clippard (25),78,2010,R
172,167.,Todd Coffey (28),78,2009,R
173,167.,Manny Corpas (24),78,2007,R
174,167.,Mark Dewey (31),78,1996,R
175,167.,Jeurys Familia (26),78,2016,R
176,167.,Pedro Feliciano (30),78,2007,L
177,167.,Rollie Fingers+ (30),78,1977,R
178,167.,Brian Fuentes (29),78,2005,L
179,167.,Buddy Groom (31),78,1997,L
180,167.,Aaron Heilman (29),78,2008,R
181,167.,Bob Howry (33),78,2007,R
182,167.,Tom Hume (27),78,1980,R
183,167.,Todd Jones (36),78,2004,R
184,167.,Steve Karsay (30),78,2002,R
185,167.,Byung-Hyun Kim (22),78,2001,R
186,167.,Steve Kline (25),78,1998,L
187,167.,Steve Kline (30),78,2003,L
188,167.,Brad Lidge (26),78,2003,R
189,167.,Brad Lidge (29),78,2006,R
190,167.,Braden Looper (27),78,2002,R
191,167.,Ryan Madson (24),78,2005,R
192,167.,Sean Marshall (28),78,2011,L
193,167.,Lance McCullers (23),78,1987,R
194,167.,Chuck McElroy (30),78,1998,L
195,167.,Mark Melancon (30),78,2015,R
196,167.,Kent Mercker (37),78,2005,L
197,167.,Jose Mijares (27),78,2012,L
198,167.,Greg Minton (30),78,1982,R
199,167.,Guillermo Mota (30),78,2004,R
200,167.,Jason Motte (29),78,2011,R
201,167.,Mike Myers (31),78,2000,L
202,167.,Joe Nathan (28),78,2003,R
203,167.,Robb Nen (28),78,1998,R
204,167.,Eric O'Flaherty (24),78,2009,L
205,167.,Eric O'Flaherty (26),78,2011,L
206,167.,Will Ohman (28),78,2006,L
207,167.,Dan Plesac (36),78,1998,L
208,167.,Ted Power (29),78,1984,R
209,167.,Francisco Rodriguez (30),78,2012,R
210,167.,Scott Sauerbeck (30),78,2002,L
211,167.,Jeff Shaw (29),78,1996,R
212,167.,Jeff Shaw (30),78,1997,R
213,167.,Scot Shields (29),78,2005,R
214,167.,Will Smith (24),78,2014,L
215,167.,Ricky Stone (27),78,2002,R
216,167.,Wander Suero (27),78,2019,R
217,167.,Kent Tekulve (33),78,1980,R
218,167.,Salomon Torres (33),78,2005,R
219,167.,Ed Vande Berg (23),78,1982,L
220,167.,Billy Wagner (31),78,2003,L
221,167.,Jamie Walker (31),78,2003,L
222,167.,Tony Watson (29),78,2014,L
223,167.,Hal Woodeshick (32),78,1965,L
224,167.,Brad Ziegler (33),78,2013,R
225,226.,Cody Allen (24),77,2013,R
226,226.,Ronald Belisario (30),77,2013,R
227,226.,Armando Benitez (26),77,1999,R
228,226.,Craig Breslow (28),77,2009,L
229,226.,Rick Camp (27),77,1980,R
230,226.,Andrew Chafin (28),77,2018,L
231,226.,Andrew Chafin (29),77,2019,L
232,226.,Francisco Cordero (31),77,2006,R
233,226.,Mark Davis (24),77,1985,L
234,226.,Octavio Dotel (30),77,2004,R
235,226.,Kyle Farnsworth (27),77,2003,R
236,226.,Eric Gagne (26),77,2002,R
237,226.,Eric Gagne (27),77,2003,R
238,226.,Luke Gregerson (28),77,2012,R
239,226.,LaTroy Hawkins (31),77,2004,R
240,226.,Xavier Hernandez (26),77,1992,R
241,226.,Charlie Hough (28),77,1976,R
242,226.,Dan Jennings (30),77,2017,L
243,226.,Barry Jones (28),77,1991,R
244,226.,Ray King (31),77,2005,L
245,226.,Gary Lavelle (35),77,1984,L
246,226.,Craig Lefferts (29),77,1987,L
247,226.,Bob Locker (29),77,1967,R
248,226.,Javier Lopez (32),77,2010,L
249,226.,Javier Lopez (37),77,2015,L
250,226.,Carlos Marmol (27),77,2010,R
251,226.,Mike Matthews (29),77,2003,L
252,226.,Butch Metzger (24),77,1976,R
253,226.,Jeff Nelson (30),77,1997,R
254,226.,Vladimir Núñez (27),77,2002,R
255,226.,Mike Perez (27),77,1992,R
256,226.,Ryan Pressly (29),77,2018,R
257,226.,Chad Qualls (26),77,2005,R
258,226.,Chad Qualls (29),77,2008,R
259,226.,Chad Qualls (32),77,2011,R
260,226.,Paul Quantrill (28),77,1997,R
261,226.,Addison Reed (28),77,2017,R
262,226.,Juan Rincon (25),77,2004,R
263,226.,Mel Rojas (30),77,1997,R
264,226.,James Russell (26),77,2012,L
265,226.,Jeff Shaw (34),77,2001,R
266,226.,Rafael Soriano (29),77,2009,R
267,226.,Scott Strickland (25),77,2001,R
268,226.,Julian Tavarez (31),77,2004,R
269,226.,Anthony Telford (32),77,1998,R
270,226.,Bobby Thigpen (26),77,1990,R
271,226.,Dick Tidrow (32),77,1979,R
272,226.,Mike Trombley (31),77,1998,R
273,226.,Derrick Turnbow (29),77,2007,R
274,226.,Mike Venafro (26),77,2000,L
275,226.,Luis Vizcaino (32),77,2007,R
276,226.,Tony Watson (30),77,2015,L
277,226.,David Weathers (33),77,2003,R
278,226.,Turk Wendell (33),77,2000,R
279,226.,Mark Wohlers (26),77,1996,R
280,226.,Travis Wood (29),77,2016,L
281,226.,Wilbur Wood (28),77,1970,L
282,226.,Tim Worrell (36),77,2004,R
283,226.,Wesley Wright (27),77,2012,L
284,226.,Brad Ziegler (32),77,2012,R
285,286.,Cody Allen (25),76,2014,R
286,286.,Jose Alvarez (29),76,2018,L
287,286.,Rod Beck (24),76,1993,R
288,286.,Matt Belisle (30),76,2010,R
289,286.,Armando Benitez (27),76,2000,R
290,286.,Blaine Boyer (26),76,2008,R
291,286.,Archie Bradley (25),76,2018,R
292,286.,Tim Byrdak (35),76,2009,L
293,286.,Matt Capps (23),76,2007,R
294,286.,Chad Cordero (25),76,2007,R
295,286.,Manny Corpas (25),76,2008,R
296,286.,Chuck Crim (27),76,1989,R
297,286.,Mike DeJean (32),76,2003,R
298,286.,Jake Diekman (32),76,2019,L
299,286.,Octavio Dotel (29),76,2003,R
300,286.,Chad Durbin (34),76,2012,R
301,286.,Kelvim Escobar (26),76,2002,R
302,286.,Jeurys Familia (24),76,2014,R
303,286.,Jeurys Familia (25),76,2015,R
304,286.,Kyle Farnsworth (25),76,2001,R
305,286.,Rollie Fingers+ (27),76,1974,R
306,286.,Pud Galvin+ (26),76,1883,R
307,286.,Jason Grimsley (35),76,2003,R
308,286.,Buddy Groom (33),76,1999,L
309,286.,Matt Guerrier (29),76,2008,R
310,286.,Mark Guthrie (34),76,2000,L
311,286.,Larry Hardy (26),76,1974,R
312,286.,Ron Herbel (32),76,1970,R
313,286.,Kelvin Herrera (22),76,2012,R
314,286.,Jared Hughes (29),76,2015,R
315,286.,Jeff Innis (29),76,1992,R
316,286.,Ray King (28),76,2002,L
317,286.,Corey Knebel (25),76,2017,R
318,286.,Mike Koplove (27),76,2004,R
319,286.,Curt Leskanic (27),76,1995,R
320,286.,Matt Lindstrom (33),76,2013,R
321,286.,Ryan Madson (27),76,2008,R
322,286.,Seth Maness (26),76,2015,R
323,286.,Tippy Martinez (32),76,1982,L
324,286.,Tom Martin (34),76,2004,L
325,286.,Jose Mesa (32),76,1998,R
326,286.,Trever Miller (34),76,2007,L
327,286.,Sid Monge (28),76,1979,L
328,286.,Guillermo Mota (29),76,2003,R
329,286.,Rob Murphy (28),76,1988,L
330,286.,Juan Nicasio (30),76,2017,R
331,286.,Seunghwan Oh (33),76,2016,R
332,286.,Bob Patterson (38),76,1997,L
333,286.,Joel Peralta (36),76,2012,R
334,286.,Old Hoss Radbourn+ (28),76,1883,R
335,286.,Chris Reitsma (27),76,2005,R
336,286.,Chris Resop (28),76,2011,R
337,286.,Saul Rivera (30),76,2008,R
338,286.,Fernando Rodney (35),76,2012,R
339,286.,Felix Rodriguez (27),76,2000,R
340,286.,Felix Rodriguez (31),76,2004,R
341,286.,Francisco Rodriguez (26),76,2008,R
342,286.,Paco Rodriguez (22),76,2013,L
343,286.,B.J. Ryan (27),76,2003,L
344,286.,B.J. Ryan (28),76,2004,L
345,286.,Tanner Scheppers (26),76,2013,R
346,286.,Rod Scurry (26),76,1982,L
347,286.,Heathcliff Slocumb (31),76,1997,R
348,286.,Joe Smith (30),76,2014,R
349,286.,Will Smith (25),76,2015,L
350,286.,Dan Spillner (25),76,1977,R
351,286.,Jerry Spradlin (30),76,1997,R
352,286.,Russ Springer (38),76,2007,R
353,286.,Craig Stammen (35),76,2019,R
354,286.,Mike Stanton (34),76,2001,L
355,286.,Pedro Strop (30),76,2015,R
356,286.,Kent Tekulve (36),76,1983,R
357,286.,Mike Timlin (38),76,2004,R
358,286.,Dave Tomlin (28),76,1977,L
359,286.,Ed Vande Berg (26),76,1985,L
360,286.,Luis Vizcaino (27),76,2002,R
361,286.,Bob Wells (32),76,1999,R
362,286.,Bob Wells (33),76,2000,R
363,286.,David West (28),76,1993,L
364,286.,Will White (24),76,1879,R
365,286.,Mitch Williams (24),76,1989,L
366,286.,Wilbur Wood (27),76,1969,L
367,286.,Tim Worrell (35),76,2003,R
368,369.,Mike Adams (32),75,2011,R
369,369.,Jeremy Affeldt (28),75,2007,L
370,369.,Juan Agosto (30),75,1988,L
371,369.,Paul Assenmacher (30),75,1991,L
372,369.,Paul Assenmacher (36),75,1997,L
373,369.,Luis Avilan (23),75,2013,L
374,369.,John Axford (29),75,2012,R
375,369.,John Axford (30),75,2013,R
376,369.,Grant Balfour (34),75,2012,R
377,369.,Kyle Barraclough (26),75,2016,R
378,369.,Joe Blanton (35),75,2016,R
379,369.,Jerry Blevins (33),75,2017,L
380,369.,Matt Bowman (26),75,2017,R
381,369.,Chad Bradford (27),75,2002,R
382,369.,Craig Breslow (29),75,2010,L
383,369.,Rex Brothers (24),75,2012,L
384,369.,Shawn Camp (30),75,2006,R
385,369.,Tyler Clippard (29),75,2014,R
386,369.,Francisco Cordero (35),75,2010,R
387,369.,Jesse Crain (23),75,2005,R
388,369.,Mike DeJean (30),75,2001,R
389,369.,Dane De La Rosa (30),75,2013,R
390,369.,Mike Dunn (28),75,2013,L
391,369.,Mike Dunn (29),75,2014,L
392,369.,Sam Dyson (27),75,2015,R
393,369.,Rollie Fingers+ (28),75,1975,R
394,369.,Brian Fuentes (27),75,2003,L
395,369.,Mike Gonzalez (35),75,2013,L
396,369.,John Grabow (30),75,2009,L
397,369.,Danny Graves (25),75,1999,R
398,369.,Buddy Groom (32),75,1998,L
