,Rank,Player (age that year),AB per HR,Year,Bats
45,45.,Jim Thome+ (30),10.73,2001,L
46,47.,Alex Rodriguez (31),10.80,2007,R
47,48.,Travis Hafner (29),10.81,2006,L
48,49.,Ken Griffey Jr.+ (24),10.83,1994,L
49,50.,Babe Ruth+ (34),10.85,1929,L
50,51.,Ken Griffey Jr.+ (27),10.86,1997,L
51,52.,Boog Powell (22),10.87,1964,L
52,53.,Willie McCovey+ (31),10.91,1969,L
53,54.,Albert Belle (28),10.92,1995,R
54,54.,Albert Pujols (26),10.92,2006,R
55,56.,Joey Gallo (23),10.95,2017,L
56,56.,Alex Rodriguez (26),10.95,2002,R
57,58.,Chris Davis (27),11.02,2013,L
58,59.,Ted Williams+ (38),11.05,1957,L
59,60.,Nelson Cruz (38),11.07,2019,R
60,61.,Ralph Kiner+ (24),11.08,1947,R
61,61.,Dave Kingman (30),11.08,1979,R
62,63.,Christian Yelich (27),11.11,2019,L
63,64.,Ken Griffey Jr.+ (26),11.12,1996,L
64,64.,Mark McGwire (28),11.12,1992,R
65,66.,Babe Ruth+ (37),11.15,1932,L
66,67.,Cecil Fielder (26),11.24,1990,R
67,68.,Pete Alonso (24),11.26,2019,R
68,68.,Ryan Howard (27),11.26,2007,L
69,70.,Jimmie Foxx+ (30),11.30,1938,R
70,70.,Ken Griffey Jr.+ (28),11.30,1998,L
71,72.,Harmon Killebrew+ (33),11.33,1969,R
72,73.,Sammy Sosa (33),11.35,2002,R
73,74.,Willie Mays+ (24),11.37,1955,R
74,74.,Mark McGwire (23),11.37,1987,R
75,76.,Mike Schmidt+ (30),11.42,1980,R
76,76.,Mike Schmidt+ (31),11.42,1981,R
77,78.,Ronald Acuna Jr. (22),11.43,2020,R
78,79.,Albert Belle (27),11.44,1994,R
79,79.,Harmon Killebrew+ (27),11.44,1963,R
80,81.,Jim Edmonds (33),11.46,2003,L
81,81.,Prince Fielder (23),11.46,2007,L
82,81.,Greg Vaughn (32),11.46,1998,R
83,84.,Andruw Jones (28),11.49,2005,R
84,84.,Johnny Mize+ (34),11.49,1947,L
85,86.,Harmon Killebrew+ (26),11.50,1962,R
86,86.,Babe Ruth+ (29),11.50,1924,L
87,88.,Juan Gonzalez (26),11.51,1996,R
88,89.,Kevin Mitchell (27),11.55,1989,R
89,89.,Manny Ramirez (28),11.55,2000,R
90,91.,Nelson Cruz (39),11.56,2020,R
91,92.,Brady Anderson (32),11.58,1996,L
92,93.,Larry Walker+ (30),11.59,1997,L
93,94.,Babe Ruth+ (27),11.60,1922,L
94,95.,Babe Ruth+ (36),11.61,1931,L
95,96.,Ralph Kiner+ (27),11.64,1950,R
96,97.,Juan Gonzalez (23),11.65,1993,R
97,97.,Gary Sheffield (31),11.65,2000,R
98,99.,Jim Thome+ (35),11.67,2006,L
99,100.,Reggie Jackson+ (23),11.68,1969,L
100,101.,Ted Kluszewski (29),11.69,1954,L
101,102.,Mike Trout (28),11.71,2020,R
102,103.,Barry Bonds (28),11.72,1993,L
103,104.,Eugenio Suarez (27),11.73,2019,R
104,105.,Jay Buhner (30),11.75,1995,R
105,106.,Harmon Killebrew+ (25),11.76,1961,R
