,Rank,Player (age that year),Fielding % as CF (s.1901),Year,Throws
396,395.,Doug Glanville (30),.9906,2001,R
397,395.,Scott Podsednik (27),.9906,2003,L
398,395.,Robin Yount+ (34),.9906,1990,R
399,400.,Billy Hamilton (26),.9905,2017,R
400,400.,Brian Hunter (26),.9905,1997,R
401,400.,Chet Lemon (30),.9905,1985,R
402,400.,Aaron Rowand (30),.9905,2008,R
403,400.,Bobby Tolan (26),.9905,1972,L
404,400.,Thurman Tucker (26),.9905,1944,R
405,400.,Andy Van Slyke (27),.9905,1988,R
406,407.,Cesar Cedeno (31),.9904,1982,R
407,407.,Johnny Damon (32),.9904,2006,L
408,407.,Otis Nixon (34),.9904,1993,R
409,407.,Amos Otis (24),.9904,1971,R
410,407.,Corey Patterson (22),.9904,2002,R
411,407.,Duke Snider+ (30),.9904,1957,R
412,407.,Denard Span (26),.9904,2010,L
413,407.,Gerald Williams (30),.9904,1997,R
414,415.,Brandon Barnes (27),.9903,2013,R
415,415.,Mike Cameron (36),.9903,2009,R
416,415.,Ray Lankford (28),.9903,1995,L
417,415.,Dwayne Murphy (25),.9903,1980,R
418,415.,Jim Piersall (27),.9903,1957,R
419,415.,Ted Uhlaender (30),.9903,1970,R
420,415.,Roy Weatherly (27),.9903,1942,R
421,422.,Bill Bruton (33),.9902,1959,R
422,422.,David DeJesus (27),.9902,2007,L
423,422.,Ruppert Jones (26),.9902,1981,L
424,422.,Bake McBride (25),.9902,1974,R
425,422.,Eddie Milner (28),.9902,1983,L
426,422.,Eddie Milner (31),.9902,1986,L
427,422.,Amos Otis (23),.9902,1970,R
428,422.,Aaron Rowand (31),.9902,2009,R
429,422.,Bernie Williams (29),.9902,1998,R
430,422.,Mookie Wilson (28),.9902,1984,R
431,432.,Joe Carter (30),.9901,1990,R
432,432.,Johnny Cooney (38),.9901,1939,L
433,432.,Bobby Estalella (34),.9901,1945,R
434,432.,Johnny Frederick (28),.9901,1930,L
435,432.,Ken Henderson (29),.9901,1975,R
436,432.,Roberto Kelly (25),.9901,1990,R
437,432.,Chris Singleton (28),.9901,2001,L
438,432.,Melvin Upton Jr. (27),.9901,2012,R
439,440.,Charlie Blackmon (29),.9900,2016,L
440,440.,Al Bumbry (33),.9900,1980,R
441,440.,Ron LeFlore (31),.9900,1979,R
442,440.,Omar Moreno (27),.9900,1980,L
443,440.,Rowland Office (25),.9900,1978,L
444,440.,Scott Podsednik (28),.9900,2004,L
445,440.,Sam West (26),.9900,1931,L
446,447.,Brett Butler (30),.9899,1987,L
447,447.,Curt Flood (24),.9899,1962,R
448,447.,Doug Glanville (29),.9899,2000,R
449,447.,Randal Grichuk (28),.9899,2020,R
450,447.,Bill Tuttle (30),.9899,1960,R
451,452.,Damon Buford (27),.9898,1997,R
452,452.,Lenny Dykstra (23),.9898,1986,L
453,452.,Ken Griffey Jr.+ (26),.9898,1996,L
454,452.,Ken Griffey Jr.+ (35),.9898,2005,L
455,452.,Marvell Wynne (24),.9898,1984,L
456,457.,Carlos Beltran (28),.9897,2005,R
457,457.,Paul Blair (29),.9897,1973,R
458,457.,Endy Chavez (25),.9897,2003,L
459,457.,Richard Hidalgo (26),.9897,2001,R
460,457.,Darren Lewis (28),.9897,1996,R
461,457.,Rick Manning (25),.9897,1980,R
462,457.,Manuel Margot (23),.9897,2018,R
463,457.,Corey Patterson (27),.9897,2007,R
464,457.,Denard Span (30),.9897,2014,L
465,457.,Vernon Wells (24),.9897,2003,R
466,457.,Willie Wilson (28),.9897,1984,R
467,468.,Eric Davis (27),.9896,1989,R
468,468.,Joe DiMaggio+ (36),.9896,1951,R
469,468.,Todd Dunwoody (23),.9896,1998,L
470,468.,Billy Hamilton (25),.9896,2016,R
471,468.,Tommy Leach (35),.9896,1913,R
472,468.,Rick Manning (28),.9896,1983,R
473,468.,Lee Mazzilli (24),.9896,1979,R
474,468.,Gary Pettis (27),.9896,1985,R
475,468.,Melvin Upton Jr. (24),.9896,2009,R
476,468.,Jerome Walton (23),.9896,1989,R
477,478.,George Altman (26),.9895,1959,R
478,478.,Paul Blair (26),.9895,1970,R
479,478.,Billy Burns (25),.9895,2015,R
480,478.,Curt Flood (31),.9895,1969,R
481,478.,Ken Griffey Jr.+ (21),.9895,1991,L
482,478.,Mickey Mantle+ (24),.9895,1956,R
483,478.,Bernie Williams (25),.9895,1994,R
484,485.,Brady Anderson (33),.9894,1997,L
485,485.,Marlon Byrd (33),.9894,2011,R
486,485.,Dave Collins (27),.9894,1980,L
487,485.,Doc Cramer (39),.9894,1945,R
488,485.,Cecil Espy (26),.9894,1989,R
489,485.,Austin Jackson (28),.9894,2015,R
490,485.,Ruppert Jones (24),.9894,1979,L
491,485.,Manuel Margot (22),.9894,2017,R
492,485.,Fred Schulte (28),.9894,1929,R
493,485.,Jigger Statz (29),.9894,1927,R
494,485.,Ryan Thompson (26),.9894,1994,R
495,496.,Michael Bourn (30),.9893,2013,R
496,496.,Jacoby Ellsbury (32),.9893,2016,L
497,496.,Steve Finley (26),.9893,1991,L
498,496.,Curtis Granderson (27),.9893,2008,R
499,496.,Bernie Williams (24),.9893,1993,R
