,Rank,Player (age that year),Putouts as OF,Year,Throws
127,123.,Mike Kreevich (32),428,1940,R
128,123.,Barney McCosky (22),428,1939,R
129,123.,Mike Trout (23),428,2015,R
130,131.,Lance Johnson (29),427,1993,L
131,131.,Chet Lemon (29),427,1984,R
132,131.,Tony Scott (27),427,1979,R
133,131.,Gorman Thomas (31),427,1982,R
134,135.,Chad Curtis (24),426,1993,R
135,135.,Rickey Henderson+ (27),426,1986,L
136,135.,Tommy Holmes (27),426,1944,L
137,135.,Lloyd Waner+ (26),426,1932,R
138,139.,Taylor Douthit (29),425,1930,R
139,139.,Johnny Groth (26),425,1953,R
140,139.,Richard Hidalgo (25),425,2000,R
141,139.,Torii Hunter (27),425,2003,R
142,139.,Lance Johnson (27),425,1991,L
143,139.,Amos Otis (27),425,1974,R
144,139.,Jim Piersall (25),425,1955,R
145,146.,Earle Combs+ (29),424,1928,R
146,146.,Ichiro Suzuki (33),424,2007,R
147,146.,Devon White (24),424,1987,R
148,149.,Vada Pinson (20),423,1959,L
149,149.,Tris Speaker+ (26),423,1914,L
150,151.,Adam Jones (24),422,2010,R
151,151.,Willie Mays+ (26),422,1957,R
152,151.,Kevin McReynolds (24),422,1984,R
153,151.,Johnny Mostil (27),422,1923,R
154,151.,Mookie Wilson (27),422,1983,R
155,151.,Robin Yount+ (34),422,1990,R
156,157.,Andy Van Slyke (31),421,1992,R
157,158.,Brett Butler (33),420,1990,L
158,158.,Dom DiMaggio (32),420,1949,R
159,158.,Roberto Kelly (25),420,1990,R
160,158.,Jim Landis (25),420,1959,R
161,158.,Kenny Lofton (25),420,1992,L
162,158.,Irv Noren (26),420,1951,L
163,158.,Bill North (27),420,1975,R
164,158.,Tim Raines+ (24),420,1984,R
165,158.,Mickey Stanley (30),420,1973,R
166,167.,Max Carey+ (26),419,1916,R
167,167.,Andre Dawson+ (27),419,1982,R
168,167.,Mike Kreevich (31),419,1939,R
169,167.,Brian McRae (24),419,1992,R
170,167.,Fred Schulte (27),419,1928,R
171,172.,Carlos Beltran (31),418,2008,R
172,172.,Terry Moore (24),418,1936,R
173,172.,Frank Thomas (25),418,1954,R
174,172.,Lloyd Waner+ (22),418,1928,R
175,172.,Chris Young (26),418,2010,R
176,177.,Rick Bosetti (24),417,1978,R
177,177.,Ty Cobb+ (37),417,1924,R
178,177.,Doc Cramer (32),417,1938,R
179,177.,Adam Eaton (27),417,2016,L
180,177.,Steve Finley (27),417,1992,L
181,177.,Rick Manning (24),417,1979,R
182,183.,Sam Chapman (25),416,1941,R
183,183.,Marquis Grissom (26),416,1993,R
184,183.,Randy Winn (30),416,2004,R
185,186.,Mike Cameron (29),415,2002,R
186,186.,Vince DiMaggio (25),415,1938,R
187,186.,Leonys Martín (26),415,2014,R
188,186.,Willie Mays+ (25),415,1956,R
189,186.,Mookie Wilson (26),415,1982,R
190,191.,Andrew McCutchen (24),414,2011,R
191,191.,Thurman Tucker (26),414,1944,R
192,193.,Dom DiMaggio (30),413,1947,R
193,193.,Joe DiMaggio+ (22),413,1937,R
194,193.,Doug Glanville (30),413,2001,R
195,193.,Franklin Gutierrez (27),413,2010,R
196,193.,Sam Jethroe (35),413,1952,R
197,193.,Andruw Jones (21),413,1998,R
198,193.,Willie McGee (31),413,1990,R
199,200.,Ethan Allen (31),412,1935,R
200,200.,Earl Averill+ (30),412,1932,R
201,200.,Bill Bruton (29),412,1955,R
202,200.,Kevin Kiermaier (25),412,2015,R
203,200.,Aaron Rowand (30),412,2008,R
204,200.,Stan Spence (31),412,1946,L
205,200.,Gerald Young (24),412,1989,R
206,207.,Earle Combs+ (28),411,1927,R
207,207.,Milt Cuyler (22),411,1991,R
208,207.,Kiddo Davis (30),411,1932,R
209,207.,Andre Dawson+ (23),411,1978,R
210,207.,Larry Doby+ (30),411,1954,R
211,207.,Chet Lemon (24),411,1979,R
212,207.,Chet Lemon (30),411,1985,R
213,214.,Earl Averill+ (32),410,1934,R
214,214.,Juan Beniquez (26),410,1976,R
215,214.,Bill Bruton (35),410,1961,R
216,214.,Mike Cameron (28),410,2001,R
217,214.,Andre Dawson+ (25),410,1980,R
218,214.,Johnny Frederick (27),410,1929,L
219,214.,Chick Fullis (32),410,1933,R
220,214.,Ender Inciarte (26),410,2017,L
221,214.,Edd Roush+ (27),410,1920,L
222,214.,Randy Winn (31),410,2005,R
223,224.,Joe DiMaggio+ (27),409,1942,R
224,224.,Ken Griffey Jr.+ (28),409,1998,L
225,224.,Baby Doll Jacobson (32),409,1923,R
226,224.,Wally Judnich (30),409,1946,L
227,224.,Omar Moreno (25),409,1978,L
228,224.,Grady Sizemore (23),409,2006,L
229,230.,Buster Adams (30),408,1945,R
230,230.,Coco Crisp (27),408,2007,R
231,230.,Cesar Geronimo (27),408,1975,L
232,230.,Tommy Holmes (26),408,1943,L
233,230.,Brian Hunter (26),408,1997,R
234,230.,Fred Lynn (26),408,1978,L
235,230.,Stan Spence (32),408,1947,L
236,230.,Willie Wilson (30),408,1986,R
237,238.,Paul Blair (25),407,1969,R
238,238.,Brett Butler (32),407,1989,L
239,238.,Rickey Henderson+ (21),407,1980,L
240,238.,Willie Mays+ (24),407,1955,R
241,238.,Dale Murphy (26),407,1982,R
242,238.,Mickey Rivers (27),407,1976,L
243,238.,Jimmy Slagle (25),407,1899,R
244,238.,Denard Span (26),407,2010,L
245,246.,Garret Anderson (27),406,1999,L
246,246.,Gus Bell (25),406,1954,R
247,246.,Chet Lemon (28),406,1983,R
248,246.,Andy Van Slyke (27),406,1988,R
249,250.,Richie Ashburn+ (23),405,1950,R
250,250.,Jose Cruz (26),405,2000,R
251,250.,Kiki Cuyler+ (27),405,1926,R
252,250.,Garry Maddox (30),405,1980,R
253,250.,Brian McRae (23),405,1991,R
254,250.,Lloyd Waner+ (28),405,1934,R
255,256.,Carlos Beltran (24),404,2001,R
256,256.,Al Bumbry (35),404,1982,R
257,256.,Mike Cameron (36),404,2009,R
258,256.,Chili Davis (22),404,1982,R
259,256.,Willie Davis (31),404,1971,L
260,256.,Andruw Jones (25),404,2002,R
261,256.,Fred Lynn (23),404,1975,L
262,256.,Amos Otis (24),404,1971,R
263,256.,Bill Virdon (28),404,1959,R
264,265.,Bill Virdon (26),403,1957,R
265,266.,Kenny Lofton (26),402,1993,L
266,266.,Juan Pierre (25),402,2003,L
267,266.,Sam West (26),402,1931,L
268,269.,Eddie Brown (34),401,1926,R
269,269.,Earle Combs+ (26),401,1925,R
270,269.,David DeJesus (27),401,2007,L
271,269.,Jim Edmonds (25),401,1995,L
272,269.,Curt Flood (25),401,1963,R
273,269.,Marquis Grissom (25),401,1992,R
274,269.,Mike Kreevich (29),401,1937,R
275,269.,Dave May (29),401,1973,R
276,269.,Vada Pinson (21),401,1960,L
277,269.,Bobby Tolan (26),401,1972,L
278,269.,Bill Virdon (27),401,1958,R
279,280.,Willie Davis (24),400,1964,L
280,280.,Curtis Granderson (28),400,2009,R
