,Rank,Player (age that year),Complete Games,Year,Throws
0,1.,Will White (24),75,1879,R
1,2.,Old Hoss Radbourn+ (29),73,1884,R
2,3.,Pud Galvin+ (26),72,1883,R
3,3.,Guy Hecker (28),72,1884,R
4,3.,Jim McCormick (23),72,1880,R
5,6.,Pud Galvin+ (27),71,1884,R
6,7.,John Clarkson+ (23),68,1885,R
7,7.,John Clarkson+ (27),68,1889,R
8,7.,Tim Keefe+ (26),68,1883,R
9,10.,Bill Hutchison (32),67,1892,R
10,11.,Jim Devlin (27),66,1876,R
11,11.,Matt Kilroy (20),66,1886,L
12,11.,Matt Kilroy (21),66,1887,L
13,11.,Old Hoss Radbourn+ (28),66,1883,R
14,11.,Toad Ramsey (21),66,1886,L
15,16.,Pud Galvin+ (22),65,1879,R
16,16.,Bill Hutchison (30),65,1890,R
17,16.,Jim McCormick (25),65,1882,R
18,19.,Silver King (20),64,1888,R
19,19.,Tony Mullane (25),64,1884,R
20,19.,Mickey Welch+ (20),64,1880,R
21,19.,Will White (28),64,1883,R
22,23.,George Bradley (23),63,1876,R
23,23.,Charlie Buffinton (23),63,1884,R
24,23.,Jim McCormick (27),63,1884,R
25,23.,Ed Morris (22),63,1885,L
26,23.,Ed Morris (23),63,1886,L
27,28.,Tim Keefe+ (29),62,1886,R
28,28.,Mickey Welch+ (24),62,1884,R
29,30.,Jim Devlin (28),61,1877,R
30,30.,Toad Ramsey (22),61,1887,L
31,32.,Jersey Bakley (24),60,1888,R
32,32.,Dupee Shaw (25),60,1884,L
33,34.,Tommy Bond (23),59,1879,R
34,34.,John Coleman (20),59,1883,R
35,34.,Hardie Henderson (22),59,1885,R
36,34.,Jim McCormick (22),59,1879,R
37,34.,Larry McKeon (18),59,1884,
38,34.,Amos Rusie+ (21),59,1892,R
39,34.,Billy Taylor (29),59,1884,R
40,34.,John Ward+ (20),59,1880,R
41,42.,Tommy Bond (21),58,1877,R
42,42.,Bill Sweeney (26),58,1884,R
43,42.,John Ward+ (19),58,1879,R
44,42.,Will White (25),58,1880,R
45,46.,Tommy Bond (22),57,1878,R
46,46.,Larry Corcoran (20),57,1880,R
47,46.,Larry Corcoran (24),57,1884,R
48,46.,Terry Larkin (23),57,1879,R
49,46.,Jim McCormick (24),57,1881,R
50,46.,Frank Mountain (23),57,1883,R
51,46.,Old Hoss Radbourn+ (31),57,1886,R
52,46.,Lee Richmond (23),57,1880,L
53,46.,Ed Seward (21),57,1888,R
54,46.,Jim Whitney (23),57,1881,R
55,56.,John Clarkson+ (25),56,1887,R
56,56.,Hugh Daily (36),56,1884,R
57,56.,Bill Hutchison (31),56,1891,R
58,56.,Tim Keefe+ (27),56,1884,R
59,56.,Terry Larkin (22),56,1878,R
60,56.,Amos Rusie+ (19),56,1890,R
61,56.,Mickey Welch+ (26),56,1886,R
62,63.,Lady Baldwin (27),55,1886,L
63,63.,George Derby (23),55,1881,R
64,63.,Dave Foutz (29),55,1886,R
65,63.,Matt Kilroy (23),55,1889,L
66,63.,Terry Larkin (21),55,1877,R
67,63.,Bobby Mathews (24),55,1876,R
68,63.,Sadie McMahon (22),55,1890,R
69,63.,Tony Mullane (27),55,1886,R
70,63.,Mickey Welch+ (25),55,1885,R
71,72.,Mark Baldwin (25),54,1889,R
72,72.,Kid Gleason (23),54,1890,R
73,72.,Tim Keefe+ (30),54,1887,R
74,72.,Ed Morris (25),54,1888,L
75,72.,Phenomenal Smith (22),54,1887,L
76,72.,Adonis Terry (19),54,1884,R
77,72.,Jim Whitney (25),54,1883,R
78,79.,Mark Baldwin (26),53,1890,R
79,79.,Ed Beatin (23),53,1890,L
80,79.,George Bradley (26),53,1879,R
81,79.,Bob Caruthers (21),53,1885,R
82,79.,John Clarkson+ (26),53,1888,R
83,79.,Jack Lynch (27),53,1884,R
84,79.,Sadie McMahon (23),53,1891,R
85,79.,Henry Porter (27),53,1885,R
86,79.,Henry Porter (30),53,1888,R
87,79.,Al Spalding+ (25),53,1876,R
88,79.,Charlie Sweeney (21),53,1884,R
89,79.,Gus Weyhing (20),53,1887,R
90,91.,Bob Barr (33),52,1890,R
91,91.,Amos Rusie+ (20),52,1891,R
92,91.,Ed Seward (20),52,1887,R
93,91.,Will White (23),52,1878,R
94,91.,Will White (27),52,1882,R
95,91.,Will White (29),52,1884,R
96,97.,Larry Corcoran (23),51,1883,R
97,97.,Guy Hecker (27),51,1883,R
98,97.,Guy Hecker (29),51,1885,R
99,97.,Tony Mullane (23),51,1882,R
100,97.,Fleury Sullivan (22),51,1884,
101,97.,Gus Weyhing (24),51,1891,R
102,103.,John Clarkson+ (24),50,1886,R
103,103.,Bert Cunningham (22),50,1888,R
104,103.,Bob Emslie (25),50,1884,R
105,103.,Hardie Henderson (21),50,1884,R
106,103.,Jack Lynch (29),50,1886,R
107,103.,Al Mays (22),50,1887,R
108,103.,Old Hoss Radbourn+ (27),50,1882,R
109,103.,Lee Richmond (24),50,1881,L
110,103.,Amos Rusie+ (22),50,1893,R
111,103.,Gus Weyhing (22),50,1889,R
112,103.,Jim Whitney (27),50,1885,R
113,114.,Tommy Bond (24),49,1880,R
114,114.,Charlie Buffinton (24),49,1885,R
115,114.,Ed Daily (22),49,1885,R
