,Rank,Player (age that year),Complete Games,Year,Throws
116,114.,Pud Galvin+ (29),49,1886,R
117,114.,Pud Galvin+ (31),49,1888,R
118,114.,Harry McCormick (23),49,1879,R
119,114.,Tony Mullane (24),49,1883,R
120,114.,Kid Nichols+ (22),49,1892,R
121,114.,Old Hoss Radbourn+ (30),49,1885,R
122,114.,Mike Smith (19),49,1887,L
123,124.,Mark Baldwin (27),48,1891,R
124,124.,Jack Chesbro+ (30),48,1904,R
125,124.,Pud Galvin+ (24),48,1881,R
126,124.,Pud Galvin+ (25),48,1882,R
127,124.,Tim Keefe+ (31),48,1888,R
128,124.,Silver King (22),48,1890,R
129,124.,Bobby Mathews (32),48,1884,R
130,124.,Henry Porter (28),48,1886,R
131,124.,Old Hoss Radbourn+ (32),48,1887,R
132,124.,Stump Weidman (25),48,1886,R
133,124.,Cy Young+ (25),48,1892,R
134,135.,Bob Barr (27),47,1884,R
135,135.,Theodore Breitenstein (26),47,1895,L
136,135.,John Clarkson+ (29),47,1891,R
137,135.,Pud Galvin+ (30),47,1887,R
138,135.,Silver King (21),47,1889,R
139,135.,Phil Knell (26),47,1891,L
140,135.,Ed Morris (21),47,1884,L
141,135.,Tony Mullane (28),47,1887,R
142,135.,Kid Nichols+ (20),47,1890,R
143,135.,Dupee Shaw (26),47,1885,L
144,135.,Mickey Welch+ (28),47,1888,R
145,146.,Theodore Breitenstein (25),46,1894,L
146,146.,Kid Carsey (18),46,1891,R
147,146.,Bob Caruthers (25),46,1889,R
148,146.,Charlie Ferguson (21),46,1884,R
149,146.,Dave Foutz (28),46,1885,R
150,146.,Pud Galvin+ (23),46,1880,R
151,146.,Frank Killen (21),46,1892,L
152,146.,Bobby Mathews (33),46,1885,R
153,146.,Hank O'Day+ (28),46,1888,R
154,146.,Harry Staley (22),46,1889,R
155,146.,Mickey Welch+ (23),46,1883,R
156,146.,Gus Weyhing (25),46,1892,R
157,146.,Jim Whitney (24),46,1882,R
158,146.,Jim Whitney (29),46,1887,R
159,160.,Mark Baldwin (28),45,1892,R
160,160.,Tommy Bond (20),45,1876,R
161,160.,Billy Crowell (21),45,1887,R
162,160.,Charlie Ferguson (22),45,1885,R
163,160.,Pretzels Getzien (24),45,1888,R
164,160.,Fred Goldsmith (26),45,1882,R
165,160.,Guy Hecker (30),45,1886,R
166,160.,Tim Keefe+ (24),45,1881,R
167,160.,Tim Keefe+ (28),45,1885,R
168,160.,Silver King (24),45,1892,R
169,160.,Kid Nichols+ (21),45,1891,R
170,160.,Billy Rhines (21),45,1890,R
171,160.,Amos Rusie+ (23),45,1894,R
172,160.,Harry Staley (23),45,1890,R
173,160.,Jack Stivetts (24),45,1892,R
174,160.,Park Swartzel (23),45,1889,R
175,160.,Sam Weaver (27),45,1883,R
176,160.,Gus Weyhing (21),45,1888,R
177,160.,Vic Willis+ (26),45,1902,R
178,179.,Al Atkinson (23),44,1884,R
179,179.,Al Atkinson (25),44,1886,R
180,179.,Ice Box Chamberlain (21),44,1889,R
181,179.,Ice Box Chamberlain (23),44,1891,R
182,179.,Pink Hawley (22),44,1895,R
183,179.,Egyptian Healy (23),44,1890,R
184,179.,Frank Killen (25),44,1896,L
185,179.,Joe McGinnity+ (32),44,1903,R
186,179.,Sadie McMahon (24),44,1892,R
187,179.,Lee Richmond (25),44,1882,L
188,179.,Scott Stratton (20),44,1890,R
189,179.,Cy Young+ (27),44,1894,R
190,191.,Jersey Bakley (20),43,1884,R
191,191.,Charlie Buffinton (27),43,1888,R
192,191.,Dan Casey (24),43,1887,L
193,191.,Ice Box Chamberlain (24),43,1892,R
194,191.,John Clarkson+ (28),43,1890,R
195,191.,Pete Conway (21),43,1888,R
196,191.,Larry Corcoran (21),43,1881,R
197,191.,Charlie Ferguson (23),43,1886,R
198,191.,Frank Foreman (26),43,1889,R
199,191.,Kid Gleason (25),43,1892,R
200,191.,Silver King (19),43,1887,R
201,191.,Jack Lynch (28),43,1885,R
202,191.,Jumbo McGinnis (28),43,1882,
203,191.,Kid Nichols+ (23),43,1893,R
204,191.,Kid Nichols+ (25),43,1895,R
205,191.,Dupee Shaw (27),43,1886,L
206,191.,Stump Weidman (21),43,1882,R
207,191.,Cy Young+ (24),43,1891,R
208,209.,Bob Caruthers (22),42,1886,R
209,209.,Bob Caruthers (24),42,1888,R
210,209.,John Clarkson+ (30),42,1892,R
211,209.,George Cobb (26),42,1892,L
212,209.,Pretzels Getzien (22),42,1886,R
213,209.,John Harkins (25),42,1884,R
214,209.,Tony Mullane (32),42,1891,R
215,209.,George Mullin (23),42,1904,R
216,209.,Amos Rusie+ (24),42,1895,R
217,209.,Jack Taylor (25),42,1898,R
218,209.,Lee Viau (21),42,1888,R
219,209.,Ed Walsh+ (27),42,1908,R
220,209.,Jim Whitney (28),42,1886,R
221,209.,Cy Young+ (26),42,1893,R
222,209.,Cy Young+ (29),42,1896,R
223,224.,Bert Cunningham (32),41,1898,R
224,224.,Hank Gastright (25),41,1890,R
225,224.,Pretzels Getzien (23),41,1887,R
226,224.,Noodles Hahn (22),41,1901,L
227,224.,Tim Keefe+ (25),41,1882,R
228,224.,Sam Kimber (31),41,1884,R
229,224.,Bobby Mathews (31),41,1883,R
230,224.,Jumbo McGinnis (29),41,1883,
231,224.,Jouett Meekin (27),41,1894,R
232,224.,Tony Mullane (29),41,1888,R
233,224.,Bill Stemmyer (21),41,1886,R
234,224.,Jack Stivetts (22),41,1890,R
235,224.,Tom Vickery (23),41,1890,R
236,224.,Sam Weaver (26),41,1882,R
237,224.,Stump Weidman (22),41,1883,R
238,224.,Cy Young+ (35),41,1902,R
239,224.,Irv Young (27),41,1905,L
240,241.,Bill Carrick (25),40,1899,R
241,241.,Dan Casey (27),40,1890,L
242,241.,Hugh Daily (35),40,1883,R
243,241.,Pud Galvin+ (28),40,1885,R
244,241.,Kid Gleason (24),40,1891,R
245,241.,Fred Goldsmith (27),40,1883,R
246,241.,Egyptian Healy (20),40,1887,R
247,241.,Mickey Hughes (21),40,1888,R
248,241.,Brickyard Kennedy (25),40,1893,R
249,241.,Silver King (23),40,1891,R
250,241.,Doc McJames (23),40,1898,R
251,241.,Frank Mountain (24),40,1884,R
252,241.,Kid Nichols+ (24),40,1894,R
253,241.,Kid Nichols+ (28),40,1898,R
254,241.,Jack Powell (24),40,1899,R
255,241.,Billy Rhines (22),40,1891,R
256,241.,Jack Stivetts (23),40,1891,R
257,241.,Mickey Welch+ (21),40,1881,R
258,241.,Cy Young+ (31),40,1898,R
259,241.,Cy Young+ (32),40,1899,R
260,241.,Cy Young+ (37),40,1904,R
261,262.,Henry Boyle (24),39,1885,R
262,262.,Bob Caruthers (23),39,1887,R
263,262.,Dan Casey (23),39,1886,L
264,262.,Bill Dinneen (26),39,1902,R
265,262.,Frank Dwyer (23),39,1891,R
266,262.,Frank Foreman (28),39,1891,R
267,262.,Pretzels Getzien (26),39,1890,R
268,262.,Clark Griffith+ (25),39,1895,R
269,262.,Henry Gruber (26),39,1890,R
270,262.,Ad Gumbert (24),39,1892,R
271,262.,George Haddock (25),39,1892,R
272,262.,Egyptian Healy (19),39,1886,R
273,262.,Hardie Henderson (20),39,1883,R
274,262.,Tim Keefe+ (32),39,1889,R
275,262.,Gus Krock (22),39,1888,R
276,262.,Tom Lovett (26),39,1890,R
277,262.,Tom Lovett (27),39,1891,R
278,262.,Al Mays (21),39,1886,R
279,262.,Joe McGinnity+ (30),39,1901,R
280,262.,Jumbo McGinnis (30),39,1884,
281,262.,Cinders O'Brien (22),39,1889,R
282,262.,Cy Seymour (25),39,1898,L
283,262.,Scott Stratton (22),39,1892,R
284,262.,Jack Taylor (25),39,1899,R
285,262.,Jack Taylor (30),39,1904,R
286,262.,Rube Waddell+ (27),39,1904,L
287,262.,Sam Weaver (22),39,1878,R
288,262.,Mickey Welch+ (27),39,1887,R
289,262.,Mickey Welch+ (29),39,1889,R
290,262.,Gus Weyhing (31),39,1898,R
291,262.,Vic Willis+ (28),39,1904,R
292,293.,Pete Alexander+ (29),38,1916,R
293,293.,Henry Boyle (28),38,1889,R
294,293.,Theodore Breitenstein (24),38,1893,L
295,293.,Larry Corcoran (22),38,1882,R
296,293.,Nig Cuppy (22),38,1892,R
297,293.,George Derby (24),38,1882,R
298,293.,Red Donahue (24),38,1897,R
299,293.,Jesse Duryea (29),38,1889,R
300,293.,Pud Galvin+ (32),38,1889,R
301,293.,Clark Griffith+ (27),38,1897,R
302,293.,Bill Hutchison (33),38,1893,R
303,293.,Walter Johnson+ (22),38,1910,R
304,293.,Oscar Jones (24),38,1904,R
305,293.,Brickyard Kennedy (30),38,1898,R
306,293.,Frank Killen (22),38,1893,L
307,293.,Frank Killen (26),38,1897,L
308,293.,John Kirby (21),38,1886,R
309,293.,Jim McCormick (29),38,1886,R
310,293.,Joe McGinnity+ (28),38,1899,R
311,293.,Joe McGinnity+ (33),38,1904,R
312,293.,Win Mercer (22),38,1896,R
313,293.,Henry Porter (29),38,1887,R
314,293.,Jack Powell (29),38,1904,R
315,293.,Harry Salisbury (27),38,1882,
316,293.,Ed Stein (22),38,1892,R
317,293.,Adonis Terry (25),38,1890,R
318,293.,Lee Viau (22),38,1889,R
319,293.,Gus Weyhing (23),38,1890,R
320,293.,Cy Young+ (34),38,1901,R
321,322.,Henry Boyle (26),37,1887,R
322,322.,Theodore Breitenstein (27),37,1896,L
323,322.,Charlie Buffinton (28),37,1889,R
324,322.,Ed Cushman (34),37,1886,L
325,322.,Ed Daily (27),37,1890,R
326,322.,Bill Dinneen (28),37,1904,R
327,322.,John Ewing (26),37,1889,R
328,322.,Pretzels Getzien (21),37,1885,R
329,322.,Kid Gleason (26),37,1893,R
330,322.,Fred Goldsmith (25),37,1881,R
331,322.,George Haddock (24),37,1891,R
332,322.,Bill Hart (30),37,1896,R
333,322.,Pink Hawley (23),37,1896,R
334,322.,Doc Landis (27),37,1882,
335,322.,Christy Mathewson+ (22),37,1903,R
336,322.,Ed Morris (24),37,1887,L
337,322.,Jack Neagle (26),37,1884,R
338,322.,Kid Nichols+ (26),37,1896,R
339,322.,Kid Nichols+ (27),37,1897,R
340,322.,Kid Nichols+ (29),37,1899,R
341,322.,The Only Nolan (22),37,1878,R
342,322.,Casey Patten (30),37,1904,L
343,322.,Eddie Plank+ (28),37,1904,L
344,322.,Toad Ramsey (23),37,1888,L
345,322.,Ben Sanders (25),37,1890,R
346,322.,Mike Smith (20),37,1888,L
347,322.,Frank Smith (29),37,1909,R
348,322.,Ed Stein (24),37,1894,R
349,322.,Dummy Taylor (26),37,1901,R
350,322.,Ed Walsh+ (26),37,1907,R
351,322.,John Ward+ (18),37,1878,R
352,322.,Jim Whitney (30),37,1888,R
353,322.,Stump Weidman (24),37,1885,R
354,322.,Irv Young (28),37,1906,L
355,356.,Pete Alexander+ (28),36,1915,R
356,356.,Henry Boyle (27),36,1888,R
357,356.,George Bradley (31),36,1884,R
358,356.,Ed Crane (29),36,1891,R
359,356.,Nig Cuppy (25),36,1895,R
360,356.,Bill Donovan (24),36,1901,R
361,356.,Bob Feller+ (27),36,1946,R
362,356.,Dave Foutz (30),36,1887,R
363,356.,Chick Fraser (22),36,1896,R
364,356.,Pretzels Getzien (25),36,1889,R
365,356.,Clark Griffith+ (28),36,1898,R
366,356.,Pink Hawley (21),36,1894,R
367,356.,Egyptian Healy (21),36,1888,R
368,356.,George Hemming (25),36,1894,R
369,356.,Nat Hudson (19),36,1888,R
370,356.,Walter Johnson+ (23),36,1911,R
371,356.,Walter Johnson+ (28),36,1916,R
372,356.,John Keefe (22),36,1890,L
373,356.,Brickyard Kennedy (29),36,1897,R
374,356.,Kid Madden (19),36,1887,L
375,356.,Christy Mathewson+ (20),36,1901,R
376,356.,Jim McCormick (26),36,1883,R
377,356.,Jim McCormick (30),36,1887,R
378,356.,Al Orth (29),36,1902,R
379,356.,Al Orth (33),36,1906,R
380,356.,Togie Pittinger (30),36,1902,R
381,356.,Jack Powell (23),36,1898,R
382,356.,Jack Powell (27),36,1902,R
383,356.,Old Hoss Radbourn+ (35),36,1890,R
384,356.,Vic Willis+ (29),36,1905,R
385,356.,Cy Young+ (28),36,1895,R
386,387.,Mark Baldwin (23),35,1887,R
387,387.,Ed Beatin (22),35,1889,L
388,387.,Bill Bernhard (33),35,1904,R
389,387.,George Bradley (24),35,1877,R
390,387.,Charlie Buffinton (26),35,1887,R
391,387.,Kid Carsey (22),35,1895,R
392,387.,Ice Box Chamberlain (19),35,1887,R
393,387.,Jack Coombs (27),35,1910,R
394,387.,Ed Crane (30),35,1892,R
395,387.,Bert Cunningham (24),35,1890,R
396,387.,Nig Cuppy (26),35,1896,R
397,387.,Denny Driscoll (27),35,1883,L
398,387.,Red Ehret (20),35,1889,R
399,387.,Red Ehret (21),35,1890,R
400,387.,Chick Fraser (27),35,1901,R
401,387.,Chick Fraser (31),35,1905,R
402,387.,Clark Griffith+ (26),35,1896,R
403,387.,Clark Griffith+ (29),35,1899,R
404,387.,Henry Gruber (27),35,1891,R
405,387.,Noodles Hahn (23),35,1902,L
406,387.,Harry Howell (28),35,1905,R
407,387.,Walter Johnson+ (27),35,1915,R
408,387.,Matt Kilroy (22),35,1888,L
409,387.,Sam Leever (27),35,1899,R
410,387.,Joe McGinnity+ (31),35,1902,R
411,387.,Sadie McMahon (25),35,1893,R
412,387.,Win Mercer (23),35,1897,R
413,387.,Roscoe Miller (24),35,1901,R
414,387.,Mike Morrison (20),35,1887,R
415,387.,George Mullin (24),35,1905,R
416,387.,George Mullin (25),35,1906,R
417,387.,George Mullin (26),35,1907,R
418,387.,Kid Nichols+ (34),35,1904,R
419,387.,Tricky Nichols (26),35,1877,R
420,387.,Hank O'Day+ (24),35,1884,R
421,387.,George Pechiney (24),35,1886,R
422,387.,Togie Pittinger (31),35,1903,R
423,387.,Togie Pittinger (32),35,1904,R
424,387.,Eddie Plank+ (29),35,1905,L
425,387.,Amos Rusie+ (26),35,1897,R
426,387.,Babe Ruth+ (22),35,1917,L
427,387.,Ed Seward (22),35,1889,R
428,387.,Willie Sudhoff (23),35,1898,R
429,387.,Jack Taylor (23),35,1896,R
430,387.,Jack Taylor (24),35,1897,R
431,387.,Adonis Terry (22),35,1887,R
432,387.,Adonis Terry (24),35,1889,R
433,387.,Jim Whitney (26),35,1884,R
434,387.,Vic Willis+ (23),35,1899,R
435,387.,Smoky Joe Wood (22),35,1912,R
436,387.,Cy Young+ (30),35,1897,R
437,438.,Pete Alexander+ (30),34,1917,R
438,438.,Charlie Buffinton (22),34,1883,R
439,438.,James Burke,34,1884,
440,438.,Dick Burns (20),34,1884,L
441,438.,Bill Carrick (27),34,1901,R
442,438.,Ice Box Chamberlain (20),34,1888,R
443,438.,Joe Corbett (21),34,1897,R
444,438.,Ed Cushman (38),34,1890,L
445,438.,Bill Donovan (26),34,1903,R
446,438.,Frank Dwyer (26),34,1894,R
447,438.,Duke Esper (25),34,1893,L
448,438.,Noodles Hahn (24),34,1903,L
449,438.,Pink Hawley (27),34,1900,R
450,438.,Claude Hendrix (25),34,1914,R
451,438.,Walter Johnson+ (24),34,1912,R
452,438.,Addie Joss+ (27),34,1907,R
453,438.,Brickyard Kennedy (26),34,1894,R
454,438.,Frank Kitson (29),34,1899,R
455,438.,Christy Mathewson+ (27),34,1908,R
456,438.,Jumbo McGinnis (32),34,1886,
457,438.,Jouett Meekin (29),34,1896,R
458,438.,Jouett Meekin (31),34,1898,R
459,438.,Tony Mullane (34),34,1893,R
460,438.,Frank Owen (24),34,1904,R
461,438.,Old Hoss Radbourn+ (26),34,1881,R
462,438.,Toad Ramsey (25),34,1890,L
463,438.,Ben Sanders (24),34,1889,R
464,438.,Billy Serad (22),34,1884,R
465,438.,Lev Shreve (22),34,1888,R
466,438.,Phenomenal Smith (23),34,1888,L
467,438.,Bill Sowders (23),34,1888,R
468,438.,Scott Stratton (23),34,1893,R
469,438.,Jesse Tannehill (23),34,1898,L
470,438.,Jack Taylor (28),34,1902,R
471,438.,Jack Taylor (31),34,1905,R
472,438.,Rube Waddell+ (26),34,1903,L
473,438.,Gus Weyhing (32),34,1899,R
474,438.,Doc White (23),34,1902,L
475,438.,Bill Wise (23),34,1884,
476,438.,Cy Young+ (36),34,1903,R
477,478.,Pete Alexander+ (33),33,1920,R
478,478.,Jersey Bakley (25),33,1889,R
479,478.,Mark Baldwin (29),33,1893,R
480,478.,Charlie Buffinton (30),33,1891,R
481,478.,Jimmy Callahan (25),33,1899,R
482,478.,Jack Chesbro+ (29),33,1903,R
483,478.,Dad Clarke (31),33,1896,R
484,478.,Jim Conway (30),33,1889,R
485,478.,Jack Cronin (30),33,1904,R
486,478.,Bert Cunningham (33),33,1899,R
487,478.,Bill Dinneen (24),33,1900,R
488,478.,Red Donahue (25),33,1898,R
489,478.,Red Donahue (28),33,1901,R
490,478.,Red Donahue (29),33,1902,R
491,478.,Cy Falkenberg (34),33,1914,R
492,478.,Burleigh Grimes+ (29),33,1923,R
493,478.,Noodles Hahn (25),33,1904,L
494,478.,John Harkins (26),33,1885,R
495,478.,John Harkins (27),33,1886,R
496,478.,Pink Hawley (24),33,1897,R
497,478.,Hardie Henderson (23),33,1886,R
498,478.,Otto Hess (27),33,1906,L
499,478.,Bill Hutchison (29),33,1889,R
500,478.,Walter Johnson+ (26),33,1914,R
501,478.,Ed Killian (28),33,1905,L
502,478.,Christy Mathewson+ (23),33,1904,R
503,478.,Stoney McGlynn (35),33,1907,R
504,478.,Doc McJames (22),33,1897,R
505,478.,Jock Menefee (26),33,1894,R
506,478.,Kid Nichols+ (31),33,1901,R
507,478.,Casey Patten (28),33,1902,L
508,478.,Big Jeff Pfeffer (24),33,1906,R
509,478.,Deacon Phillippe (27),33,1899,R
510,478.,Wiley Piatt (23),33,1898,L
511,478.,Eddie Plank+ (27),33,1903,L
512,478.,Eddie Plank+ (31),33,1907,L
513,478.,Jack Powell (26),33,1901,R
514,478.,Jack Powell (28),33,1903,R
515,478.,Robin Roberts+ (26),33,1953,R
516,478.,Amos Rusie+ (27),33,1898,R
517,478.,Jesse Tannehill (24),33,1899,L
518,478.,Jack Taylor (22),33,1895,R
519,478.,Jack Taylor (29),33,1903,R
520,478.,Dizzy Trout (29),33,1944,R
521,478.,Ed Walsh+ (29),33,1910,R
522,478.,Ed Walsh+ (30),33,1911,R
523,478.,Mickey Welch+ (30),33,1890,R
524,478.,Gus Weyhing (26),33,1893,R
525,478.,Will White (30),33,1885,R
526,478.,Kaiser Wilhelm (31),33,1908,R
527,478.,Vic Willis+ (25),33,1901,R
528,478.,Cy Young+ (40),33,1907,R
