,Rank,Player (age that year),Total Zone Runs as CF (s.1953),Year,Throws
200,175.,Mickey Rivers (27),13,1976,L
201,175.,Grady Sizemore (23),13,2006,L
202,175.,Bill Tuttle (29),13,1959,R
203,175.,Melvin Upton Jr. (24),13,2009,R
204,175.,Andy Van Slyke (28),13,1989,R
205,175.,Bill Virdon (26),13,1957,R
206,175.,Gerald Young (24),13,1989,R
207,208.,Albert Almora (24),12,2018,R
208,208.,Rich Becker (24),12,1996,L
209,208.,Paul Blair (31),12,1975,R
210,208.,Rick Bosetti (24),12,1978,R
211,208.,Peter Bourjos (27),12,2014,R
212,208.,Jackie Brandt (30),12,1964,R
213,208.,Andre Dawson+ (23),12,1978,R
214,208.,Jim Edmonds (34),12,2004,L
215,208.,Curt Flood (26),12,1964,R
216,208.,Craig Gentry (29),12,2013,R
217,208.,Tom Goodwin (31),12,2000,R
218,208.,Marquis Grissom (26),12,1993,R
219,208.,Austin Jackson (24),12,2011,R
220,208.,Adam Jones (26),12,2012,R
221,208.,Andruw Jones (30),12,2007,R
222,208.,Jacque Jones (32),12,2007,L
223,208.,Garry Maddox (25),12,1975,R
224,208.,Garry Maddox (30),12,1980,R
225,208.,Willie Mays+ (32),12,1963,R
226,208.,Brian McRae (29),12,1997,R
227,208.,Nyjer Morgan (28),12,2009,L
228,208.,Otis Nixon (34),12,1993,R
229,208.,Angel Pagan (30),12,2012,R
230,208.,Gary Pettis (27),12,1985,R
231,208.,Kevin Pillar (26),12,2015,R
232,208.,Kevin Pillar (29),12,2018,R
233,208.,Tsuyoshi Shinjo (30),12,2002,R
234,208.,Duke Snider+ (29),12,1956,R
235,208.,Mickey Stanley (25),12,1968,R
236,208.,Drew Stubbs (29),12,2014,R
237,208.,Mike Trout (27),12,2019,R
238,208.,Bill Virdon (27),12,1958,R
239,208.,Devon White (35),12,1998,R
240,208.,Chris Young (26),12,2010,R
241,242.,Tommie Agee (26),11,1969,R
242,242.,Carlos Beltran (30),11,2007,R
243,242.,Peter Bourjos (24),11,2011,R
244,242.,Jim Busby (30),11,1957,R
245,242.,Lorenzo Cain (27),11,2013,R
246,242.,Mike Cameron (25),11,1998,R
247,242.,Mike Cameron (28),11,2001,R
248,242.,Willie Davis (30),11,1970,L
249,242.,J.D. Drew (23),11,1999,R
250,242.,Todd Dunwoody (23),11,1998,L
251,242.,Jarrod Dyson (32),11,2017,R
252,242.,Steve Finley (28),11,1993,L
253,242.,Curt Flood (28),11,1966,R
254,242.,Gary Geiger (21),11,1958,R
255,242.,Ken Griffey Jr.+ (24),11,1994,L
256,242.,Ken Griffey Jr.+ (30),11,2000,L
257,242.,Ken Henderson (29),11,1975,R
258,242.,Aaron Hicks (27),11,2017,R
259,242.,Torii Hunter (33),11,2009,R
260,242.,Stan Javier (31),11,1995,R
261,242.,Jon Jay (29),11,2014,L
262,242.,Kevin Kiermaier (26),11,2016,R
263,242.,Mark Kotsay (22),11,1998,L
264,242.,Manuel Margot (24),11,2019,R
265,242.,Rick Miller (28),11,1976,L
266,242.,Eddie Milner (28),11,1983,L
267,242.,Bobby Mitchell (27),11,1982,L
268,242.,Omar Moreno (27),11,1980,L
269,242.,Jerry Mumphrey (24),11,1977,R
270,242.,Dale Murphy (24),11,1980,R
271,242.,Dwayne Murphy (27),11,1982,R
272,242.,Corey Patterson (24),11,2004,R
273,242.,Mickey Rivers (29),11,1978,L
274,242.,Aaron Rowand (24),11,2002,R
275,242.,Aaron Rowand (27),11,2005,R
276,242.,F.P. Santangelo (28),11,1996,R
277,242.,Tony Scott (25),11,1977,R
278,242.,Grady Sizemore (24),11,2007,L
279,242.,Denard Span (27),11,2011,L
280,242.,George Springer (28),11,2018,R
281,242.,Drew Stubbs (24),11,2009,R
282,242.,Ryan Thompson (25),11,1993,R
283,242.,Lee Tinsley (26),11,1995,R
284,242.,Bobby Tolan (26),11,1972,L
285,242.,Mike Trout (20),11,2012,R
286,242.,Andy Van Slyke (26),11,1987,R
287,242.,Shane Victorino (29),11,2010,R
288,242.,Jerome Walton (25),11,1991,R
289,242.,Devon White (25),11,1988,R
290,291.,Tony Armas (24),10,1978,R
291,291.,Jim Busby (31),10,1958,R
292,291.,Melky Cabrera (22),10,2007,L
293,291.,Chuck Carr (25),10,1993,R
294,291.,Ty Cline (24),10,1963,L
295,291.,Coco Crisp (32),10,2012,R
296,291.,Johnny Damon (23),10,1997,L
297,291.,Boots Day (23),10,1971,L
298,291.,David DeJesus (25),10,2005,L
299,291.,David DeJesus (26),10,2006,L
300,291.,Bobby Del Greco (29),10,1962,R
301,291.,Chuck Diering (31),10,1954,R
302,291.,Larry Doby+ (30),10,1954,R
303,291.,Steve Finley (38),10,2003,L
304,291.,Carlos Gomez (23),10,2009,R
305,291.,Marquis Grissom (30),10,1997,R
306,291.,Franklin Gutierrez (27),10,2010,R
307,291.,Jimmie Hall (25),10,1963,R
308,291.,Jimmie Hall (26),10,1964,R
309,291.,Billy Hamilton (27),10,2018,R
310,291.,Travis Jankowski (25),10,2016,R
311,291.,Jon Jay (27),10,2012,L
312,291.,Ruppert Jones (22),10,1977,L
313,291.,Juan Lagares (27),10,2016,R
314,291.,Ray Lankford (26),10,1993,L
315,291.,Chet Lemon (24),10,1979,R
316,291.,Elliott Maddox (26),10,1974,R
317,291.,Mickey Mantle+ (23),10,1955,R
318,291.,Leonys Martín (26),10,2014,R
319,291.,Luis Matos (26),10,2005,R
320,291.,Cameron Maybin (30),10,2017,R
321,291.,Calvin Murray (29),10,2001,R
322,291.,Fernando Perez (25),10,2008,R
323,291.,Gary Pettis (30),10,1988,R
324,291.,Adolfo Phillips (25),10,1967,R
325,291.,Kirby Puckett+ (25),10,1985,R
326,291.,Tony Scott (27),10,1979,R
327,291.,Denard Span (30),10,2014,L
328,291.,George Springer (29),10,2019,R
329,291.,Mickey Stanley (24),10,1967,R
330,291.,Ed Stroud (30),10,1970,R
331,291.,Mike Trout (25),10,2017,R
332,291.,Bill Virdon (28),10,1959,R
333,291.,Vernon Wells (28),10,2007,R
334,291.,Devon White (24),10,1987,R
335,291.,Randy Winn (31),10,2005,R
336,337.,Hank Aaron+ (27),9,1961,R
337,337.,Carlos Beltran (23),9,2000,R
338,337.,Juan Beniquez (24),9,1974,R
339,337.,Juan Beniquez (27),9,1977,R
340,337.,Ken Berry (24),9,1965,R
341,337.,Ken Berry (27),9,1968,R
342,337.,Jackie Bradley Jr. (24),9,2014,R
343,337.,Milton Bradley (26),9,2004,R
344,337.,Bill Bruton (35),9,1961,R
345,337.,Damon Buford (27),9,1997,R
346,337.,Al Bumbry (35),9,1982,R
347,337.,Jim Busby (29),9,1956,R
348,337.,Eric Byrnes (30),9,2006,R
349,337.,Mike Cameron (33),9,2006,R
350,337.,Chuck Carr (28),9,1996,R
351,337.,Cesar Cedeno (22),9,1973,R
352,337.,Bob Coluccio (22),9,1974,R
353,337.,Midre Cummings (25),9,1997,R
354,337.,Chad Curtis (25),9,1994,R
355,337.,Johnny Damon (27),9,2001,L
356,337.,Vic Davalillo (28),9,1968,L
357,337.,Eric Davis (25),9,1987,R
358,337.,Willie Davis (23),9,1963,L
359,337.,Willie Davis (33),9,1973,L
360,337.,Andre Dawson+ (28),9,1983,R
361,337.,Lenny Dykstra (33),9,1996,L
362,337.,Jim Edmonds (26),9,1996,L
363,337.,Jim Edmonds (32),9,2002,L
364,337.,Adam Engel (27),9,2019,R
365,337.,Carl Everett (28),9,1999,R
366,337.,Chone Figgins (25),9,2003,R
367,337.,Steve Finley (26),9,1991,L
368,337.,Dan Gladden (28),9,1986,R
369,337.,Trent Grisham (23),9,2020,L
370,337.,Darryl Hamilton (33),9,1998,R
371,337.,Josh Hamilton (28),9,2009,L
372,337.,Dave Henderson (23),9,1982,R
373,337.,Dave Henderson (29),9,1988,R
374,337.,Aaron Hicks (29),9,2019,R
375,337.,Richard Hidalgo (23),9,1998,R
376,337.,Jay Johnstone (21),9,1967,R
377,337.,Gabe Kapler (23),9,1999,R
378,337.,Matt Kemp (26),9,2011,R
379,337.,Juan Lagares (26),9,2015,R
380,337.,Ramon Laureano (25),9,2020,R
381,337.,Chet Lemon (23),9,1978,R
382,337.,Chet Lemon (30),9,1985,R
383,337.,Kenny Lofton (28),9,1995,L
384,337.,Fred Lynn (27),9,1979,L
385,337.,Steve Lyons (31),9,1991,R
386,337.,Dave Martinez (31),9,1996,L
387,337.,Leonys Martín (28),9,2016,R
388,337.,Kevin McReynolds (25),9,1985,R
389,337.,Eddie Milner (30),9,1985,L
390,337.,Nyjer Morgan (26),9,2007,L
391,337.,Lloyd Moseby (23),9,1983,R
392,337.,Dwayne Murphy (26),9,1981,R
393,337.,Gary Pettis (26),9,1984,R
394,337.,Jim Piersall (27),9,1957,R
395,337.,AJ Pollock (25),9,2013,R
396,337.,Cody Ross (27),9,2008,L
397,337.,Aaron Rowand (25),9,2003,R
398,337.,Chris Singleton (28),9,2001,L
399,337.,Reggie Smith (22),9,1967,R
400,337.,George Springer (30),9,2020,R
401,337.,Mickey Stanley (23),9,1966,R
402,337.,Ichiro Suzuki (34),9,2008,R
403,337.,Michael A. Taylor (27),9,2018,R
404,337.,Derrel Thomas (27),9,1978,R
405,337.,Derrel Thomas (28),9,1979,R
406,337.,Andres Torres (34),9,2012,R
407,337.,Del Unser (28),9,1973,L
408,337.,Bill Virdon (29),9,1960,R
409,337.,Devon White (33),9,1996,R
410,337.,Gerald Williams (29),9,1996,R
411,412.,Abraham Almonte (25),8,2014,R
412,412.,George Altman (26),8,1959,R
413,412.,Kimera Bartee (26),8,1999,R
414,412.,Cody Bellinger (24),8,2020,L
415,412.,Paul Blair (27),8,1971,R
416,412.,Barry Bonds (21),8,1986,L
417,412.,Rick Bosetti (25),8,1979,R
418,412.,Peter Bourjos (25),8,2012,R
419,412.,Ken Boyer (26),8,1957,R
420,412.,Bill Bruton (27),8,1953,R
421,412.,Damon Buford (29),8,1999,R
422,412.,Jim Busby (33),8,1960,R
423,412.,Byron Buxton (26),8,2020,R
424,412.,Jose Cardenal (27),8,1971,R
425,412.,Cesar Cedeno (23),8,1974,R
426,412.,Vic Davalillo (23),8,1963,L
427,412.,Andre Dawson+ (22),8,1977,R
428,412.,Andre Dawson+ (25),8,1980,R
429,412.,Delino DeShields (25),8,2018,R
430,412.,Steven Duggar (24),8,2018,R
431,412.,Jarrod Dyson (29),8,2014,R
432,412.,Brett Eibner (27),8,2016,R
433,412.,Jason Ellison (27),8,2005,R
434,412.,Craig Gentry (27),8,2011,R
435,412.,Doug Glanville (27),8,1998,R
436,412.,Tony Gonzalez (32),8,1969,R
437,412.,Ken Griffey Jr.+ (23),8,1993,L
438,412.,Woodie Held (25),8,1957,R
439,412.,Mike Hershberger (24),8,1964,R
440,412.,Jim Holt (26),8,1970,R
441,412.,Norris Hopper (28),8,2007,R
442,412.,Mark Kotsay (27),8,2003,L
443,412.,Mark Kotsay (28),8,2004,L
444,412.,Randy Kutcher (26),8,1986,R
445,412.,Don Landrum (29),8,1965,R
446,412.,Rudy Law (23),8,1980,L
447,412.,Fred Lynn (23),8,1975,L
448,412.,Fred Lynn (28),8,1980,L
449,412.,Elliott Maddox (27),8,1975,R
450,412.,Jake Marisnick (27),8,2018,R
451,412.,Willie McGee (25),8,1984,R
452,412.,Willie McGee (27),8,1986,R
453,412.,Rick Miller (26),8,1974,L
454,412.,Omar Moreno (30),8,1983,L
455,412.,Lloyd Moseby (22),8,1982,R
456,412.,Jerry Mumphrey (23),8,1976,R
457,412.,Jerry Mumphrey (28),8,1981,R
458,412.,Angel Pagan (27),8,2009,R
459,412.,Jay Payton (29),8,2002,R
460,412.,Wily Mo Pena (22),8,2004,R
461,412.,Tommy Pham (29),8,2017,R
462,412.,Brett Phillips (24),8,2018,R
463,412.,Terry Puhl (22),8,1979,R
464,412.,Tike Redman (27),8,2004,L
465,412.,Ruben Rivera (25),8,1999,R
466,412.,Bill Robinson (30),8,1973,R
467,412.,Aaron Rowand (33),8,2011,R
468,412.,Tony Scott (28),8,1980,R
469,412.,Grady Sizemore (21),8,2004,L
470,412.,Reggie Smith (23),8,1968,R
471,412.,Reggie Smith (26),8,1971,R
472,412.,Duke Snider+ (26),8,1953,R
473,412.,Cesar Tovar (28),8,1969,R
474,412.,Melvin Upton Jr. (22),8,2007,R
475,412.,Melvin Upton Jr. (23),8,2008,R
476,412.,Melvin Upton Jr. (26),8,2011,R
477,412.,Melvin Upton Jr. (29),8,2014,R
478,412.,Turner Ward (29),8,1994,R
479,412.,Devon White (31),8,1994,R
480,412.,Rondell White (24),8,1996,R
481,412.,Ken Williams (23),8,1987,R
482,412.,George Wright (23),8,1982,R
483,412.,Jim Wynn (33),8,1975,R
484,412.,Bradley Zimmer (24),8,2017,R
485,486.,Abraham Almonte (26),7,2015,R
486,486.,Garret Anderson (25),7,1997,L
487,486.,Dusty Baker (25),7,1974,R
488,486.,Marvin Benard (25),7,1996,L
489,486.,Ken Berry (30),7,1971,R
490,486.,Ken Berry (31),7,1972,R
491,486.,Craig Biggio+ (24),7,1990,R
492,486.,Emilio Bonifacio (29),7,2014,R
493,486.,Al Bumbry (32),7,1979,R
494,486.,Byron Buxton (25),7,2019,R
495,486.,Eric Byrnes (31),7,2007,R
496,486.,Endy Chavez (24),7,2002,L
497,486.,Bubba Crosby (28),7,2005,L
498,486.,Milt Cuyler (24),7,1993,R
499,486.,Chili Davis (23),7,1983,R
