,Rank,Player (age that year),Range Factor/9Inn as 1B,Year,Throws
0,1.,Frank Isbell (33),12.843,1909,R
1,2.,Gene Paulette (26),12.787,1917,R
2,3.,Jiggs Donahue (27),12.749,1907,L
3,4.,Jiggs Donahue (28),12.707,1908,L
4,5.,Cap Anson+ (27),12.477,1879,R
5,6.,Phil Todt (24),12.466,1926,L
6,7.,Gene Paulette (27),12.314,1918,R
7,8.,Tim Murnane (27),12.283,1878,R
8,9.,George Burns (21),12.282,1914,R
9,10.,Stuffy McInnis (27),12.197,1918,R
10,11.,Bill Phillips (31),12.172,1888,R
11,12.,George Stovall (30),12.117,1908,R
12,13.,Joe Gerhardt (21),12.065,1876,R
13,14.,George Stovall (29),12.053,1907,R
14,15.,Oscar Walker (25),12.047,1879,L
15,16.,Del Gainer (26),12.041,1913,R
16,17.,George Stovall (37),12.032,1915,R
17,18.,Tom Jones (31),11.993,1905,R
18,19.,Bill Everitt (30),11.985,1899,R
19,20.,Joe Start (35),11.956,1878,L
20,21.,Joe Start (36),11.950,1879,L
21,22.,Patsy Tebeau (31),11.935,1896,R
22,23.,Hal Chase (36),11.919,1919,L
23,24.,Jiggs Donahue (26),11.915,1906,L
24,25.,Wally Pipp (33),11.899,1926,L
25,26.,Jake Goodman (24),11.882,1878,
26,27.,High Pockets Kelly+ (24),11.877,1920,R
27,28.,Jake Daubert (40),11.875,1924,L
28,29.,Stuffy McInnis (26),11.854,1917,R
29,30.,Jiggs Donahue (25),11.832,1905,L
30,31.,Joe Start (34),11.813,1877,L
31,32.,Billy O'Brien (27),11.811,1887,R
32,33.,Herman Dehlman (24),11.803,1876,
33,34.,Chappy Lane,11.796,1882,
34,35.,Vic Saier (25),11.787,1916,R
35,36.,John Reilly (32),11.785,1891,R
36,37.,Dots Miller (27),11.781,1914,R
37,38.,George Sisler+ (25),11.780,1918,L
38,39.,Harry Davis (27),11.779,1901,R
39,40.,Claude Rossman (25),11.769,1906,L
40,41.,George Burns (25),11.768,1918,R
41,42.,Tommy Tucker (34),11.758,1898,R
42,43.,Charlie Hickman (26),11.756,1902,R
43,44.,Dots Miller (28),11.754,1915,R
44,45.,Keith Hernandez (27),11.744,1981,L
45,46.,Fred Merkle (30),11.742,1919,R
46,47.,Fred Tenney (33),11.725,1905,L
47,48.,Charlie Comiskey+ (22),11.723,1882,R
48,49.,Roy Leslie (27),11.713,1922,R
49,50.,Otto Schomberg (22),11.711,1887,L
50,51.,Tom Jones (33),11.708,1907,R
51,52.,Fred Tenney (35),11.697,1907,L
52,53.,Dick Hoblitzell (28),11.689,1917,R
53,53.,Bill Terry+ (28),11.689,1927,L
54,55.,Jake Beckley+ (38),11.683,1906,L
55,56.,Roger Connor+ (32),11.673,1890,L
56,57.,Alex McKinnon (28),11.669,1885,
57,58.,Jiggs Donahue (24),11.663,1904,L
58,59.,Joe Start (37),11.661,1880,L
59,60.,John Anderson (29),11.652,1903,R
60,61.,Wally Pipp (27),11.651,1920,L
61,62.,John Ganzel (29),11.646,1903,R
62,63.,Candy LaChance (26),11.637,1896,R
63,64.,Ed Konetchy (35),11.634,1921,R
64,65.,Charlie Carr (28),11.632,1905,R
65,66.,High Pockets Kelly+ (26),11.625,1922,R
66,67.,Cap Anson+ (33),11.616,1885,R
67,68.,Chick Gandil (28),11.613,1916,R
68,68.,Dots Miller (29),11.613,1916,R
69,70.,Phil Todt (26),11.608,1928,L
70,71.,Kitty Bransfield (29),11.602,1904,R
71,72.,John McGuinness (27),11.601,1884,
72,73.,Ed Konetchy (22),11.598,1908,R
73,74.,Dan McGann (34),11.596,1906,R
74,75.,Bill Buckner (28),11.593,1978,L
75,76.,George Burns (22),11.592,1915,R
76,77.,Joe Harris (26),11.591,1917,R
77,78.,Earl Sheely (28),11.587,1921,R
