,Rank,Player (age that year),Wins Above Replacement,Year,Bats/Throws
191,180.,Ed Seward (21),9.9,1888,
192,180.,Tris Speaker+ (26),9.9,1914,L
193,194.,Bob Feller+ (21),9.8,1940,R
194,194.,Pud Galvin+ (26),9.8,1883,R
195,194.,Nap Lajoie+ (35),9.8,1910,R
196,194.,Juan Marichal+ (28),9.8,1966,R
197,194.,Pedro Martinez+ (27),9.8,1999,R
198,194.,Jim McCormick (22),9.8,1879,R
199,194.,Ron Santo+ (27),9.8,1967,R
200,194.,George Sisler+ (27),9.8,1920,L
201,194.,Jack Taylor (28),9.8,1902,R
202,194.,Larry Walker+ (30),9.8,1997,L
203,194.,Stump Weidman (21),9.8,1882,R
204,205.,Pete Alexander+ (30),9.7,1917,R
205,205.,Bert Blyleven+ (22),9.7,1973,R
206,205.,Barry Bonds (25),9.7,1990,L
207,205.,Barry Bonds (31),9.7,1996,L
208,205.,Rod Carew+ (31),9.7,1977,L
209,205.,Eddie Cicotte (35),9.7,1919,B
210,205.,Eddie Collins+ (22),9.7,1909,L
211,205.,Bob Feller+ (20),9.7,1939,R
212,205.,Bob Feller+ (27),9.7,1946,R
213,205.,Lou Gehrig+ (33),9.7,1936,L
214,205.,Ken Griffey Jr.+ (26),9.7,1996,L
215,205.,Bryce Harper (22),9.7,2015,L
216,205.,Sandy Koufax+ (30),9.7,1966,R
217,205.,Aaron Nola (25),9.7,2018,R
218,205.,Albert Pujols (29),9.7,2009,R
219,205.,Jackie Robinson+ (32),9.7,1951,R
220,205.,Bret Saberhagen (25),9.7,1989,R
221,205.,Mike Schmidt+ (24),9.7,1974,R
222,205.,Arky Vaughan+ (23),9.7,1935,L
223,205.,Bucky Walters (30),9.7,1939,R
224,205.,Ted Williams+ (38),9.7,1957,L
225,205.,Cy Young+ (35),9.7,1902,R
226,205.,Cy Young+ (41),9.7,1908,R
227,228.,Adrian Beltre (25),9.6,2004,R
228,228.,Mordecai Brown+ (32),9.6,1909,B
229,228.,Mark Fidrych (21),9.6,1976,R
230,228.,Lou Gehrig+ (27),9.6,1930,L
231,228.,Ron Guidry (27),9.6,1978,L
232,228.,Rogers Hornsby+ (24),9.6,1920,R
233,228.,Greg Maddux+ (29),9.6,1995,R
234,228.,Joe Morgan+ (32),9.6,1976,L
