,Rank,Player (age that year),On-Base Plus Slugging,Year,Bats
191,192.,Rafael Palmeiro (34),1.0500,1999,L
192,193.,Chuck Klein+ (27),1.0498,1932,L
193,194.,Aaron Judge (25),1.0491,2017,R
194,195.,Wade Boggs+ (29),1.0490,1987,L
195,195.,Lou Gehrig+ (32),1.0490,1935,L
196,197.,Ted Kluszewski (29),1.0489,1954,L
197,198.,David Ortiz (30),1.0487,2006,L
198,199.,Ty Cobb+ (34),1.0480,1921,L
199,200.,Babe Herman (26),1.0475,1929,L
200,201.,Frank Robinson+ (30),1.0474,1966,R
201,202.,Ellis Burks (31),1.0471,1996,R
202,203.,Barry Bonds (33),1.0469,1998,L
203,204.,Duke Snider+ (26),1.0464,1953,L
204,205.,Ed Delahanty+ (31),1.0458,1899,R
205,205.,Duke Snider+ (28),1.0458,1955,L
206,207.,Stan Musial+ (32),1.0457,1953,L
207,208.,Ted Williams+ (20),1.0451,1939,L
208,209.,Bill Dickey+ (29),1.0450,1936,L
209,210.,Alex Rodriguez (20),1.0449,1996,R
210,211.,Jeff Bagwell+ (31),1.0448,1999,R
211,211.,Frank Robinson+ (26),1.0448,1962,R
212,211.,Tris Speaker+ (32),1.0448,1920,L
213,214.,Billy Hamilton+ (28),1.0442,1894,L
214,215.,Chipper Jones+ (36),1.0441,2008,B
215,216.,Carl Yastrzemski+ (30),1.0438,1970,L
216,217.,Josh Hamilton (29),1.0437,2010,L
217,218.,Hack Wilson+ (29),1.0435,1929,R
218,219.,Willie Mays+ (34),1.0430,1965,R
219,220.,Ed Delahanty+ (34),1.0425,1902,R
220,221.,Ted Williams+ (39),1.0424,1958,L
221,222.,Miguel Cabrera (27),1.0420,2010,R
222,222.,Mickey Mantle+ (23),1.0420,1955,B
223,224.,Hank Greenberg+ (28),1.0419,1939,R
224,225.,Lance Berkman (30),1.0408,2006,B
225,226.,Ken Williams (32),1.0403,1922,L
226,227.,Ty Cobb+ (25),1.0400,1912,L
227,227.,Al Simmons+ (27),1.0400,1929,R
228,227.,Carl Yastrzemski+ (27),1.0400,1967,L
229,230.,Sammy Sosa (31),1.0398,2000,R
230,231.,Jim Thome+ (30),1.0397,2001,L
231,232.,Jeff Bagwell+ (32),1.0395,2000,R
232,232.,Johnny Mize+ (27),1.0395,1940,L
233,234.,Moises Alou (33),1.0392,2000,R
234,234.,Hank Greenberg+ (24),1.0392,1935,R
235,236.,Albert Pujols (25),1.0391,2005,R
236,237.,Mark McGwire (33),1.0390,1997,R
237,238.,Willie Stargell+ (33),1.0380,1973,L
238,239.,Rico Carty (30),1.0373,1970,R
239,239.,Carlos Pena (29),1.0373,2007,L
240,241.,Hank Aaron+ (25),1.0371,1959,R
241,242.,George Watkins (30),1.0368,1930,L
242,243.,Shoeless Joe Jackson (24),1.0364,1912,L
243,244.,Mel Ott+ (21),1.0362,1930,L
244,245.,Ted Williams+ (21),1.0360,1940,L
245,246.,Johnny Mize+ (25),1.0359,1938,L
246,247.,Stan Musial+ (33),1.0358,1954,L
247,248.,Mel Ott+ (27),1.0357,1936,L
248,249.,Cody Bellinger (23),1.0351,2019,L
249,250.,Mickey Mantle+ (26),1.0348,1958,B
250,251.,Rogers Hornsby+ (31),1.0346,1927,R
251,252.,Gabby Hartnett+ (29),1.0342,1930,R
252,252.,Al Rosen (29),1.0342,1953,R
253,254.,Brady Anderson (32),1.0338,1996,L
254,255.,Stan Musial+ (36),1.0337,1957,L
255,256.,Dolph Camilli (30),1.0336,1937,L
256,256.,Jason Giambi (31),1.0336,2002,L
257,256.,Stan Musial+ (29),1.0336,1950,L
258,259.,Shoeless Joe Jackson (32),1.0334,1920,L
259,260.,Miguel Cabrera (28),1.0333,2011,R
260,260.,Nomar Garciaparra (26),1.0333,2000,R
261,262.,Eddie Mathews+ (21),1.0328,1953,L
262,262.,Willie Mays+ (26),1.0328,1957,R
263,264.,Albert Belle (29),1.0327,1996,R
264,265.,Frank Thomas+ (25),1.0326,1993,R
265,266.,Brian Giles (28),1.0321,1999,L
266,267.,Chipper Jones+ (29),1.0318,2001,B
267,267.,Joey Votto (33),1.0318,2017,L
268,269.,Bill Lange (24),1.0316,1895,R
269,270.,J.D. Martinez (30),1.0313,2018,R
270,270.,Tris Speaker+ (24),1.0313,1912,L
271,272.,Nelson Cruz (38),1.0311,2019,R
272,272.,Manny Ramirez (36),1.0311,2008,R
273,274.,Barry Bonds (32),1.0310,1997,L
274,275.,Joe Mauer (26),1.0309,2009,L
275,275.,Alex Rodriguez (29),1.0309,2005,R
276,277.,Jim Bottomley+ (28),1.0300,1928,L
277,277.,Harry Heilmann+ (27),1.0300,1922,R
278,279.,Lou Gehrig+ (30),1.0296,1933,L
