,Rank,Player (age that year),Putouts as CF (s.1901),Year,Throws
0,1.,Taylor Douthit (27),543,1928,R
1,2.,Richie Ashburn+ (24),532,1951,R
2,3.,Chet Lemon (22),509,1977,R
3,4.,Richie Ashburn+ (29),501,1956,R
4,4.,Dwayne Murphy (25),501,1980,R
5,6.,Richie Ashburn+ (30),499,1957,R
6,7.,Richie Ashburn+ (22),498,1949,R
7,8.,Richie Ashburn+ (31),494,1958,R
8,9.,Jim Busby (27),492,1954,R
9,9.,Andruw Jones (22),492,1999,R
10,11.,Al Bumbry (33),489,1980,R
11,11.,Omar Moreno (26),489,1979,L
12,13.,Richie Ashburn+ (27),488,1954,R
13,13.,Baby Doll Jacobson (33),488,1924,R
14,15.,Richie Ashburn+ (26),487,1953,R
15,16.,Jim Busby (26),485,1953,R
16,16.,Mike Cameron (30),485,2003,R
17,18.,Dom DiMaggio (31),481,1948,R
18,18.,Omar Moreno (27),481,1980,L
19,18.,Lloyd Waner+ (25),481,1931,R
20,21.,Tom Oliver (27),479,1930,R
21,22.,Rick Manning (28),474,1983,R
22,23.,Lloyd Moseby (24),470,1984,R
23,24.,Lenny Dykstra (30),469,1993,L
24,25.,Dwayne Murphy (29),468,1984,R
25,26.,Kirby Puckett+ (25),466,1985,R
26,27.,Ruppert Jones (22),465,1977,L
27,28.,Gary Pettis (28),464,1986,R
28,29.,Rick Bosetti (25),463,1979,R
29,30.,Jim Busby (25),462,1952,R
30,30.,Ken Henderson (28),462,1974,R
31,32.,Andruw Jones (24),461,2001,R
32,33.,Torii Hunter (25),460,2001,R
33,34.,Jim Piersall (26),457,1956,R
34,35.,Max Carey+ (33),455,1923,R
35,35.,Gorman Thomas (29),455,1980,R
36,35.,George Wright (24),455,1983,R
37,38.,Darin Erstad (28),453,2002,L
38,38.,Johnny Lindell (27),453,1944,R
39,38.,Kirby Puckett+ (28),453,1988,R
40,41.,Ruppert Jones (24),452,1979,L
41,42.,Dwayne Murphy (27),451,1982,R
42,42.,Lloyd Waner+ (23),451,1929,R
43,44.,Brett Butler (27),450,1984,L
44,45.,Sam Rice+ (30),449,1920,R
45,45.,Bobby Thomson (25),449,1949,R
46,47.,Eddie Brown (33),448,1925,R
47,48.,Paul Blair (30),447,1974,R
48,49.,Wally Berger (25),446,1931,R
49,50.,Dain Clay (25),445,1945,R
50,50.,Franklin Gutierrez (26),445,2009,R
51,52.,Taylor Douthit (28),444,1929,R
52,53.,Joe Carter (28),443,1988,R
53,53.,Willie Mays+ (23),443,1954,R
54,53.,Johnny Mostil (29),443,1925,R
55,53.,Kirby Puckett+ (24),443,1984,R
56,53.,Devon White (29),443,1992,R
57,53.,Robin Yount+ (32),443,1988,R
58,59.,Max Carey+ (32),441,1922,R
59,59.,Bill Tuttle (25),441,1955,R
60,61.,Happy Felsch (25),440,1917,R
61,62.,Max Carey+ (27),439,1917,R
62,62.,Carden Gillenwater (28),439,1945,R
63,62.,Adam Jones (26),439,2012,R
64,62.,Ray Lankford (25),439,1992,L
65,62.,Garry Maddox (26),439,1976,R
66,62.,Jigger Statz (25),439,1923,R
67,62.,Devon White (28),439,1991,R
68,69.,Andre Dawson+ (28),438,1983,R
69,69.,Lenny Dykstra (27),438,1990,L
70,69.,Andruw Jones (23),438,2000,R
71,69.,Ron LeFlore (30),438,1978,R
72,69.,Kirby Puckett+ (29),438,1989,R
73,69.,Al Simmons+ (23),438,1925,R
74,75.,Rocco Baldelli (21),437,2003,R
75,76.,Cesar Cedeno (23),436,1974,R
76,76.,Harry Craft (23),436,1938,R
77,76.,Carlos Gomez (22),436,2008,R
78,76.,Garry Maddox (28),436,1978,R
79,80.,Johnny Mostil (30),435,1926,R
80,81.,Gus Bell (24),434,1953,R
81,81.,Brett Butler (28),434,1985,L
82,81.,Kevin McReynolds (25),434,1985,R
83,81.,Dwayne Murphy (30),434,1985,R
84,85.,Lance Johnson (28),433,1992,L
85,85.,Gorman Thomas (28),433,1979,R
86,87.,Mike Devereaux (29),432,1992,R
87,87.,Rickey Henderson+ (26),432,1985,L
88,87.,Gorman Thomas (32),432,1983,R
89,90.,Max Carey+ (31),431,1921,R
90,90.,Devon White (26),431,1989,R
91,92.,Brett Butler (29),430,1986,L
92,92.,Lorenzo Cain (31),430,2017,R
93,92.,Chet Lemon (29),430,1984,R
94,95.,Max Carey+ (34),429,1924,R
95,95.,Willie Mays+ (27),429,1958,R
96,97.,Buster Adams (29),428,1944,R
97,97.,Gorman Thomas (31),428,1982,R
98,97.,Mike Trout (23),428,2015,R
99,97.,Bernie Williams (26),428,1995,R
100,101.,Bill North (25),427,1973,R
101,101.,Bill North (26),427,1974,R
102,101.,Kirby Puckett+ (26),427,1986,R
103,104.,Doc Cramer (29),426,1935,R
104,104.,Johnny Groth (26),426,1953,R
105,104.,Darrin Jackson (28),426,1992,R
106,104.,Jim Landis (25),426,1959,R
107,104.,Irv Noren (26),426,1951,L
108,109.,Chad Curtis (24),425,1993,R
109,109.,Joe DiMaggio+ (33),425,1948,R
110,109.,Ira Flagstead (31),425,1925,R
111,109.,Lance Johnson (27),425,1991,L
112,109.,Garry Maddox (29),425,1979,R
113,109.,Willie Mays+ (31),425,1962,R
114,109.,Jim Piersall (25),425,1955,R
115,116.,Dom DiMaggio (32),424,1949,R
116,116.,Taylor Douthit (25),424,1926,R
117,116.,Curtis Granderson (26),424,2007,R
118,116.,Torii Hunter (27),424,2003,R
119,116.,Lance Johnson (29),424,1993,L
120,116.,Dave Philley (32),424,1952,R
121,116.,Tris Speaker+ (26),424,1914,L
122,116.,Ichiro Suzuki (33),424,2007,R
123,124.,Sam Chapman (33),423,1949,R
124,124.,Stan Spence (29),423,1944,L
125,126.,Adam Jones (24),422,2010,R
126,126.,Amos Otis (27),422,1974,R
127,128.,Tommy Holmes (27),421,1944,L
128,128.,Brian McRae (24),421,1992,R
129,128.,Kevin McReynolds (24),421,1984,R
130,128.,Mickey Stanley (30),421,1973,R
131,128.,Andy Van Slyke (31),421,1992,R
132,128.,Mookie Wilson (26),421,1982,R
133,134.,Doc Cramer (30),420,1936,R
134,134.,Kenny Lofton (25),420,1992,L
135,134.,Vada Pinson (20),420,1959,L
136,137.,Andre Dawson+ (27),419,1982,R
137,138.,Carlos Beltran (31),418,2008,R
138,138.,Chris Young (26),418,2010,R
139,138.,Robin Yount+ (34),418,1990,R
140,141.,Steve Finley (27),417,1992,L
141,141.,Tom Oliver (28),417,1931,R
142,143.,Mike Cameron (29),416,2002,R
143,143.,Marquis Grissom (26),416,1993,R
144,143.,Tim Raines+ (24),416,1984,R
145,143.,Edd Roush+ (27),416,1920,L
146,143.,Mookie Wilson (27),416,1983,R
147,148.,Rick Bosetti (24),415,1978,R
148,148.,Brett Butler (33),415,1990,L
149,148.,Milt Cuyler (22),415,1991,R
150,148.,Rick Manning (24),415,1979,R
151,148.,Leonys Martín (26),415,2014,R
152,153.,Sam Chapman (34),414,1950,R
153,153.,Andrew McCutchen (24),414,2011,R
154,153.,Bill North (27),414,1975,R
155,156.,Richie Ashburn+ (25),413,1952,R
156,156.,Franklin Gutierrez (27),413,2010,R
