,Rank,Player (age that year),Range Factor/9Inn as CF (s.1948),Year,Throws
39,40.,Bobby Mitchell (27),3.264,1982,L
40,41.,Jim Busby (27),3.259,1954,R
41,41.,Garry Maddox (26),3.259,1976,R
42,43.,Kevin Kiermaier (25),3.256,2015,R
43,44.,Lloyd Merriman (26),3.252,1951,L
44,45.,Bobby Del Greco (27),3.249,1960,R
45,45.,Chet Lemon (29),3.249,1984,R
46,47.,Gary Pettis (27),3.243,1985,R
47,48.,Curt Flood (20),3.240,1958,R
48,49.,Johnny Groth (26),3.238,1953,R
49,50.,Otis Nixon (33),3.236,1992,R
50,51.,Irv Noren (25),3.231,1950,L
51,52.,Eric Davis (25),3.226,1987,R
52,52.,Chuck Diering (32),3.226,1955,R
53,54.,Al Bumbry (35),3.223,1982,R
54,54.,Dom DiMaggio (31),3.223,1948,R
55,56.,Dwayne Murphy (27),3.220,1982,R
56,57.,Lloyd Merriman (24),3.217,1949,L
57,58.,Mike Cameron (24),3.216,1997,R
58,58.,Gary Pettis (28),3.216,1986,R
59,60.,Ruppert Jones (23),3.215,1978,L
60,61.,Jacque Jones (24),3.211,1999,L
61,62.,Jim Busby (31),3.206,1958,R
62,62.,Adam Jones (23),3.206,2009,R
63,64.,Dwayne Murphy (28),3.201,1983,R
64,65.,Brett Butler (28),3.198,1985,L
65,66.,Chet Lemon (21),3.196,1976,R
66,66.,Gary Pettis (30),3.196,1988,R
67,68.,Gus Bell (24),3.193,1953,R
68,69.,Tony Armas (23),3.186,1977,R
69,69.,Rick Manning (26),3.186,1981,R
70,71.,Lance Johnson (30),3.184,1994,L
71,72.,Kimera Bartee (23),3.182,1996,R
72,72.,Carlos Gomez (23),3.182,2009,R
73,74.,Paul Blair (30),3.180,1974,R
74,75.,Cesar Geronimo (27),3.174,1975,L
75,75.,Lloyd Moseby (24),3.174,1984,R
76,75.,Dave Philley (28),3.174,1948,R
77,78.,Al Bumbry (37),3.173,1984,R
78,79.,Eddie Milner (28),3.171,1983,L
79,79.,Eddie Milner (30),3.171,1985,L
80,81.,Paul Blair (32),3.170,1976,R
81,81.,Dave Henderson (25),3.170,1984,R
82,81.,Mickey Rivers (28),3.170,1977,L
83,84.,Bob Coluccio (22),3.162,1974,R
84,85.,Chris Singleton (26),3.161,1999,L
85,86.,Al Bumbry (33),3.160,1980,R
86,86.,Dwayne Murphy (26),3.160,1981,R
87,88.,Ruppert Jones (22),3.155,1977,L
88,88.,Rick Miller (32),3.155,1980,L
89,90.,Rickey Henderson+ (27),3.151,1986,L
90,91.,Garry Maddox (25),3.150,1975,R
91,92.,Carlos Gomez (22),3.149,2008,R
92,92.,Jim Piersall (30),3.149,1960,R
93,94.,Gary Pettis (29),3.143,1987,R
94,95.,Andruw Jones (22),3.140,1999,R
95,95.,Dwayne Murphy (31),3.140,1986,R
96,97.,Tsuyoshi Shinjo (30),3.132,2002,R
97,98.,Rich Becker (24),3.129,1996,L
98,98.,Oddibe McDowell (22),3.129,1985,L
99,98.,Kevin McReynolds (24),3.129,1984,R
100,101.,Lance Johnson (29),3.126,1993,L
101,102.,Paul Blair (26),3.125,1970,R
102,102.,Mickey Rivers (27),3.125,1976,L
103,104.,Rick Bosetti (25),3.123,1979,R
104,105.,Jim Rivera (30),3.122,1952,L
105,106.,Rick Manning (28),3.121,1983,R
106,107.,Garry Maddox (31),3.120,1981,R
107,108.,Rick Manning (24),3.118,1979,R
108,109.,Lenny Dykstra (27),3.115,1990,L
109,110.,Omar Moreno (27),3.112,1980,L
110,111.,Devon White (29),3.111,1992,R
111,112.,Byron Buxton (23),3.110,2017,R
112,113.,Sam Chapman (34),3.109,1950,R
113,113.,Kenny Lofton (25),3.109,1992,L
114,113.,Clyde Vollmer (27),3.109,1949,R
115,116.,Kirby Puckett+ (25),3.108,1985,R
116,117.,Stan Javier (31),3.106,1995,R
117,118.,Lenny Dykstra (29),3.105,1992,L
118,119.,Hal Jeffcoat (28),3.103,1953,R
119,120.,Dom DiMaggio (32),3.102,1949,R
120,121.,Jim Edmonds (25),3.100,1995,L
121,122.,Dusty Baker (23),3.099,1972,R
122,122.,Carl Furillo (26),3.099,1948,R
123,124.,Amos Otis (34),3.098,1981,R
124,125.,Brett Butler (27),3.097,1984,L
125,126.,Claudell Washington (33),3.096,1988,L
126,127.,Willie Davis (36),3.094,1976,L
127,128.,Cesar Geronimo (31),3.093,1979,L
128,129.,Jim Delsing (25),3.092,1951,R
129,130.,Leonys Martín (27),3.088,2015,R
130,131.,Amos Otis (33),3.087,1980,R
131,132.,Joe Simpson (29),3.084,1981,L
132,132.,Reggie Smith (26),3.084,1971,R
133,134.,Cesar Geronimo (26),3.083,1974,L
134,134.,Ruppert Jones (25),3.083,1980,L
135,136.,Milt Cuyler (22),3.082,1991,R
136,137.,Kirby Puckett+ (28),3.081,1988,R
137,138.,Lorenzo Cain (31),3.078,2017,R
138,138.,Torii Hunter (24),3.078,2000,R
139,140.,Jarrod Dyson (27),3.077,2012,R
140,140.,Amos Otis (27),3.077,1974,R
141,142.,Rondell White (26),3.076,1998,R
142,143.,Sam Chapman (32),3.075,1948,R
143,144.,Leonys Martín (26),3.074,2014,R
144,144.,Wally Westlake (29),3.074,1950,R
145,146.,Chuck Diering (31),3.073,1954,R
146,146.,Ron LeFlore (28),3.073,1976,R
147,148.,Coco Crisp (27),3.071,2007,R
148,149.,Fred Lynn (24),3.070,1976,L
149,149.,Mickey Rivers (29),3.070,1978,L
150,151.,Garret Anderson (27),3.069,1999,L
151,151.,Rocco Baldelli (21),3.069,2003,R
152,153.,Juan Beniquez (24),3.065,1974,R
153,153.,Alex Sanchez (26),3.065,2003,L
154,155.,Bill Wilson (25),3.064,1954,R
155,156.,Joey Gathright (25),3.063,2006,R
156,156.,Dave Henderson (27),3.063,1986,R
157,156.,Amos Otis (31),3.063,1978,R
158,159.,Jim Edmonds (33),3.061,2003,L
159,159.,Willie Wilson (28),3.061,1984,R
160,161.,Chad Curtis (25),3.060,1994,R
161,162.,Elliott Maddox (26),3.059,1974,R
162,162.,Jim Piersall (26),3.059,1956,R
163,162.,Eric Yelding (25),3.059,1990,R
164,165.,Chuck Carr (26),3.058,1994,R
165,166.,Kirby Puckett+ (29),3.056,1989,R
166,167.,Omar Moreno (28),3.055,1981,L
167,168.,Kevin McReynolds (25),3.054,1985,R
168,169.,Carlos Beltran (26),3.053,2003,R
169,169.,Jeremy Reed (24),3.053,2005,L
170,171.,Delino DeShields (25),3.049,2018,R
171,172.,Willie Mays+ (23),3.048,1954,R
172,172.,George Wright (23),3.048,1982,R
173,174.,Dwayne Murphy (30),3.044,1985,R
174,174.,Bill North (32),3.044,1980,R
175,176.,Curtis Granderson (26),3.040,2007,R
176,177.,Chuck Carr (25),3.039,1993,R
177,178.,Gerald Young (24),3.037,1989,R
178,179.,John Shelby (26),3.036,1984,R
179,180.,Johnny Grubb (25),3.035,1974,R
180,181.,Rocco Baldelli (22),3.034,2004,R
181,181.,Jerry Mumphrey (30),3.034,1983,R
182,183.,Alex Sanchez (25),3.033,2002,L
183,184.,Woodie Held (25),3.032,1957,R
184,185.,Lorenzo Cain (29),3.030,2015,R
185,186.,Tony Armas (29),3.029,1983,R
186,186.,Brett Butler (30),3.029,1987,L
187,186.,Bernie Williams (26),3.029,1995,R
188,189.,Lance Johnson (35),3.027,1999,L
189,190.,Coco Crisp (33),3.026,2013,R
190,190.,Tony Gwynn (26),3.026,2009,R
191,192.,Jarrod Dyson (29),3.025,2014,R
192,192.,Del Unser (28),3.025,1973,L
193,194.,Larry Doby+ (28),3.024,1952,R
194,194.,Omar Moreno (26),3.024,1979,L
195,194.,Tony Scott (25),3.024,1977,R
196,197.,Jay Payton (31),3.023,2004,R
197,198.,Lloyd Moseby (23),3.022,1983,R
198,198.,Angel Pagan (28),3.022,2010,R
199,200.,Melky Cabrera (22),3.021,2007,L
200,201.,Alfredo Amezaga (29),3.020,2007,R
201,202.,Dave Henderson (29),3.019,1988,R
202,203.,Tony Scott (27),3.018,1979,R
203,204.,Brandon Barnes (27),3.016,2013,R
204,204.,Byron Buxton (26),3.016,2020,R
205,204.,Richard Hidalgo (25),3.016,2000,R
206,207.,Dave Henderson (31),3.015,1990,R
207,208.,Tom Umphlett (22),3.014,1953,R
208,208.,Bill Virdon (28),3.014,1959,R
209,210.,Mike Devereaux (27),3.013,1990,R
210,210.,Marquis Grissom (27),3.013,1994,R
211,210.,Cedric Mullins (25),3.013,2020,L
212,213.,Tony Scott (28),3.012,1980,R
213,214.,Garry Maddox (28),3.011,1978,R
214,215.,Adam Jones (24),3.009,2010,R
215,215.,Brian McRae (24),3.009,1992,R
216,215.,Chris Singleton (28),3.009,2001,L
217,218.,Jim Landis (25),3.008,1959,R
218,219.,Rick Peters (24),3.007,1980,R
219,220.,Roberto Kelly (27),3.005,1992,R
220,220.,Jim Piersall (31),3.005,1961,R
221,222.,Lorenzo Cain (27),3.003,2013,R
222,222.,Jerry Mumphrey (28),3.003,1981,R
223,224.,Paul Blair (29),3.002,1973,R
224,224.,Bill North (28),3.002,1976,R
225,226.,Chad Curtis (24),2.999,1993,R
226,226.,Franklin Gutierrez (26),2.999,2009,R
227,228.,Kevin Pillar (26),2.993,2015,R
228,229.,Calvin Murray (29),2.992,2001,R
229,229.,Mickey Stanley (31),2.992,1974,R
230,231.,Torii Hunter (23),2.991,1999,R
231,231.,Al Oliver (29),2.991,1976,L
232,233.,Devon White (31),2.990,1994,R
233,234.,Fred Lynn (23),2.989,1975,L
234,235.,Jim Edmonds (27),2.988,1997,L
235,235.,Jim Piersall (25),2.988,1955,R
236,235.,Mickey Stanley (28),2.988,1971,R
237,238.,Lloyd Moseby (21),2.987,1981,R
238,239.,Darrin Jackson (28),2.986,1992,R
239,239.,Kenny Lofton (26),2.986,1993,L
240,239.,Willie Mays+ (20),2.986,1951,R
