,Rank,Player (age that year),Strikeouts,Year,Throws
0,1.,Matt Kilroy (20),513,1886,L
1,2.,Toad Ramsey (21),499,1886,L
2,3.,Hugh Daily (36),483,1884,R
3,4.,Dupee Shaw (25),451,1884,L
4,5.,Old Hoss Radbourn+ (29),441,1884,R
5,6.,Charlie Buffinton (23),417,1884,R
6,7.,Guy Hecker (28),385,1884,R
7,8.,Nolan Ryan+ (26),383,1973,R
8,9.,Sandy Koufax+ (29),382,1965,L
9,10.,Bill Sweeney (26),374,1884,R
10,11.,Randy Johnson+ (37),372,2001,L
11,12.,Pud Galvin+ (27),369,1884,R
12,13.,Mark Baldwin (25),368,1889,R
13,14.,Nolan Ryan+ (27),367,1974,R
14,15.,Randy Johnson+ (35),364,1999,L
15,16.,Tim Keefe+ (26),359,1883,R
16,17.,Toad Ramsey (22),355,1887,L
17,18.,Rube Waddell+ (27),349,1904,L
18,19.,Bob Feller+ (27),348,1946,R
19,20.,Randy Johnson+ (36),347,2000,L
20,21.,Hardie Henderson (21),346,1884,R
21,22.,Mickey Welch+ (24),345,1884,R
22,22.,Jim Whitney (25),345,1883,R
23,24.,Jim McCormick (27),343,1884,R
24,25.,Amos Rusie+ (19),341,1890,R
25,25.,Nolan Ryan+ (30),341,1977,R
26,27.,Amos Rusie+ (20),337,1891,R
27,27.,Charlie Sweeney (21),337,1884,R
28,29.,Tim Keefe+ (31),335,1888,R
29,30.,Randy Johnson+ (38),334,2002,L
30,30.,Tim Keefe+ (27),334,1884,R
31,32.,Randy Johnson+ (34),329,1998,L
32,32.,Nolan Ryan+ (25),329,1972,R
33,34.,Nolan Ryan+ (29),327,1976,R
34,35.,Gerrit Cole (28),326,2019,R
35,35.,Ed Morris (23),326,1886,L
36,37.,Sam McDowell (22),325,1965,L
37,37.,Tony Mullane (25),325,1884,R
38,39.,Lady Baldwin (27),323,1886,L
39,40.,Curt Schilling (30),319,1997,R
40,41.,Sandy Koufax+ (30),317,1966,L
41,42.,Curt Schilling (35),316,2002,R
42,43.,Old Hoss Radbourn+ (28),315,1883,R
43,44.,Bill Hutchison (32),314,1892,R
44,45.,John Clarkson+ (24),313,1886,R
45,45.,Walter Johnson+ (22),313,1910,R
46,45.,Pedro Martinez+ (27),313,1999,R
47,45.,J.R. Richard (29),313,1979,R
48,49.,Steve Carlton+ (27),310,1972,L
