,Rank,Player (age that year),Def. Games as CF (s.1901),Year,Throws
0,1.,Matty Alou (30),162,1969,L
1,1.,Rick Bosetti (25),162,1979,R
2,1.,Jose Cruz (26),162,2000,R
3,1.,Curt Flood (26),162,1964,R
4,1.,Ken Henderson (28),162,1974,R
5,1.,Brian Hunter (26),162,1997,R
6,1.,Adam Jones (26),162,2012,R
7,1.,Andruw Jones (22),162,1999,R
8,1.,Terrence Long (26),162,2002,L
9,1.,Omar Moreno (26),162,1979,L
10,1.,Omar Moreno (27),162,1980,L
11,1.,Juan Pierre (26),162,2004,L
12,1.,Juan Pierre (28),162,2006,L
13,1.,Juan Pierre (29),162,2007,L
14,15.,Jimmy Barrett (29),161,1904,R
15,15.,Brett Butler (34),161,1991,L
16,15.,Andruw Jones (23),161,2000,R
17,15.,Andruw Jones (24),161,2001,R
18,15.,Ruppert Jones (24),161,1979,L
19,15.,Willie Mays+ (31),161,1962,R
20,15.,Dale Murphy (29),161,1985,R
21,15.,Juan Pierre (25),161,2003,L
22,15.,Kirby Puckett+ (25),161,1985,R
23,15.,Aaron Rowand (29),161,2007,R
24,15.,Vernon Wells (24),161,2003,R
25,15.,George Wright (24),161,1983,R
26,27.,Al Bumbry (33),160,1980,R
27,27.,Lenny Dykstra (30),160,1993,L
28,27.,Steve Finley (27),160,1992,L
29,27.,Steve Finley (31),160,1996,L
30,27.,Curtis Granderson (28),160,2009,R
31,27.,Bobby Murcer (27),160,1973,R
32,27.,Dale Murphy (28),160,1984,R
33,27.,Juan Pierre (27),160,2005,L
34,27.,Kirby Puckett+ (26),160,1986,R
35,27.,Tim Raines+ (24),160,1984,R
36,27.,Grady Sizemore (23),160,2006,L
37,27.,Grady Sizemore (24),160,2007,L
38,27.,Gorman Thomas (29),160,1980,R
39,40.,Brett Butler (29),159,1986,L
40,40.,Brett Butler (33),159,1990,L
41,40.,Curt Flood (28),159,1966,R
42,40.,Andruw Jones (21),159,1998,R
43,40.,Andruw Jones (28),159,2005,R
44,40.,Matt Kemp (26),159,2011,R
45,40.,Amos Otis (23),159,1970,R
46,40.,Vada Pinson (26),159,1965,L
47,40.,Chris Young (24),159,2008,R
48,49.,Felipe Alou (33),158,1968,R
49,49.,Carlos Beltran (27),158,2004,R
50,49.,Carlos Beltran (31),158,2008,R
51,49.,Charlie Blackmon (30),158,2017,L
52,49.,Steve Finley (39),158,2004,L
53,49.,Curt Flood (25),158,1963,R
54,49.,Doug Glanville (27),158,1998,R
55,49.,Ken Griffey Jr.+ (28),158,1998,L
56,49.,Ken Griffey Jr.+ (29),158,1999,L
57,49.,Marquis Grissom (29),158,1996,R
58,49.,Matt Kemp (24),158,2009,R
59,49.,Matt Kemp (25),158,2010,R
60,49.,Rick Manning (28),158,1983,R
61,49.,Dwayne Murphy (25),158,1980,R
62,49.,Kirby Puckett+ (28),158,1988,R
63,49.,Preston Wilson (25),158,2000,R
64,49.,Robin Yount+ (32),158,1988,R
65,66.,Cesar Cedeno (23),157,1974,R
66,66.,Willie Davis (28),157,1968,L
67,66.,Willie Davis (31),157,1971,L
68,66.,Andre Dawson+ (28),157,1983,R
69,66.,Steve Finley (33),157,1998,L
70,66.,Curtis Granderson (25),157,2006,R
71,66.,Curtis Granderson (26),157,2007,R
72,66.,Curtis Granderson (31),157,2012,R
73,66.,Marquis Grissom (25),157,1992,R
74,66.,Marquis Grissom (26),157,1993,R
75,66.,Johnny Groth (23),157,1950,R
76,66.,Lance Johnson (27),157,1991,L
77,66.,Lance Johnson (28),157,1992,L
78,66.,Lance Johnson (32),157,1996,L
79,66.,Willie Mays+ (32),157,1963,R
80,66.,Omar Moreno (29),157,1982,L
81,66.,Corey Patterson (24),157,2004,R
82,66.,Vada Pinson (28),157,1967,L
83,66.,Kirby Puckett+ (29),157,1989,R
84,66.,Aaron Rowand (27),157,2005,R
85,66.,Tris Speaker+ (26),157,1914,L
86,66.,Chick Stahl (31),157,1904,L
87,66.,Drew Stubbs (26),157,2011,R
88,66.,Gorman Thomas (31),157,1982,R
89,66.,Jim Wynn (25),157,1967,R
90,66.,Robin Yount+ (34),157,1990,R
91,92.,Tommie Agee (23),156,1966,R
92,92.,Richie Ashburn+ (26),156,1953,R
93,92.,Earl Averill+ (35),156,1937,R
94,92.,Dusty Baker (24),156,1973,R
95,92.,Wally Berger (25),156,1931,R
96,92.,Michael Bourn (28),156,2011,R
97,92.,Jackie Bradley Jr. (26),156,2016,R
98,92.,Brett Butler (27),156,1984,L
99,92.,Joe Carter (28),156,1988,R
100,92.,Ty Cobb+ (28),156,1915,R
101,92.,Willie Davis (22),156,1962,L
102,92.,David DeJesus (27),156,2007,L
103,92.,Vince DiMaggio (30),156,1943,R
104,92.,Ender Inciarte (26),156,2017,L
105,92.,Adam Jones (27),156,2013,R
106,92.,Andrew McCutchen (25),156,2012,R
107,92.,Vada Pinson (25),156,1964,L
108,92.,Mickey Stanley (30),156,1973,R
109,92.,Bobby Thomson (25),156,1949,R
110,92.,Mike Trout (23),156,2015,R
111,92.,Bill Virdon (31),156,1962,R
112,92.,Devon White (28),156,1991,R
113,92.,Mookie Wilson (26),156,1982,R
114,92.,Chris Young (26),156,2010,R
115,116.,Earl Averill+ (29),155,1931,R
116,116.,Ken Berry (24),155,1965,R
117,116.,Bill Bruton (35),155,1961,R
118,116.,Jim Busby (27),155,1954,R
119,116.,Brett Butler (31),155,1988,L
120,116.,Brett Butler (35),155,1992,L
121,116.,Brett Butler (36),155,1993,L
122,116.,Mike Cameron (27),155,2000,R
123,116.,Mike Cameron (29),155,2002,R
124,116.,Ty Cobb+ (37),155,1924,R
125,116.,Willie Davis (24),155,1964,L
126,116.,Mike Devereaux (29),155,1992,R
127,116.,Dom DiMaggio (31),155,1948,R
128,116.,Steve Finley (34),155,1999,L
129,116.,Curtis Granderson (30),155,2011,R
130,116.,Odubel Herrera (24),155,2016,R
131,116.,Torii Hunter (31),155,2007,R
132,116.,Ender Inciarte (27),155,2018,L
133,116.,Adam Jones (28),155,2014,R
134,116.,Andruw Jones (26),155,2003,R
135,116.,Ruppert Jones (22),155,1977,L
136,116.,Ron LeFlore (30),155,1978,R
137,116.,Willie Mays+ (33),155,1964,R
138,116.,Lee Mazzilli (22),155,1977,R
139,116.,Andrew McCutchen (24),155,2011,R
140,116.,Andrew McCutchen (26),155,2013,R
141,116.,Brian McRae (28),155,1996,R
142,116.,Lloyd Moseby (24),155,1984,R
143,116.,Bobby Murcer (24),155,1970,R
144,116.,Dale Murphy (30),155,1986,R
145,116.,Jim Piersall (26),155,1956,R
146,116.,Cy Seymour (35),155,1908,L
147,116.,Grady Sizemore (22),155,2005,L
148,116.,Chick Stahl (33),155,1906,L
149,116.,Ichiro Suzuki (33),155,2007,R
150,116.,Del Unser (23),155,1968,L
151,116.,Vernon Wells (26),155,2005,R
152,116.,Vernon Wells (30),155,2009,R
153,116.,Bernie Williams (30),155,1999,R
154,116.,Hack Wilson+ (30),155,1930,R
155,116.,Willie Wilson (30),155,1986,R
156,116.,Jim Wynn (23),155,1965,R
157,116.,Christian Yelich (25),155,2017,R
158,116.,Chris Young (27),155,2011,R
159,160.,Richie Ashburn+ (22),154,1949,R
160,160.,Richie Ashburn+ (24),154,1951,R
161,160.,Richie Ashburn+ (25),154,1952,R
162,160.,Richie Ashburn+ (29),154,1956,R
163,160.,Richie Ashburn+ (30),154,1957,R
164,160.,Earl Averill+ (32),154,1934,R
165,160.,Rocco Baldelli (21),154,2003,R
166,160.,Gus Bell (26),154,1955,R
167,160.,Carlos Beltran (22),154,1999,R
168,160.,Michael Bourn (26),154,2009,R
169,160.,Sam Chapman (33),154,1949,R
170,160.,Doc Cramer (30),154,1936,R
171,160.,Joe DiMaggio+ (27),154,1942,R
172,160.,Taylor Douthit (27),154,1928,R
173,160.,Taylor Douthit (29),154,1930,R
174,160.,Jacoby Ellsbury (27),154,2011,L
175,160.,Tommy Holmes (27),154,1944,L
176,160.,Austin Jackson (27),154,2014,R
177,160.,Andruw Jones (25),154,2002,R
178,160.,Andruw Jones (27),154,2004,R
179,160.,Andruw Jones (30),154,2007,R
180,160.,Fielder Jones (35),154,1907,R
181,160.,Benny Kauff (26),154,1916,L
182,160.,Hank Leiber (24),154,1935,R
183,160.,Kenny Lofton (31),154,1998,L
184,160.,Garry Maddox (28),154,1978,R
185,160.,Nelson Mathews (22),154,1964,R
186,160.,Brian McRae (30),154,1998,R
187,160.,Clyde Milan (24),154,1911,R
188,160.,Clyde Milan (25),154,1912,R
189,160.,Tom Oliver (27),154,1930,R
190,160.,Juan Pierre (23),154,2001,L
191,160.,Vada Pinson (20),154,1959,L
192,160.,Vada Pinson (21),154,1960,L
193,160.,Sam Rice+ (32),154,1922,R
194,160.,Reggie Smith (23),154,1968,R
195,160.,Jigger Statz (25),154,1923,R
196,160.,Bill Tuttle (25),154,1955,R
197,160.,Melvin Upton Jr. (25),154,2010,R
198,160.,Andy Van Slyke (31),154,1992,R
199,160.,Bill Virdon (25),154,1956,R
200,160.,Devon White (26),154,1989,R
201,160.,Preston Wilson (28),154,2003,R
202,160.,Marvell Wynne (24),154,1984,L
203,160.,Dutch Zwilling (25),154,1914,L
204,205.,Earl Averill+ (30),153,1932,R
205,205.,Ginger Beaumont (27),153,1904,R
206,205.,Gus Bell (25),153,1954,R
207,205.,Michael Bourn (29),153,2012,R
208,205.,Eddie Brown (33),153,1925,R
209,205.,Jose Cardenal (24),153,1968,R
210,205.,Max Carey+ (27),153,1917,R
211,205.,Max Carey+ (33),153,1923,R
212,205.,Willie Davis (23),153,1963,L
213,205.,Andre Dawson+ (23),153,1978,R
214,205.,Andre Dawson+ (24),153,1979,R
215,205.,Larry Doby+ (30),153,1954,R
216,205.,Jim Edmonds (28),153,1998,L
217,205.,Jacoby Ellsbury (25),153,2009,L
218,205.,Ken Griffey Jr.+ (27),153,1997,L
219,205.,Franklin Gutierrez (26),153,2009,R
220,205.,Andruw Jones (29),153,2006,R
221,205.,Fielder Jones (33),153,1905,R
222,205.,Ray Lankford (25),153,1992,L
223,205.,Willie Mays+ (30),153,1961,R
224,205.,Brian McRae (25),153,1993,R
225,205.,Clyde Milan (26),153,1913,R
226,205.,Clyde Milan (30),153,1917,R
227,205.,Lloyd Moseby (27),153,1987,R
228,205.,Johnny Mostil (29),153,1925,R
229,205.,Jerry Mumphrey (27),153,1980,R
230,205.,Dwayne Murphy (29),153,1984,R
231,205.,Hi Myers (26),153,1915,R
232,205.,Al Oliver (28),153,1975,L
233,205.,Gary Pettis (28),153,1986,R
