,Rank,Player (age that year),Def. Games as CF (s.1901),Year,Throws
234,205.,Kevin Pillar (28),153,2017,R
235,205.,Vada Pinson (22),153,1961,L
236,205.,Scott Podsednik (28),153,2004,L
237,205.,Rip Repulski (24),153,1953,R
238,205.,Sam Rice+ (30),153,1920,R
239,205.,Jim Rivera (31),153,1953,L
240,205.,Al Simmons+ (23),153,1925,R
241,205.,Denard Span (26),153,2010,L
242,205.,Denard Span (29),153,2013,L
243,205.,Tris Speaker+ (24),153,1912,L
244,205.,Bobby Thomson (29),153,1953,R
245,205.,Lloyd Waner+ (25),153,1931,R
246,247.,Richie Ashburn+ (31),152,1958,R
247,247.,Earl Averill+ (27),152,1929,R
248,247.,Carlos Beltran (24),152,2001,R
249,247.,Brett Butler (32),152,1989,L
250,247.,Max Carey+ (32),152,1922,R
251,247.,Dain Clay (25),152,1945,R
252,247.,Doc Cramer (27),152,1933,R
253,247.,Doc Cramer (35),152,1941,R
254,247.,Willie Davis (26),152,1966,L
255,247.,Joe DiMaggio+ (33),152,1948,R
256,247.,Happy Felsch (25),152,1917,R
257,247.,Curt Flood (31),152,1969,R
258,247.,Dexter Fowler (29),152,2015,R
259,247.,Ken Griffey Jr.+ (21),152,1991,L
260,247.,Austin Jackson (24),152,2011,R
261,247.,Darrin Jackson (28),152,1992,R
262,247.,Baby Doll Jacobson (33),152,1924,R
263,247.,Jon Jay (28),152,2013,L
264,247.,Adam Jones (30),152,2016,R
265,247.,Benny Kauff (27),152,1917,L
266,247.,Ron LeFlore (29),152,1977,R
267,247.,Kenny Lofton (29),152,1996,L
268,247.,Rick Manning (27),152,1982,R
269,247.,Leonys Martín (26),152,2014,R
270,247.,Dave May (29),152,1973,R
271,247.,Willie Mays+ (24),152,1955,R
272,247.,Willie Mays+ (25),152,1956,R
273,247.,Willie Mays+ (29),152,1960,R
274,247.,Andrew McCutchen (23),152,2010,R
275,247.,Andrew McCutchen (28),152,2015,R
276,247.,Willie McGee (28),152,1987,R
277,247.,Omar Moreno (25),152,1978,L
278,247.,Lloyd Moseby (25),152,1985,R
279,247.,Hi Myers (31),152,1920,R
280,247.,Hi Myers (33),152,1922,R
281,247.,Rebel Oakes (31),152,1915,R
282,247.,Amos Otis (29),152,1976,R
283,247.,Vada Pinson (23),152,1962,L
284,247.,Burt Shotton (29),152,1914,R
285,247.,Gorman Thomas (28),152,1979,R
286,247.,Gorman Thomas (32),152,1983,R
287,247.,Andy Van Slyke (27),152,1988,R
288,247.,Devon White (29),152,1992,R
289,290.,Matty Alou (31),151,1970,L
290,290.,Richie Ashburn+ (27),151,1954,R
291,290.,Charlie Blackmon (31),151,2018,L
292,290.,Paul Blair (30),151,1974,R
293,290.,Marlon Byrd (32),151,2010,R
294,290.,Lorenzo Cain (31),151,2017,R
295,290.,Earle Combs+ (28),151,1927,R
296,290.,Harry Craft (23),151,1938,R
297,290.,Doc Cramer (28),151,1934,R
298,290.,Chad Curtis (24),151,1993,R
299,290.,Milt Cuyler (22),151,1991,R
300,290.,Johnny Damon (28),151,2002,L
301,290.,Willie Davis (34),151,1974,L
302,290.,Vince DiMaggio (28),151,1941,R
303,290.,Curt Flood (24),151,1962,R
304,290.,Curt Flood (27),151,1965,R
305,290.,Chick Fullis (32),151,1933,R
306,290.,Carlos Gomez (22),151,2008,R
307,290.,Ken Griffey Jr.+ (20),151,1990,L
308,290.,Torii Hunter (27),151,2003,R
309,290.,Sam Jethroe (35),151,1952,R
310,290.,Roberto Kelly (25),151,1990,R
311,290.,Willie Mays+ (23),151,1954,R
312,290.,Willie Mays+ (27),151,1958,R
313,290.,Andrew McCutchen (29),151,2016,R
314,290.,Clyde Milan (28),151,1915,R
315,290.,Bobby Murcer (26),151,1972,R
316,290.,Rebel Oakes (27),151,1911,R
317,290.,Angel Pagan (30),151,2012,R
318,290.,Jim Piersall (27),151,1957,R
319,290.,AJ Pollock (27),151,2015,R
320,290.,Cy Seymour (33),151,1906,L
321,290.,Burt Shotton (27),151,1912,R
322,290.,Grady Sizemore (25),151,2008,L
323,290.,Duke Snider+ (23),151,1950,R
324,290.,Duke Snider+ (26),151,1953,R
325,290.,Tris Speaker+ (28),151,1916,L
326,290.,Melvin Upton Jr. (26),151,2011,R
327,290.,Lloyd Waner+ (23),151,1929,R
328,290.,Vernon Wells (31),151,2010,R
329,290.,Rondell White (25),151,1997,R
330,331.,Buster Adams (29),150,1944,R
331,331.,Tommie Agee (27),150,1970,R
332,331.,Earl Averill+ (34),150,1936,R
333,331.,Carlos Beltran (28),150,2005,R
334,331.,Wally Berger (28),150,1934,R
335,331.,Craig Biggio+ (37),150,2003,R
336,331.,Paul Blair (25),150,1969,R
337,331.,Bill Bruton (27),150,1953,R
338,331.,Jim Busby (26),150,1953,R
339,331.,Brett Butler (28),150,1985,L
340,331.,Mike Cameron (34),150,2007,R
341,331.,Shin-Soo Choo (30),150,2013,L
342,331.,Doc Cramer (36),150,1942,R
343,331.,Dom DiMaggio (25),150,1942,R
344,331.,Joe DiMaggio+ (22),150,1937,R
345,331.,Taylor Douthit (28),150,1929,R
346,331.,Doug Glanville (29),150,2000,R
347,331.,Doug Glanville (30),150,2001,R
348,331.,Tom Goodwin (29),150,1998,R
349,331.,Billy Hamilton (27),150,2018,R
350,331.,Mickey Mantle+ (26),150,1958,R
351,331.,Mickey Mantle+ (28),150,1960,R
352,331.,Mickey Mantle+ (29),150,1961,R
353,331.,Armando Marsans (28),150,1916,R
354,331.,Willie Mays+ (26),150,1957,R
355,331.,Brian McRae (23),150,1991,R
356,331.,Kevin McReynolds (25),150,1985,R
357,331.,Dwayne Murphy (30),150,1985,R
358,331.,Duke Snider+ (24),150,1951,R
359,331.,Duke Snider+ (29),150,1956,R
360,331.,Tris Speaker+ (27),150,1915,L
361,331.,Tris Speaker+ (35),150,1923,L
362,331.,Stan Spence (29),150,1944,L
363,331.,Stan Spence (31),150,1946,L
364,331.,Bobby Tolan (24),150,1970,L
365,331.,Vernon Wells (27),150,2006,R
366,331.,Cy Williams (34),150,1922,L
367,331.,Hack Wilson+ (29),150,1929,R
368,331.,Robin Yount+ (31),150,1987,R
369,370.,Richie Ashburn+ (32),149,1959,R
370,370.,Earl Averill+ (31),149,1933,R
371,370.,Ginger Beaumont (30),149,1907,R
372,370.,Gus Bell (27),149,1956,R
373,370.,Carlos Beltran (25),149,2002,R
374,370.,Wally Berger (29),149,1935,R
375,370.,Ken Berry (27),149,1968,R
376,370.,Bill Bruton (29),149,1955,R
377,370.,Bill Bruton (34),149,1960,R
378,370.,Mike Cameron (28),149,2001,R
379,370.,Max Carey+ (34),149,1924,R
380,370.,Earle Combs+ (29),149,1928,R
381,370.,Doc Cramer (29),149,1935,R
382,370.,Vince DiMaggio (25),149,1938,R
383,370.,Lenny Dykstra (27),149,1990,L
384,370.,Curt Flood (30),149,1968,R
385,370.,Marquis Grissom (32),149,1999,R
386,370.,Charlie Hanford (32),149,1914,R
387,370.,Dave Henderson (30),149,1989,R
388,370.,Larry Herndon (24),149,1978,R
389,370.,Tommy Holmes (26),149,1943,L
390,370.,Austin Jackson (23),149,2010,R
391,370.,Adam Jones (24),149,2010,R
392,370.,Fielder Jones (32),149,1904,R
393,370.,Fielder Jones (36),149,1908,R
394,370.,Ray Lankford (24),149,1991,L
395,370.,Chet Lemon (22),149,1977,R
396,370.,Fred Lynn (26),149,1978,L
397,370.,Billy Maloney (28),149,1906,R
398,370.,Nate McLouth (26),149,2008,R
399,370.,Clyde Milan (29),149,1916,R
400,370.,Juan Pierre (24),149,2002,L
401,370.,Ray Powell (32),149,1921,R
402,370.,Kirby Puckett+ (32),149,1992,R
403,370.,Aaron Rowand (30),149,2008,R
404,370.,Cy Seymour (32),149,1905,L
405,370.,Fred Snodgrass (23),149,1911,R
406,370.,Tris Speaker+ (38),149,1926,L
407,370.,Stan Spence (27),149,1942,L
408,370.,Bobby Thomson (26),149,1950,R
409,370.,Bobby Tolan (26),149,1972,L
410,370.,Mike Trout (22),149,2014,R
411,370.,Del Unser (24),149,1969,L
412,370.,Shane Victorino (28),149,2009,R
413,370.,Cy Williams (27),149,1915,L
414,370.,Jim Wynn (27),149,1969,R
415,416.,Mel Almada (25),148,1938,L
416,416.,Rip Cannell (25),148,1905,R
417,416.,Doc Cramer (32),148,1938,R
418,416.,Johnny Damon (30),148,2004,L
419,416.,Mike Devereaux (28),148,1991,R
420,416.,Jacoby Ellsbury (32),148,2016,L
421,416.,Steve Finley (35),148,2000,L
422,416.,Ron Gant (26),148,1991,R
423,416.,Cesar Geronimo (27),148,1975,L
424,416.,Doug Glanville (28),148,1999,R
425,416.,Marquis Grissom (36),148,2003,R
426,416.,Lance Johnson (26),148,1990,L
427,416.,Adam Jones (25),148,2011,R
428,416.,Kevin Kiermaier (25),148,2015,R
429,416.,Brian McRae (24),148,1992,R
430,416.,Brian McRae (29),148,1997,R
431,416.,Rick Monday (27),148,1973,L
432,416.,Tom Oliver (28),148,1931,R
433,416.,Dave Philley (32),148,1952,R
434,416.,Duke Snider+ (27),148,1954,R
435,416.,Tris Speaker+ (32),148,1920,L
436,416.,Stan Spence (28),148,1943,L
437,416.,Willy Taveras (23),148,2005,R
438,416.,Mike Trout (24),148,2016,R
439,416.,Bill Tuttle (30),148,1960,R
440,416.,Vernon Wells (28),148,2007,R
441,416.,Sam West (31),148,1936,L
442,416.,Mookie Wilson (27),148,1983,R
443,416.,Jim Wynn (32),148,1974,R
444,416.,Dutch Zwilling (26),148,1915,L
445,446.,Richie Ashburn+ (23),147,1950,R
446,446.,Charlie Blackmon (28),147,2015,L
447,446.,Peter Bourjos (24),147,2011,R
448,446.,Al Bumbry (35),147,1982,R
449,446.,Mike Cameron (30),147,2003,R
450,446.,Mike Cameron (36),147,2009,R
451,446.,Chet Chadbourne (30),147,1915,R
452,446.,Johnny Damon (31),147,2005,L
453,446.,Andre Dawson+ (25),147,1980,R
454,446.,Andre Dawson+ (27),147,1982,R
455,446.,Mike Donlin (27),147,1905,L
456,446.,Jim Edmonds (31),147,2001,L
457,446.,Cesar Geronimo (29),147,1977,L
458,446.,Lenny Green (29),147,1962,L
459,446.,Darryl Hamilton (31),147,1996,R
460,446.,Torii Hunter (25),147,2001,R
461,446.,Adam Jones (31),147,2017,R
462,446.,Mark Kotsay (26),147,2002,L
463,446.,Jim Landis (25),147,1959,R
464,446.,Jim Landis (26),147,1960,R
465,446.,Chet Lemon (24),147,1979,R
466,446.,Johnny Lindell (27),147,1944,R
467,446.,Willie Mays+ (28),147,1959,R
468,446.,Willie Mays+ (34),147,1965,R
469,446.,Oddibe McDowell (23),147,1986,L
470,446.,Omar Moreno (24),147,1977,L
471,446.,Lloyd Moseby (23),147,1983,R
472,446.,Lloyd Moseby (26),147,1986,R
473,446.,Johnny Mostil (30),147,1926,R
474,446.,Dwayne Murphy (27),147,1982,R
475,446.,Corey Patterson (22),147,2002,R
476,446.,Joc Pederson (23),147,2015,L
477,446.,Jim Piersall (25),147,1955,R
478,446.,Ray Powell (31),147,1920,R
479,446.,Kirby Puckett+ (27),147,1987,R
480,446.,Tike Redman (27),147,2004,L
481,446.,Al Simmons+ (24),147,1926,R
482,446.,Denard Span (30),147,2014,L
483,446.,Drew Stubbs (25),147,2010,R
484,446.,Roy Thomas (31),147,1905,L
485,446.,Bernie Williams (33),147,2002,R
486,446.,Cy Williams (32),147,1920,L
487,488.,Paul Blair (23),146,1967,R
488,488.,Al Bumbry (32),146,1979,R
489,488.,Jim Busby (28),146,1955,R
490,488.,Mike Cameron (26),146,1999,R
491,488.,Cesar Cedeno (25),146,1976,R
492,488.,Ty Cobb+ (24),146,1911,R
493,488.,Willie Davis (32),146,1972,L
494,488.,Willie Davis (33),146,1973,L
495,488.,Dom DiMaggio (34),146,1951,R
496,488.,Larry Doby+ (29),146,1953,R
497,488.,Jim Edmonds (30),146,2000,L
498,488.,Jim Edmonds (34),146,2004,L
499,488.,Darin Erstad (27),146,2001,L
