,Rank,Player (age that year),Range Factor/9Inn as P,Year,Throws
0,1.,Ed Walsh+ (26),5.588,1907,R
1,2.,Harry Howell (28),5.545,1905,R
2,3.,Harry Howell (27),5.070,1904,R
3,4.,Nick Altrock (30),4.836,1907,L
4,5.,Ed Willett (26),4.781,1910,R
5,6.,Carl Mays (24),4.776,1916,R
6,7.,Guy Hecker (26),4.760,1882,R
7,8.,Harry Howell (30),4.756,1907,R
8,9.,Elmer Stricklett (28),4.747,1905,R
9,10.,Frank Smith (30),4.701,1910,R
10,11.,Elmer Stricklett (29),4.623,1906,R
11,12.,Harry Howell (29),4.614,1906,R
12,13.,Will White (27),4.613,1882,R
13,14.,Nick Altrock (27),4.603,1904,L
14,15.,Barney Pelty (29),4.582,1910,R
15,16.,Willie Sudhoff (29),4.581,1904,R
16,17.,Wish Egan (24),4.579,1905,R
17,18.,Nick Altrock (28),4.557,1905,L
18,19.,Jean Dubuc (24),4.556,1913,R
19,20.,Ed Walsh+ (28),4.539,1909,R
20,21.,Harry Arundel (27),4.538,1882,R
21,21.,Jack Quinn (26),4.538,1910,R
22,23.,Ed Walsh+ (30),4.537,1911,R
23,24.,Gene Packard (28),4.529,1916,L
24,25.,Wilcy Moore (30),4.521,1927,R
25,26.,Tony Mullane (23),4.520,1882,R
26,27.,George Mullin (23),4.500,1904,R
27,28.,Ed Walsh+ (27),4.481,1908,R
28,29.,Ed Walsh+ (25),4.468,1906,R
29,30.,Frank Smith (29),4.438,1909,R
30,31.,Harry Howell (25),4.432,1902,R
31,32.,Gene Krapp (28),4.403,1915,R
32,33.,Scott Perry (28),4.402,1919,R
33,34.,Elmer Stricklett (30),4.383,1907,R
34,35.,Doc White (29),4.378,1908,L
35,36.,Gene Packard (27),4.372,1915,L
36,37.,Joe Harris (24),4.366,1906,R
37,38.,Carl Mays (25),4.360,1917,R
38,39.,Addie Joss+ (27),4.354,1907,R
39,40.,Gene Packard (26),4.351,1914,L
40,41.,Ed Willett (24),4.340,1908,R
41,42.,Harry Gumbert (27),4.320,1937,R
42,43.,Frank Owen (24),4.314,1904,R
