,Rank,Player (age that year),Errors Committed as C,Year,Throws
453,417.,Ed Sweeney (20),20,1909,R
454,417.,Al Todd (35),20,1937,R
455,456.,Fred Abbott (28),19,1903,R
456,456.,Doug Allison (30),19,1877,R
457,456.,Jimmy Archer (30),19,1913,R
458,456.,Roger Bresnahan+ (26),19,1905,R
459,456.,Lou Criger (26),19,1898,R
460,456.,Lou Criger (28),19,1900,R
461,456.,Clay Dalrymple (26),19,1963,R
462,456.,Lew Drill (25),19,1902,R
463,456.,Mike Grady (34),19,1904,R
464,456.,John Grim (29),19,1897,R
465,456.,Bill Killefer (27),19,1915,R
466,456.,Johnny Kling (36),19,1912,R
467,456.,Connie Mack+ (31),19,1894,R
468,456.,Gus Mancuso (27),19,1933,R
469,456.,Chief Meyers (31),19,1912,R
470,456.,Jocko Milligan (31),19,1893,R
471,456.,Bob O'Farrell (23),19,1920,R
472,456.,Heinie Peitz (29),19,1900,R
473,456.,Wally Schang (31),19,1921,R
474,456.,Ossee Schrecongost (31),19,1906,R
475,456.,Oscar Stanage (32),19,1915,R
476,456.,Jack Warner (22),19,1895,R
477,456.,Ivey Wingo (24),19,1915,R
478,479.,Gary Alexander (26),18,1979,R
479,479.,Bill Bergen (31),18,1909,R
480,479.,Bob Boone (32),18,1980,R
481,479.,Boileryard Clarke (24),18,1893,R
482,479.,Boileryard Clarke (30),18,1899,R
483,479.,Con Daily (28),18,1893,R
484,479.,Pickles Dillhoefer (26),18,1920,R
485,479.,Red Dooin (32),18,1911,R
486,479.,Duke Farrell (30),18,1897,R
487,479.,Gus Fisher (25),18,1911,R
488,479.,Charlie Ganzel (30),18,1892,R
489,479.,Rich Gedman (24),18,1984,R
490,479.,George Gibson (26),18,1907,R
491,479.,Mike Grady (24),18,1894,R
492,479.,Joe Gunson (30),18,1893,R
493,479.,Gabby Hartnett+ (23),18,1924,R
494,479.,Mike Heydon (31),18,1906,R
495,479.,Fred Hofmann (33),18,1927,R
496,479.,Jason Kendall (22),18,1996,R
497,479.,Grover Land (30),18,1915,R
498,479.,Larry McLean (29),18,1911,R
499,479.,Chief Meyers (30),18,1911,R
