,Rank,Player (age that year),Successful Replay Challenges,Year
0,1.,Don Mattingly (55),34,2016
1,2.,Jeff Banister (53),33,2017
2,3.,Walt Weiss (52),32,2016
3,4.,Bruce Bochy (61),31,2016
4,4.,Clint Hurdle (59),31,2017
5,4.,Ned Yost (63),31,2018
6,7.,Joe Girardi (52),30,2017
7,8.,Kevin Cash (38),29,2016
8,8.,Kevin Cash (39),29,2017
9,8.,Chris Woodward (43),29,2019
10,11.,Terry Francona (57),28,2016
11,11.,Joe Maddon (61),28,2015
12,11.,Joe Maddon (63),28,2017
13,11.,Mike Matheny (45),28,2016
14,15.,Andy Green (38),27,2016
15,15.,Gabe Kapler (42),27,2018
16,15.,Joe Maddon (64),27,2018
17,15.,Lloyd McClendon (56),27,2015
18,19.,Aaron Boone (45),26,2018
19,19.,Kevin Cash (40),26,2018
20,19.,Torey Lovullo (52),26,2018
21,19.,Pete Mackanin (64),26,2016
22,19.,Mike Matheny (46),26,2017
23,19.,Paul Molitor+ (58),26,2015
24,25.,Clint Hurdle (57),25,2015
25,25.,Clint Hurdle (58),25,2016
26,25.,Bryan Price (54),25,2016
27,25.,Rick Renteria (52),25,2014
28,25.,Walt Weiss (51),25,2015
29,25.,Ned Yost (61),25,2016
30,31.,Bud Black (61),24,2018
31,31.,Joe Girardi (49),24,2014
32,31.,Mike Scioscia (56),24,2015
33,31.,Ned Yost (62),24,2017
34,35.,Brad Ausmus (45),23,2014
35,35.,Jeff Banister (52),23,2016
36,35.,Bruce Bochy (63),23,2018
37,35.,Terry Collins (68),23,2017
38,35.,Fredi Gonzalez (50),23,2014
39,35.,AJ Hinch (41),23,2015
40,35.,Clint Hurdle (60),23,2018
41,35.,Gabe Kapler (43),23,2019
42,35.,Dave Roberts (45),23,2017
43,35.,Mike Scioscia (59),23,2018
44,35.,Ned Yost (64),23,2019
45,46.,Bruce Bochy (59),22,2014
46,46.,Kevin Cash (41),22,2019
47,46.,Alex Cora (42),22,2018
48,46.,Alex Cora (43),22,2019
49,46.,Craig Counsell (45),22,2016
50,46.,Joe Girardi (50),22,2015
51,46.,Fredi Gonzalez (51),22,2015
52,46.,Andy Green (41),22,2019
53,46.,Chip Hale (51),22,2016
54,46.,Don Mattingly (57),22,2018
55,46.,Don Mattingly (58),22,2019
56,46.,Bob Melvin (54),22,2016
57,46.,Scott Servais (49),22,2016
58,46.,Ned Yost (59),22,2014
59,60.,Bruce Bochy (60),21,2015
