,Rank,Player (age that year),Walks & Hits per IP,Year,Throws
134,135.,Ed Reulbach (22),0.9634,1905,R
135,136.,Walter Johnson+ (20),0.9636,1908,R
136,137.,Ed Morris (22),0.9639,1885,L
137,138.,Chief Bender+ (25),0.9640,1909,R
138,139.,Don Drysdale+ (27),0.9647,1964,R
139,140.,Dwight Gooden (20),0.9651,1985,R
140,140.,Frank Owen (24),0.9651,1904,R
141,142.,Mordecai Brown+ (27),0.9655,1904,R
142,142.,Chris Sale (25),0.9655,2014,L
143,144.,Tully Sparks (31),0.9663,1906,R
144,145.,Lady Baldwin (27),0.9671,1886,L
145,146.,Larry Corcoran (22),0.9672,1882,R
146,147.,Jack Flaherty (23),0.9677,2019,R
147,148.,Max Scherzer (31),0.9679,2016,R
148,148.,Curt Schilling (35),0.9679,2002,R
149,150.,Tony Mullane (24),0.9682,1883,R
150,151.,Roger Clemens (23),0.9685,1986,R
151,151.,Dennis Eckersley+ (30),0.9685,1985,R
152,153.,Turk Farrell (29),0.9687,1963,R
153,154.,Cy Young+ (36),0.9688,1903,R
154,155.,Walter Johnson+ (29),0.9693,1917,R
155,156.,Jim Devlin (27),0.9695,1876,R
156,157.,Chris Sale (28),0.9705,2017,L
157,157.,Max Scherzer (28),0.9705,2013,R
158,159.,Jacob deGrom (31),0.9706,2019,R
159,159.,Pretzels Getzien (20),0.9706,1884,R
160,161.,Johan Santana (26),0.9712,2005,L
161,162.,Walter Johnson+ (26),0.9713,1914,R
162,163.,Howie Camnitz (27),0.9717,1909,R
163,164.,Cy Young+ (34),0.9722,1901,R
164,165.,Eddie Fisher (28),0.9738,1965,R
165,166.,Derek Lowe (29),0.9742,2002,R
166,166.,Blake Snell (25),0.9742,2018,L
167,168.,Dick Rudolph (28),0.9744,1916,R
168,169.,Aaron Nola (25),0.9749,2018,R
169,170.,Charlie Ferguson (23),0.9756,1886,R
170,171.,Tom Seaver+ (28),0.9759,1973,R
171,172.,Rube Waddell+ (28),0.9767,1905,L
172,173.,Clayton Kershaw (23),0.9771,2011,L
173,174.,Gaylord Perry+ (33),0.9776,1972,R
174,175.,Tom Seaver+ (23),0.9784,1968,R
175,176.,Jose Fernandez (20),0.9788,2013,R
176,177.,Kyle Hendricks (26),0.9789,2016,R
177,177.,Old Hoss Radbourn+ (28),0.9789,1883,R
178,179.,Jacob deGrom (27),0.9791,2015,R
179,180.,Jack Pfiester (29),0.9795,1907,L
180,181.,Greg Maddux+ (32),0.9801,1998,R
181,182.,Sonny Siebert (28),0.9806,1965,R
182,183.,Ed Walsh+ (25),0.9808,1906,R
183,184.,Babe Adams (38),0.9810,1920,R
184,185.,Carl Hubbell+ (30),0.9816,1933,L
185,185.,Cy Young+ (40),0.9816,1907,R
186,187.,Gary Peters (29),0.9821,1966,L
187,188.,Dave Foutz (27),0.9823,1884,R
188,189.,Zack Greinke (35),0.9824,2019,R
189,190.,Dean Chance (27),0.9829,1968,R
190,191.,Ben Sheets (25),0.9831,2004,R
191,191.,Don Sutton+ (28),0.9831,1973,R
192,193.,Mike Scott (33),0.9832,1988,R
193,194.,Addie Joss+ (27),0.9833,1907,R
194,195.,Fred Goldsmith (24),0.9842,1880,R
195,195.,George McQuillan (23),0.9842,1908,R
196,197.,Noodles Hahn (25),0.9843,1904,L
197,198.,Pat Jarvis (27),0.9844,1968,R
198,199.,Sandy Koufax+ (30),0.9845,1966,L
199,200.,Bobby Bolin (29),0.9849,1968,R
200,201.,Walter Johnson+ (31),0.9851,1919,R
201,202.,Cole Hamels (27),0.9861,2011,L
202,203.,Catfish Hunter+ (28),0.9864,1974,R
203,204.,Tiny Bonham (28),0.9867,1942,R
204,205.,Mort Cooper (29),0.9868,1942,R
205,206.,Jesse Tannehill (27),0.9870,1902,L
206,207.,Henry Gruber (24),0.9875,1888,R
207,208.,Addie Joss+ (24),0.9879,1904,R
208,209.,Frank Tanana (22),0.9884,1976,L
209,210.,Pud Galvin+ (27),0.9885,1884,R
210,211.,Don Newcombe (30),0.9888,1956,R
