,Rank,Player (age that year),Times On Base,Year,Bats
0,1.,Babe Ruth+ (28),379,1923,L
1,2.,Barry Bonds (39),376,2004,L
2,3.,Billy Hamilton+ (28),362,1894,L
3,4.,Ted Williams+ (30),358,1949,L
4,5.,Barry Bonds (37),356,2002,L
5,6.,Babe Ruth+ (26),353,1921,L
6,7.,Babe Ruth+ (29),346,1924,L
7,8.,Ted Williams+ (28),345,1947,L
8,9.,Wade Boggs+ (30),342,1988,L
9,9.,Barry Bonds (36),342,2001,L
10,9.,Lou Gehrig+ (33),342,1936,L
11,12.,Wade Boggs+ (27),340,1985,L
12,13.,Ty Cobb+ (28),336,1915,L
13,14.,Ted Williams+ (22),335,1941,L
14,14.,Ted Williams+ (23),335,1942,L
15,16.,Carlos Delgado (28),334,2000,L
16,16.,Lefty O'Doul (32),334,1929,L
17,16.,Ted Williams+ (27),334,1946,L
18,19.,Jeff Bagwell+ (31),331,1999,R
19,19.,Lou Gehrig+ (34),331,1937,L
20,19.,Babe Ruth+ (31),331,1926,L
21,22.,Lou Gehrig+ (24),330,1927,L
22,23.,Jimmie Foxx+ (24),329,1932,R
23,23.,Babe Ruth+ (32),329,1927,L
24,25.,Lou Gehrig+ (28),328,1931,L
25,25.,Babe Ruth+ (36),328,1931,L
26,27.,Norm Cash (27),326,1961,L
27,28.,Lenny Dykstra (30),325,1993,L
28,28.,Babe Ruth+ (25),325,1920,L
29,30.,Jeff Bagwell+ (28),324,1996,R
30,30.,Lou Gehrig+ (27),324,1930,L
31,32.,Todd Helton (26),323,2000,L
32,32.,Babe Ruth+ (35),323,1930,L
33,34.,Todd Helton (29),322,2003,L
34,34.,Derek Jeter+ (25),322,1999,R
35,36.,Lou Gehrig+ (31),321,1934,L
36,36.,John Olerud (24),321,1993,L
37,36.,Joey Votto (33),321,2017,L
38,39.,Woody English (24),320,1930,R
39,39.,Jason Giambi (30),320,2001,L
40,39.,Todd Helton (30),320,2004,L
41,39.,Mark McGwire (34),320,1998,R
42,43.,Wade Boggs+ (31),319,1989,L
43,43.,Lou Gehrig+ (29),319,1932,L
44,43.,Mickey Mantle+ (25),319,1957,B
45,43.,Joey Votto (31),319,2015,L
46,47.,Rogers Hornsby+ (28),318,1924,R
47,47.,Eddie Yost (23),318,1950,R
48,49.,Rogers Hornsby+ (33),317,1929,R
49,49.,Frank Thomas+ (23),317,1991,R
50,49.,Ted Williams+ (29),317,1948,L
51,52.,Richie Ashburn+ (31),316,1958,L
52,52.,Jimmie Foxx+ (30),316,1938,R
53,52.,Charlie Gehringer+ (31),316,1934,L
54,52.,Jason Giambi (29),316,2000,L
55,52.,Rogers Hornsby+ (26),316,1922,R
56,52.,Stan Musial+ (28),316,1949,L
57,52.,Tris Speaker+ (32),316,1920,L
58,52.,Mo Vaughn (28),316,1996,L
59,52.,Joey Votto (29),316,2013,L
60,61.,Buddy Myer (31),315,1935,L
61,61.,Gary Sheffield (27),315,1996,R
62,61.,Tris Speaker+ (35),315,1923,L
63,61.,Ichiro Suzuki (30),315,2004,L
64,61.,Carl Yastrzemski+ (30),315,1970,L
65,66.,Charlie Gehringer+ (33),314,1936,L
66,66.,Chuck Knoblauch (27),314,1996,R
67,66.,Eddie Stanky (34),314,1950,R
68,66.,Hack Wilson+ (30),314,1930,R
69,70.,Lou Gehrig+ (32),313,1935,L
70,70.,Tony Phillips (34),313,1993,B
71,70.,Babe Ruth+ (33),313,1928,L
72,70.,Arky Vaughan+ (24),313,1936,L
73,70.,Ted Williams+ (32),313,1951,L
74,75.,Wade Boggs+ (28),312,1986,L
75,75.,Luis Gonzalez (33),312,2001,L
76,75.,Stan Musial+ (27),312,1948,L
77,75.,Bill Terry+ (31),312,1930,L
78,75.,Frank Thomas+ (24),312,1992,R
79,80.,Barry Bonds (31),311,1996,L
80,80.,Rod Carew+ (31),311,1977,L
81,80.,Babe Herman (27),311,1930,L
82,80.,Joe Kelley+ (22),311,1894,R
83,80.,Pete Rose (28),311,1969,B
84,80.,Sammy Sosa (32),311,2001,R
85,86.,Kiki Cuyler+ (31),310,1930,R
86,86.,Albert Pujols (29),310,2009,R
87,86.,Pete Rose (34),310,1975,B
88,86.,Tris Speaker+ (24),310,1912,L
89,86.,Roy Thomas (25),310,1899,L
90,91.,Lance Berkman (28),309,2004,B
91,91.,Craig Biggio+ (31),309,1997,R
92,91.,Lu Blue (34),309,1931,B
93,91.,Barry Bonds (28),309,1993,L
94,91.,Lou Gehrig+ (25),309,1928,L
95,91.,Chipper Jones+ (27),309,1999,B
96,91.,Edgar Martinez+ (34),309,1997,R
97,91.,John Olerud (30),309,1999,L
98,91.,Mike Trout (21),309,2013,R
99,100.,Barry Bonds (32),308,1997,L
100,100.,Miguel Cabrera (28),308,2011,R
101,100.,Charlie Jamieson (30),308,1923,L
102,100.,Chuck Klein+ (25),308,1930,L
103,100.,Frank Thomas+ (32),308,2000,R
104,105.,Wade Boggs+ (29),307,1987,L
105,105.,Jesse Burkett+ (26),307,1895,L
106,105.,John McGraw+ (25),307,1898,L
107,105.,Pete Rose (35),307,1976,B
108,109.,Edgar Martinez+ (32),306,1995,R
109,110.,Bobby Abreu (30),305,2004,L
110,110.,Jeff Bagwell+ (29),305,1997,R
111,110.,Jeff Bagwell+ (32),305,2000,R
112,110.,Barry Bonds (33),305,1998,L
113,110.,Darin Erstad (26),305,2000,L
114,110.,Hank Greenberg+ (26),305,1937,R
115,110.,Stan Musial+ (32),305,1953,L
116,110.,Pete Rose (38),305,1979,B
117,110.,George Sisler+ (27),305,1920,L
118,110.,Paul Waner+ (25),305,1928,L
119,120.,Richie Ashburn+ (27),304,1954,L
120,120.,Hugh Duffy+ (27),304,1894,R
121,120.,Jimmie Foxx+ (28),304,1936,R
122,120.,Billy Hamilton+ (29),304,1895,L
123,120.,Billy Hamilton+ (30),304,1896,L
124,120.,Stan Musial+ (25),304,1946,L
125,120.,Stan Musial+ (30),304,1951,L
126,127.,Wade Boggs+ (25),303,1983,L
127,127.,Cupid Childs (24),303,1892,L
128,127.,Tony Gwynn+ (27),303,1987,L
129,127.,Harmon Killebrew+ (33),303,1969,R
130,127.,Ralph Kiner+ (28),303,1951,R
131,127.,Bernie Williams (30),303,1999,B
132,133.,Paul Goldschmidt (27),302,2015,R
133,133.,Rogers Hornsby+ (25),302,1921,R
134,133.,Mickey Mantle+ (24),302,1956,B
135,133.,Stan Musial+ (33),302,1954,L
136,137.,Jimmie Foxx+ (25),301,1933,R
137,137.,Bryce Harper (22),301,2015,L
138,137.,Rickey Henderson+ (21),301,1980,R
139,137.,Albert Pujols (23),301,2003,R
