,Rank,Player (age that year),Range Factor/Game as CF (s.1901),Year,Throws
63,64.,Gus Bell (24),3.090,1953,R
64,65.,Lance Johnson (30),3.087,1994,L
65,66.,Lloyd Moseby (24),3.084,1984,R
66,66.,Mitch Webster (31),3.084,1990,L
67,68.,Dom DiMaggio (30),3.082,1947,R
68,69.,Ruppert Jones (22),3.071,1977,L
69,70.,Omar Moreno (26),3.068,1979,L
70,71.,Jim Rivera (30),3.067,1952,L
71,72.,Garry Maddox (25),3.064,1975,R
72,73.,Freddie Lindstrom+ (27),3.063,1933,R
73,74.,Omar Moreno (27),3.062,1980,L
74,75.,Ruppert Jones (25),3.061,1980,L
75,75.,Johnny Mostil (30),3.061,1926,R
76,77.,Max Carey+ (28),3.056,1918,R
77,78.,Max Carey+ (27),3.052,1917,R
78,78.,Augie Galan (31),3.052,1943,R
79,78.,Sam West (30),3.052,1935,L
80,81.,Lenny Dykstra (29),3.047,1992,L
81,82.,Happy Felsch (25),3.046,1917,R
82,82.,Johnny Mostil (27),3.046,1923,R
83,84.,Johnny Mostil (28),3.044,1924,R
84,85.,Sam Chapman (23),3.043,1939,R
85,86.,Dom DiMaggio (32),3.042,1949,R
86,87.,Omar Moreno (28),3.039,1981,L
87,88.,Sam Chapman (34),3.036,1950,R
88,89.,Kenny Lofton (25),3.035,1992,L
89,89.,Amos Otis (34),3.035,1981,R
90,91.,Adam Jones (23),3.034,2009,R
91,92.,Taylor Douthit (30),3.031,1931,R
92,93.,Rick Manning (26),3.029,1981,R
93,94.,Juan Beniquez (26),3.028,1976,R
94,95.,Jigger Statz (25),3.026,1923,R
95,96.,Curt Flood (20),3.025,1958,R
96,97.,Dave Philley (28),3.024,1948,R
97,98.,Larry Doby+ (28),3.022,1952,R
98,99.,Taylor Douthit (28),3.020,1929,R
99,99.,Willie Mays+ (23),3.020,1954,R
100,101.,Rick Manning (28),3.019,1983,R
101,102.,Tris Speaker+ (37),3.018,1925,L
102,103.,Max Carey+ (32),3.013,1922,R
103,103.,Jim Piersall (26),3.013,1956,R
104,103.,Stan Spence (29),3.013,1944,L
105,106.,Kirby Puckett+ (25),3.012,1985,R
106,107.,Woodie Held (25),3.011,1957,R
107,108.,Marquis Grissom (27),3.009,1994,R
108,108.,Jimmy Welsh (27),3.009,1930,R
109,110.,Alex Metzler (24),3.008,1927,R
110,110.,Chris Singleton (26),3.008,1999,L
111,112.,Paul Blair (30),3.007,1974,R
112,112.,Rickey Henderson+ (27),3.007,1986,L
113,112.,Rick Manning (24),3.007,1979,R
114,112.,Amos Otis (27),3.007,1974,R
115,112.,Mickey Rivers (27),3.007,1976,L
116,117.,Brett Butler (28),3.000,1985,L
117,117.,Sam Chapman (32),3.000,1948,R
118,117.,Dain Clay (25),3.000,1945,R
119,117.,Ron LeFlore (28),3.000,1976,R
120,117.,Kevin McReynolds (24),3.000,1984,R
121,117.,Al Oliver (27),3.000,1974,L
122,117.,Bill Wilson (25),3.000,1954,R
123,117.,Willie Wilson (28),3.000,1984,R
124,125.,Lenny Dykstra (27),2.993,1990,L
