,Rank,Player (age that year),Def. Games as 3B,Year,Throws
0,1.,Ron Santo+ (25),164,1965,R
1,2.,Brooks Robinson+ (24),163,1961,R
2,2.,Brooks Robinson+ (27),163,1964,R
3,4.,Dick Allen (22),162,1964,R
4,4.,Sal Bando (24),162,1968,R
5,4.,Sal Bando (25),162,1969,R
6,4.,Ken Boyer (33),162,1964,R
7,4.,Vinny Castilla (30),162,1998,R
8,4.,Ray Knight (27),162,1980,R
9,4.,Cal Ripken Jr.+ (36),162,1997,R
10,4.,Brooks Robinson+ (25),162,1962,R
11,4.,Brooks Robinson+ (31),162,1968,R
12,4.,Ron Santo+ (23),162,1963,R
13,4.,Ron Santo+ (28),162,1968,R
14,4.,Mike Schmidt+ (24),162,1974,R
15,16.,Max Alvis (29),161,1967,R
16,16.,Wade Boggs+ (27),161,1985,R
17,16.,Brandon Inge (32),161,2009,R
18,16.,Brook Jacoby (25),161,1985,R
19,16.,Terry Pendleton (28),161,1989,R
20,16.,Terry Pendleton (32),161,1993,R
21,16.,Cal Ripken Jr.+ (37),161,1998,R
22,16.,Alex Rodriguez (29),161,2005,R
23,16.,Pete Rose (36),161,1977,R
24,16.,Ron Santo+ (24),161,1964,R
25,16.,Ron Santo+ (27),161,1967,R
26,16.,Paul Schaal (28),161,1971,R
27,16.,Joe Torre+ (30),161,1971,R
28,16.,Robin Ventura (30),161,1998,R
29,16.,Tim Wallach (32),161,1990,R
30,16.,Don Wert (26),161,1965,R
31,16.,Ryan Zimmerman (22),161,2007,R
32,33.,Dick Allen (23),160,1965,R
33,33.,Nolan Arenado (25),160,2016,R
34,33.,Sal Bando (31),160,1975,R
35,33.,Ken Boyer (31),160,1962,R
36,33.,Ken Caminiti (26),160,1989,R
37,33.,Vinny Castilla (28),160,1996,R
38,33.,Darrell Evans (27),160,1974,R
39,33.,Brandon Inge (28),160,2005,R
40,33.,Tony Perez+ (26),160,1968,R
41,33.,Tony Perez+ (27),160,1969,R
42,33.,Ken Reitz (24),160,1975,R
43,33.,Brooks Robinson+ (26),160,1963,R
44,33.,Aurelio Rodriguez (25),160,1973,R
45,33.,Ron Santo+ (29),160,1969,R
46,33.,Mike Schmidt+ (26),160,1976,R
47,33.,Kyle Seager (25),160,2013,R
48,33.,Kyle Seager (27),160,2015,R
49,33.,Robin Ventura (31),160,1999,R
50,33.,Tim Wallach (26),160,1984,R
51,33.,David Wright (22),160,2005,R
52,33.,Todd Zeile (31),160,1997,R
53,54.,Sal Bando (29),159,1973,R
54,54.,Hank Blalock (23),159,2004,R
55,54.,Bobby Bonilla (25),159,1988,R
56,54.,Ken Boyer (32),159,1963,R
57,54.,George Brett+ (22),159,1975,R
58,54.,Darrell Evans (32),159,1979,R
59,54.,Pedro Feliz (31),159,2006,R
60,54.,Troy Glaus (24),159,2001,R
61,54.,Toby Harrah (28),159,1977,R
62,54.,Toby Harrah (33),159,1982,R
63,54.,Chase Headley (28),159,2012,R
64,54.,Butch Hobson (25),159,1977,R
65,54.,Brandon Inge (29),159,2006,R
66,54.,Deron Johnson (26),159,1965,R
67,54.,Mike Lowell (28),159,2002,R
68,54.,Graig Nettles (33),159,1978,R
69,54.,Aramis Ramirez (25),159,2003,R
70,54.,Aurelio Rodriguez (21),159,1969,R
71,54.,Aurelio Rodriguez (26),159,1974,R
72,54.,Scott Rolen (23),159,1998,R
73,54.,Rich Rollins (24),159,1962,R
74,54.,Pete Rose (35),159,1976,R
75,54.,Kevin Seitzer (27),159,1989,R
76,54.,Matt Williams (24),159,1990,R
77,54.,David Wright (24),159,2007,R
78,54.,David Wright (25),159,2008,R
79,80.,Max Alvis (25),158,1963,R
80,80.,Buddy Bell (24),158,1976,R
81,80.,Hank Blalock (24),158,2005,R
82,80.,Ron Cey (26),158,1974,R
83,80.,Ron Cey (27),158,1975,R
84,80.,Ron Cey (30),158,1978,R
85,80.,Ed Charles (30),158,1963,R
86,80.,Chase Headley (26),158,2010,R
87,80.,Brook Jacoby (26),158,1986,R
88,80.,Chipper Jones+ (26),158,1998,R
89,80.,Casey McGehee (31),158,2014,R
90,80.,Ken McMullen (29),158,1971,R
91,80.,Graig Nettles (26),158,1971,R
92,80.,Graig Nettles (31),158,1976,R
93,80.,Terry Pendleton (26),158,1987,R
94,80.,Terry Pendleton (31),158,1992,R
95,80.,Ken Reitz (28),158,1979,R
96,80.,Brooks Robinson+ (30),158,1967,R
97,80.,Eugenio Suarez (27),158,2019,R
98,99.,Max Alvis (28),157,1966,R
99,99.,Nolan Arenado (24),157,2015,R
100,99.,Nolan Arenado (26),157,2017,R
101,99.,Garrett Atkins (26),157,2006,R
102,99.,Adrian Beltre (23),157,2002,R
103,99.,Adrian Beltre (24),157,2003,R
104,99.,Clete Boyer (25),157,1962,R
105,99.,George Brett+ (23),157,1976,R
106,99.,Miguel Cabrera (23),157,2006,R
107,99.,Vinny Castilla (29),157,1997,R
108,99.,Vinny Castilla (31),157,1999,R
109,99.,Ron Cey (32),157,1980,R
110,99.,Ron Cey (35),157,1983,R
111,99.,Art Devlin (28),157,1908,R
112,99.,Eddie Foster (27),157,1914,R
113,99.,Pedro Guerrero (27),157,1983,R
114,99.,Ray Jablonski (26),157,1953,R
115,99.,Willie Jones (24),157,1950,R
116,99.,George Kell+ (27),157,1950,R
117,99.,Carney Lansford (22),157,1979,R
118,99.,Eddie Mathews+ (21),157,1953,R
119,99.,Don Money (27),157,1974,R
120,99.,Graig Nettles (28),157,1973,R
121,99.,Graig Nettles (30),157,1975,R
122,99.,Aramis Ramirez (23),157,2001,R
123,99.,Ken Reitz (26),157,1977,R
124,99.,Brooks Robinson+ (29),157,1966,R
125,99.,Ron Santo+ (22),157,1962,R
126,99.,Mike Schmidt+ (29),157,1979,R
127,99.,Kyle Seager (26),157,2014,R
128,99.,Red Smith (25),157,1915,R
129,99.,Robin Ventura (24),157,1992,R
130,99.,Eddie Yost (25),157,1952,R
131,99.,Todd Zeile (32),157,1998,R
132,99.,Ryan Zimmerman (21),157,2006,R
133,134.,Max Alvis (27),156,1965,R
134,134.,Wade Boggs+ (26),156,1984,R
135,134.,Bobby Bonilla (26),156,1989,R
136,134.,Matt Carpenter (28),156,2014,R
137,134.,Matt Chapman (26),156,2019,R
138,134.,Jimmy Collins+ (34),156,1904,R
139,134.,Darrell Evans (28),156,1975,R
140,134.,Gary Gaetti (26),156,1985,R
