,Rank,Player (age that year),Total Zone Runs as 3B (s.1953),Year,Throws
81,75.,Ron Cey (25),16,1973,R
82,75.,Jeff Cirillo (28),16,1998,R
83,75.,Travis Fryman (26),16,1995,R
84,75.,Brandon Inge (30),16,2007,R
85,75.,Corey Koskie (28),16,2001,R
86,75.,Vance Law (26),16,1983,R
87,75.,Evan Longoria (24),16,2010,R
88,75.,Eddie Mathews+ (26),16,1958,R
89,75.,Ken McMullen (27),16,1969,R
90,75.,Anthony Rendon (26),16,2016,R
91,75.,Jackie Robinson+ (37),16,1956,R
92,75.,Pablo Sandoval (24),16,2011,R
93,94.,Edgardo Alfonzo (23),15,1997,R
94,94.,Buddy Bell (30),15,1982,R
95,94.,Clete Boyer (23),15,1960,R
96,94.,Clete Boyer (27),15,1964,R
97,94.,Clete Boyer (32),15,1969,R
98,94.,Ken Boyer (27),15,1958,R
99,94.,George Brett+ (26),15,1979,R
100,94.,Eric Chavez (26),15,2004,R
101,94.,Darrell Evans (26),15,1973,R
102,94.,Pedro Feliz (31),15,2006,R
103,94.,Pedro Feliz (32),15,2007,R
104,94.,Gary Gaetti (38),15,1997,R
105,94.,Chase Headley (26),15,2010,R
106,94.,Don Hoak (27),15,1955,R
107,94.,Tim Hulett (33),15,1993,R
108,94.,Brett Lawrie (22),15,2012,R
109,94.,Eddie Mathews+ (31),15,1963,R
110,94.,Placido Polanco (25),15,2001,R
111,94.,Placido Polanco (26),15,2002,R
112,94.,Brooks Robinson+ (24),15,1961,R
113,94.,Brooks Robinson+ (37),15,1974,R
114,94.,Scott Rolen (27),15,2002,R
115,94.,Mike Schmidt+ (25),15,1975,R
116,94.,Roy Staiger (26),15,1976,R
117,94.,Tim Wallach (30),15,1988,R
118,119.,Buddy Bell (22),14,1974,R
119,119.,Clete Boyer (26),14,1963,R
120,119.,Joe Crede (25),14,2003,R
121,119.,Joe Crede (28),14,2006,R
122,119.,Doug DeCinces (31),14,1982,R
123,119.,Kelly Gruber (26),14,1988,R
124,119.,Evan Longoria (25),14,2011,R
125,119.,Evan Longoria (27),14,2013,R
126,119.,Jose Lopez (26),14,2010,R
127,119.,Tim Naehring (29),14,1996,R
128,119.,Mike Pagliarulo (31),14,1991,R
129,119.,Anthony Rendon (27),14,2017,R
130,119.,Scott Rolen (33),14,2008,R
131,119.,Freddy Sanchez (27),14,2005,R
132,119.,Eric Soderholm (26),14,1975,R
133,134.,Buddy Bell (28),13,1980,R
134,134.,David Bell (31),13,2004,R
135,134.,Adrian Beltre (20),13,1999,R
136,134.,Ken Boyer (30),13,1961,R
137,134.,Don Buford (29),13,1966,R
138,134.,Ken Caminiti (31),13,1994,R
139,134.,Vinny Castilla (32),13,2000,R
140,134.,Eric Chavez (23),13,2001,R
141,134.,Doug DeCinces (27),13,1978,R
142,134.,Jim Gilliam (31),13,1960,R
143,134.,Brandon Inge (28),13,2005,R
144,134.,Edgar Martinez+ (27),13,1990,R
145,134.,Melvin Mora (33),13,2005,R
146,134.,Graig Nettles (29),13,1974,R
147,134.,Nick Punto (28),13,2006,R
148,134.,Brooks Robinson+ (22),13,1959,R
149,134.,Scott Rolen (32),13,2007,R
150,134.,Kyle Seager (27),13,2015,R
151,134.,Eric Soderholm (30),13,1979,R
152,134.,Chris Stynes (30),13,2003,R
153,134.,Robin Ventura (24),13,1992,R
154,155.,Shane Andrews (24),12,1996,R
155,155.,Buddy Bell (21),12,1973,R
156,155.,Buddy Bell (26),12,1978,R
157,155.,Jeff Bianchi (26),12,2013,R
158,155.,Casey Blake (36),12,2010,R
159,155.,Aaron Boone (26),12,1999,R
160,155.,Scott Brosius (31),12,1998,R
161,155.,Steve Buechele (31),12,1993,R
162,155.,Ron Cey (26),12,1974,R
163,155.,Matt Chapman (26),12,2019,R
164,155.,Eric Chavez (25),12,2003,R
165,155.,Scott Cooper (25),12,1993,R
166,155.,Craig Counsell (32),12,2003,R
167,155.,Blake DeWitt (22),12,2008,R
168,155.,Gary Gaetti (26),12,1985,R
169,155.,Gary Gaetti (34),12,1993,R
170,155.,Gary Gaetti (35),12,1994,R
171,155.,Dave Hollins (30),12,1996,R
172,155.,Jerry Kenney (26),12,1971,R
173,155.,Mike Lowell (31),12,2005,R
174,155.,Ken McMullen (28),12,1970,R
175,155.,Mike Moustakas (23),12,2012,R
176,155.,Graig Nettles (33),12,1978,R
177,155.,Joe Randa (28),12,1998,R
178,155.,Anthony Rendon (24),12,2014,R
179,155.,Brooks Robinson+ (26),12,1963,R
180,155.,Aurelio Rodriguez (24),12,1972,R
181,155.,Scott Rolen (23),12,1998,R
182,155.,Mike Schmidt+ (28),12,1978,R
183,155.,Mike Schmidt+ (37),12,1987,R
184,155.,Bob Smith (24),12,1998,R
185,155.,Juan Uribe (35),12,2014,R
186,155.,Tim Wallach (28),12,1986,R
187,155.,Matt Williams (23),12,1989,R
188,189.,Garrett Atkins (26),11,2006,R
189,189.,Sal Bando (28),11,1972,R
190,189.,Adrian Beltre (36),11,2015,R
191,189.,Adrian Beltre (38),11,2017,R
192,189.,Wade Boggs+ (33),11,1991,R
193,189.,Clete Boyer (29),11,1966,R
194,189.,Tom Brookens (28),11,1982,R
195,189.,Steve Buechele (26),11,1988,R
196,189.,Ron Cey (32),11,1980,R
197,189.,Craig Counsell (31),11,2002,R
198,189.,Morgan Ensberg (29),11,2005,R
199,189.,Todd Frazier (27),11,2013,R
200,189.,Jedd Gyorko (28),11,2017,R
201,189.,Eddie Kasko (29),11,1960,R
202,189.,Brett Lawrie (21),11,2011,R
203,189.,Mike Lowell (34),11,2008,R
204,189.,Graig Nettles (30),11,1975,R
205,189.,Terry Pendleton (27),11,1988,R
206,189.,Bubba Phillips (29),11,1957,R
207,189.,Trevor Plouffe (29),11,2015,R
208,189.,Placido Polanco (35),11,2011,R
209,189.,Joe Randa (27),11,1997,R
210,189.,Scott Rolen (30),11,2005,R
211,189.,Scott Rolen (34),11,2009,R
212,189.,Mike Schmidt+ (30),11,1980,R
213,189.,Randy Velarde (27),11,1990,R
214,215.,Nolan Arenado (22),10,2013,R
215,215.,Nolan Arenado (23),10,2014,R
216,215.,Nolan Arenado (26),10,2017,R
217,215.,Adrian Beltre (29),10,2008,R
218,215.,Casey Blake (29),10,2003,R
219,215.,Wade Boggs+ (26),10,1984,R
220,215.,Ken Boyer (28),10,1959,R
221,215.,Ken Boyer (31),10,1962,R
222,215.,Tom Brookens (31),10,1985,R
223,215.,Alberto Callaspo (27),10,2010,R
224,215.,Ron Cey (27),10,1975,R
225,215.,Matt Chapman (24),10,2017,R
226,215.,Ed Charles (33),10,1966,R
227,215.,Eric Chavez (28),10,2006,R
228,215.,Josh Donaldson (26),10,2012,R
229,215.,Morgan Ensberg (30),10,2006,R
230,215.,Gary Gaetti (27),10,1986,R
231,215.,Troy Glaus (29),10,2006,R
232,215.,Aaron Hill (34),10,2016,R
233,215.,Brandon Inge (33),10,2010,R
234,215.,Garth Iorg (28),10,1983,R
235,215.,Jerry Kenney (25),10,1970,R
236,215.,Corey Koskie (29),10,2002,R
237,215.,Jake Lamb (24),10,2015,R
238,215.,Andy LaRoche (25),10,2009,R
239,215.,Frank Malzone (27),10,1957,R
240,215.,Frank Malzone (28),10,1958,R
241,215.,Don Money (25),10,1972,R
242,215.,Ken Oberkfell (30),10,1986,R
243,215.,Terry Pendleton (29),10,1990,R
244,215.,Rico Petrocelli (30),10,1973,R
245,215.,Martin Prado (30),10,2014,R
246,215.,Nick Punto (29),10,2007,R
247,215.,Pee Wee Reese+ (38),10,1957,R
248,215.,Anthony Rendon (29),10,2019,R
249,215.,Scott Rolen (26),10,2001,R
