,Rank,Player (age that year),Adj. Pitching Wins,Year,Throws
341,341.,Cliff Lee (32),4.23,2011,L
342,341.,Jake Peavy (26),4.23,2007,R
343,341.,Red Ruffing+ (32),4.23,1937,R
344,345.,Lefty Grove+ (29),4.22,1929,L
345,345.,Ray Kremer (32),4.22,1927,R
346,345.,Ed Walsh+ (26),4.22,1907,R
347,348.,Jim Bagby (30),4.20,1920,R
348,348.,Walter Johnson+ (28),4.20,1916,R
349,348.,Justin Verlander (29),4.20,2012,R
350,351.,Russ Ford (27),4.19,1910,R
351,351.,Juan Guzman (29),4.19,1996,R
352,351.,Orval Overall (28),4.19,1909,R
353,354.,Jesse Haines+ (33),4.18,1927,R
354,354.,Darryl Kile (28),4.18,1997,R
355,354.,Ben Sheets (25),4.18,2004,R
356,354.,Adam Wainwright (28),4.18,2010,R
357,354.,Brandon Webb (28),4.18,2007,R
358,359.,Dallas Keuchel (27),4.17,2015,L
359,359.,Jack Stivetts (23),4.17,1891,R
360,361.,Stan Coveleski+ (28),4.16,1918,R
361,361.,Kyle Freeland (25),4.16,2018,L
362,361.,Lefty Grove+ (26),4.16,1926,L
363,361.,Ken Hill (30),4.16,1996,R
364,361.,Bill James (22),4.16,1914,R
365,361.,Vic Willis+ (25),4.16,1901,R
366,367.,Johnny Allen (31),4.15,1936,R
367,367.,Joe Horlen (26),4.15,1964,R
368,367.,Al Leiter (32),4.15,1998,L
369,367.,Bobo Newsom (31),4.15,1939,R
370,367.,Barry Zito (24),4.15,2002,L
371,372.,Trevor Bauer (27),4.14,2018,R
372,372.,Mordecai Brown+ (31),4.14,1908,R
373,372.,Steve Carlton+ (24),4.14,1969,L
374,375.,John Clarkson+ (24),4.13,1886,R
375,375.,Clayton Kershaw (23),4.13,2011,L
376,375.,George McQuillan (23),4.13,1908,R
377,378.,Lefty Grove+ (28),4.12,1928,L
378,378.,Jon Matlack (28),4.12,1978,L
379,378.,Reb Russell (24),4.12,1913,L
380,378.,Tom Seaver+ (30),4.12,1975,R
381,382.,Kevin Appier (24),4.11,1992,R
382,382.,Carl Hubbell+ (29),4.11,1932,L
383,384.,Tom Candiotti (33),4.10,1991,R
