,Rank,Player (age that year),Range Factor/Game as 3B,Year,Throws
0,1.,Bob Ferguson (32),4.714,1877,R
1,2.,Arthur Irwin (24),4.529,1882,R
2,3.,Al Nichols (24),4.526,1876,
3,4.,Billy Shindle (31),4.343,1892,R
4,5.,Jumbo Davis (26),4.327,1888,R
5,6.,Billy Alvord (27),4.309,1891,R
6,7.,Bill Bradley (22),4.293,1900,R
7,8.,Cap Anson+ (24),4.273,1876,R
8,8.,Buck Ewing+ (22),4.273,1882,R
9,10.,Jimmy Collins+ (26),4.263,1896,R
10,11.,George Bradley (27),4.228,1880,R
11,12.,Joe Battin (23),4.219,1877,R
12,13.,Tommy Leach (21),4.188,1899,R
13,14.,Joe Battin (29),4.174,1883,R
14,15.,Bill Hague (26),4.161,1878,R
15,16.,John Shetzline (30),4.135,1882,
16,17.,Billy Shindle (27),4.133,1888,R
17,18.,Lee Tannehill (25),4.131,1906,R
18,19.,Joe Battin (22),4.127,1876,R
19,20.,Lave Cross (33),4.121,1899,R
20,21.,Lave Cross (28),4.117,1894,R
21,22.,Jimmy Collins+ (30),4.114,1900,R
22,23.,Ned Williamson (23),4.092,1881,R
23,24.,Patsy Tebeau (25),4.091,1890,R
24,25.,Charlie Reilly (23),4.088,1890,R
25,26.,Jerry Denny (23),4.071,1882,R
26,27.,Frank Hankinson (22),4.070,1878,R
27,28.,Billy Nash (27),4.059,1892,R
28,29.,Jimmy Collins+ (25),4.052,1895,R
29,29.,Arlie Latham (31),4.052,1891,R
30,31.,Arlie Latham (24),4.036,1884,R
31,32.,Jack Crooks (27),4.033,1893,R
32,33.,Will Smalley (19),4.029,1890,R
33,34.,Billy Shindle (30),4.010,1891,R
34,35.,Will Foley (21),4.000,1877,R
35,36.,Tommy Leach (26),3.993,1904,R
36,37.,Lave Cross (29),3.992,1895,R
37,38.,Jerry Denny (28),3.991,1887,R
38,39.,Denny Lyons (24),3.977,1890,R
39,40.,Billy Shindle (28),3.971,1889,R
40,41.,Frank Ellerbe (26),3.967,1922,R
41,42.,Jimmy Williams (22),3.961,1899,R
42,43.,Jiggs Parrott (21),3.960,1893,
43,44.,Ned Williamson (21),3.957,1879,R
44,45.,Dave Brain (28),3.954,1907,R
45,46.,Jimmy Williams (23),3.952,1900,R
46,47.,Denny Lyons (27),3.947,1893,R
47,48.,Bill Dahlen (21),3.941,1891,R
48,49.,Jimmy Collins+ (29),3.927,1899,R
49,49.,Ossie Vitt (26),3.927,1916,R
50,51.,Doug Baird (26),3.926,1918,R
51,52.,Billy Clingman (28),3.924,1898,R
52,53.,Billy Alvord (26),3.922,1890,R
53,53.,Billy Clingman (27),3.922,1897,R
54,55.,Harry Steinfeldt (26),3.915,1902,R
55,56.,Hick Carpenter (24),3.910,1880,L
56,57.,Harlond Clift (24),3.890,1937,R
57,58.,Charlie Irwin (29),3.882,1898,R
58,59.,Billy Clingman (26),3.876,1896,R
59,60.,Jerry Denny (29),3.875,1888,R
60,61.,Billy Shindle (32),3.872,1893,R
61,62.,Harry Wolverton (28),3.871,1902,R
62,63.,Tom Burns (30),3.869,1887,R
63,64.,Tom Burns (32),3.868,1889,R
64,65.,George Davis+ (25),3.865,1896,R
65,66.,Doggie Miller (25),3.864,1890,R
66,67.,Jerry Denny (27),3.863,1886,R
67,68.,Jerry Denny (30),3.862,1889,R
68,69.,Denny Lyons (28),3.861,1894,R
69,70.,Deacon White+ (42),3.859,1890,R
70,71.,Jimmy Collins+ (27),3.858,1897,R
71,72.,Billy Nash (25),3.856,1890,R
72,73.,Jimmy Collins+ (31),3.848,1901,R
73,74.,Arlie Latham (29),3.845,1889,R
74,75.,Billy Nash (22),3.838,1887,R
75,76.,Arlie Latham (23),3.837,1883,R
76,76.,Charlie Reilly (26),3.837,1893,R
77,78.,Ned Williamson (24),3.831,1882,R
78,79.,Harry Schafer (29),3.829,1876,R
79,80.,Charlie Hickman (24),3.825,1900,R
80,81.,Jerry Denny (22),3.824,1881,R
81,82.,Billy Nash (28),3.820,1893,R
82,83.,Jimmy Austin (31),3.818,1911,R
83,84.,Aaron Ward (23),3.816,1920,R
84,85.,Frank Hankinson (25),3.810,1881,R
85,86.,Dave Brain (27),3.806,1906,R
86,86.,Rube Lutzke (26),3.806,1924,R
87,88.,Hick Carpenter (26),3.800,1882,L
88,89.,Lave Cross (32),3.799,1898,R
89,90.,Bobby Byrne (24),3.795,1909,R
90,91.,Rube Lutzke (25),3.794,1923,R
91,92.,Denny Lyons (23),3.792,1889,R
92,93.,Bobby Byrne (22),3.784,1907,R
93,94.,Jimmy Collins+ (28),3.783,1898,R
94,95.,Jimmy Knowles (33),3.781,1890,
95,96.,Pete Gilbert (23),3.777,1891,R
96,97.,Levi Meyerle (26),3.776,1876,R
97,98.,Cap Anson+ (25),3.775,1877,R
98,99.,Eddie Foster (33),3.773,1920,R
99,100.,Hick Carpenter (25),3.771,1881,L
100,101.,Jack Gleason (27),3.767,1882,R
101,102.,Marty McManus (26),3.762,1926,R
102,103.,Lave Cross (35),3.760,1901,R
103,104.,Bobby Wallace+ (24),3.759,1898,R
104,105.,Jimmy Austin (39),3.755,1919,R
105,106.,Ned Williamson (26),3.748,1884,R
106,107.,Duke Farrell (24),3.742,1891,R
107,107.,Billy Nash (24),3.742,1889,R
108,107.,Ned Williamson (25),3.742,1883,R
109,110.,Bill Bradley (24),3.737,1902,R
110,111.,Jerry Denny (24),3.735,1883,R
111,112.,Buck Weaver (25),3.729,1916,R
112,113.,Bob Ferguson (31),3.725,1876,R
113,114.,Jimmy Collins+ (32),3.720,1902,R
114,115.,Lave Cross (34),3.714,1900,R
115,116.,Clete Boyer (25),3.713,1962,R
116,116.,George Davis+ (24),3.713,1895,R
117,118.,Jimmy Austin (29),3.712,1909,R
118,119.,Billy Nash (23),3.705,1888,R
119,120.,Lee Tannehill (24),3.704,1905,R
120,121.,Bill Coughlin (22),3.701,1901,R
121,121.,Tommy Leach (25),3.701,1903,R
122,123.,Pinky May (30),3.700,1941,R
123,124.,Ed Gremminger (29),3.693,1903,R
124,124.,Charlie Reilly (30),3.693,1897,R
125,126.,Billy Clingman (25),3.692,1895,R
126,127.,Art Whitney (23),3.690,1881,R
127,128.,Bill Bradley (23),3.684,1901,R
128,129.,Clete Boyer (29),3.682,1966,R
129,130.,Red Smith (24),3.680,1914,R
130,131.,Yank Robinson (24),3.676,1884,R
131,132.,Bob Jones (31),3.674,1921,R
132,133.,Joe Mulvey (25),3.670,1884,R
133,134.,Jimmy Austin (30),3.669,1910,R
134,134.,Sammy Strang (25),3.669,1902,R
135,136.,Arlie Latham (30),3.667,1890,R
136,136.,Bill Sweeney (22),3.667,1908,R
137,138.,Bill Kuehne (31),3.664,1890,R
138,139.,Roy Hartzell (28),3.663,1910,R
