,Rank,Player (age that year),Batters Faced,Year,Throws
204,205.,Tony Mullane (34),1698,1893,R
205,206.,Pretzels Getzien (24),1697,1888,R
206,206.,Stump Weidman (21),1697,1882,R
207,208.,Tim Keefe+ (24),1693,1881,R
208,208.,Silver King (23),1693,1891,R
209,210.,Jim Whitney (28),1691,1886,R
210,211.,Amos Rusie+ (24),1690,1895,R
211,212.,Harry Staley (23),1688,1890,R
212,213.,Fred Goldsmith (27),1683,1883,R
213,213.,Brickyard Kennedy (25),1683,1893,R
214,215.,Hank O'Day+ (28),1680,1888,R
215,216.,Gus Weyhing (21),1673,1888,R
216,217.,Ad Gumbert (24),1667,1892,R
217,218.,Silver King (19),1666,1887,R
218,219.,Al Atkinson (23),1664,1884,R
219,220.,John Clarkson+ (28),1663,1890,R
220,220.,Ed Crane (29),1663,1891,R
221,222.,Kid Nichols+ (25),1661,1895,R
222,223.,Dan Casey (24),1660,1887,L
223,223.,George Haddock (25),1660,1892,R
224,225.,Dave Foutz (28),1659,1885,R
225,226.,John Clarkson+ (30),1658,1892,R
226,227.,Charlie Ferguson (22),1657,1885,R
227,228.,Billy Rhines (21),1656,1890,R
228,229.,Theodore Breitenstein (24),1655,1893,L
229,230.,Bill Carrick (25),1654,1899,R
230,230.,Hank Gastright (25),1654,1890,R
231,232.,Red Ehret (20),1653,1889,R
232,233.,Pink Hawley (23),1652,1896,R
233,233.,Jumbo McGinnis (28),1652,1882,
234,233.,Vic Willis+ (26),1652,1902,R
235,236.,Henry Boyle (28),1650,1889,R
236,236.,Larry Corcoran (21),1650,1881,R
237,238.,Win Mercer (22),1645,1896,R
238,239.,Brickyard Kennedy (26),1644,1894,R
239,240.,Ed Crane (30),1643,1892,R
240,241.,Charlie Buffinton (28),1640,1889,R
241,241.,Pretzels Getzien (22),1640,1886,R
242,243.,Hardie Henderson (20),1638,1883,R
243,244.,Fred Goldsmith (26),1637,1882,R
244,245.,Joe McGinnity+ (30),1631,1901,R
245,245.,Lee Viau (22),1631,1889,R
246,247.,Dupee Shaw (27),1630,1886,L
247,248.,Egyptian Healy (23),1629,1890,R
248,249.,Pud Galvin+ (28),1627,1885,R
249,250.,Billy Rhines (22),1625,1891,R
250,251.,Tommy Bond (20),1623,1876,R
251,252.,Ed Walsh+ (26),1622,1907,R
252,253.,Jack Taylor (23),1621,1896,R
253,254.,Bill Hutchison (33),1620,1893,R
254,255.,Lee Viau (21),1618,1888,R
255,256.,Joe McGinnity+ (33),1613,1904,R
256,257.,Dan Casey (27),1612,1890,L
257,257.,Red Donahue (24),1612,1897,R
258,259.,George Haddock (24),1611,1891,R
259,259.,Togie Pittinger (30),1611,1902,R
260,261.,Bobby Mathews (31),1609,1883,R
261,262.,Adonis Terry (25),1608,1890,R
262,263.,Mickey Welch+ (29),1607,1889,R
263,264.,Jack Lynch (28),1606,1885,R
264,264.,Ed Stein (22),1606,1892,R
265,266.,Tom Lovett (27),1604,1891,R
266,267.,Duke Esper (25),1599,1893,L
267,268.,Frank Dwyer (26),1594,1894,R
268,268.,Chick Fraser (22),1594,1896,R
269,268.,Jack Powell (24),1594,1899,R
270,271.,Frank Foreman (28),1593,1891,R
271,272.,Doc Landis (27),1592,1882,
272,273.,Kid Carsey (22),1591,1895,R
273,273.,Nig Cuppy (22),1591,1892,R
274,275.,George Derby (24),1590,1882,R
275,276.,Tom Lovett (26),1589,1890,R
276,276.,Sam Weaver (22),1589,1878,R
277,278.,Tim Keefe+ (25),1588,1882,R
278,279.,Charlie Buffinton (27),1586,1888,R
279,279.,Pete Conway (21),1586,1888,R
280,279.,Gus Weyhing (26),1586,1893,R
281,282.,Oscar Jones (24),1583,1904,R
282,283.,Charlie Ferguson (23),1582,1886,R
283,284.,Bob Caruthers (22),1581,1886,R
284,284.,Jumbo McGinnis (29),1581,1883,
285,284.,Cy Seymour (25),1581,1898,L
286,287.,Tony Mullane (29),1580,1888,R
287,287.,Ed Stein (24),1580,1894,R
288,289.,Hugh Daily (35),1578,1883,R
289,289.,Pretzels Getzien (23),1578,1887,R
290,291.,Red Ehret (25),1577,1894,R
291,291.,Tim Keefe+ (28),1577,1885,R
292,291.,Bill Wise (23),1577,1884,
