,Rank,Player (age that year),Errors Committed as 2B,Year,Throws
0,1.,Bill McClellan (31),105,1887,L
1,2.,Al Myers (25),96,1889,R
2,3.,Yank Robinson (26),95,1886,R
3,4.,Tom Evers (32),94,1884,L
4,5.,Cub Stricker (24),93,1883,R
5,6.,Tom O'Brien (24),90,1884,R
6,7.,Pop Smith (23),89,1880,R
7,8.,Bob Ferguson (38),88,1883,R
8,8.,Reddy Mack (20),88,1886,
9,8.,Bill McClellan (30),88,1886,L
10,8.,Fred Pfeffer (24),88,1884,R
11,12.,Sam Crane (29),87,1883,R
12,13.,Fred Pfeffer (25),86,1885,R
13,14.,Reddy Mack (23),83,1889,
14,15.,Cupid Childs (23),82,1891,R
15,16.,Yank Robinson (29),81,1889,R
16,16.,Cub Stricker (26),81,1885,R
17,18.,Lou Bierbauer (20),80,1886,R
18,18.,Cub Stricker (25),80,1884,R
19,18.,Cub Stricker (28),80,1887,R
20,21.,Yank Robinson (31),79,1891,R
21,22.,Tom McLaughlin (25),78,1885,R
22,23.,Fred Pfeffer (31),77,1891,R
23,23.,Dick Phelan (29),77,1884,
24,25.,Fred Pfeffer (30),76,1890,R
25,25.,Yank Robinson (27),76,1887,R
26,27.,Pop Smith (27),75,1884,R
27,28.,Dasher Troy (28),74,1884,R
28,28.,John Ward+ (32),74,1892,R
29,30.,Sam Crane (30),73,1884,R
30,30.,Reddy Mack (21),73,1887,
31,30.,Fred Pfeffer (26),73,1886,R
32,30.,John Ward+ (33),73,1893,R
33,30.,Sam Wise (32),73,1890,R
34,35.,Bid McPhee+ (27),72,1887,R
35,35.,Fred Pfeffer (27),72,1887,R
36,37.,Roger Connor+ (26),71,1884,L
37,37.,Jack Farrell (24),71,1882,R
38,39.,Ed Andrews (25),69,1884,R
39,39.,Yank Robinson (30),69,1890,R
40,39.,Dan Shannon (24),69,1889,
41,39.,Ed Somerville (23),69,1876,R
42,43.,Lou Bierbauer (22),68,1888,R
43,43.,George Creamer (25),68,1880,R
44,43.,Tom Daly (28),68,1894,R
45,43.,Hardy Richardson (28),68,1883,R
46,43.,Cub Stricker (31),68,1890,R
47,48.,George Creamer (28),67,1883,R
48,48.,Tommy Dowd (22),67,1891,R
49,48.,Reddy Mack (22),67,1888,
50,48.,Fred Pfeffer (23),67,1883,R
51,52.,John Ward+ (34),66,1894,R
52,52.,Sam Wise (33),66,1891,R
53,54.,Bill Geiss (25),65,1884,
