,Rank,Player (age that year),Assists as 2B,Year,Throws
0,1.,Frankie Frisch+ (29),641,1927,R
1,2.,Hughie Critz (25),588,1926,R
2,3.,Rogers Hornsby+ (31),582,1927,R
3,4.,Ski Melillo (30),572,1930,R
4,5.,Ryne Sandberg+ (23),571,1983,R
5,6.,Rabbit Maranville+ (32),568,1924,R
6,7.,Frank Parkinson (27),562,1922,R
7,8.,Aaron Hill (25),560,2007,R
8,9.,Tony Cuccinello (28),559,1936,R
9,10.,Johnny Hodapp (24),557,1930,R
10,11.,Lou Bierbauer (26),555,1892,R
11,12.,Pep Young (30),554,1938,R
12,13.,Burgess Whitehead (26),552,1936,R
13,14.,Sparky Adams (30),551,1925,R
14,15.,Ryne Sandberg+ (24),550,1984,R
15,16.,Rogers Hornsby+ (33),547,1929,R
16,17.,Hod Ford (26),543,1924,R
17,17.,Bill Mazeroski+ (27),543,1964,R
18,17.,Ski Melillo (31),543,1931,R
19,20.,Hughie Critz (24),542,1925,R
20,20.,Charlie Gehringer+ (30),542,1933,R
21,20.,Jerry Priddy (30),542,1950,R
22,20.,Woody Williams (31),542,1944,R
23,24.,Hughie Critz (32),541,1933,R
24,25.,Glenn Hubbard (27),539,1985,R
25,25.,Ryne Sandberg+ (32),539,1992,R
26,27.,Nap Lajoie+ (33),538,1908,R
27,27.,Bill Mazeroski+ (29),538,1966,R
28,29.,Frankie Frisch+ (26),537,1924,R
29,30.,Billy Herman+ (22),527,1932,R
30,30.,Manny Trillo (25),527,1976,R
31,32.,Ski Melillo (32),526,1932,R
32,32.,Bump Wills (25),526,1978,R
33,34.,Tony Cuccinello (24),525,1932,R
34,34.,Miller Huggins+ (27),525,1905,R
35,36.,Tony Cuccinello (29),524,1937,R
36,36.,Charlie Gehringer+ (33),524,1936,R
37,36.,Rogers Hornsby+ (24),524,1920,R
38,36.,Freddie Maguire (29),524,1928,R
39,40.,Jimmy Dykes (24),522,1921,R
40,40.,Bobby Knoop (25),522,1964,R
41,40.,Ryne Sandberg+ (28),522,1988,R
42,43.,Billy Herman+ (25),520,1935,R
43,44.,Dave Cash (26),519,1974,R
44,44.,Ski Melillo (29),519,1929,R
45,46.,Johnny Evers+ (22),518,1904,R
46,46.,George Grantham (23),518,1923,R
47,48.,Billy Herman+ (28),517,1938,R
48,48.,Rogers Hornsby+ (28),517,1924,R
49,50.,Charlie Gehringer+ (31),516,1934,R
50,51.,Del Pratt (32),515,1920,R
51,51.,Ryne Sandberg+ (31),515,1991,R
52,53.,Burgess Whitehead (27),514,1937,R
53,54.,Don Blasingame (25),512,1957,R
54,54.,Lonny Frey (29),512,1940,R
