,Rank,Player (age that year),Total Bases,Year,Bats
124,119.,Joe Medwick+ (24),367,1936,R
125,119.,Frank Robinson+ (30),367,1966,R
126,119.,Al Rosen (29),367,1953,R
127,119.,Al Simmons+ (30),367,1932,R
128,119.,Ken Williams (32),367,1922,L
129,119.,Robin Yount+ (26),367,1982,R
130,131.,Hank Aaron+ (28),366,1962,R
131,131.,Darin Erstad (26),366,2000,L
132,131.,Lou Gehrig+ (34),366,1937,L
133,131.,Vladimir Guerrero+ (24),366,1999,R
134,131.,Vladimir Guerrero+ (29),366,2004,R
135,131.,Roger Maris (26),366,1961,L
136,131.,Willie Mays+ (26),366,1957,R
137,131.,Stan Musial+ (25),366,1946,L
138,139.,Barry Bonds (28),365,1993,L
139,139.,Nomar Garciaparra (23),365,1997,R
140,139.,Harry Heilmann+ (26),365,1921,R
141,139.,Chuck Klein+ (28),365,1933,L
142,139.,Joe Medwick+ (23),365,1935,R
143,139.,Kirby Puckett+ (26),365,1986,R
144,139.,Babe Ruth+ (31),365,1926,L
145,146.,Rich Aurilia (29),364,2001,R
146,146.,Jacoby Ellsbury (27),364,2011,L
147,146.,Lou Gehrig+ (25),364,1928,L
148,146.,Vladimir Guerrero+ (27),364,2002,R
149,146.,Alex Rodriguez (27),364,2003,R
150,146.,Frank Thomas+ (32),364,2000,R
151,152.,Dale Alexander (26),363,1929,R
152,152.,Jeff Bagwell+ (32),363,2000,R
153,152.,George Brett+ (26),363,1979,L
154,152.,Eddie Mathews+ (21),363,1953,L
155,152.,Mark McGwire (35),363,1999,R
156,152.,David Ortiz (29),363,2005,L
157,158.,Jim Bottomley+ (28),362,1928,L
158,158.,Alfonso Soriano (30),362,2006,R
159,160.,Earl Averill+ (29),361,1931,L
160,160.,Shawn Green (26),361,1999,L
161,160.,Ralph Kiner+ (24),361,1947,R
162,160.,Ralph Kiner+ (26),361,1949,R
163,160.,Stan Musial+ (32),361,1953,L
164,165.,Bret Boone (32),360,2001,R
165,165.,Willie Mays+ (34),360,1965,R
166,165.,Johnny Mize+ (34),360,1947,L
167,165.,Albert Pujols (21),360,2001,R
168,165.,Albert Pujols (25),360,2005,R
169,165.,Mo Vaughn (30),360,1998,L
170,165.,Carl Yastrzemski+ (27),360,1967,L
171,172.,Earl Averill+ (30),359,1932,L
172,172.,Mookie Betts (23),359,2016,R
173,172.,Dante Bichette (31),359,1995,R
174,172.,Rafael Devers (22),359,2019,L
175,172.,Lou Gehrig+ (30),359,1933,L
176,172.,Ken Griffey Jr.+ (23),359,1993,L
177,172.,Chipper Jones+ (27),359,1999,B
178,172.,Stan Musial+ (33),359,1954,L
179,172.,Albert Pujols (26),359,2006,R
180,172.,Hanley Ramirez (23),359,2007,R
181,182.,Hank Aaron+ (27),358,1961,R
182,182.,Lance Berkman (25),358,2001,B
183,182.,Jim Bottomley+ (25),358,1925,L
184,182.,Jimmie Foxx+ (22),358,1930,R
185,182.,Ted Kluszewski (30),358,1955,L
186,182.,J.D. Martinez (30),358,2018,R
187,182.,Kirby Puckett+ (28),358,1988,R
188,182.,Alfonso Soriano (27),358,2003,R
189,190.,Wally Moses (26),357,1937,L
190,190.,Tip O'Neill (27),357,1887,R
191,192.,Ryan Braun (28),356,2012,R
192,192.,Orlando Cepeda+ (23),356,1961,R
193,192.,Tommy Davis (23),356,1962,R
194,192.,Prince Fielder (25),356,2009,L
195,192.,Charlie Gehringer+ (33),356,1936,L
196,192.,Hank Greenberg+ (23),356,1934,R
197,192.,Rafael Palmeiro (34),356,1999,L
198,192.,Billy Williams+ (27),356,1965,L
199,200.,Felipe Alou (31),355,1966,R
200,200.,Nolan Arenado (26),355,2017,R
201,200.,Ernie Banks+ (24),355,1955,R
202,200.,Johnny Bench+ (22),355,1970,R
203,200.,Joe DiMaggio+ (33),355,1948,R
204,200.,Richard Hidalgo (25),355,2000,R
205,200.,Andruw Jones (23),355,2000,R
206,200.,Stan Musial+ (30),355,1951,L
207,200.,David Ortiz (30),355,2006,L
208,200.,Mike Piazza+ (28),355,1997,R
209,200.,Hack Wilson+ (29),355,1929,R
210,211.,Nolan Arenado (24),354,2015,R
211,211.,Norm Cash (27),354,1961,L
212,211.,Prince Fielder (23),354,2007,L
213,211.,Magglio Ordonez (33),354,2007,R
214,215.,Miguel Cabrera (30),353,2013,R
215,215.,Andre Dawson+ (32),353,1987,R
216,215.,Nomar Garciaparra (24),353,1998,R
217,215.,Matt Holliday (26),353,2006,R
218,215.,Aubrey Huff (26),353,2003,L
219,215.,Matt Kemp (26),353,2011,R
220,215.,Mickey Mantle+ (29),353,1961,B
221,215.,Johnny Mize+ (26),353,1939,L
222,223.,Dick Allen (22),352,1964,R
223,223.,Nolan Arenado (25),352,2016,R
224,223.,Josh Donaldson (29),352,2015,R
225,223.,Jimmie Foxx+ (26),352,1934,R
226,223.,Ryan Howard (29),352,2009,L
227,223.,Jeff Kent (34),352,2002,R
228,223.,Eddie Mathews+ (27),352,1959,L
229,223.,Magglio Ordonez (28),352,2002,R
230,223.,Sam Thompson+ (35),352,1895,L
231,223.,Joe Torre+ (30),352,1971,R
232,233.,Ernie Banks+ (28),351,1959,R
233,233.,Jose Bautista (29),351,2010,R
234,233.,Cody Bellinger (23),351,2019,L
235,233.,Rod Carew+ (31),351,1977,L
236,233.,Kiki Cuyler+ (31),351,1930,R
237,233.,Andres Galarraga (36),351,1997,R
238,233.,Carlos Gonzalez (24),351,2010,L
239,233.,Goose Goslin+ (29),351,1930,L
240,233.,Willie Mays+ (33),351,1964,R
241,233.,Ed Morgan (26),351,1930,R
242,233.,David Ortiz (28),351,2004,L
243,244.,Ryan Braun (25),350,2009,R
244,244.,Jeff Kent (32),350,2000,R
245,244.,Nap Lajoie+ (26),350,1901,R
246,244.,Freddie Lindstrom+ (24),350,1930,R
247,244.,Willie Mays+ (27),350,1958,R
248,244.,Rafael Palmeiro (33),350,1998,L
249,244.,Dave Parker (34),350,1985,L
250,244.,Albert Pujols (30),350,2010,R
251,244.,Tris Speaker+ (35),350,1923,L
252,253.,Robinson Cano (33),349,2016,L
253,253.,Ken Griffey Jr.+ (29),349,1999,L
254,253.,Mark McGwire (33),349,1997,R
255,253.,Grady Sizemore (23),349,2006,L
256,253.,Miguel Tejada (30),349,2004,R
257,258.,Pete Alonso (24),348,2019,R
258,258.,Joe DiMaggio+ (23),348,1938,R
259,258.,Joe DiMaggio+ (26),348,1941,R
260,258.,Steve Finley (31),348,1996,L
261,258.,Juan Gonzalez (26),348,1996,R
262,258.,Babe Herman (26),348,1929,L
263,258.,Manny Ramirez (32),348,2004,R
264,258.,Babe Ruth+ (34),348,1929,L
265,258.,Gary Sheffield (34),348,2003,R
266,258.,George Sisler+ (29),348,1922,L
267,258.,Billy Williams+ (34),348,1972,L
268,269.,Jose Canseco (23),347,1988,R
269,269.,Ed Delahanty+ (25),347,1893,R
270,269.,Chuck Klein+ (26),347,1931,L
271,269.,Willie Mays+ (32),347,1963,R
272,269.,Stan Musial+ (22),347,1943,L
273,269.,Chase Utley (27),347,2006,L
274,275.,Derek Jeter+ (25),346,1999,R
275,275.,Chipper Jones+ (29),346,2001,B
276,275.,Mel Ott+ (20),346,1929,L
277,275.,Tony Perez+ (28),346,1970,R
278,275.,Manny Ramirez (27),346,1999,R
279,275.,Ken Williams (33),346,1923,L
280,281.,Garret Anderson (31),345,2003,L
281,281.,Robinson Cano (29),345,2012,L
282,281.,Vinny Castilla (28),345,1996,R
283,281.,Cecil Cooper (32),345,1982,L
284,281.,Nomar Garciaparra (29),345,2003,R
285,281.,Adrian Gonzalez (29),345,2011,L
286,281.,Kevin Mitchell (27),345,1989,R
287,281.,Wally Post (25),345,1955,R
288,289.,Hank Aaron+ (33),344,1967,R
289,289.,Garret Anderson (30),344,2002,L
290,289.,Ernie Banks+ (26),344,1957,R
291,289.,Miguel Cabrera (22),344,2005,R
292,289.,Mark McGwire (23),344,1987,R
293,289.,Mel Ott+ (25),344,1934,L
294,289.,Jim Rice+ (30),344,1983,R
295,289.,Ryne Sandberg+ (30),344,1990,R
296,289.,Ruben Sierra (23),344,1989,B
297,289.,Mark Teixeira (29),344,2009,B
298,289.,Ted Williams+ (20),344,1939,L
299,300.,José Abreu (30),343,2017,R
300,300.,Nolan Arenado (28),343,2019,R
301,300.,Yoenis Céspedes (29),343,2015,R
302,300.,Jason Giambi (30),343,2001,L
303,300.,Jeff Heath (26),343,1941,L
304,300.,Francisco Lindor (24),343,2018,B
305,300.,Tino Martinez (29),343,1997,L
306,300.,Cal Ripken Jr.+ (22),343,1983,R
307,300.,Marcus Semien (28),343,2019,R
308,300.,Duke Snider+ (23),343,1950,L
309,300.,Billy Williams+ (26),343,1964,L
310,300.,Ted Williams+ (27),343,1946,L
311,300.,Christian Yelich (26),343,2018,L
312,300.,Rudy York (26),343,1940,R
313,300.,Michael Young (28),343,2005,R
314,315.,Roberto Clemente+ (31),342,1966,R
315,315.,Johnny Frederick (27),342,1929,L
316,315.,Ken Griffey Jr.+ (26),342,1996,L
317,315.,Rafael Palmeiro (31),342,1996,L
318,315.,Albert Pujols (28),342,2008,R
319,315.,Manny Ramirez (26),342,1998,R
320,315.,Mike Schmidt+ (30),342,1980,R
321,315.,Greg Vaughn (32),342,1998,R
322,315.,Paul Waner+ (24),342,1927,L
323,324.,Jeff Bagwell+ (33),341,2001,R
324,324.,George Bell (26),341,1986,R
325,324.,Wally Berger (24),341,1930,R
326,324.,Xander Bogaerts (26),341,2019,R
327,324.,Bobby Bonds (27),341,1973,R
328,324.,Miguel Cabrera (27),341,2010,R
329,324.,Joe Carter (26),341,1986,R
330,324.,Andre Dawson+ (28),341,1983,R
331,324.,Manny Machado (23),341,2016,R
332,324.,David Ortiz (31),341,2007,L
333,324.,Jose Ramirez (24),341,2017,B
334,335.,Hank Aaron+ (22),340,1956,R
335,335.,Moises Alou (31),340,1998,R
336,335.,Jose Altuve (26),340,2016,R
337,335.,Earl Averill+ (32),340,1934,L
338,335.,Jimmie Foxx+ (27),340,1935,R
339,335.,Brian Giles (30),340,2001,L
340,335.,Troy Glaus (23),340,2000,R
341,335.,Aaron Hill (27),340,2009,R
342,335.,Frank Howard (32),340,1969,R
343,335.,Aaron Judge (25),340,2017,R
344,335.,Manny Machado (25),340,2018,R
345,335.,Mel Ott+ (23),340,1932,L
346,335.,Dave Parker (27),340,1978,L
347,348.,Tony Armas (30),339,1984,R
348,348.,Adrian Beltre (33),339,2012,R
349,348.,Ken Caminiti (33),339,1996,B
350,348.,Cecil Fielder (26),339,1990,R
351,348.,Juan Gonzalez (23),339,1993,R
352,348.,Vladimir Guerrero+ (26),339,2001,R
353,348.,Todd Helton (25),339,1999,L
354,348.,Todd Helton (30),339,2004,L
355,348.,Trevor Story (25),339,2018,R
356,348.,Mike Trout (23),339,2015,R
357,358.,Ryan Braun (24),338,2008,R
358,358.,Rocky Colavito (27),338,1961,R
359,358.,Ed Delahanty+ (31),338,1899,R
360,358.,Carlos Delgado (31),338,2003,L
361,358.,Juan Gonzalez (29),338,1999,R
362,358.,Curtis Granderson (26),338,2007,L
363,358.,Bryce Harper (22),338,2015,L
364,358.,Fred Lynn (27),338,1979,L
365,358.,Bob Meusel (28),338,1925,R
366,358.,Rafael Palmeiro (36),338,2001,L
367,358.,Dave Parker (26),338,1977,L
368,358.,Duke Snider+ (28),338,1955,L
369,358.,Mike Trout (22),338,2014,R
370,358.,Ted Williams+ (23),338,1942,L
371,372.,Dante Bichette (34),337,1998,R
372,372.,Jermaine Dye (26),337,2000,R
373,372.,Charlie Gehringer+ (26),337,1929,L
374,372.,Luis Gonzalez (31),337,1999,L
375,372.,Shoeless Joe Jackson (23),337,1911,L
376,372.,Andruw Jones (28),337,2005,R
377,372.,Carlos Lee (30),337,2006,R
378,372.,Ketel Marte (25),337,2019,B
379,372.,Willie Stargell+ (33),337,1973,L
380,372.,Miguel Tejada (31),337,2005,R
381,382.,Garret Anderson (28),336,2000,L
382,382.,Javier Baez (25),336,2018,R
383,382.,Wally Berger (28),336,1934,R
384,382.,Dante Bichette (32),336,1996,R
385,382.,Barry Bonds (33),336,1998,L
386,382.,Ryan Braun (27),336,2011,R
387,382.,Cecil Cooper (33),336,1983,L
388,382.,Brian Dozier (29),336,2016,R
389,382.,Luis Gonzalez (32),336,2000,L
390,382.,Shoeless Joe Jackson (32),336,1920,L
391,382.,Marcell Ozuna (26),336,2017,R
392,382.,Rafael Palmeiro (26),336,1991,L
393,382.,Alex Rodriguez (24),336,2000,R
394,382.,Miguel Tejada (28),336,2002,R
395,382.,Matt Williams (33),336,1999,R
396,397.,Moises Alou (37),335,2004,R
397,397.,Garrett Atkins (26),335,2006,R
398,397.,Jeff Bagwell+ (29),335,1997,R
399,397.,Jason Bay (26),335,2005,R
400,397.,Miguel Cabrera (28),335,2011,R
401,397.,Miguel Cabrera (33),335,2016,R
402,397.,Vinny Castilla (29),335,1997,R
403,397.,Ty Cobb+ (30),335,1917,L
404,397.,Cecil Cooper (30),335,1980,L
405,397.,Jermaine Dye (32),335,2006,R
406,397.,Dwight Evans (32),335,1984,R
407,397.,Freddie Freeman (26),335,2016,L
408,397.,Nomar Garciaparra (28),335,2002,R
409,397.,Jason Giambi (31),335,2002,L
410,397.,Vladimir Guerrero+ (31),335,2006,R
411,397.,Gil Hodges (30),335,1954,R
412,397.,Willie Mays+ (28),335,1959,R
413,397.,Vada Pinson (24),335,1963,L
414,397.,Ivan Rodriguez+ (27),335,1999,R
415,397.,Jorge Soler (27),335,2019,R
416,397.,Ted Williams+ (22),335,1941,L
417,397.,Ted Williams+ (28),335,1947,L
418,397.,Carl Yastrzemski+ (30),335,1970,L
419,420.,Hank Aaron+ (26),334,1960,R
420,420.,Lance Berkman (26),334,2002,B
421,420.,Charlie Blackmon (32),334,2019,L
422,420.,Bobby Bonds (24),334,1970,R
423,420.,Kris Bryant (24),334,2016,R
424,420.,Miguel Cabrera (26),334,2009,R
425,420.,Robinson Cano (27),334,2010,L
426,420.,Nelson Cruz (34),334,2015,R
427,420.,Reggie Jackson+ (23),334,1969,L
428,420.,Willie Mays+ (30),334,1961,R
429,420.,Bob Meusel (24),334,1921,R
430,420.,Manny Ramirez (31),334,2003,R
431,420.,Ron Santo+ (24),334,1964,R
432,420.,David Wright (25),334,2008,R
433,434.,Don Baylor (30),333,1979,R
434,434.,Lance Berkman (30),333,2006,B
435,434.,Mookie Betts (25),333,2018,R
436,434.,Bret Boone (34),333,2003,R
437,434.,Rogers Hornsby+ (31),333,1927,R
438,434.,Ralph Kiner+ (28),333,1951,R
439,434.,Johnny Mize+ (24),333,1937,L
440,434.,Raul Mondesi (26),333,1997,R
441,434.,Ben Oglivie (31),333,1980,L
442,434.,David Ortiz (40),333,2016,L
443,434.,Kirby Puckett+ (27),333,1987,R
444,434.,Aramis Ramirez (28),333,2006,R
445,434.,Frank Robinson+ (25),333,1961,R
446,434.,Frank Thomas+ (25),333,1993,R
447,434.,Joe Vosmik (25),333,1935,R
448,434.,Zack Wheat+ (37),333,1925,L
449,434.,Ted Williams+ (21),333,1940,L
450,434.,Dave Winfield+ (27),333,1979,R
451,434.,Michael Young (27),333,2004,R
452,453.,Hank Aaron+ (35),332,1969,R
453,453.,Jeff Bagwell+ (31),332,1999,R
454,453.,Miguel Cabrera (24),332,2007,R
455,453.,Robinson Cano (28),332,2011,L
456,453.,Brian Giles (29),332,2000,L
457,453.,Paul Goldschmidt (25),332,2013,R
458,453.,Hal McRae (36),332,1982,R
459,453.,Dale Murphy (28),332,1984,R
460,453.,Dale Murphy (29),332,1985,R
461,453.,Manny Ramirez (36),332,2008,R
462,453.,Richie Sexson (28),332,2003,R
463,453.,Ruben Sierra (25),332,1991,B
464,453.,Bobby Thomson (25),332,1949,R
465,466.,Hank Aaron+ (37),331,1971,R
466,466.,Dick Allen (24),331,1966,R
467,466.,Nolan Arenado (27),331,2018,R
468,466.,Ernie Banks+ (29),331,1960,R
469,466.,Miguel Cabrera (25),331,2008,R
470,466.,Robinson Cano (26),331,2009,L
471,466.,Earle Combs+ (28),331,1927,L
472,466.,Darrell Evans (26),331,1973,L
473,466.,Buck Freeman (27),331,1899,L
474,466.,Josh Hamilton (27),331,2008,L
475,466.,Harry Heilmann+ (28),331,1923,R
476,466.,Ryan Howard (28),331,2008,L
477,466.,Shoeless Joe Jackson (24),331,1912,L
478,466.,Carlos Lee (31),331,2007,R
479,466.,Justin Morneau (25),331,2006,L
480,466.,Stan Musial+ (29),331,1950,L
481,466.,Magglio Ordonez (29),331,2003,R
482,466.,Rafael Palmeiro (28),331,1993,L
483,466.,Tony Perez+ (27),331,1969,R
484,466.,Albert Pujols (22),331,2002,R
485,466.,Ryne Sandberg+ (24),331,1984,R
486,466.,Roy Sievers (30),331,1957,R
487,466.,B.J. Surhoff (34),331,1999,L
488,466.,Jim Thome+ (32),331,2003,L
489,466.,Vernon Wells (27),331,2006,R
490,491.,Albert Belle (32),330,1999,R
491,491.,Barry Bonds (35),330,2000,L
492,491.,George Foster (29),330,1978,R
493,491.,Andres Galarraga (37),330,1998,R
494,491.,Jason Giambi (29),330,2000,L
495,491.,Frank Howard (31),330,1968,R
496,491.,Aubrey Huff (31),330,2008,L
497,491.,Adam Lind (25),330,2009,L
498,491.,Freddie Lindstrom+ (22),330,1928,R
499,491.,Evan Longoria (30),330,2016,R
500,491.,Willie Mays+ (29),330,1960,R
501,491.,Hal McRae (31),330,1977,R
502,491.,Lefty O'Doul (35),330,1932,L
503,491.,John Olerud (24),330,1993,L
504,491.,Vada Pinson (20),330,1959,L
505,491.,Sammy Sosa (33),330,2002,R
506,491.,Frank Thomas+ (28),330,1996,R
507,491.,David Wright (24),330,2007,R
