,Rank,Player (age that year),Bases On Balls per 9 IP,Year,Throws
62,63.,Pud Galvin+ (25),0.8084,1882,R
63,64.,Ed Dugan (19),0.8116,1884,R
64,65.,Tommy Bond (24),0.8215,1880,R
65,66.,Dory Dean (23),0.8223,1876,R
66,67.,Foghorn Bradley (20),0.8308,1876,R
67,67.,Addie Joss+ (28),0.8308,1908,R
68,69.,Curry Foley (23),0.8351,1879,L
69,70.,Cy Young+ (38),0.8420,1905,R
70,71.,Bob Tewksbury (32),0.8424,1993,R
71,72.,Fred Goldsmith (26),0.8444,1882,R
72,73.,David Wells (40),0.8451,2003,L
73,74.,Sam Weaver (26),0.8491,1882,R
74,75.,Stump Weidman (21),0.8540,1882,R
75,76.,LaMarr Hoyt (30),0.8558,1985,R
76,77.,Deacon Phillippe (30),0.8603,1902,R
77,78.,Peek-A-Boo Veach (22),0.8654,1884,R
78,78.,Will White (23),0.8654,1878,R
79,80.,James Burke,0.8665,1884,
80,81.,Pud Galvin+ (24),0.8734,1881,R
81,82.,Jim Whitney (24),0.8786,1882,R
82,83.,Jack Lynch (26),0.8824,1883,R
83,84.,Pete Alexander+ (36),0.8852,1923,R
84,84.,Kyle Hendricks (30),0.8852,2020,R
85,86.,Jumbo McGinnis (30),0.8890,1884,
86,87.,George Bradley (24),0.8909,1877,R
87,88.,Pud Galvin+ (27),0.8910,1884,R
88,89.,Cy Young+ (34),0.8968,1901,R
89,90.,Will White (24),0.9000,1879,R
90,91.,Deacon Phillippe (31),0.9021,1903,R
91,92.,Marco Gonzales (28),0.9043,2020,L
92,93.,Fred Goldsmith (27),0.9157,1883,R
93,94.,John Ward+ (18),0.9162,1878,R
94,95.,Jon Lieber (34),0.9170,2004,R
95,96.,David Wells (41),0.9199,2004,L
96,97.,George Bradley (30),0.9238,1883,R
97,98.,Jim Whitney (29),0.9341,1887,R
98,99.,Stump Weidman (20),0.9391,1881,R
99,100.,Terry Larkin (21),0.9521,1877,R
100,101.,Tiny Bonham (28),0.9558,1942,R
101,102.,Blondie Purcell (25),0.9562,1879,R
102,103.,Christy Mathewson+ (27),0.9676,1908,R
103,104.,Christy Mathewson+ (34),0.9677,1915,R
104,105.,Fred Corey (25),0.9708,1880,R
105,106.,Jesse Tannehill (27),0.9740,1902,L
106,107.,Will White (25),0.9742,1880,R
107,108.,Cy Young+ (36),0.9746,1903,R
108,109.,Cy Young+ (31),0.9771,1898,R
109,110.,Old Hoss Radbourn+ (27),0.9850,1882,R
110,111.,Christy Mathewson+ (31),0.9871,1912,R
111,112.,Greg Maddux+ (29),0.9873,1995,R
112,113.,Bill Burns (28),0.9878,1908,L
113,114.,Walter Johnson+ (25),0.9884,1913,R
114,115.,Bobby Mitchell (21),0.9900,1877,L
115,116.,Harry Salisbury (27),0.9940,1882,
116,117.,Jack Lynch (28),0.9974,1885,R
117,118.,John Ward+ (23),1.0072,1883,R
118,119.,Cy Young+ (33),1.0083,1900,R
119,120.,Dennis Eckersley+ (30),1.0098,1985,R
120,121.,Babe Adams (39),1.0125,1921,R
121,121.,Guy Hecker (29),1.0125,1885,R
122,123.,Gary Nolan (28),1.0153,1976,R
123,124.,Al Orth (28),1.0225,1901,R
124,125.,Bobby Mathews (32),1.0240,1884,R
125,126.,Fergie Jenkins+ (28),1.0246,1971,R
126,127.,Jim McCormick (23),1.0264,1880,R
127,128.,David Wells (42),1.0272,2005,L
128,129.,Greg Maddux+ (30),1.0286,1996,R
129,130.,Brad Radke (32),1.0316,2005,R
130,131.,Josh Tomlin (31),1.0345,2016,R
131,132.,Brad Radke (28),1.0354,2001,R
132,133.,Brian Anderson (26),1.0385,1998,L
133,134.,Greg Maddux+ (35),1.0429,2001,R
134,135.,Denny Driscoll (27),1.0436,1883,L
135,136.,Paul Derringer (32),1.0465,1939,R
136,137.,Frank Hankinson (23),1.0535,1879,R
137,138.,Juan Marichal+ (28),1.0542,1966,R
138,139.,Jesse Tannehill (29),1.0544,1904,L
139,140.,Hisashi Iwakuma (33),1.0559,2014,R
140,141.,Noodles Hahn (25),1.0582,1904,L
141,142.,Bob Caruthers (21),1.0636,1885,R
142,142.,Pud Galvin+ (28),1.0636,1885,R
143,144.,Carl Hubbell+ (31),1.0639,1934,L
144,145.,Brad Radke (31),1.0653,2004,R
145,146.,Jesse Barnes (26),1.0654,1919,R
146,147.,Ed Morris (21),1.0683,1884,L
147,148.,Deacon Phillippe (34),1.0701,1906,R
148,149.,LaMarr Hoyt (28),1.0703,1983,R
149,150.,Cy Young+ (32),1.0722,1899,R
150,151.,Cal McVey (27),1.0761,1877,R
151,152.,Roy Halladay+ (33),1.0771,2010,R
152,153.,Ben Sanders (23),1.0787,1888,R
153,154.,Roy Halladay+ (26),1.0827,2003,R
154,155.,Lon Knight (23),1.0851,1876,R
155,156.,Ed Walsh+ (27),1.0862,1908,R
156,157.,Bob Barr (27),1.0896,1884,R
157,158.,Lew Burdette (34),1.0906,1961,R
158,159.,Pud Galvin+ (31),1.0907,1888,R
159,160.,Bill Swift (24),1.0918,1932,R
160,161.,Don Newcombe (33),1.0946,1959,R
161,162.,Tiny Bonham (31),1.0959,1945,R
162,163.,Dick Rudolph (28),1.0962,1916,R
163,164.,Pete Alexander+ (38),1.1059,1925,R
164,165.,Bartolo Colon (42),1.1096,2015,R
165,166.,Al Orth (29),1.1111,1902,R
166,167.,Harry Salisbury (24),1.1124,1879,
167,168.,Cy Young+ (41),1.1137,1908,R
168,169.,Christy Mathewson+ (30),1.1140,1911,R
169,170.,Jimmy Key (28),1.1250,1989,L
170,171.,Lee Richmond (23),1.1275,1880,L
171,172.,John Ward+ (22),1.1329,1882,R
172,173.,Joel Pineiro (30),1.1355,2009,R
173,174.,Greg Maddux+ (41),1.1364,2007,R
174,175.,Bill Bernhard (32),1.1408,1903,R
175,176.,Lew Burdette (33),1.1427,1960,R
176,177.,Josh Tomlin (26),1.1431,2011,R
177,178.,Red Donahue (30),1.1432,1903,R
178,179.,Zane Smith (30),1.1447,1991,L
179,180.,Curt Schilling (35),1.1452,2002,R
180,181.,Addie Joss+ (29),1.1497,1909,R
181,182.,Herb Pennock+ (36),1.1514,1930,L
