,Rank,Player (age that year),Range Factor/9Inn as RF (s.1948),Year,Throws
182,181.,Mark Whiten (25),2.359,1992,R
183,184.,Pat Kelly (25),2.358,1970,L
184,185.,Reggie Jackson+ (29),2.357,1975,L
185,185.,George Vukovich (29),2.357,1985,R
186,187.,Hank Aaron+ (34),2.356,1968,R
187,187.,Dan Ford (31),2.356,1983,R
188,187.,Josh Reddick (26),2.356,2013,R
189,187.,Reggie Sanders (25),2.356,1993,R
190,191.,Tim Salmon (25),2.354,1994,R
191,191.,Jayson Werth (30),2.354,2009,R
192,193.,Magglio Ordonez (24),2.353,1998,R
193,194.,Glenn Wilson (27),2.352,1986,R
194,195.,Rob Deer (28),2.351,1989,R
195,196.,Roberto Clemente+ (24),2.350,1959,R
196,196.,Ichiro Suzuki (27),2.350,2001,R
197,198.,J.D. Drew (24),2.349,2000,R
198,198.,Oscar Gamble (26),2.349,1976,R
199,200.,Bobby Bonds (27),2.348,1973,R
200,200.,Jose Canseco (27),2.348,1992,R
201,202.,Ruben Sierra (27),2.347,1993,R
202,203.,Sammy Sosa (21),2.346,1990,R
203,204.,Mookie Betts (23),2.345,2016,R
204,204.,Hunter Pence (25),2.345,2008,R
205,206.,Jay Bruce (22),2.344,2009,L
206,206.,Reggie Jackson+ (33),2.344,1979,L
207,208.,Roger Cedeno (24),2.343,1999,R
208,208.,Rusty Staub (22),2.343,1966,R
209,210.,Joe Lefebvre (25),2.342,1981,R
210,210.,Paul O'Neill (31),2.342,1994,L
211,210.,Terry Puhl (23),2.342,1980,R
212,213.,Al Cowens (24),2.341,1976,R
213,213.,Vladimir Guerrero+ (29),2.341,2004,R
214,213.,Tim Salmon (26),2.341,1995,R
215,213.,Shane Victorino (26),2.341,2007,R
216,217.,Gerardo Parra (26),2.340,2013,L
217,218.,Mookie Betts (27),2.339,2020,R
218,219.,Joe Orsulak (30),2.338,1992,L
219,219.,Sammy Sosa (26),2.338,1995,R
220,221.,Rob Deer (25),2.337,1986,R
221,221.,Danny Tartabull (33),2.337,1996,R
222,223.,Mike Davis (27),2.334,1986,L
223,223.,Aaron Guiel (30),2.334,2003,R
224,225.,Ken Griffey (32),2.333,1982,L
225,225.,Sixto Lezcano (24),2.333,1978,R
226,227.,Roger Maris (33),2.332,1968,R
227,227.,Ichiro Suzuki (28),2.332,2002,R
228,229.,Roberto Clemente+ (36),2.331,1971,R
229,230.,Jose Guillen (29),2.330,2005,R
230,230.,Austin Kearns (28),2.330,2008,R
231,230.,Larry Walker+ (23),2.330,1990,R
232,233.,Darnell Coles (27),2.329,1989,R
233,234.,Shawn Green (26),2.328,1999,L
234,235.,Jack Clark (22),2.327,1978,R
235,236.,Jeff Burroughs (22),2.325,1973,R
236,236.,Ryan Church (29),2.325,2008,L
237,236.,Jeff DaVanon (29),2.325,2003,R
238,236.,Dick Kokos (21),2.325,1949,L
239,236.,Paul O'Neill (37),2.325,2000,L
240,241.,Giancarlo Stanton (24),2.324,2014,R
241,242.,George Vukovich (27),2.323,1983,R
242,243.,Rob Deer (31),2.321,1992,R
243,243.,Karim Garcia (22),2.321,1998,L
244,243.,Jacque Jones (29),2.321,2004,L
245,246.,Tony Gwynn+ (25),2.320,1985,L
246,247.,Jeremy Hermida (23),2.319,2007,R
247,248.,Ellis Burks (35),2.316,2000,R
248,248.,Jim Rivera (33),2.316,1955,L
249,250.,Dave Engle (24),2.315,1981,R
250,251.,Bob Allison (28),2.314,1963,R
251,251.,Garret Anderson (26),2.314,1998,L
252,251.,Lyman Bostock (27),2.314,1978,R
253,251.,Willard Marshall (32),2.314,1953,R
254,251.,Wally Moses (38),2.314,1949,L
255,256.,Ted Ford (25),2.313,1972,R
256,257.,Dave Parker (24),2.312,1975,R
257,258.,J.D. Drew (30),2.310,2006,R
258,258.,Dwight Evans (26),2.310,1978,R
259,260.,Matt Lawton (28),2.309,2000,R
260,261.,Frank Baumholtz (29),2.307,1948,L
261,261.,Cliff Mapes (28),2.307,1950,R
262,263.,Ellis Burks (28),2.306,1993,R
263,263.,Al Cowens (26),2.306,1978,R
264,263.,James Mouton (25),2.306,1994,R
265,266.,Robert Fick (28),2.305,2002,R
266,267.,Andre Dawson+ (29),2.303,1984,R
267,268.,Jason Heyward (22),2.301,2012,L
268,268.,Magglio Ordonez (25),2.301,1999,R
269,268.,Ichiro Suzuki (36),2.301,2010,R
270,271.,Kosuke Fukudome (34),2.299,2011,R
271,272.,Kole Calhoun (32),2.298,2020,L
272,272.,Geoff Jenkins (30),2.298,2005,R
273,272.,Al Kaline+ (21),2.298,1956,R
274,272.,Orlando Merced (29),2.298,1996,R
275,272.,Ichiro Suzuki (29),2.298,2003,R
276,277.,Kole Calhoun (27),2.296,2015,L
277,278.,Tony Gwynn+ (26),2.295,1986,L
278,278.,Dave Parker (25),2.295,1976,R
279,280.,Dwight Evans (31),2.294,1983,R
280,281.,Nelson Cruz (30),2.293,2011,R
281,281.,Chris Denorfia (32),2.293,2013,R
282,281.,Willie Kirkland (27),2.293,1961,R
283,284.,Mitch Haniger (27),2.292,2018,R
284,284.,Hunter Pence (27),2.292,2010,R
285,286.,Bill Buckner (21),2.291,1971,L
286,286.,Ken Griffey Jr.+ (37),2.291,2007,L
287,288.,Jose Bautista (33),2.290,2014,R
288,288.,Gus Bell (31),2.290,1960,R
289,288.,Sixto Lezcano (28),2.290,1982,R
290,291.,Ivan Calderon (27),2.289,1989,R
291,291.,Hosken Powell (23),2.289,1978,L
292,293.,Giancarlo Stanton (22),2.288,2012,R
293,294.,Jay Buhner (26),2.287,1991,R
294,294.,Carlos Lopez (29),2.287,1978,R
295,296.,Wally Post (26),2.285,1956,R
296,296.,Anthony Santander (25),2.285,2020,R
297,298.,Jason Heyward (28),2.284,2018,L
298,298.,Pat Sheridan (26),2.284,1984,R
299,300.,Jeff Francoeur (27),2.283,2011,R
300,301.,Shin-Soo Choo (32),2.282,2015,L
301,301.,Melvin Nieves (25),2.282,1997,R
302,303.,Jermaine Dye (33),2.281,2007,R
303,303.,Sammy Sosa (24),2.281,1993,R
304,305.,Jose Canseco (25),2.280,1990,R
305,305.,Felix Jose (27),2.280,1992,R
306,305.,Sam Mele (29),2.280,1951,R
307,308.,Nelson Cruz (26),2.279,2007,R
308,308.,Jayson Werth (32),2.279,2011,R
309,310.,Dale Murphy (34),2.278,1990,R
310,310.,Bubba Trammell (29),2.278,2001,R
311,310.,Glenn Wilson (28),2.278,1987,R
312,313.,Randy Bush (29),2.277,1988,L
313,313.,Richard Hidalgo (30),2.277,2005,R
314,315.,Bobby Higginson (32),2.276,2003,R
315,315.,Dale Murphy (32),2.276,1988,R
316,317.,Matt Mieske (26),2.275,1994,R
317,317.,Hosken Powell (25),2.275,1980,L
318,317.,Franmil Reyes (23),2.275,2019,R
319,320.,Dwight Evans (27),2.274,1979,R
320,320.,Tony Gwynn+ (31),2.274,1991,L
321,322.,Dusty Baker (26),2.273,1975,R
322,322.,George Hendrick (36),2.273,1986,R
323,322.,Justin Upton (21),2.273,2009,R
324,325.,Harold Baines+ (27),2.271,1986,L
325,325.,Gene Hermanski (28),2.271,1948,R
326,327.,Jason Heyward (23),2.270,2013,L
327,328.,Johnny Callison (30),2.268,1969,R
328,329.,Alex Ochoa (30),2.267,2002,R
329,329.,Darryl Strawberry (27),2.267,1989,L
330,331.,Vladimir Guerrero+ (24),2.266,1999,R
331,332.,Brian Jordan (28),2.265,1995,R
332,332.,Nick Markakis (24),2.265,2008,L
333,332.,Justin Upton (23),2.265,2011,R
334,335.,Roger Cedeno (28),2.264,2003,R
335,335.,Dwight Evans (30),2.264,1982,R
336,337.,Shawn Green (22),2.262,1995,L
337,337.,Ben Revere (24),2.262,2012,R
338,339.,Bake McBride (29),2.261,1978,R
339,339.,Jon Nunnally (23),2.261,1995,R
340,341.,Roberto Clemente+ (37),2.260,1972,R
341,341.,Sixto Lezcano (26),2.260,1980,R
342,343.,Clint Hurdle (22),2.259,1980,R
343,343.,Dave Philley (30),2.259,1950,R
344,343.,Reggie Sanders (29),2.259,1997,R
345,343.,Ellis Valentine (23),2.259,1978,R
346,347.,Ivan Calderon (25),2.258,1987,R
347,347.,Mark Kotsay (22),2.258,1998,L
348,347.,Fred Lynn (32),2.258,1984,L
349,347.,Ben Zobrist (29),2.258,2010,R
350,351.,Dan Pasqua (30),2.257,1992,L
351,352.,Al Kaline+ (19),2.256,1954,R
352,352.,Bake McBride (31),2.256,1980,R
353,352.,Vada Pinson (35),2.256,1974,L
354,352.,Giancarlo Stanton (27),2.256,2017,R
355,356.,Marlon Byrd (36),2.255,2014,R
356,356.,Michael Tucker (33),2.255,2004,R
357,358.,Ryan Ludwick (29),2.254,2008,L
358,358.,Jim Northrup (28),2.254,1968,R
359,358.,Paul O'Neill (29),2.254,1992,L
360,358.,Tony Oliva (27),2.254,1966,R
361,358.,Reggie Smith (29),2.254,1974,R
362,363.,Dante Bichette (36),2.252,2000,R
363,363.,Max Kepler (23),2.252,2016,L
364,363.,Paul O'Neill (28),2.252,1991,L
365,366.,Dave Parker (28),2.250,1979,R
366,366.,Reggie Sanders (26),2.250,1994,R
367,366.,Wally Westlake (28),2.250,1949,R
368,369.,Gabe Gross (28),2.249,2008,R
369,369.,Jacque Jones (30),2.249,2005,L
370,369.,Mark Teahen (26),2.249,2008,R
371,372.,Alex Rios (31),2.248,2012,R
372,372.,Leon Roberts (24),2.248,1975,R
373,372.,Dave Winfield+ (23),2.248,1975,R
374,375.,Mookie Betts (26),2.247,2019,R
375,375.,Luke Scott (29),2.247,2007,R
376,377.,Willie Crawford (29),2.246,1976,L
377,377.,Max Kepler (24),2.246,2017,L
378,377.,Max Kepler (25),2.246,2018,L
379,377.,Nick Swisher (29),2.246,2010,L
380,381.,Von Hayes (33),2.245,1992,R
381,381.,Ichiro Suzuki (35),2.245,2009,R
382,383.,Tommy Henrich (35),2.244,1948,L
383,383.,Joel Youngblood (27),2.244,1979,R
384,385.,Bob Bailor (27),2.243,1979,R
385,385.,Richard Hidalgo (28),2.243,2003,R
386,385.,Hunter Pence (34),2.243,2017,R
387,388.,Jermaine Dye (32),2.241,2006,R
388,389.,Raul Mondesi (26),2.240,1997,R
389,389.,Raul Mondesi (29),2.240,2000,R
390,389.,Larry Walker+ (26),2.240,1993,R
391,392.,John Vander Wal (37),2.239,2003,L
392,393.,Tom Brunansky (31),2.237,1992,R
393,394.,Reggie Jackson+ (27),2.236,1973,L
394,395.,Al Cowens (27),2.234,1979,R
395,395.,Dave Winfield+ (26),2.234,1978,R
396,397.,Bill Sharp (24),2.233,1974,L
397,397.,Elmer Valo (30),2.233,1951,R
398,399.,Bobby Bonilla (29),2.232,1992,R
399,399.,Lloyd Moseby (20),2.232,1980,R
400,399.,Floyd Robinson (25),2.232,1961,R
401,402.,Bob Allison (26),2.231,1961,R
402,402.,Juan Encarnacion (27),2.231,2003,R
403,404.,Danny Bautista (28),2.230,2000,R
404,404.,Sixto Lezcano (25),2.230,1979,R
405,406.,Jose Canseco (23),2.229,1988,R
406,406.,Tommy Holmes (32),2.229,1949,L
407,408.,Jason Heyward (30),2.228,2020,L
408,408.,Willie Kirkland (28),2.228,1962,R
409,408.,Willard Marshall (28),2.228,1949,R
410,411.,Mark Whiten (26),2.227,1993,R
411,412.,Jose Cruz (30),2.226,2004,R
412,412.,Tony Gwynn+ (32),2.226,1992,L
413,412.,Raul Mondesi (25),2.226,1996,R
414,415.,Bobby Bonds (26),2.225,1972,R
415,415.,Jeremy Hermida (24),2.225,2008,R
416,417.,Brad Hawpe (27),2.224,2006,L
417,418.,Steven Souza Jr. (27),2.222,2016,R
418,418.,Jim Wynn (31),2.222,1973,R
419,420.,Rocky Colavito (23),2.221,1957,R
420,420.,Brian Giles (34),2.221,2005,L
421,420.,Randy Winn (35),2.221,2009,R
422,423.,Jody Gerut (26),2.220,2004,L
423,423.,Jackie Jensen (34),2.220,1961,R
424,423.,Lee Lacy (37),2.220,1985,R
425,423.,Sammy Sosa (27),2.220,1996,R
426,427.,Danny Bautista (23),2.219,1995,R
427,427.,Jim Lemon (28),2.219,1956,R
428,429.,Avisail Garcia (26),2.218,2017,R
429,430.,Ellis Burks (34),2.217,1999,R
430,430.,Warren Cromartie (28),2.217,1982,L
431,430.,Ken Walters (26),2.217,1960,R
432,433.,Bob Kennedy (29),2.216,1950,R
433,434.,Joe Carter (32),2.215,1992,R
434,434.,Shin-Soo Choo (28),2.215,2011,L
435,434.,Carl Furillo (29),2.215,1951,R
436,434.,George Hendrick (30),2.215,1980,R
437,434.,Wally Post (24),2.215,1954,R
438,439.,Hank Aaron+ (22),2.214,1956,R
439,439.,Tom Brunansky (25),2.214,1986,R
440,439.,Jay Buhner (27),2.214,1992,R
441,439.,Michael Conforto (26),2.214,2019,R
442,439.,Andre Dawson+ (34),2.214,1989,R
443,439.,Tony Gwynn+ (33),2.214,1993,L
444,439.,Alex Rios (32),2.214,2013,R
445,439.,Justin Upton (24),2.214,2012,R
446,447.,Jeff Francoeur (31),2.213,2015,R
447,448.,Hank Aaron+ (33),2.212,1967,R
448,449.,Vic Wertz (28),2.211,1953,R
449,450.,Charlie Blackmon (33),2.210,2020,L
450,450.,Tom Brunansky (30),2.210,1991,R
451,450.,Matt Lawton (33),2.210,2005,R
452,450.,Tim Salmon (32),2.210,2001,R
453,454.,Carlos Gomez (32),2.209,2018,R
454,454.,Vladimir Guerrero+ (23),2.209,1998,R
455,454.,Paul O'Neill (27),2.209,1990,L
456,454.,Leroy Stanton (31),2.209,1977,R
457,458.,Ben Grieve (26),2.208,2002,R
458,458.,Ken Griffey (27),2.208,1977,L
459,458.,Pat Kelly (30),2.208,1975,L
460,461.,Roberto Clemente+ (20),2.207,1955,R
461,461.,Vladimir Guerrero+ (25),2.207,2000,R
