,Rank,Player (age that year),Total Zone Runs as OF (s.1953),Year,Throws
0,1.,Darin Erstad (28),39,2002,L
1,2.,Jose Cruz (29),38,2003,R
2,3.,Barry Bonds (24),37,1989,L
3,3.,Brett Gardner (27),37,2011,L
4,5.,Andruw Jones (22),36,1999,R
5,6.,Michael Bourn (29),35,2012,R
6,6.,Andruw Jones (21),35,1998,R
7,8.,Devon White (29),33,1992,R
8,9.,Ken Griffey Jr.+ (26),32,1996,L
9,10.,Coco Crisp (27),31,2007,R
10,10.,Jim Piersall (26),31,1956,R
11,12.,Darrin Jackson (28),30,1992,R
12,12.,Kirby Puckett+ (24),30,1984,R
13,14.,Byron Buxton (23),29,2017,R
14,14.,Willie Davis (24),29,1964,L
15,14.,Darin Erstad (26),29,2000,L
16,14.,Franklin Gutierrez (26),29,2009,R
17,14.,Al Kaline+ (26),29,1961,R
18,19.,Bobby Abreu (24),28,1998,R
19,19.,Barry Bonds (25),28,1990,L
20,19.,Tony Gwynn+ (31),28,1991,L
21,19.,Andruw Jones (20),28,1997,R
22,19.,Brian Jordan (29),28,1996,R
23,19.,Jim Piersall (23),28,1953,R
24,25.,Nori Aoki (31),27,2013,R
25,25.,Roberto Clemente+ (23),27,1958,R
26,25.,Jason Heyward (24),27,2014,L
27,25.,Andruw Jones (24),27,2001,R
28,25.,Magglio Ordonez (25),27,1999,R
29,25.,Alex Rios (31),27,2012,R
30,25.,Sammy Sosa (27),27,1996,R
31,25.,Ichiro Suzuki (30),27,2004,R
32,25.,Devon White (24),27,1987,R
33,34.,Paul Blair (25),26,1969,R
34,34.,Paul Blair (26),26,1970,R
35,34.,Billy Hamilton (25),26,2016,R
36,34.,Al Kaline+ (23),26,1958,R
37,34.,Garry Maddox (29),26,1979,R
38,39.,Garret Anderson (31),25,2003,L
39,39.,Jesse Barfield (27),25,1987,R
40,39.,Lenny Dykstra (27),25,1990,L
41,39.,Curt Flood (20),25,1958,R
42,39.,Cesar Geronimo (27),25,1975,L
43,39.,Alex Gordon (30),25,2014,R
44,39.,Adam Jones (22),25,2008,R
45,39.,Andruw Jones (23),25,2000,R
46,39.,Brian Jordan (31),25,1998,R
47,39.,Mark Kotsay (22),25,1998,L
48,39.,Jim Landis (25),25,1959,R
49,39.,Bill North (25),25,1973,R
50,39.,Dave Parker (26),25,1977,R
51,39.,Jim Piersall (25),25,1955,R
52,39.,Scott Podsednik (28),25,2004,L
53,39.,Willie Wilson (23),25,1979,R
54,39.,Carl Yastrzemski+ (28),25,1968,R
55,56.,Barry Bonds (22),24,1987,L
56,56.,Eric Byrnes (31),24,2007,R
57,56.,Mike Cameron (26),24,1999,R
58,56.,Roberto Clemente+ (22),24,1957,R
59,56.,Roberto Clemente+ (33),24,1968,R
60,56.,Dwight Evans (23),24,1975,R
61,56.,Rickey Henderson+ (30),24,1989,L
62,56.,Jason Heyward (26),24,2016,L
63,56.,Ender Inciarte (25),24,2016,L
64,56.,Darren Lewis (31),24,1999,R
65,56.,Willie Wilson (24),24,1980,R
66,67.,Hank Aaron+ (27),23,1961,R
67,67.,Jesse Barfield (25),23,1985,R
68,67.,Jackie Bradley Jr. (28),23,2018,R
69,67.,Jay Bruce (26),23,2013,L
70,67.,Warren Cromartie (24),23,1978,L
71,67.,Jim Edmonds (35),23,2005,L
72,67.,Jacoby Ellsbury (24),23,2008,L
73,67.,Darin Erstad (25),23,1999,L
74,67.,Dwight Evans (22),23,1974,R
75,67.,Bernard Gilkey (29),23,1996,R
76,67.,Jason Heyward (22),23,2012,L
77,67.,Chris Singleton (26),23,1999,L
78,67.,Lonnie Smith (33),23,1989,R
79,67.,Sammy Sosa (26),23,1995,R
80,67.,Ichiro Suzuki (29),23,2003,R
81,67.,Rondell White (25),23,1997,R
82,67.,Willie Wilson (26),23,1982,R
83,67.,Carl Yastrzemski+ (27),23,1967,R
84,85.,Bobby Abreu (29),22,2003,R
85,85.,Tony Armas (26),22,1980,R
86,85.,Juan Beniquez (26),22,1976,R
87,85.,Mookie Betts (24),22,2017,R
88,85.,Paul Blair (23),22,1967,R
89,85.,Nelson Cruz (28),22,2009,R
90,85.,Cesar Geronimo (26),22,1974,L
91,85.,Luis Gonzalez (25),22,1993,R
92,85.,Rickey Henderson+ (22),22,1981,L
93,85.,Jason Heyward (27),22,2017,L
94,85.,David Justice (26),22,1992,L
95,85.,Roberto Kelly (25),22,1990,R
96,85.,Nick Markakis (32),22,2016,L
97,85.,Dwayne Murphy (25),22,1980,R
98,85.,Gary Pettis (28),22,1986,R
99,85.,Vernon Wells (27),22,2006,R
100,85.,Devon White (26),22,1989,R
101,85.,Carl Yastrzemski+ (26),22,1966,R
102,103.,Jesse Barfield (26),21,1986,R
103,103.,Michael Bourn (27),21,2010,R
104,103.,Tom Brunansky (21),21,1982,R
105,103.,Jacoby Ellsbury (29),21,2013,L
106,103.,Tony Gonzalez (32),21,1969,R
107,103.,Andruw Jones (29),21,2006,R
108,103.,Brian Jordan (34),21,2001,R
109,103.,Ryan Langerhans (26),21,2006,L
110,103.,Chet Lemon (28),21,1983,R
111,103.,Willie Mays+ (23),21,1954,R
112,103.,Bill North (27),21,1975,R
113,103.,Tony Oliva (31),21,1970,R
114,103.,Scott Podsednik (27),21,2003,L
115,103.,Reggie Smith (25),21,1970,R
116,117.,Richie Ashburn+ (30),20,1957,R
117,117.,Jesse Barfield (28),20,1988,R
118,117.,Carlos Beltran (22),20,1999,R
119,117.,Darren Bragg (27),20,1997,R
120,117.,Jay Buhner (23),20,1988,R
