,Rank,Player (age that year),Assists as OF,Year,Throws
89,78.,Clyde Milan (23),30,1910,R
90,78.,Red Murray (25),30,1909,R
91,78.,Tris Speaker+ (25),30,1913,L
92,78.,Casey Stengel+ (26),30,1917,L
93,78.,Billy Sunday (27),30,1890,R
94,78.,George Van Haltren (28),30,1894,L
95,78.,Tillie Walker (26),30,1914,R
96,78.,Farmer Weaver (24),30,1889,
97,78.,Curt Welch (27),30,1889,R
98,78.,Chief Wilson (30),30,1914,R
99,100.,Jimmy Barrett (29),29,1904,R
100,100.,Pop Corkhill (26),29,1884,R
101,100.,Pop Corkhill (29),29,1887,R
102,100.,Josh Devore (23),29,1911,R
103,100.,Jake Evans (26),29,1883,R
104,100.,Bug Holliday (22),29,1889,R
105,100.,Dummy Hoy (27),29,1889,R
106,100.,Dick Johnston (23),29,1886,R
107,100.,King Kelly+ (27),29,1885,R
108,100.,Chuck Klein+ (27),29,1932,R
109,100.,Duffy Lewis (25),29,1913,R
110,100.,Jimmy McAleer (24),29,1889,R
111,100.,Tommy McCarthy+ (28),29,1892,R
112,100.,Tom Poorman (26),29,1884,R
113,100.,Paul Radford (24),29,1886,R
114,100.,Paul Radford (31),29,1893,R
115,100.,Ted Scheffler (26),29,1890,R
116,100.,Cy Seymour (35),29,1908,L
117,100.,Burt Shotton (28),29,1913,R
118,100.,Tris Speaker+ (26),29,1914,L
119,100.,Stan Spence (29),29,1944,L
120,100.,Sam Thompson+ (26),29,1886,R
121,100.,Sam Thompson+ (30),29,1890,R
122,100.,Curt Welch (25),29,1887,R
123,100.,Cy Williams (33),29,1921,L
124,100.,Chicken Wolf (21),29,1883,R
125,126.,Joe Birmingham (22),28,1907,R
126,126.,Max Carey+ (23),28,1913,R
127,126.,Max Carey+ (27),28,1917,R
128,126.,Max Carey+ (33),28,1923,R
129,126.,Cliff Carroll (30),28,1890,R
130,126.,Gavvy Cravath (34),28,1915,R
131,126.,Buttercup Dickerson (22),28,1881,R
132,126.,Buttercup Dickerson (24),28,1883,R
133,126.,Rube Ellis (23),28,1909,L
134,126.,Tommy Griffith (26),28,1916,R
135,126.,Willie Hogan (26),28,1911,R
136,126.,Shoeless Joe Jackson (25),28,1913,R
137,126.,Lefty Johnson (29),28,1891,L
138,126.,Bill Lange (24),28,1895,R
139,126.,Duffy Lewis (22),28,1910,R
140,126.,Tommy McCarthy+ (29),28,1893,R
141,126.,Tommy McCarthy+ (30),28,1894,R
142,126.,Jim McTamany (25),28,1889,R
143,126.,Bob Meusel (24),28,1921,R
144,126.,Irish Meusel (28),28,1921,R
145,126.,Jimmy Ryan (34),28,1897,L
146,126.,Orator Shafer (26),28,1878,R
147,126.,Orator Shafer (33),28,1885,R
148,126.,Sam Thompson+ (32),28,1892,R
149,126.,Sam Thompson+ (36),28,1896,R
150,126.,Jack Tobin (29),28,1921,L
151,126.,George Van Haltren (26),28,1892,L
152,126.,George Van Haltren (34),28,1900,L
153,126.,Paul Waner+ (28),28,1931,L
154,126.,John Ward+ (23),28,1883,R
155,126.,Chicken Wolf (24),28,1886,R
156,126.,Ross Youngs+ (25),28,1922,R
157,158.,Johnny Bates (25),27,1909,L
158,158.,Carson Bigbee (26),27,1921,R
159,158.,Carson Bigbee (27),27,1922,R
160,158.,Roberto Clemente+ (26),27,1961,R
161,158.,Ty Cobb+ (30),27,1917,R
162,158.,Ty Cobb+ (34),27,1921,R
163,158.,Ed Daily (26),27,1889,R
164,158.,George Davis+ (20),27,1891,R
165,158.,Patsy Donovan (27),27,1892,L
166,158.,Tommy Dowd (24),27,1893,R
167,158.,Hugh Duffy+ (27),27,1894,R
168,158.,George Gore (29),27,1883,R
169,158.,Mike Griffin (23),27,1888,R
170,158.,Tommy Griffith (31),27,1921,R
171,158.,Dick Harley (26),27,1899,R
172,158.,Dick Higham (26),27,1878,R
173,158.,Harry Hooper+ (23),27,1911,R
174,158.,Jim Kelly (31),27,1915,R
175,158.,Duffy Lewis (23),27,1911,R
176,158.,Jack McGeachey (24),27,1888,R
177,158.,Jim McTamany (22),27,1886,R
178,158.,Jim McTamany (24),27,1888,R
179,158.,Clyde Milan (29),27,1916,R
180,158.,Danny Moeller (28),27,1913,R
181,158.,Hugh Nicol (24),27,1882,R
182,158.,Jimmy Sebring (22),27,1904,R
183,158.,Kip Selbach (27),27,1899,R
184,158.,Jimmy Slagle (31),27,1905,R
185,158.,Billy Sunday (25),27,1888,R
186,158.,Roy Thomas (31),27,1905,L
187,158.,George Treadway (26),27,1893,L
188,158.,Tillie Walker (27),27,1915,R
189,158.,Curt Welch (28),27,1890,R
