,Rank,Player (age that year),WAR Position Players,Year,Bats
0,1.,Babe Ruth+ (28),14.1,1923,L
1,2.,Babe Ruth+ (26),12.8,1921,L
2,3.,Babe Ruth+ (32),12.5,1927,L
3,3.,Carl Yastrzemski+ (27),12.5,1967,L
4,5.,Rogers Hornsby+ (28),12.2,1924,R
5,6.,Barry Bonds (36),11.9,2001,L
6,7.,Lou Gehrig+ (24),11.8,1927,L
7,7.,Babe Ruth+ (25),11.8,1920,L
8,9.,Barry Bonds (37),11.7,2002,L
9,9.,Babe Ruth+ (29),11.7,1924,L
10,11.,Cal Ripken Jr.+ (30),11.5,1991,R
11,11.,Honus Wagner+ (34),11.5,1908,R
12,13.,Babe Ruth+ (31),11.4,1926,L
13,14.,Ty Cobb+ (30),11.3,1917,L
14,14.,Mickey Mantle+ (25),11.3,1957,B
15,14.,Stan Musial+ (27),11.3,1948,L
16,17.,Mickey Mantle+ (24),11.2,1956,B
17,17.,Willie Mays+ (34),11.2,1965,R
18,19.,Willie Mays+ (33),11.0,1964,R
19,19.,Joe Morgan+ (31),11.0,1975,L
20,21.,Rogers Hornsby+ (25),10.8,1921,R
21,22.,Ty Cobb+ (24),10.7,1911,L
22,23.,Mookie Betts (25),10.6,2018,R
23,23.,Barry Bonds (39),10.6,2004,L
24,23.,Willie Mays+ (32),10.6,1963,R
25,23.,Ted Williams+ (27),10.6,1946,L
26,27.,Ty Cobb+ (23),10.5,1910,L
27,27.,Eddie Collins+ (23),10.5,1910,L
28,27.,Willie Mays+ (23),10.5,1954,R
29,27.,Willie Mays+ (31),10.5,1962,R
30,27.,Babe Ruth+ (36),10.5,1931,L
31,27.,Mike Trout (20),10.5,2012,R
32,27.,Mike Trout (24),10.5,2016,R
33,27.,Carl Yastrzemski+ (28),10.5,1968,L
34,27.,Robin Yount+ (26),10.5,1982,R
35,36.,Jimmie Foxx+ (24),10.4,1932,R
36,36.,Rogers Hornsby+ (33),10.4,1929,R
37,36.,Mickey Mantle+ (29),10.4,1961,B
38,36.,Alex Rodriguez (24),10.4,2000,R
39,36.,Ted Williams+ (22),10.4,1941,L
40,36.,Ted Williams+ (23),10.4,1942,L
41,42.,Lou Boudreau+ (30),10.3,1948,R
42,42.,Babe Ruth+ (35),10.3,1930,L
43,42.,Sammy Sosa (32),10.3,2001,R
44,45.,Ernie Banks+ (28),10.2,1959,R
45,45.,Lou Gehrig+ (31),10.2,1934,L
