,Rank,Player (age that year),WAR Position Players,Year,Bats
46,45.,Rogers Hornsby+ (29),10.2,1925,R
47,45.,Rogers Hornsby+ (31),10.2,1927,R
48,45.,Willie Mays+ (27),10.2,1958,R
49,45.,Babe Ruth+ (33),10.2,1928,L
50,45.,Mike Trout (26),10.2,2018,R
51,45.,Honus Wagner+ (31),10.2,1905,R
52,53.,Al Rosen (29),10.1,1953,R
53,53.,Tris Speaker+ (24),10.1,1912,L
54,55.,Rogers Hornsby+ (26),10.0,1922,R
55,55.,Nap Lajoie+ (31),10.0,1906,R
56,55.,Rico Petrocelli (26),10.0,1969,R
57,55.,Cal Ripken Jr.+ (23),10.0,1984,R
58,55.,Tris Speaker+ (26),10.0,1914,L
59,60.,Barry Bonds (28),9.9,1993,L
60,60.,Ty Cobb+ (22),9.9,1909,L
61,60.,Rickey Henderson+ (26),9.9,1985,R
62,60.,Rickey Henderson+ (31),9.9,1990,R
63,60.,Rogers Hornsby+ (21),9.9,1917,R
64,65.,Nap Lajoie+ (35),9.8,1910,R
65,65.,Ron Santo+ (27),9.8,1967,R
66,65.,George Sisler+ (27),9.8,1920,L
67,65.,Larry Walker+ (30),9.8,1997,L
68,69.,Barry Bonds (25),9.7,1990,L
69,69.,Barry Bonds (31),9.7,1996,L
70,69.,Rod Carew+ (31),9.7,1977,L
71,69.,Eddie Collins+ (22),9.7,1909,L
72,69.,Lou Gehrig+ (33),9.7,1936,L
73,69.,Ken Griffey Jr.+ (26),9.7,1996,L
74,69.,Bryce Harper (22),9.7,2015,L
75,69.,Albert Pujols (29),9.7,2009,R
76,69.,Jackie Robinson+ (32),9.7,1951,R
77,69.,Mike Schmidt+ (24),9.7,1974,R
78,69.,Arky Vaughan+ (23),9.7,1935,L
79,69.,Ted Williams+ (38),9.7,1957,L
80,81.,Adrian Beltre (25),9.6,2004,R
81,81.,Lou Gehrig+ (27),9.6,1930,L
82,81.,Rogers Hornsby+ (24),9.6,1920,R
83,81.,Joe Morgan+ (32),9.6,1976,L
84,81.,Mike Trout (23),9.6,2015,R
85,86.,Hank Aaron+ (27),9.5,1961,R
86,86.,Mookie Betts (23),9.5,2016,R
87,86.,Ty Cobb+ (28),9.5,1915,L
88,86.,Shoeless Joe Jackson (24),9.5,1912,L
89,86.,Mickey Mantle+ (23),9.5,1955,B
90,86.,Willie Mays+ (29),9.5,1960,R
91,86.,Stan Musial+ (22),9.5,1943,L
92,86.,Ted Williams+ (28),9.5,1947,L
93,86.,Carl Yastrzemski+ (30),9.5,1970,L
94,95.,Craig Biggio+ (31),9.4,1997,R
95,95.,George Brett+ (27),9.4,1980,L
96,95.,Eddie Collins+ (28),9.4,1915,L
97,95.,Joe DiMaggio+ (26),9.4,1941,R
98,95.,Lou Gehrig+ (25),9.4,1928,L
99,95.,Alex Rodriguez (20),9.4,1996,R
100,95.,Alex Rodriguez (29),9.4,2005,R
101,95.,Alex Rodriguez (31),9.4,2007,R
102,103.,Home Run Baker+ (26),9.3,1912,L
103,103.,Ernie Banks+ (27),9.3,1958,R
104,103.,Frankie Frisch+ (29),9.3,1927,B
105,103.,Harry Heilmann+ (28),9.3,1923,R
106,103.,Joe Morgan+ (28),9.3,1972,L
107,103.,Joe Morgan+ (29),9.3,1973,L
108,103.,Jackie Robinson+ (30),9.3,1949,R
109,103.,Terry Turner (25),9.3,1906,R
110,103.,Honus Wagner+ (32),9.3,1906,R
111,112.,Barry Bonds (38),9.2,2003,L
112,112.,Norm Cash (27),9.2,1961,L
113,112.,Ty Cobb+ (25),9.2,1912,L
114,112.,Jason Giambi (30),9.2,2001,L
115,112.,Shoeless Joe Jackson (23),9.2,1911,L
116,112.,Reggie Jackson+ (23),9.2,1969,L
117,112.,Stan Musial+ (25),9.2,1946,L
118,112.,Albert Pujols (28),9.2,2008,R
119,112.,Scott Rolen (29),9.2,2004,R
120,112.,Duke Snider+ (26),9.2,1953,L
121,112.,Ichiro Suzuki (30),9.2,2004,L
122,112.,Honus Wagner+ (35),9.2,1909,R
123,124.,Hank Aaron+ (29),9.1,1963,R
124,124.,Cody Bellinger (23),9.1,2019,L
125,124.,Wade Boggs+ (27),9.1,1985,L
126,124.,Alex Bregman (25),9.1,2019,R
127,124.,Eddie Collins+ (27),9.1,1914,L
128,124.,Ken Griffey Jr.+ (27),9.1,1997,L
129,124.,Willie Mays+ (24),9.1,1955,R
130,124.,Stan Musial+ (28),9.1,1949,L
131,124.,Babe Ruth+ (24),9.1,1919,L
132,124.,Ted Williams+ (30),9.1,1949,L
133,134.,Barry Bonds (27),9.0,1992,L
134,134.,Eddie Collins+ (26),9.0,1913,L
135,134.,Darrell Evans (26),9.0,1973,L
136,134.,Jimmie Foxx+ (25),9.0,1933,R
137,134.,Rogers Hornsby+ (32),9.0,1928,R
138,134.,Willie Mays+ (35),9.0,1966,R
139,134.,Tris Speaker+ (35),9.0,1923,L
140,134.,Chase Utley (29),9.0,2008,L
141,134.,Arky Vaughan+ (26),9.0,1938,L
142,134.,Honus Wagner+ (33),9.0,1907,R
143,144.,Roberto Clemente+ (32),8.9,1967,R
144,144.,Lenny Dykstra (27),8.9,1990,L
145,144.,Charlie Gehringer+ (31),8.9,1934,L
146,144.,Todd Helton (26),8.9,2000,L
147,144.,Fred Lynn (27),8.9,1979,L
148,144.,Stan Musial+ (23),8.9,1944,L
149,144.,Mel Ott+ (29),8.9,1938,L
150,144.,Ron Santo+ (24),8.9,1964,R
151,144.,Ron Santo+ (26),8.9,1966,R
152,144.,Mike Schmidt+ (27),8.9,1977,R
153,144.,Mike Schmidt+ (30),8.9,1980,R
154,144.,Marcus Semien (28),8.9,2019,R
155,144.,Mike Trout (21),8.9,2013,R
156,157.,Dick Allen (22),8.8,1964,R
157,157.,Bret Boone (32),8.8,2001,R
158,157.,Dan Brouthers+ (34),8.8,1892,L
159,157.,Eddie Collins+ (25),8.8,1912,L
160,157.,Lou Gehrig+ (28),8.8,1931,L
161,157.,Ken Griffey Jr.+ (23),8.8,1993,L
162,157.,Rickey Henderson+ (21),8.8,1980,R
163,157.,Stan Musial+ (30),8.8,1951,L
164,157.,Alex Rodriguez (26),8.8,2002,R
165,157.,Lonnie Smith (33),8.8,1989,R
166,157.,Snuffy Stirnweiss (26),8.8,1945,R
167,168.,Lou Gehrig+ (32),8.7,1935,L
168,168.,Josh Hamilton (29),8.7,2010,L
169,168.,Rickey Henderson+ (30),8.7,1989,R
170,168.,Chuck Knoblauch (27),8.7,1996,R
171,168.,Mickey Mantle+ (26),8.7,1958,B
172,168.,Willie Mays+ (30),8.7,1961,R
173,168.,Mike Piazza+ (28),8.7,1997,R
174,168.,Albert Pujols (23),8.7,2003,R
175,168.,Albert Pujols (27),8.7,2007,R
176,168.,Frank Robinson+ (26),8.7,1962,R
177,168.,George Sisler+ (29),8.7,1922,L
178,168.,George Stone (29),8.7,1906,L
179,180.,Hank Aaron+ (25),8.6,1959,R
180,180.,Dick Allen (30),8.6,1972,R
181,180.,Johnny Bench+ (24),8.6,1972,R
182,180.,George Brett+ (26),8.6,1979,L
183,180.,Gary Carter+ (28),8.6,1982,R
184,180.,Will Clark (25),8.6,1989,L
185,180.,Jimmie Foxx+ (26),8.6,1934,R
186,180.,Tony Gwynn+ (27),8.6,1987,L
187,180.,Nap Lajoie+ (29),8.6,1904,R
188,180.,Joe Morgan+ (30),8.6,1974,L
189,180.,Ryne Sandberg+ (24),8.6,1984,R
190,180.,Duke Snider+ (28),8.6,1955,L
191,180.,Tris Speaker+ (28),8.6,1916,L
192,180.,Tris Speaker+ (32),8.6,1920,L
193,180.,Snuffy Stirnweiss (25),8.6,1944,R
194,180.,Ben Zobrist (28),8.6,2009,B
195,196.,Hank Aaron+ (28),8.5,1962,R
196,196.,Hank Aaron+ (33),8.5,1967,R
197,196.,Joe Cronin+ (23),8.5,1930,R
198,196.,Charlie Gehringer+ (32),8.5,1935,L
199,196.,Joe Medwick+ (25),8.5,1937,R
200,196.,Albert Pujols (24),8.5,2004,R
201,196.,Albert Pujols (26),8.5,2006,R
202,196.,Alex Rodriguez (22),8.5,1998,R
203,196.,Babe Ruth+ (37),8.5,1932,L
204,196.,Tris Speaker+ (25),8.5,1913,L
205,196.,Willie Wilson (24),8.5,1980,B
206,207.,Wade Boggs+ (31),8.4,1989,L
207,207.,Robinson Cano (29),8.4,2012,L
208,207.,Joe DiMaggio+ (24),8.4,1939,R
209,207.,George Foster (28),8.4,1977,R
210,207.,Al Kaline+ (26),8.4,1961,R
211,207.,Nap Lajoie+ (26),8.4,1901,R
212,207.,Albert Pujols (25),8.4,2005,R
213,207.,Brooks Robinson+ (31),8.4,1968,R
214,207.,Jackie Robinson+ (33),8.4,1952,R
215,207.,Alex Rodriguez (27),8.4,2003,R
216,217.,Sal Bando (25),8.3,1969,R
217,217.,Jose Bautista (30),8.3,2011,R
218,217.,Wade Boggs+ (29),8.3,1987,L
219,217.,Wade Boggs+ (30),8.3,1988,L
220,217.,George Brett+ (32),8.3,1985,L
221,217.,Matt Chapman (25),8.3,2018,R
222,217.,Matt Chapman (26),8.3,2019,R
223,217.,Willie Davis (24),8.3,1964,L
224,217.,Joe DiMaggio+ (22),8.3,1937,R
225,217.,J.D. Drew (28),8.3,2004,L
226,217.,Jacoby Ellsbury (27),8.3,2011,L
227,217.,Darin Erstad (26),8.3,2000,L
228,217.,Lou Gehrig+ (34),8.3,1937,L
229,217.,Paul Goldschmidt (27),8.3,2015,R
230,217.,Bobby Grich (24),8.3,1973,R
231,217.,Todd Helton (30),8.3,2004,L
232,217.,Tommy Holmes (28),8.3,1945,L
233,217.,Hughie Jennings+ (27),8.3,1896,R
234,217.,Al Kaline+ (20),8.3,1955,R
235,217.,Willie Mays+ (26),8.3,1957,R
236,217.,Mel Ott+ (23),8.3,1932,L
237,217.,Alex Rodriguez (25),8.3,2001,R
238,217.,Pete Rose (32),8.3,1973,B
239,217.,John Valentin (28),8.3,1995,R
240,217.,Ted Williams+ (29),8.3,1948,L
241,217.,Dave Winfield+ (27),8.3,1979,R
242,217.,David Wright (24),8.3,2007,R
243,244.,Jeff Bagwell+ (26),8.2,1994,R
244,244.,Ernie Banks+ (24),8.2,1955,R
245,244.,Carlos Beltran (29),8.2,2006,B
246,244.,Barry Bonds (32),8.2,1997,L
247,244.,Dan Brouthers+ (28),8.2,1886,L
248,244.,Roberto Clemente+ (31),8.2,1966,R
249,244.,Roberto Clemente+ (33),8.2,1968,R
250,244.,Roger Connor+ (27),8.2,1885,B
251,244.,Lou Gehrig+ (29),8.2,1932,L
252,244.,Billy Hamilton+ (28),8.2,1894,L
253,244.,Andruw Jones (23),8.2,2000,R
254,244.,Evan Longoria (24),8.2,2010,R
255,244.,Eddie Mathews+ (27),8.2,1959,L
256,244.,Willie McGee (26),8.2,1985,B
257,244.,Minnie Minoso (28),8.2,1954,R
258,244.,Bobby Murcer (26),8.2,1972,L
259,244.,Cal Ripken Jr.+ (22),8.2,1983,R
260,244.,Eddie Stanky (34),8.2,1950,R
261,244.,Alan Trammell+ (29),8.2,1987,R
262,244.,Mike Trout (27),8.2,2019,R
263,244.,Chase Utley (30),8.2,2009,L
264,244.,Honus Wagner+ (30),8.2,1904,R
265,266.,Hank Aaron+ (35),8.1,1969,R
266,266.,Barry Bonds (33),8.1,1998,L
267,266.,Lou Boudreau+ (25),8.1,1943,R
268,266.,Lou Boudreau+ (26),8.1,1944,R
269,266.,Johnny Callison (24),8.1,1963,L
270,266.,Robinson Cano (27),8.1,2010,L
271,266.,Jimmie Foxx+ (27),8.1,1935,R
272,266.,Bernard Gilkey (29),8.1,1996,R
273,266.,Ralph Kiner+ (24),8.1,1947,R
274,266.,Ralph Kiner+ (26),8.1,1949,R
275,266.,Eddie Mathews+ (21),8.1,1953,L
276,266.,Willie McCovey+ (31),8.1,1969,L
277,266.,Brooks Robinson+ (27),8.1,1964,R
278,266.,Duke Snider+ (27),8.1,1954,L
279,266.,Arky Vaughan+ (24),8.1,1936,L
280,266.,Joey Votto (33),8.1,2017,L
281,282.,Hank Aaron+ (23),8.0,1957,R
282,282.,Hank Aaron+ (26),8.0,1960,R
283,282.,Wade Boggs+ (28),8.0,1986,L
284,282.,Barry Bonds (24),8.0,1989,L
285,282.,Barry Bonds (26),8.0,1991,L
286,282.,Ken Boyer (30),8.0,1961,R
287,282.,Cesar Cedeno (21),8.0,1972,R
288,282.,Ed Delahanty+ (31),8.0,1899,R
289,282.,Pedro Guerrero (29),8.0,1985,R
290,282.,Derek Jeter+ (25),8.0,1999,R
291,282.,Matt Kemp (26),8.0,2011,R
292,282.,Ralph Kiner+ (28),8.0,1951,R
293,282.,Nap Lajoie+ (28),8.0,1903,R
294,282.,Eddie Mathews+ (31),8.0,1963,L
295,282.,John McGraw+ (26),8.0,1899,L
296,282.,Graig Nettles (31),8.0,1976,L
297,282.,Mel Ott+ (27),8.0,1936,L
298,282.,Dustin Pedroia (27),8.0,2011,R
299,282.,Pete Reiser (22),8.0,1941,L
300,282.,Babe Ruth+ (34),8.0,1929,L
301,282.,Mike Schmidt+ (26),8.0,1976,R
302,282.,Cy Seymour (32),8.0,1905,L
303,282.,Giancarlo Stanton (27),8.0,2017,R
304,282.,Honus Wagner+ (38),8.0,1912,R
305,306.,Hank Aaron+ (31),7.9,1965,R
306,306.,Hank Aaron+ (32),7.9,1966,R
307,306.,Jose Altuve (26),7.9,2016,R
308,306.,Home Run Baker+ (27),7.9,1913,L
309,306.,Ernie Banks+ (29),7.9,1960,R
310,306.,Ellis Burks (31),7.9,1996,R
311,306.,Rod Carew+ (29),7.9,1975,L
312,306.,Ty Cobb+ (29),7.9,1916,L
313,306.,Eddie Collins+ (33),7.9,1920,L
314,306.,Eric Davis (25),7.9,1987,R
315,306.,Andre Dawson+ (27),7.9,1982,R
316,306.,Art Devlin (26),7.9,1906,R
317,306.,Fred Dunlap (25),7.9,1884,R
318,306.,Nellie Fox+ (29),7.9,1957,L
319,306.,Jimmie Foxx+ (21),7.9,1929,R
320,306.,Jim Fregosi (22),7.9,1964,R
321,306.,Charlie Gehringer+ (33),7.9,1936,L
322,306.,Marcus Giles (25),7.9,2003,R
323,306.,Luis Gonzalez (33),7.9,2001,L
324,306.,Aaron Judge (25),7.9,2017,R
325,306.,Chuck Klein+ (28),7.9,1933,L
326,306.,Nap Lajoie+ (33),7.9,1908,R
327,306.,Frank Robinson+ (28),7.9,1964,R
328,306.,Mike Schmidt+ (29),7.9,1979,R
329,306.,Al Simmons+ (27),7.9,1929,R
330,306.,Willie Stargell+ (31),7.9,1971,L
331,306.,Joe Tinker+ (27),7.9,1908,R
332,306.,Ken Williams (32),7.9,1922,L
333,334.,Adrian Beltre (31),7.8,2010,R
334,334.,Johnny Bench+ (26),7.8,1974,R
335,334.,Wade Boggs+ (25),7.8,1983,L
336,334.,Bobby Bonds (27),7.8,1973,R
337,334.,Ray Chapman (26),7.8,1917,R
338,334.,Jason Giambi (29),7.8,2000,L
339,334.,Troy Glaus (23),7.8,2000,R
340,334.,Todd Helton (27),7.8,2001,L
341,334.,Reggie Jackson+ (27),7.8,1973,L
342,334.,Benny Kauff (24),7.8,1914,L
343,334.,Ted Kluszewski (29),7.8,1954,L
344,334.,Francisco Lindor (24),7.8,2018,B
345,334.,Eddie Mathews+ (22),7.8,1954,L
346,334.,Joe Mauer (26),7.8,2009,L
347,334.,Willie Mays+ (28),7.8,1959,R
348,334.,Andrew McCutchen (26),7.8,2013,R
349,334.,John Olerud (24),7.8,1993,L
350,334.,Kirby Puckett+ (28),7.8,1988,R
351,334.,Ryne Sandberg+ (32),7.8,1992,R
352,334.,Al Simmons+ (28),7.8,1930,R
353,334.,Andrelton Simmons (27),7.8,2017,R
354,334.,Mark Teixeira (28),7.8,2008,B
355,334.,Bill Terry+ (31),7.8,1930,L
356,334.,Chase Utley (28),7.8,2007,L
357,334.,Joey Votto (31),7.8,2015,L
358,334.,Larry Walker+ (34),7.8,2001,L
359,334.,Bobby Wallace+ (27),7.8,1901,R
360,361.,Jeff Bagwell+ (29),7.7,1997,R
361,361.,Barry Bonds (35),7.7,2000,L
362,361.,Ryan Braun (27),7.7,2011,R
363,361.,Chone Figgins (31),7.7,2009,B
364,361.,Jim Fregosi (28),7.7,1970,R
365,361.,Charlie Gehringer+ (34),7.7,1937,L
366,361.,Joe Gordon+ (27),7.7,1942,R
367,361.,Hank Greenberg+ (24),7.7,1935,R
368,361.,Ron Hansen (26),7.7,1964,R
369,361.,Tony Lazzeri+ (25),7.7,1929,R
370,361.,Derrek Lee (29),7.7,2005,R
371,361.,Johnny Mize+ (26),7.7,1939,L
372,361.,Johnny Mize+ (27),7.7,1940,L
373,361.,Dale Murphy (31),7.7,1987,R
374,361.,Brooks Robinson+ (30),7.7,1967,R
375,361.,Frank Robinson+ (25),7.7,1961,R
376,361.,Frank Robinson+ (30),7.7,1966,R
377,361.,Ron Santo+ (25),7.7,1965,R
378,361.,Mike Schmidt+ (25),7.7,1975,R
379,361.,Mike Schmidt+ (31),7.7,1981,R
380,361.,Tris Speaker+ (22),7.7,1910,L
381,361.,Tris Speaker+ (29),7.7,1917,L
382,361.,Ichiro Suzuki (27),7.7,2001,L
383,361.,Mike Trout (22),7.7,2014,R
384,361.,Honus Wagner+ (29),7.7,1903,R
385,361.,Billy Williams+ (27),7.7,1965,L
386,361.,Jim Wynn (32),7.7,1974,R
387,388.,Jose Altuve (27),7.6,2017,R
388,388.,Jesse Barfield (26),7.6,1986,R
389,388.,George Brett+ (24),7.6,1977,L
390,388.,Miguel Cabrera (28),7.6,2011,R
391,388.,Ken Caminiti (33),7.6,1996,B
392,388.,Rocky Colavito (27),7.6,1961,R
393,388.,Roger Connor+ (30),7.6,1888,B
394,388.,Doug DeCinces (31),7.6,1982,R
395,388.,Jimmie Foxx+ (30),7.6,1938,R
396,388.,Lou Gehrig+ (26),7.6,1929,L
397,388.,Carlos Gomez (27),7.6,2013,R
398,388.,Curtis Granderson (26),7.6,2007,L
399,388.,Keith Hernandez (25),7.6,1979,L
400,388.,Shoeless Joe Jackson (25),7.6,1913,L
401,388.,Chipper Jones+ (35),7.6,2007,B
402,388.,Nap Lajoie+ (32),7.6,1907,R
403,388.,Kenny Lofton (26),7.6,1993,L
404,388.,Willie Mays+ (25),7.6,1956,R
405,388.,Stan Musial+ (32),7.6,1953,L
406,388.,John Olerud (29),7.6,1998,L
407,388.,Darrell Porter (27),7.6,1979,L
408,388.,Buster Posey (25),7.6,2012,R
409,388.,Tim Raines+ (25),7.6,1985,B
410,388.,Jose Ramirez (25),7.6,2018,B
411,388.,Jim Rice+ (25),7.6,1978,R
412,388.,Alex Rodriguez (28),7.6,2004,R
413,388.,Duke Snider+ (29),7.6,1956,L
414,388.,Bill Terry+ (33),7.6,1932,L
415,388.,Ken Williams (33),7.6,1923,L
416,388.,Ben Zobrist (30),7.6,2011,B
417,418.,Dick Allen (24),7.5,1966,R
418,418.,Jeff Bagwell+ (28),7.5,1996,R
419,418.,Barry Bonds (30),7.5,1995,L
420,418.,George Brett+ (23),7.5,1976,L
421,418.,Miguel Cabrera (30),7.5,2013,R
422,418.,Rod Carew+ (28),7.5,1974,L
423,418.,Gary Carter+ (30),7.5,1984,R
424,418.,Roberto Clemente+ (34),7.5,1969,R
425,418.,Andre Dawson+ (26),7.5,1981,R
426,418.,Goose Goslin+ (27),7.5,1928,L
427,418.,Hank Greenberg+ (26),7.5,1937,R
428,418.,Mike Greenwell (24),7.5,1988,L
429,418.,Shoeless Joe Jackson (32),7.5,1920,L
430,418.,Hughie Jennings+ (26),7.5,1895,R
431,418.,Hughie Jennings+ (29),7.5,1898,R
432,418.,Derek Jeter+ (24),7.5,1998,R
433,418.,Al Kaline+ (32),7.5,1967,R
434,418.,Manny Machado (22),7.5,2015,R
435,418.,Roger Maris (25),7.5,1960,L
436,418.,Mark McGwire (34),7.5,1998,R
437,418.,Johnny Mize+ (34),7.5,1947,L
438,418.,Stan Musial+ (31),7.5,1952,L
439,418.,Graig Nettles (26),7.5,1971,L
440,418.,Vada Pinson (22),7.5,1961,L
441,418.,Albert Pujols (30),7.5,2010,R
442,418.,Cal Ripken Jr.+ (29),7.5,1990,R
443,418.,Frank Robinson+ (33),7.5,1969,R
444,418.,Joe Sewell+ (24),7.5,1923,L
445,418.,Al Simmons+ (29),7.5,1931,R
446,418.,Jim Thome+ (25),7.5,1996,L
447,418.,Ted Williams+ (35),7.5,1954,L
448,449.,Bob Allison (28),7.4,1963,R
449,449.,Roberto Alomar+ (31),7.4,1999,B
450,449.,Jeff Bagwell+ (31),7.4,1999,R
451,449.,Home Run Baker+ (28),7.4,1914,L
452,449.,Dave Bancroft+ (30),7.4,1921,B
453,449.,Johnny Bench+ (22),7.4,1970,R
454,449.,Ken Boyer (28),7.4,1959,R
455,449.,Cesar Cedeno (22),7.4,1973,R
456,449.,Ty Cobb+ (26),7.4,1913,L
457,449.,Art Fletcher (32),7.4,1917,R
458,449.,Frankie Frisch+ (26),7.4,1924,B
459,449.,Nomar Garciaparra (26),7.4,2000,R
460,449.,Brett Gardner (26),7.4,2010,L
461,449.,Vladimir Guerrero+ (23),7.4,1998,R
462,449.,Tommy Harper (29),7.4,1970,R
463,449.,Andruw Jones (21),7.4,1998,R
464,449.,Chuck Klein+ (27),7.4,1932,L
465,449.,Fred Lynn (23),7.4,1975,L
466,449.,Nick Markakis (24),7.4,2008,L
467,449.,Eddie Mathews+ (25),7.4,1957,L
468,449.,Amos Otis (31),7.4,1978,R
469,449.,Mel Ott+ (25),7.4,1934,L
470,449.,Dave Parker (26),7.4,1977,L
471,449.,Hanley Ramirez (25),7.4,2009,R
472,449.,Pee Wee Reese+ (30),7.4,1949,R
473,449.,Jackie Robinson+ (31),7.4,1950,R
474,449.,Mike Schmidt+ (32),7.4,1982,R
475,449.,Miguel Tejada (30),7.4,2004,R
476,449.,Jim Thome+ (31),7.4,2002,L
477,449.,Dickie Thon (25),7.4,1983,R
478,449.,Hack Wilson+ (30),7.4,1930,R
479,449.,Jim Wynn (23),7.4,1965,R
480,481.,Hank Aaron+ (24),7.3,1958,R
481,481.,Roberto Alomar+ (33),7.3,2001,B
482,481.,Luke Appling+ (36),7.3,1943,R
483,481.,Alex Bregman (24),7.3,2018,R
484,481.,Kris Bryant (24),7.3,2016,R
485,481.,Robinson Cano (33),7.3,2016,L
486,481.,Jose Canseco (23),7.3,1988,R
487,481.,Frank Chance+ (29),7.3,1906,R
488,481.,Roberto Clemente+ (36),7.3,1971,R
489,481.,Ed Delahanty+ (28),7.3,1896,R
490,481.,Carlos Delgado (28),7.3,2000,L
491,481.,Joe DiMaggio+ (25),7.3,1940,R
492,481.,Carlton Fisk+ (24),7.3,1972,R
493,481.,Alex Gordon (27),7.3,2011,L
494,481.,Bobby Grich (25),7.3,1974,R
495,481.,Bobby Grich (26),7.3,1975,R
496,481.,Hughie Jennings+ (28),7.3,1897,R
497,481.,Chipper Jones+ (36),7.3,2008,B
498,481.,King Kelly+ (28),7.3,1886,R
499,481.,Manny Machado (23),7.3,2016,R
500,481.,Heinie Manush+ (26),7.3,1928,L
501,481.,Eddie Mathews+ (23),7.3,1955,L
502,481.,Eddie Mathews+ (28),7.3,1960,L
503,481.,Eddie Mathews+ (29),7.3,1961,L
504,481.,Lloyd Moseby (24),7.3,1984,L
505,481.,Stan Musial+ (29),7.3,1950,L
506,481.,Magglio Ordonez (33),7.3,2007,R
507,481.,Mel Ott+ (26),7.3,1935,L
508,481.,Manny Ramirez (27),7.3,1999,R
509,481.,Brian Roberts (27),7.3,2005,B
510,481.,Ozzie Smith+ (34),7.3,1989,B
511,481.,Frank Thomas+ (29),7.3,1997,R
512,481.,Chase Utley (26),7.3,2005,L
513,481.,Chase Utley (27),7.3,2006,L
514,481.,Honus Wagner+ (28),7.3,1902,R
515,481.,Christian Yelich (26),7.3,2018,L
516,481.,Robin Yount+ (27),7.3,1983,R
517,481.,Ryan Zimmerman (24),7.3,2009,R
