,Rank,Player (age that year),Championship WPA (cWPA),Year,Throws
145,146.,Whitey Ford+ (25),12.06,1954,L
146,147.,Lefty Grove+ (29),12.03,1929,L
147,147.,Hal Newhouser+ (24),12.03,1945,L
148,149.,Harry Brecheen (30),12.01,1945,L
149,149.,Hoyt Wilhelm+ (31),12.01,1954,R
150,151.,Gerry Staley (38),11.94,1959,R
151,152.,Eddie Fisher (27),11.86,1964,R
152,153.,Bret Saberhagen (21),11.84,1985,R
153,154.,Randy Johnson+ (31),11.80,1995,L
154,155.,Juan Marichal+ (31),11.74,1969,R
155,156.,Freddie Fitzsimmons (32),11.69,1934,R
156,157.,Walter Johnson+ (37),11.66,1925,R
157,158.,Lon Warneke (32),11.62,1941,R
158,159.,Joe Black (28),11.53,1952,R
159,159.,Mike Garcia (28),11.53,1952,R
160,161.,George Pipgras (28),11.52,1928,R
161,161.,Allan Sothoron (28),11.52,1921,R
162,163.,Eppa Rixey+ (32),11.47,1923,L
163,164.,Bob Feller+ (29),11.46,1948,R
164,164.,Don Newcombe (30),11.46,1956,R
165,166.,Johnny Allen (36),11.39,1941,R
166,167.,Jack Sanford (33),11.38,1962,R
167,168.,Whit Wyatt (34),11.27,1942,R
168,169.,Sheriff Blake (28),11.23,1928,R
169,170.,Dazzy Vance+ (33),11.21,1924,R
170,171.,Carl Mays (28),11.16,1920,R
171,172.,Don McMahon (37),11.15,1967,R
172,172.,Billy Pierce (32),11.15,1959,L
173,174.,Jesse Barnes (26),11.14,1919,R
174,174.,Jim O'Toole (24),11.14,1961,L
175,176.,Hugh Casey (32),11.13,1946,R
176,176.,Hal Schumacher (22),11.13,1933,R
177,178.,Ed Roebuck (30),11.07,1962,R
178,179.,Stan Coveleski+ (35),11.04,1925,R
179,180.,Waite Hoyt+ (24),11.02,1924,R
180,181.,Bill Hallahan (27),10.98,1930,L
181,182.,Rod Beck (24),10.95,1993,R
182,182.,Paul Derringer (33),10.95,1940,R
183,184.,Paul Dean (21),10.94,1934,R
184,185.,Frank Tanana (33),10.91,1987,L
185,186.,Watty Clark (28),10.90,1930,L
186,187.,Pete Donohue (25),10.88,1926,R
187,188.,Warren Spahn+ (32),10.86,1953,L
188,189.,Ray Prim (38),10.83,1945,L
189,190.,Jim Maloney (25),10.77,1965,R
190,191.,Gary Peters (27),10.71,1964,L
191,192.,Luis Arroyo (34),10.70,1961,L
192,192.,Charlie Root (30),10.70,1929,R
193,194.,Johnny Allen (35),10.69,1940,R
194,195.,Red Ruffing+ (27),10.67,1932,R
195,196.,Max Lanier (26),10.65,1942,L
196,197.,Mike Henneman (25),10.60,1987,R
197,198.,Johnny Antonelli (29),10.59,1959,L
198,199.,Frank Linzy (24),10.50,1965,R
199,200.,Pete Alexander+ (40),10.45,1927,R
200,201.,Frank Viola (24),10.42,1984,L
201,202.,Jim Brosnan (31),10.38,1961,R
202,203.,Spec Shea (26),10.35,1947,R
203,204.,Early Wynn+ (35),10.32,1955,R
204,205.,Rich Gossage+ (26),10.30,1978,R
205,205.,Don Sutton+ (35),10.30,1980,R
206,207.,Ellis Kinder (36),10.27,1951,R
