,Rank,Player (age that year),Singles,Year,Bats
55,54.,Doc Cramer (29),170,1935,L
56,54.,Darin Erstad (26),170,2000,L
57,54.,Dee Strange-Gordon (29),170,2017,L
58,54.,Willie Keeler+ (23),170,1895,L
59,54.,Willie Keeler+ (29),170,1901,L
60,54.,Sam Rice+ (30),170,1920,L
61,54.,Milt Stock (26),170,1920,R
62,63.,Richie Ashburn+ (26),169,1953,L
63,63.,Fred Clarke+ (26),169,1899,L
64,63.,Ty Cobb+ (24),169,1911,L
65,63.,Bill Everitt (29),169,1898,L
66,63.,Frankie Frisch+ (25),169,1923,B
67,63.,Dee Strange-Gordon (27),169,2015,L
68,63.,Derek Jeter+ (38),169,2012,R
69,63.,Freddie Lindstrom+ (22),169,1928,R
70,63.,Bill Terry+ (35),169,1934,L
71,72.,Jose Altuve (24),168,2014,R
72,72.,Bill Everitt (26),168,1895,L
73,72.,Charlie Jamieson (31),168,1924,L
74,72.,Juan Pierre (25),168,2003,L
75,72.,Bill Terry+ (30),168,1929,L
76,72.,Paul Waner+ (24),168,1927,L
77,78.,Dave Cash (26),167,1974,R
78,78.,Tommy Davis (23),167,1962,R
79,78.,Hugh Duffy+ (26),167,1893,R
80,78.,Nellie Fox+ (26),167,1954,L
81,78.,Willie Keeler+ (34),167,1906,L
82,78.,Harvey Kuenn (22),167,1953,R
83,78.,Heinie Manush+ (31),167,1933,L
84,78.,Paul Molitor+ (39),167,1996,R
85,78.,Sam Rice+ (36),167,1926,L
86,87.,Ginger Beaumont (25),166,1902,L
87,87.,Ginger Beaumont (26),166,1903,L
88,87.,Carson Bigbee (27),166,1922,L
89,87.,Dave Cash (27),166,1975,R
90,87.,Ty Cobb+ (25),166,1912,L
91,87.,Earle Combs+ (28),166,1927,L
92,87.,Billy Hamilton+ (29),166,1895,L
93,87.,Derek Jeter+ (35),166,2009,R
94,87.,Lance Johnson (32),166,1996,L
95,87.,Lance Richbourg (30),166,1928,L
96,97.,Sparky Adams (32),165,1927,R
97,97.,Pete Browning (26),165,1887,R
98,97.,Ty Cobb+ (20),165,1907,L
99,97.,Ed Delahanty+ (31),165,1899,R
100,97.,Gene DeMontreville (25),165,1898,R
101,97.,Tony Gwynn+ (29),165,1989,L
102,97.,Willie Keeler+ (22),165,1894,L
103,97.,Nap Lajoie+ (35),165,1910,R
104,97.,Don Mueller (27),165,1954,L
105,97.,Johnny Pesky (23),165,1942,L
106,97.,Mickey Rivers (31),165,1980,L
107,97.,Ichiro Suzuki (28),165,2002,L
108,97.,Maury Wills (32),165,1965,B
109,110.,Ty Cobb+ (22),164,1909,L
110,110.,Willie Montanez (28),164,1976,L
111,110.,Juan Pierre (29),164,2007,L
112,110.,Milt Stock (31),164,1925,R
113,110.,Joe Torre+ (30),164,1971,R
114,110.,Buck Weaver (29),164,1920,B
115,116.,Freddie Lindstrom+ (24),163,1930,R
116,116.,Buddy Myer (31),163,1935,L
117,116.,Juan Pierre (23),163,2001,L
118,116.,Kirby Puckett+ (28),163,1988,R
119,116.,George Stone (30),163,1907,L
120,121.,Wade Boggs+ (26),162,1984,L
121,121.,Brett Butler (34),162,1991,L
122,121.,Dave Cash (28),162,1976,R
123,121.,Mike Donlin (27),162,1905,L
124,121.,Chick Fullis (32),162,1933,R
125,121.,Ralph Garr (28),162,1974,L
126,121.,Tony Gwynn+ (27),162,1987,L
127,121.,Buddy Hassett (27),162,1939,L
128,121.,Shoeless Joe Jackson (23),162,1911,L
129,121.,Willie Keeler+ (32),162,1904,L
130,121.,Harvey Kuenn (23),162,1954,R
131,121.,Buddy Lewis (20),162,1937,L
132,121.,Willie McGee (26),162,1985,B
133,121.,Dale Mitchell (26),162,1948,L
134,121.,Ben Revere (26),162,2014,L
135,121.,Sam Rice+ (34),162,1924,L
136,121.,Ichiro Suzuki (29),162,2003,L
137,121.,Roy Thomas (25),162,1899,L
138,121.,John Ward+ (27),162,1887,L
139,121.,Maury Wills (34),162,1967,B
140,141.,Carson Bigbee (26),161,1921,L
141,141.,Jesse Burkett+ (28),161,1897,L
142,141.,Fred Clarke+ (22),161,1895,L
143,141.,Ty Cobb+ (28),161,1915,L
144,141.,Eddie Collins+ (35),161,1922,L
145,141.,Bob Dillinger (29),161,1948,R
146,141.,Tony Fernandez (24),161,1986,B
147,141.,Harry Heilmann+ (26),161,1921,R
148,141.,Harry Heilmann+ (30),161,1925,R
149,141.,Willie Keeler+ (30),161,1902,L
150,141.,Heinie Manush+ (26),161,1928,L
151,141.,Dale Mitchell (27),161,1949,L
152,141.,Hi Myers (33),161,1922,R
153,141.,Rip Radcliff (30),161,1936,L
154,141.,Roy Thomas (26),161,1900,L
155,141.,Roy Thomas (31),161,1905,L
156,141.,Sam Thompson+ (33),161,1893,L
157,158.,Luke Appling+ (29),160,1936,R
158,158.,George Brett+ (23),160,1976,L
159,158.,Eddie Brown (34),160,1926,R
160,158.,Brett Butler (33),160,1990,L
161,158.,Luis Castillo (26),160,2002,B
162,158.,Hal Chase (23),160,1906,R
163,158.,Doc Cramer (34),160,1940,L
164,158.,Sam Crawford+ (31),160,1911,L
165,158.,Patsy Dougherty (26),160,1903,L
166,158.,Lou Finney (25),160,1936,L
167,158.,Curt Flood (30),160,1968,R
168,158.,Nellie Fox+ (30),160,1958,L
169,158.,Dick Groat (31),160,1962,R
170,158.,Sonny Jackson (21),160,1966,L
171,158.,Woody Jensen (27),160,1935,L
172,158.,Frank McCormick (27),160,1938,R
173,158.,Stuffy McInnis (23),160,1914,R
174,158.,Jo-Jo Moore (27),160,1936,L
175,158.,Rafael Ramirez (25),160,1983,R
176,158.,Red Schoendienst+ (26),160,1949,B
177,158.,Tris Speaker+ (28),160,1916,L
178,179.,Dave Bancroft+ (31),159,1922,B
179,179.,Lou Brock+ (35),159,1974,L
180,179.,George Browne (27),159,1903,L
181,179.,Ty Cobb+ (37),159,1924,L
182,179.,Doc Cramer (37),159,1943,L
183,179.,Lave Cross (28),159,1894,R
184,179.,Frank Demaree (26),159,1936,R
185,179.,Patsy Donovan (33),159,1898,L
186,179.,Dummy Hoy (37),159,1899,L
187,179.,Baby Doll Jacobson (29),159,1920,R
188,179.,Jimmy Johnston (33),159,1923,R
189,179.,Clyde Milan (24),159,1911,L
190,179.,Johnny Pesky (27),159,1946,L
191,179.,Pete Rose (38),159,1979,B
192,179.,Joe Sewell+ (26),159,1925,L
193,179.,Bill Sweeney (26),159,1912,R
194,179.,Paul Waner+ (27),159,1930,L
195,196.,Mel Almada (25),158,1938,L
196,196.,Richie Ashburn+ (22),158,1949,L
197,196.,Ginger Beaumont (24),158,1901,L
198,196.,Ginger Beaumont (27),158,1904,L
199,196.,Wade Boggs+ (30),158,1988,L
200,196.,Al Bumbry (33),158,1980,L
201,196.,Luis Castillo (24),158,2000,B
202,196.,Duff Cooley (22),158,1895,L
203,196.,Doc Cramer (28),158,1934,L
204,196.,Nellie Fox+ (28),158,1956,L
205,196.,Julio Franco (25),158,1984,R
206,196.,Ender Inciarte (26),158,2017,L
207,196.,Derek Jeter+ (32),158,2006,R
208,196.,John McGraw+ (25),158,1898,L
209,196.,Lefty O'Doul (35),158,1932,L
210,196.,Sam Rice+ (40),158,1930,L
211,196.,Bobby Richardson (26),158,1962,R
212,196.,Pete Rose (28),158,1969,B
213,196.,Jigger Statz (25),158,1923,R
214,196.,Ichiro Suzuki (31),158,2005,L
215,196.,Pie Traynor+ (24),158,1923,R
216,196.,Tommy Tucker (25),158,1889,B
217,196.,George Van Haltren (32),158,1898,L
218,219.,Felipe Alou (33),157,1968,R
219,219.,Luke Appling+ (33),157,1940,R
220,219.,Glenn Beckert (25),157,1966,R
221,219.,Max Carey+ (32),157,1922,B
222,219.,Cecil Cooper (30),157,1980,L
223,219.,Nellie Fox+ (24),157,1952,L
224,219.,Nellie Fox+ (27),157,1955,L
225,219.,Mark Grudzielanek (26),157,1996,R
226,219.,Tony Gwynn+ (25),157,1985,L
227,219.,Tony Gwynn+ (26),157,1986,L
228,219.,Emmet Heidrick (22),157,1899,L
229,219.,Billy Herman+ (25),157,1935,R
230,219.,Johnny Hodapp (24),157,1930,R
231,219.,Nap Lajoie+ (31),157,1906,R
232,219.,Kenny Lofton (29),157,1996,L
233,219.,Rabbit Maranville+ (30),157,1922,R
234,219.,Stuffy McInnis (32),157,1923,R
235,219.,Juan Pierre (32),157,2010,L
236,219.,Kirby Puckett+ (29),157,1989,R
237,219.,Pete Rose (35),157,1976,B
238,219.,Steve Sax (26),157,1986,R
239,219.,Stan Spence (27),157,1942,L
240,219.,Rennie Stennett (23),157,1974,R
241,219.,George Stone (29),157,1906,L
242,219.,Johnny Temple (28),157,1956,R
243,219.,Bill Terry+ (36),157,1935,L
244,219.,Lloyd Waner+ (32),157,1938,L
245,219.,John Ward+ (30),157,1890,L
246,219.,Willie Wilson (26),157,1982,B
247,219.,Ross Youngs+ (23),157,1920,L
248,249.,Matty Alou (28),156,1967,L
249,249.,Shad Barry (26),156,1905,R
250,249.,Glenn Beckert (30),156,1971,R
251,249.,Lou Brock+ (33),156,1972,L
252,249.,Rod Carew+ (27),156,1973,L
253,249.,Luis Castillo (27),156,2003,B
254,249.,Fred Clarke+ (24),156,1897,L
