,Rank,Player (age that year),Doubles,Year,Bats
50,43.,Tip O'Neill (27),52,1887,R
51,43.,David Ortiz (31),52,2007,L
52,43.,Enos Slaughter+ (23),52,1939,L
53,43.,Tris Speaker+ (33),52,1921,L
54,43.,Tris Speaker+ (38),52,1926,L
55,43.,Michael Young (29),52,2006,R
56,57.,Beau Bell (29),51,1937,R
57,57.,Craig Biggio+ (32),51,1998,R
58,57.,Wade Boggs+ (31),51,1989,L
59,57.,Alex Bregman (24),51,2018,R
60,57.,George Burns (34),51,1927,R
61,57.,Billy Butler (23),51,2009,R
62,57.,Joe Cronin+ (31),51,1938,R
63,57.,Hugh Duffy+ (27),51,1894,R
64,57.,Nomar Garciaparra (26),51,2000,R
65,57.,Alex Gordon (28),51,2012,L
66,57.,Mark Grace (31),51,1995,L
67,57.,Johnny Hodapp (24),51,1930,R
68,57.,Baby Doll Jacobson (35),51,1926,R
69,57.,Nap Lajoie+ (35),51,1910,R
70,57.,Manny Machado (20),51,2013,R
71,57.,Stan Musial+ (23),51,1944,L
72,57.,Albert Pujols (23),51,2003,R
73,57.,Albert Pujols (24),51,2004,R
74,57.,Brian Roberts (30),51,2008,B
75,57.,Frank Robinson+ (26),51,1962,R
76,57.,Pete Rose (37),51,1978,B
77,57.,Alfonso Soriano (26),51,2002,R
78,57.,Mickey Vernon (28),51,1946,L
79,57.,Jose Vidro (25),51,2000,B
80,81.,Bobby Abreu (28),50,2002,L
81,81.,Miguel Cabrera (23),50,2006,R
82,81.,Ben Chapman (27),50,1936,R
83,81.,Kiki Cuyler+ (31),50,1930,R
84,81.,Charlie Gehringer+ (31),50,1934,L
85,81.,Juan Gonzalez (28),50,1998,R
86,81.,Hank Greenberg+ (29),50,1940,R
87,81.,Odell Hale (27),50,1936,R
88,81.,Harry Heilmann+ (32),50,1927,R
89,81.,Matt Holliday (27),50,2007,R
90,81.,Chuck Klein+ (27),50,1932,L
91,81.,Derrek Lee (29),50,2005,R
92,81.,Stan Musial+ (25),50,1946,L
93,81.,Albert Pujols (32),50,2012,R
94,81.,Aramis Ramirez (34),50,2012,R
95,81.,Brian Roberts (26),50,2004,B
96,81.,Tris Speaker+ (32),50,1920,L
97,81.,Stan Spence (31),50,1946,L
98,81.,Miguel Tejada (31),50,2005,R
99,81.,Paul Waner+ (25),50,1928,L
100,101.,Garret Anderson (31),49,2003,L
101,101.,Adrian Beltre (31),49,2010,R
102,101.,Ed Delahanty+ (27),49,1895,R
103,101.,Marcus Giles (25),49,2003,R
104,101.,Hank Greenberg+ (26),49,1937,R
105,101.,Shawn Green (30),49,2003,L
106,101.,Tony Gwynn+ (37),49,1997,L
107,101.,Todd Helton (29),49,2003,L
108,101.,Todd Helton (30),49,2004,L
109,101.,Jeff Kent (33),49,2001,R
110,101.,Nap Lajoie+ (29),49,1904,R
111,101.,Jed Lowrie (33),49,2017,B
112,101.,Heinie Manush+ (28),49,1930,L
113,101.,Rafael Palmeiro (26),49,1991,L
114,101.,Scott Rolen (28),49,2003,R
115,101.,George Sisler+ (27),49,1920,L
116,101.,Riggs Stephenson (34),49,1932,R
117,101.,Dan Uggla (27),49,2007,R
118,101.,Vernon Wells (24),49,2003,R
119,101.,Ned Williamson (25),49,1883,R
120,101.,Robin Yount+ (24),49,1980,R
121,122.,Bobby Abreu (27),48,2001,L
122,122.,Garrett Atkins (26),48,2006,R
123,122.,Earl Averill+ (32),48,1934,L
124,122.,Jeff Bagwell+ (28),48,1996,R
125,122.,Dick Bartell (24),48,1932,R
126,122.,Albert Belle (31),48,1998,R
127,122.,Ronnie Belliard (29),48,2004,R
128,122.,Dante Bichette (34),48,1998,R
129,122.,Miguel Cabrera (28),48,2011,R
130,122.,Robinson Cano (26),48,2009,L
131,122.,Robinson Cano (29),48,2012,L
132,122.,Eduardo Escobar (29),48,2018,B
133,122.,Babe Herman (27),48,1930,L
134,122.,Keith Hernandez (25),48,1979,L
135,122.,Aubrey Huff (31),48,2008,L
136,122.,Joe Kelley+ (22),48,1894,R
137,122.,Nap Lajoie+ (26),48,1901,R
138,122.,Nap Lajoie+ (31),48,1906,R
139,122.,Nick Markakis (24),48,2008,L
140,122.,Don Mattingly (24),48,1985,L
141,122.,Joe Medwick+ (27),48,1939,R
142,122.,Wally Moses (26),48,1937,L
143,122.,Stan Musial+ (22),48,1943,L
144,122.,David Ortiz (40),48,2016,L
145,122.,Dustin Pedroia (25),48,2009,R
