,Rank,Player (age that year),Double Plays Turned as OF,Year,Throws
174,84.,Sam West (24),8,1929,L
175,84.,Cy Williams (39),8,1927,L
176,84.,Harry Wolter (26),8,1911,R
177,84.,George Wood (23),8,1882,R
178,84.,Jim Wynn (26),8,1968,R
179,180.,Tommie Agee (23),7,1966,R
180,180.,John Anderson (34),7,1908,R
181,180.,Richie Ashburn+ (30),7,1957,R
182,180.,Bob Bailor (26),7,1978,R
183,180.,Jimmy Barrett (26),7,1901,R
184,180.,Jimmy Barrett (28),7,1903,R
185,180.,Albert Belle (26),7,1993,R
186,180.,Bob Bescher (30),7,1914,L
187,180.,Dante Bichette (27),7,1991,R
188,180.,Ping Bodie (29),7,1917,R
189,180.,Ping Bodie (31),7,1919,R
190,180.,Bobby Bonds (24),7,1970,R
191,180.,Lou Brock+ (24),7,1963,L
192,180.,Steve Brodie (24),7,1893,R
193,180.,George Browne (28),7,1904,R
194,180.,Pete Browning (26),7,1887,R
195,180.,Tom Brown (30),7,1891,R
196,180.,Jesse Burkett+ (23),7,1892,L
197,180.,Melky Cabrera (26),7,2011,L
198,180.,Johnny Callison (23),7,1962,R
199,180.,Jose Cardenal (24),7,1968,R
200,180.,Pat Carney (25),7,1902,L
201,180.,Cliff Carroll (30),7,1890,R
202,180.,Chet Chadbourne (30),7,1915,R
203,180.,Ben Chapman (26),7,1935,R
204,180.,Jack Clark (23),7,1979,R
205,180.,Otis Clymer (32),7,1908,R
206,180.,Ty Cobb+ (22),7,1909,R
207,180.,Ty Cobb+ (28),7,1915,R
208,180.,Shano Collins (35),7,1921,R
209,180.,Earle Combs+ (29),7,1928,R
210,180.,Pop Corkhill (29),7,1887,R
211,180.,Gavvy Cravath (33),7,1914,R
212,180.,Jose Cruz (29),7,2003,R
213,180.,Kiki Cuyler+ (31),7,1930,R
214,180.,Lefty Davis (26),7,1901,L
215,180.,Rob Deer (29),7,1990,R
216,180.,Ray Demmitt (25),7,1909,R
217,180.,Dom DiMaggio (25),7,1942,R
218,180.,Patsy Donovan (27),7,1892,L
219,180.,Charlie Duffee (23),7,1889,R
220,180.,Charlie Duffee (25),7,1891,R
221,180.,Jack Dunleavy (25),7,1905,L
222,180.,Dwight Evans (28),7,1980,R
223,180.,Ron Fairly (29),7,1968,L
224,180.,Elmer Flick+ (23),7,1899,R
225,180.,Elmer Flick+ (25),7,1901,R
226,180.,Elmer Flick+ (31),7,1907,R
227,180.,Curry Foley (26),7,1882,L
228,180.,Walt French (26),7,1926,R
229,180.,Grover Gilmore (25),7,1914,L
230,180.,George Gore (33),7,1887,R
231,180.,Goose Goslin+ (32),7,1933,R
232,180.,Danny Green (24),7,1901,R
233,180.,Mike Griffin (26),7,1891,R
234,180.,Mike Griffin (27),7,1892,R
235,180.,Mike Griffin (33),7,1898,R
236,180.,Chick Hafey+ (24),7,1927,R
237,180.,Billy Hamilton+ (25),7,1891,R
238,180.,Billy Hamilton+ (26),7,1892,R
239,180.,Dick Harley (26),7,1899,R
240,180.,Cliff Heathcote (29),7,1927,L
241,180.,George Hendrick (29),7,1979,R
242,180.,Babe Herman (28),7,1931,L
243,180.,Mike Hershberger (25),7,1965,R
244,180.,Paul Hines (25),7,1880,R
245,180.,Ducky Holmes (29),7,1898,R
246,180.,Tommy Holmes (27),7,1944,L
247,180.,Tommy Holmes (29),7,1946,L
248,180.,Harry Hooper+ (22),7,1910,R
249,180.,Harry Hooper+ (25),7,1913,R
250,180.,Harry Hooper+ (27),7,1915,R
251,180.,Pete Hotaling (31),7,1888,R
252,180.,Dummy Hoy (26),7,1888,R
253,180.,Geoff Jenkins (30),7,2005,R
254,180.,Charlie Jones (30),7,1906,R
255,180.,Fielder Jones (26),7,1898,R
256,180.,Benny Kauff (25),7,1915,L
257,180.,Willie Keeler+ (32),7,1904,L
258,180.,Joe Kelley+ (27),7,1899,R
259,180.,Chuck Klein+ (30),7,1935,R
260,180.,Tommy Leach (34),7,1912,R
261,180.,Nemo Leibold (28),7,1920,R
262,180.,Jim Lillie (22),7,1884,
263,180.,Harry Lumley (26),7,1907,L
264,180.,Sherry Magee (22),7,1907,R
265,180.,Jack Manning (30),7,1884,R
266,180.,Armando Marsans (28),7,1916,R
267,180.,Clyde Milan (26),7,1913,R
268,180.,Dusty Miller (27),7,1896,R
269,180.,Terry Moore (24),7,1936,R
270,180.,Herbie Moran (29),7,1913,R
271,180.,Johnny Mostil (27),7,1923,R
272,180.,Red Murray (28),7,1912,R
273,180.,Hi Myers (29),7,1918,R
274,180.,Greasy Neale (28),7,1920,R
275,180.,Ron Northey (24),7,1944,R
276,180.,Tom O'Brien (26),7,1899,
277,180.,Mel Ott+ (26),7,1935,R
278,180.,Tom Parrott (28),7,1896,R
279,180.,Jim Piersall (23),7,1953,R
280,180.,Ray Powell (30),7,1919,R
281,180.,Paul Radford (23),7,1885,R
282,180.,Paul Radford (30),7,1892,R
283,180.,Harry Rice (25),7,1927,R
284,180.,Sam Rice+ (35),7,1925,R
285,180.,Jim Rivera (33),7,1955,L
286,180.,Jim Russell (25),7,1944,R
