,Rank,Player (age that year),Hits per 9 IP,Year,Throws
0,1.,Trevor Bauer (29),5.0548,2020,R
1,2.,Dinelson Lamet (27),5.0870,2020,R
2,3.,Nolan Ryan+ (25),5.2606,1972,R
3,4.,Luis Tiant (27),5.2955,1968,R
4,5.,Nolan Ryan+ (44),5.3064,1991,R
5,6.,Pedro Martinez+ (28),5.3088,2000,R
6,7.,Ed Reulbach (23),5.3257,1906,R
7,8.,Shane Bieber (25),5.3534,2020,R
8,9.,Kenta Maeda (32),5.4000,2020,R
9,10.,Justin Verlander (36),5.5291,2019,R
10,11.,Dutch Leonard (22),5.5682,1914,L
11,12.,Blake Snell (25),5.5793,2018,L
12,13.,Max Scherzer (32),5.6512,2017,R
13,14.,Carl Lundgren (27),5.6522,1907,R
14,15.,Sid Fernandez (22),5.7065,1985,L
15,16.,Tommy Byrne (29),5.7398,1949,L
16,17.,Dave McNally (25),5.7692,1968,L
17,18.,Jose Fernandez (20),5.7857,2013,R
18,19.,Sandy Koufax+ (29),5.7915,1965,L
19,20.,Russ Ford (27),5.8265,1910,R
20,21.,Tim Keefe+ (23),5.8286,1880,R
21,22.,Hideo Nomo (26),5.8328,1995,R
22,23.,Al Downing (22),5.8406,1963,L
23,24.,Herb Score (23),5.8476,1956,L
24,25.,Lucas Giolito (25),5.8479,2020,R
25,26.,Bob Gibson+ (32),5.8490,1968,R
26,27.,Sam McDowell (22),5.8681,1965,L
27,28.,Ed Walsh+ (29),5.8918,1910,R
28,29.,Pedro Martinez+ (25),5.8923,1997,R
29,30.,Jake Arrieta (29),5.8952,2015,R
30,31.,Mike Scott (31),5.9492,1986,R
31,32.,Mario Soto (23),5.9580,1980,R
32,33.,Floyd Youmans (22),5.9589,1986,R
33,34.,Nolan Ryan+ (30),5.9599,1977,R
34,35.,Nolan Ryan+ (27),5.9790,1974,R
35,36.,Nolan Ryan+ (34),5.9799,1981,R
36,37.,Zack Greinke (31),5.9820,2015,R
37,38.,Nolan Ryan+ (39),6.0169,1986,R
38,39.,Gerrit Cole (28),6.0188,2019,R
39,40.,Sam McDowell (23),6.0206,1966,L
40,41.,Vida Blue (21),6.0288,1971,L
41,42.,Walter Johnson+ (25),6.0347,1913,R
42,43.,Nolan Ryan+ (43),6.0441,1990,R
43,44.,Pete Alexander+ (28),6.0505,1915,R
44,45.,Sam McDowell (25),6.0558,1968,L
45,46.,Joe Horlen (26),6.0665,1964,R
46,47.,Andy Messersmith (23),6.0840,1969,R
47,48.,Nolan Ryan+ (42),6.0919,1989,R
48,49.,Stan Coveleski+ (27),6.0939,1917,R
49,50.,Catfish Hunter+ (26),6.0948,1972,R
50,51.,Nolan Ryan+ (29),6.1090,1976,R
51,52.,Sid Fernandez (25),6.1123,1988,L
52,53.,Max Scherzer (33),6.1178,2018,R
53,54.,Bob Turley (26),6.1248,1957,R
54,55.,Bob Turley (24),6.1297,1955,R
55,56.,Chris Young (28),6.1387,2007,R
56,57.,Don Sutton+ (27),6.1394,1972,R
57,58.,Nolan Ryan+ (36),6.1426,1983,R
58,59.,Ron Guidry (27),6.1498,1978,L
59,60.,Johan Santana (25),6.1579,2004,L
60,61.,Mordecai Brown+ (31),6.1665,1908,R
61,62.,Jack Flaherty (23),6.1885,2019,R
62,63.,Sandy Koufax+ (27),6.1929,1963,L
63,64.,Randy Johnson+ (33),6.2113,1997,L
64,65.,Jack Pfiester (28),6.2114,1906,L
65,66.,Sandy Koufax+ (28),6.2152,1964,L
66,67.,Jacob deGrom (32),6.2206,2020,R
67,68.,Yu Darvish (26),6.2242,2013,R
68,69.,Corey Kluber (31),6.2308,2017,R
69,69.,Roger Nelson (28),6.2308,1972,R
70,71.,Justin Verlander (28),6.2390,2011,R
71,72.,Johnny Cueto (28),6.2421,2014,R
72,73.,Julio Teheran (27),6.2505,2018,R
73,74.,Clayton Kershaw (25),6.2542,2013,L
74,75.,Herb Score (22),6.2551,1955,L
75,76.,Cy Morgan (30),6.2591,1909,R
76,77.,Sonny Gray (29),6.2624,2019,R
77,78.,Clayton Kershaw (21),6.2632,2009,L
78,79.,Dean Chance (23),6.2731,1964,R
79,80.,Christy Mathewson+ (28),6.2760,1909,R
80,80.,J.R. Richard (28),6.2760,1978,R
81,82.,Art Fromme (25),6.2828,1909,R
82,83.,Jake Arrieta (30),6.2939,2016,R
83,84.,Jacob deGrom (30),6.3041,2018,R
84,85.,Clayton Kershaw (27),6.3052,2015,L
85,86.,Clayton Kershaw (26),6.3076,2014,L
86,87.,Greg Maddux+ (29),6.3100,1995,R
87,88.,Aaron Nola (25),6.3155,2018,R
88,89.,Walter Johnson+ (24),6.3171,1912,R
89,90.,Kerry Wood (21),6.3180,1998,R
90,91.,Jack Coombs (27),6.3229,1910,R
91,92.,Rube Waddell+ (28),6.3256,1905,L
92,93.,Vean Gregg (26),6.3270,1911,L
93,94.,Jeff Robinson (26),6.3314,1988,R
94,95.,Larry Cheney (30),6.3320,1916,R
95,96.,Sonny Siebert (31),6.3350,1968,R
96,97.,Allie Reynolds (26),6.3423,1943,R
97,98.,Roger Clemens (23),6.3425,1986,R
98,99.,Willie Mitchell (23),6.3456,1913,L
99,100.,Jose DeLeon (28),6.3638,1989,R
100,101.,Pascual Perez (31),6.3670,1988,R
101,102.,Walter Johnson+ (22),6.3730,1910,R
102,103.,Dave Boswell (21),6.3780,1966,R
103,104.,Harry Krause (20),6.3803,1909,L
104,105.,Dutch Leonard (23),6.3818,1915,L
105,106.,Max Scherzer (28),6.3826,2013,R
106,107.,Eddie Cicotte (33),6.3865,1917,R
107,108.,Wayne Simpson (21),6.3920,1970,R
108,109.,Mike Foltynewicz (26),6.3934,2018,R
109,110.,Al Leiter (30),6.3947,1996,L
110,111.,Babe Ruth+ (21),6.3955,1916,L
111,112.,Spec Shea (26),6.3974,1947,R
112,113.,Dave Righetti (22),6.4082,1981,L
113,114.,Jim Bibby (28),6.4177,1973,R
114,115.,Ed Reulbach (22),6.4183,1905,R
115,116.,Gaylord Perry+ (35),6.4219,1974,R
116,117.,Eddie Fisher (28),6.4234,1965,R
117,118.,Gerrit Cole (27),6.4243,2018,R
118,119.,Addie Joss+ (28),6.4246,1908,R
119,120.,Mordecai Brown+ (29),6.4255,1906,R
120,121.,Roger Clemens (42),6.4306,2005,R
