,Rank,Player (age that year),Range Factor/9Inn as OF,Year,Throws
88,89.,Jimmy Welsh (27),3.216,1930,R
89,89.,Sam West (31),3.216,1936,L
90,91.,Gary Pettis (30),3.214,1988,R
91,92.,Sam Chapman (34),3.211,1950,R
92,92.,Kiddo Davis (30),3.211,1932,R
93,92.,Terry Moore (23),3.211,1935,R
94,92.,Jimmy Welsh (24),3.211,1927,R
95,96.,Ruppert Jones (23),3.207,1978,L
96,97.,Adam Jones (23),3.206,2009,R
97,97.,Dwayne Murphy (28),3.206,1983,R
98,99.,Irv Noren (25),3.205,1950,L
99,100.,Gary Pettis (28),3.203,1986,R
100,101.,Gerald Williams (34),3.202,2001,R
101,102.,Bobby Del Greco (27),3.201,1960,R
102,103.,Estel Crabtree (28),3.197,1932,R
103,104.,Lloyd Moseby (24),3.194,1984,R
104,105.,Henry Cotto (23),3.192,1984,R
105,105.,Fred Schulte (32),3.192,1933,R
106,107.,Jim Rivera (30),3.191,1952,L
107,108.,George Metkovich (23),3.187,1944,L
108,109.,Willie Wilson (25),3.186,1981,R
109,110.,Lance Johnson (30),3.184,1994,L
110,111.,Cesar Geronimo (27),3.182,1975,L
111,111.,Carlos Gomez (23),3.182,2009,R
112,113.,Mike Kreevich (30),3.181,1938,R
113,113.,George Metkovich (26),3.181,1947,L
114,115.,Paul Blair (30),3.180,1974,R
115,116.,Rick Manning (26),3.176,1981,R
116,117.,Otis Nixon (33),3.172,1992,R
117,118.,Max Carey+ (31),3.171,1921,R
118,118.,Mitch Webster (31),3.171,1990,L
119,120.,Bobby Mitchell (27),3.170,1982,L
120,121.,Taylor Douthit (30),3.168,1931,R
121,122.,Hi Myers (34),3.166,1923,R
122,122.,Gorman Thomas (25),3.166,1976,R
123,124.,Max Carey+ (33),3.163,1923,R
124,124.,Sam Rice+ (30),3.163,1920,R
125,126.,Eddie Milner (30),3.162,1985,L
126,127.,Al Bumbry (33),3.160,1980,R
127,128.,Garry Maddox (25),3.159,1975,R
128,129.,Rickey Henderson+ (22),3.158,1981,L
129,130.,Chris Singleton (26),3.157,1999,L
130,131.,Al Bumbry (35),3.156,1982,R
131,131.,Sam West (25),3.156,1930,L
132,133.,Gus Bell (24),3.155,1953,R
133,133.,Lance Johnson (29),3.155,1993,L
134,133.,Ruppert Jones (22),3.155,1977,L
135,133.,Mickey Rivers (27),3.155,1976,L
136,137.,Kimera Bartee (23),3.154,1996,R
137,137.,Willie Wilson (24),3.154,1980,R
138,139.,Johnny Mostil (27),3.152,1923,R
139,140.,Sam Chapman (25),3.151,1941,R
140,140.,Kevin McReynolds (24),3.151,1984,R
141,142.,Chet Lemon (21),3.150,1976,R
142,142.,Johnny Mostil (30),3.150,1926,R
143,144.,Carlos Gomez (22),3.149,2008,R
144,144.,Lloyd Waner+ (23),3.149,1929,R
145,146.,Eric Davis (25),3.147,1987,R
146,147.,Rick Bosetti (25),3.143,1979,R
147,147.,Mike Kreevich (32),3.143,1940,R
148,147.,Gary Pettis (29),3.143,1987,R
149,150.,Tuck Stainback (33),3.142,1945,R
150,151.,Andruw Jones (22),3.140,1999,R
151,152.,Eddie Milner (28),3.139,1983,L
152,153.,Hal Jeffcoat (28),3.137,1953,R
153,154.,Wally Judnich (30),3.136,1946,L
154,155.,Stan Spence (29),3.135,1944,L
155,156.,Paul Blair (26),3.134,1970,R
156,157.,Paul Blair (32),3.133,1976,R
157,158.,Rick Manning (24),3.132,1979,R
158,158.,Dwayne Murphy (26),3.132,1981,R
159,160.,Alex Metzler (24),3.131,1927,R
160,161.,Mickey Rivers (28),3.130,1977,L
161,162.,Jim Busby (31),3.127,1958,R
162,162.,Bob Coluccio (22),3.127,1974,R
163,162.,Freddy Leach (29),3.127,1927,R
164,165.,Mike Mansell (21),3.126,1879,
165,166.,Dain Clay (24),3.125,1944,R
166,167.,Charley Jones (25),3.122,1877,R
167,167.,Jimmy Slagle (25),3.122,1899,R
168,167.,Sam West (32),3.122,1937,L
169,170.,Lloyd Waner+ (28),3.121,1934,R
170,171.,Dave Philley (32),3.120,1952,R
171,172.,Dom DiMaggio (25),3.118,1942,R
172,172.,Fred Schulte (27),3.118,1928,R
173,172.,Thurman Tucker (25),3.118,1943,R
174,175.,Taylor Douthit (31),3.117,1932,R
175,175.,Tom Oliver (30),3.117,1933,R
176,177.,Amos Otis (33),3.116,1980,R
177,178.,Lenny Dykstra (27),3.115,1990,L
178,178.,Felix Pie (24),3.115,2009,L
179,180.,Jacque Jones (24),3.112,1999,L
180,181.,Tsuyoshi Shinjo (30),3.111,2002,R
181,182.,Byron Buxton (23),3.110,2017,R
182,182.,Freddie Lindstrom+ (27),3.110,1933,R
183,184.,Kenny Lofton (25),3.109,1992,L
184,184.,Mickey Rivers (29),3.109,1978,L
185,186.,Garry Maddox (31),3.108,1981,R
186,187.,Johnny Mostil (29),3.107,1925,R
187,188.,Vince DiMaggio (30),3.105,1943,R
188,188.,Lenny Dykstra (29),3.105,1992,L
189,188.,Carl Furillo (26),3.105,1948,R
190,191.,Devon White (29),3.104,1992,R
191,192.,Gus Felix (30),3.103,1925,R
192,193.,Rich Becker (24),3.102,1996,L
193,193.,Amos Otis (34),3.102,1981,R
194,193.,Kirby Puckett+ (25),3.102,1985,R
195,196.,Willie Wilson (28),3.101,1984,R
196,197.,Gil Coan (29),3.100,1951,R
197,197.,Omar Moreno (27),3.100,1980,L
198,199.,Amos Otis (27),3.099,1974,R
199,200.,Edd Roush+ (27),3.097,1920,L
200,201.,Dwayne Murphy (31),3.096,1986,R
201,202.,Rick Manning (28),3.095,1983,R
202,203.,Ethan Allen (25),3.094,1929,R
203,204.,Bill North (32),3.093,1980,R
204,205.,Wally Berger (25),3.092,1931,R
205,205.,Jim Edmonds (25),3.092,1995,L
206,205.,Terry Moore (28),3.092,1940,R
207,208.,Mike Kreevich (29),3.090,1937,R
208,209.,Jigger Statz (24),3.089,1922,R
209,210.,Brett Butler (27),3.088,1984,L
210,210.,Leonys Martín (27),3.088,2015,R
