,Rank,Player (age that year),Extra Base Hits,Year,Bats
0,1.,Babe Ruth+ (26),119,1921,L
1,2.,Lou Gehrig+ (24),117,1927,L
2,3.,Barry Bonds (36),107,2001,L
3,3.,Chuck Klein+ (25),107,1930,L
4,5.,Todd Helton (27),105,2001,L
5,6.,Albert Belle (28),103,1995,R
6,6.,Hank Greenberg+ (26),103,1937,R
7,6.,Todd Helton (26),103,2000,L
8,6.,Chuck Klein+ (27),103,1932,L
9,6.,Stan Musial+ (27),103,1948,L
10,6.,Sammy Sosa (32),103,2001,R
11,12.,Rogers Hornsby+ (26),102,1922,R
12,13.,Jimmie Foxx+ (24),100,1932,R
13,13.,Lou Gehrig+ (27),100,1930,L
14,13.,Luis Gonzalez (33),100,2001,L
15,16.,Albert Belle (31),99,1998,R
16,16.,Carlos Delgado (28),99,2000,L
17,16.,Hank Greenberg+ (29),99,1940,R
18,16.,Derrek Lee (29),99,2005,R
19,16.,Albert Pujols (24),99,2004,R
20,16.,Babe Ruth+ (25),99,1920,L
21,16.,Babe Ruth+ (28),99,1923,L
22,16.,Larry Walker+ (30),99,1997,L
23,24.,Hank Greenberg+ (24),98,1935,R
24,25.,Juan Gonzalez (28),97,1998,R
25,25.,Joe Medwick+ (25),97,1937,R
26,25.,Babe Ruth+ (32),97,1927,L
27,25.,Hack Wilson+ (30),97,1930,R
28,29.,Chris Davis (27),96,2013,L
29,29.,Joe DiMaggio+ (22),96,1937,R
30,29.,Hank Greenberg+ (23),96,1934,R
31,29.,Hal Trosky (23),96,1936,L
32,33.,Lou Gehrig+ (31),95,1934,L
33,33.,Joe Medwick+ (24),95,1936,R
34,33.,Albert Pujols (23),95,2003,R
35,36.,Lance Berkman (25),94,2001,B
36,36.,Jimmie Foxx+ (25),94,1933,R
37,36.,Babe Herman (27),94,1930,L
38,36.,Rogers Hornsby+ (33),94,1929,R
39,36.,Chuck Klein+ (24),94,1929,L
40,41.,Jim Bottomley+ (28),93,1928,L
41,41.,Ellis Burks (31),93,1996,R
42,41.,Lou Gehrig+ (33),93,1936,L
43,41.,Ken Griffey Jr.+ (27),93,1997,L
44,41.,Albert Pujols (29),93,2009,R
45,41.,Al Simmons+ (28),93,1930,R
46,47.,Hank Aaron+ (25),92,1959,R
47,47.,Brady Anderson (32),92,1996,L
