,Rank,Player (age that year),Caught Stealing as C,Year,Throws
356,354.,Lou Criger (32),71,1904,R
357,354.,Lou Criger (37),71,1909,R
358,354.,Charlie Dexter (20),71,1896,R
359,354.,Ted Easterly (25),71,1910,R
360,354.,Tex Erwin (24),71,1910,R
361,354.,Deacon McGuire (36),71,1900,R
362,354.,Pat Moran (33),71,1909,R
363,354.,Les Nunamaker (28),71,1917,R
364,354.,Ray Schalk+ (26),71,1919,R
365,354.,Ossee Schrecongost (27),71,1902,R
366,354.,Jim Stephens (27),71,1911,R
367,354.,Bill Wilson (22),71,1890,R
368,369.,Jimmy Archer (32),70,1915,R
369,369.,Fritz Buelow (26),70,1902,R
370,369.,Gary Carter+ (28),70,1982,R
371,369.,Jack Clements (30),70,1895,L
372,369.,John Grim (24),70,1892,R
373,369.,Malachi Kittridge (22),70,1892,R
374,369.,Malachi Kittridge (35),70,1905,R
375,369.,Walt Kuhn (25),70,1912,R
376,369.,Paddy Livingston (29),70,1909,R
377,369.,Tom Pagnozzi (28),70,1991,R
378,369.,Tony Pena (29),70,1986,R
379,369.,Hank Severeid (31),70,1922,R
380,369.,Tubby Spencer (24),70,1908,R
381,369.,Jim Sundberg (27),70,1978,R
382,369.,Farmer Vaughn (27),70,1891,R
383,369.,Chief Zimmer (32),70,1893,R
384,385.,Nick Allen (26),69,1915,R
385,385.,Boileryard Clarke (26),69,1895,R
386,385.,John Henry (25),69,1915,R
387,385.,Steve O'Neill (28),69,1920,R
388,385.,Ed Phelps (30),69,1909,R
389,385.,Luke Sewell (26),69,1927,R
390,385.,Frank Snyder (23),69,1917,R
391,385.,Oscar Stanage (32),69,1915,R
392,385.,Jim Sundberg (25),69,1976,R
393,394.,Bill Bergen (25),68,1903,R
394,394.,Jack Clements (33),68,1898,L
395,394.,Con Daily (29),68,1894,R
396,394.,Charlie Ganzel (33),68,1895,R
397,394.,Malachi Kittridge (32),68,1902,R
398,394.,Malachi Kittridge (34),68,1904,R
399,394.,Doggie Miller (27),68,1892,R
400,394.,Mickey O'Neil (23),68,1921,R
401,394.,Heinie Peitz (27),68,1898,R
402,394.,Heinie Peitz (33),68,1904,R
403,394.,Lew Ritter (27),68,1903,R
404,394.,Wilbert Robinson+ (28),68,1892,R
405,394.,Wally Schang (27),68,1917,R
406,394.,Wally Schang (29),68,1919,R
407,394.,Hank Severeid (33),68,1924,R
408,394.,Frank Snyder (25),68,1919,R
409,394.,Billy Sullivan (30),68,1905,R
410,394.,Farmer Vaughn (29),68,1893,R
411,394.,Ivey Wingo (27),68,1918,R
412,413.,Charlie Bennett (36),67,1891,R
413,413.,Sam Brown (30),67,1907,R
414,413.,Tim Donahue (26),67,1896,R
415,413.,Klondike Douglass (27),67,1899,R
416,413.,Mike Grady (26),67,1896,R
417,413.,Wickey McAvoy (23),67,1918,R
418,413.,Ed Phelps (24),67,1903,R
419,413.,Walter Schmidt (32),67,1919,R
420,413.,Ossee Schrecongost (28),67,1903,R
421,413.,Jim Stephens (28),67,1912,R
422,413.,Ivey Wingo (29),67,1920,R
423,424.,Roger Bresnahan+ (28),66,1907,R
424,424.,Gary Carter+ (25),66,1979,R
425,424.,Jack Clements (28),66,1893,L
426,424.,Lou Criger (35),66,1907,R
427,424.,Brian Downing (24),66,1975,R
428,424.,Bill Killefer (28),66,1916,R
429,424.,Red Kleinow (29),66,1907,R
430,424.,Pat Moran (26),66,1902,R
431,424.,Mickey O'Neil (25),66,1923,R
432,424.,Fred Payne (29),66,1910,R
433,424.,Wilbert Robinson+ (27),66,1891,R
434,424.,Ray Schalk+ (29),66,1922,R
435,424.,Wally Schang (23),66,1913,R
436,424.,Ossee Schrecongost (33),66,1908,R
437,424.,Zack Taylor (24),66,1923,R
438,424.,Art Wilson (32),66,1918,R
439,424.,Ivey Wingo (28),66,1919,R
440,441.,Fred Abbott (28),65,1903,R
441,441.,Tim Blackwell (27),65,1980,R
442,441.,Frank Bowerman (29),65,1898,R
443,441.,Red Dooin (24),65,1903,R
444,441.,Brian Downing (27),65,1978,R
445,441.,Bubbles Hargrave (30),65,1923,R
446,441.,Ed McFarland (23),65,1897,R
447,441.,Red McKee (22),65,1913,R
448,441.,Jocko Milligan (31),65,1893,R
