,Rank,Player (age that year),Manager Ejections,Year
0,1.,Bobby Cox+ (60),11,2001
1,1.,Bill Dahlen (40),11,1910
2,1.,John McGraw+ (32),11,1905
3,1.,John McGraw+ (33),11,1906
4,1.,Paul Richards (43),11,1952
5,6.,Roger Bresnahan+ (30),10,1909
6,6.,Bobby Cox+ (58),10,1999
7,6.,Bobby Cox+ (66),10,2007
8,6.,Bill Dahlen (41),10,1911
9,6.,Johnny Evers+ (31),10,1913
10,6.,Jerry Manuel (49),10,2003
11,6.,John McGraw+ (37),10,1910
12,6.,John McGraw+ (42),10,1915
13,6.,Paul Richards (47),10,1956
14,6.,Earl Weaver+ (44),10,1975
15,16.,Bobby Cox+ (62),9,2003
16,16.,Bobby Cox+ (65),9,2006
17,16.,Bill Dahlen (42),9,1912
18,16.,Frankie Frisch+ (42),9,1940
19,16.,Frankie Frisch+ (46),9,1944
20,16.,Burleigh Grimes+ (43),9,1937
21,16.,John McGraw+ (41),9,1914
22,16.,Earl Weaver+ (45),9,1976
23,16.,Earl Weaver+ (48),9,1979
24,25.,Buddy Bell (48),8,2000
25,25.,Buddy Bell (49),8,2001
26,25.,David Bell (46),8,2019
27,25.,Pat Corrales (42),8,1983
28,25.,Bobby Cox+ (43),8,1984
29,25.,Frankie Frisch+ (44),8,1942
30,25.,Frankie Frisch+ (47),8,1945
31,25.,Ron Gardenhire (48),8,2006
32,25.,Ron Gardenhire (61),8,2019
33,25.,John Gibbons (43),8,2005
34,25.,John Gibbons (54),8,2016
35,25.,Clark Griffith+ (32),8,1902
36,25.,Clark Griffith+ (36),8,1906
37,25.,Clark Griffith+ (40),8,1910
38,25.,Frank Lucchesi (50),8,1976
39,25.,John McGraw+ (35),8,1908
40,25.,Hal McRae (47),8,1993
41,25.,Rick Renteria (57),8,2019
42,25.,Paul Richards (52),8,1961
43,25.,Bill Rigney (38),8,1956
44,25.,Cal Ripken Sr. (51),8,1987
45,25.,Larry Schlafly (35),8,1914
46,25.,Eddie Stanky (37),8,1953
47,25.,Earl Weaver+ (42),8,1973
48,25.,Earl Weaver+ (43),8,1974
49,50.,George Bamberger (54),7,1978
50,50.,Larry Bowa (57),7,2003
51,50.,Bobby Cox+ (42),7,1983
52,50.,Bobby Cox+ (56),7,1997
53,50.,Bobby Cox+ (61),7,2002
54,50.,Bobby Cox+ (67),7,2008
55,50.,Bobby Cox+ (68),7,2009
56,50.,Chuck Dressen (56),7,1951
57,50.,Leo Durocher+ (47),7,1953
58,50.,Jim Fregosi (51),7,1993
59,50.,Frankie Frisch+ (48),7,1946
60,50.,Frankie Frisch+ (52),7,1950
61,50.,Ron Gardenhire (45),7,2003
62,50.,Ron Gardenhire (49),7,2007
63,50.,John Gibbons (56),7,2018
64,50.,Clark Griffith+ (31),7,1901
65,50.,Clark Griffith+ (39),7,1909
66,50.,Solly Hemus (36),7,1959
67,50.,Buck Herzog (28),7,1914
68,50.,Fred Hutchinson (36),7,1956
69,50.,Fred Hutchinson (43),7,1963
70,50.,Joe Kelley+ (31),7,1903
71,50.,Joe Kelley+ (36),7,1908
72,50.,Otto Knabe (30),7,1914
73,50.,Lee Magee (26),7,1915
74,50.,Charlie Manuel (63),7,2007
75,50.,John McGraw+ (31),7,1904
76,50.,John McGraw+ (38),7,1911
77,50.,Ray Miller (53),7,1998
78,50.,Mike Quade (54),7,2011
79,50.,Rick Renteria (55),7,2017
80,50.,Paul Richards (44),7,1953
81,50.,Paul Richards (45),7,1954
82,50.,Paul Richards (46),7,1955
83,50.,Paul Richards (49),7,1958
84,50.,Paul Richards (50),7,1959
85,50.,Paul Richards (51),7,1960
86,50.,Joe Tinker+ (32),7,1913
