,Rank,Player (age that year),Base-Out Wins Saved (REW),Year,Throws
0,1.,Dwight Gooden (20),9.46,1985,R
1,2.,Pedro Martinez+ (28),9.22,2000,R
2,3.,Bob Gibson+ (32),9.11,1968,R
3,4.,Lefty Grove+ (31),9.07,1931,L
4,5.,Roger Clemens (34),8.84,1997,R
5,6.,Dolf Luque (32),8.73,1923,R
6,7.,Carl Hubbell+ (33),8.66,1936,L
7,8.,Sandy Koufax+ (30),8.48,1966,L
8,9.,Lefty Gomez+ (28),8.12,1937,L
9,10.,Greg Maddux+ (29),8.05,1995,R
10,11.,Dean Chance (23),7.98,1964,R
11,11.,Lefty Grove+ (30),7.98,1930,L
12,13.,Carl Hubbell+ (30),7.91,1933,L
13,14.,Sandy Koufax+ (27),7.78,1963,L
14,15.,Steve Carlton+ (27),7.70,1972,L
15,16.,Bob Feller+ (21),7.64,1940,R
16,16.,Ron Guidry (27),7.64,1978,L
17,18.,Robin Roberts+ (26),7.46,1953,R
18,19.,Lefty Grove+ (32),7.45,1932,L
19,20.,Vida Blue (21),7.44,1971,L
20,20.,Lefty Grove+ (36),7.44,1936,L
21,22.,Pedro Martinez+ (27),7.36,1999,R
22,23.,Jim Palmer+ (29),7.30,1975,R
23,24.,Tom Seaver+ (26),7.22,1971,R
24,25.,Greg Maddux+ (28),7.17,1994,R
25,26.,Lefty Gomez+ (25),7.08,1934,L
26,27.,Greg Maddux+ (31),7.06,1997,R
27,28.,Warren Spahn+ (26),7.05,1947,L
28,29.,Dazzy Vance+ (33),7.02,1924,R
29,30.,Bucky Walters (30),6.95,1939,R
30,31.,Warren Spahn+ (32),6.92,1953,L
31,32.,Randy Johnson+ (35),6.90,1999,L
32,32.,Tom Seaver+ (28),6.90,1973,R
33,34.,Gaylord Perry+ (33),6.89,1972,R
34,35.,Zack Greinke (31),6.87,2015,R
35,36.,Sandy Koufax+ (29),6.83,1965,L
36,37.,Bob Feller+ (20),6.80,1939,R
37,38.,Randy Johnson+ (37),6.77,2001,L
38,39.,Dazzy Vance+ (37),6.74,1928,R
39,40.,Bob Gibson+ (33),6.69,1969,R
40,41.,Kevin Brown (31),6.65,1996,R
41,42.,Jim Palmer+ (27),6.63,1973,R
42,43.,Jacob deGrom (30),6.55,2018,R
43,44.,John Tudor (31),6.51,1985,L
44,45.,Johan Santana (25),6.46,2004,L
45,46.,Juan Marichal+ (28),6.45,1966,R
46,47.,Pedro Martinez+ (25),6.40,1997,R
47,48.,Pete Alexander+ (29),6.35,1916,R
48,48.,Zack Greinke (25),6.35,2009,R
49,50.,Stan Coveleski+ (30),6.33,1920,R
50,50.,Juan Marichal+ (27),6.33,1965,R
51,52.,Randy Johnson+ (38),6.32,2002,L
52,53.,Roger Clemens (27),6.30,1990,R
53,53.,Bob Feller+ (27),6.30,1946,R
54,55.,Jake Arrieta (29),6.24,2015,R
55,56.,Jim Bagby (30),6.22,1920,R
56,57.,Carl Hubbell+ (31),6.20,1934,L
57,58.,Mike Scott (31),6.19,1986,R
58,59.,Don Drysdale+ (27),6.18,1964,R
59,60.,Dick Ellsworth (23),6.17,1963,L
60,60.,Bucky Walters (31),6.17,1940,R
61,62.,Mort Cooper (29),6.14,1942,R
62,63.,Justin Verlander (36),6.13,2019,R
63,64.,Stan Coveleski+ (27),6.12,1917,R
64,65.,Lefty Grove+ (37),6.11,1937,L
65,65.,Andy Messersmith (29),6.11,1975,R
66,67.,Randy Johnson+ (31),6.09,1995,L
67,68.,Roger Clemens (42),6.06,2005,R
68,69.,Dazzy Vance+ (39),6.04,1930,R
69,70.,Randy Johnson+ (33),6.02,1997,L
70,71.,Roger Clemens (23),5.99,1986,R
71,72.,Red Faber+ (32),5.97,1921,R
72,73.,Robin Roberts+ (27),5.96,1954,R
73,74.,Kevin Appier (25),5.92,1993,R
74,75.,Dizzy Dean+ (24),5.90,1934,R
75,75.,Greg Maddux+ (32),5.90,1998,R
76,77.,Tom Seaver+ (24),5.87,1969,R
77,78.,Larry Benton (30),5.86,1928,R
78,78.,Bill Lee (28),5.86,1938,R
79,80.,Lon Warneke (23),5.85,1932,R
80,81.,Mel Parnell (27),5.84,1949,L
81,82.,Corey Kluber (31),5.83,2017,R
82,82.,Derek Lowe (29),5.83,2002,R
83,84.,Steve Carlton+ (35),5.82,1980,L
84,85.,Red Faber+ (33),5.80,1922,R
85,85.,George Uhle (27),5.80,1926,R
86,87.,Catfish Hunter+ (29),5.79,1975,R
87,87.,Dolf Luque (34),5.79,1925,R
88,87.,Luis Tiant (27),5.79,1968,R
89,90.,Denny McLain (25),5.78,1969,R
90,90.,Jim Palmer+ (31),5.78,1977,R
91,90.,Bret Saberhagen (25),5.78,1989,R
92,93.,Bob Lemon+ (27),5.75,1948,R
93,94.,Gerrit Cole (28),5.74,2019,R
94,94.,Clayton Kershaw (25),5.74,2013,L
95,94.,Wilcy Moore (30),5.74,1927,R
96,97.,Johnny Antonelli (24),5.71,1954,L
97,97.,Sandy Koufax+ (28),5.71,1964,L
98,97.,Jose Rijo (28),5.71,1993,R
99,100.,Roger Clemens (24),5.69,1987,R
100,100.,Justin Verlander (28),5.69,2011,R
101,102.,Hal Newhouser+ (25),5.67,1946,L
102,102.,Bob Shawkey (31),5.67,1922,R
103,104.,Spud Chandler (35),5.66,1943,R
104,104.,Greg Maddux+ (26),5.66,1992,R
105,106.,Mike Norris (25),5.65,1980,R
106,107.,Jim Bunning+ (34),5.64,1966,R
107,108.,Randy Johnson+ (36),5.63,2000,L
108,108.,Clayton Kershaw (26),5.63,2014,L
109,110.,Jason Schmidt (30),5.61,2003,R
110,111.,John Hiller (30),5.59,1973,L
111,112.,Whit Wyatt (33),5.58,1941,R
112,113.,Bob Feller+ (22),5.57,1941,R
113,114.,Roy Halladay+ (33),5.56,2010,R
114,114.,Clayton Kershaw (27),5.56,2015,L
115,114.,Greg Maddux+ (27),5.56,1993,R
116,117.,Gene Bearden (27),5.55,1948,L
117,117.,Gaylord Perry+ (35),5.55,1974,R
118,119.,Billy Pierce (28),5.54,1955,L
119,119.,Jered Weaver (28),5.54,2011,R
120,121.,Bert Blyleven+ (22),5.51,1973,R
121,122.,Tom Seaver+ (32),5.50,1977,R
122,123.,Pedro Martinez+ (31),5.47,2003,R
123,124.,Kevin Brown (33),5.46,1998,R
124,124.,Johnny Sain (30),5.46,1948,R
125,126.,Bob Shawkey (29),5.44,1920,R
126,126.,Early Wynn+ (36),5.44,1956,R
127,128.,Denny McLain (24),5.43,1968,R
128,128.,Dave Stieb (27),5.43,1985,R
129,130.,Ewell Blackwell (24),5.42,1947,R
130,131.,Jerry Koosman (26),5.41,1969,L
131,132.,Curt Schilling (34),5.40,2001,R
132,133.,Blake Snell (25),5.39,2018,L
133,134.,Roger Clemens (35),5.38,1998,R
134,135.,Kevin Brown (35),5.37,2000,R
135,135.,Tom Glavine+ (32),5.37,1998,L
136,137.,Wilbur Wood (29),5.36,1971,L
137,138.,Waite Hoyt+ (27),5.34,1927,R
138,138.,Cliff Lee (29),5.34,2008,L
