,Rank,Player (age that year),Base-Out Wins Saved (REW),Year,Throws
139,140.,Larry Dierker (22),5.29,1969,R
140,140.,Lon Warneke (24),5.29,1933,R
141,142.,Harry Brecheen (33),5.28,1948,L
142,142.,Whitey Ford+ (26),5.28,1955,L
143,142.,Mel Harder (24),5.28,1934,R
144,145.,John Candelaria (23),5.27,1977,L
145,146.,Frank Tanana (23),5.26,1977,L
146,147.,Lefty Grove+ (35),5.25,1935,L
147,148.,Chris Carpenter (34),5.22,2009,R
148,148.,Sam McDowell (22),5.22,1965,L
149,148.,Johan Santana (27),5.22,2006,L
150,151.,Pat Hentgen (27),5.21,1996,R
151,151.,Dave Stieb (26),5.21,1984,R
152,153.,Lefty Grove+ (29),5.20,1929,L
153,154.,Lefty Grove+ (28),5.19,1928,L
154,154.,Catfish Hunter+ (28),5.19,1974,R
155,154.,Juan Marichal+ (31),5.19,1969,R
156,157.,Lefty Grove+ (39),5.18,1939,L
157,158.,Mike Caldwell (29),5.17,1978,L
158,159.,Jim Bagby (27),5.16,1917,R
159,160.,Mark Eichhorn (25),5.15,1986,R
160,160.,Jimmy Key (26),5.15,1987,L
161,160.,Andy Pettitte (33),5.15,2005,L
162,160.,Robin Roberts+ (23),5.15,1950,R
163,164.,Tom Seaver+ (30),5.13,1975,R
164,165.,Red Ruffing+ (32),5.12,1937,R
165,166.,Bob Lemon+ (28),5.11,1949,R
166,166.,Hoyt Wilhelm+ (36),5.11,1959,R
167,168.,Vida Blue (26),5.10,1976,L
168,169.,Sheriff Blake (28),5.08,1928,R
169,169.,Phil Niekro+ (35),5.08,1974,R
170,171.,Spud Chandler (38),5.07,1946,R
171,172.,Whitey Ford+ (35),5.06,1964,L
172,172.,Tim Lincecum (24),5.06,2008,R
173,172.,Aaron Nola (25),5.06,2018,R
174,172.,CC Sabathia (27),5.06,2008,L
175,176.,Red Ruffing+ (34),5.05,1939,R
176,176.,Virgil Trucks (32),5.05,1949,R
177,176.,Jim Turner (33),5.05,1937,R
178,179.,Howie Pollet (25),5.04,1946,L
179,180.,Roy Halladay+ (32),5.02,2009,R
180,181.,Mort Cooper (30),4.99,1943,R
181,182.,Roy Halladay+ (34),4.96,2011,R
182,183.,Babe Adams (37),4.95,1919,R
183,183.,Pedro Martinez+ (30),4.95,2002,R
184,183.,Mike Mussina+ (23),4.95,1992,R
185,183.,Jim Palmer+ (24),4.95,1970,R
186,183.,Red Ruffing+ (33),4.95,1938,R
187,188.,Mike Cuellar (32),4.94,1969,L
188,188.,Tim Lincecum (25),4.94,2009,R
189,190.,Mike Hampton (26),4.93,1999,L
190,190.,Herb Score (23),4.93,1956,L
191,192.,Clayton Kershaw (28),4.92,2016,L
192,192.,Hal Schumacher (22),4.92,1933,R
193,194.,Firpo Marberry (30),4.91,1929,R
194,194.,Max Scherzer (32),4.91,2017,R
195,196.,Walter Johnson+ (31),4.89,1919,R
196,196.,Carl Mays (29),4.89,1921,R
197,196.,Jake Peavy (26),4.89,2007,R
198,196.,Gary Peters (26),4.89,1963,L
199,196.,Justin Verlander (35),4.89,2018,R
200,201.,Whitey Ford+ (27),4.88,1956,L
201,202.,Orel Hershiser (29),4.87,1988,R
202,202.,Esteban Loaiza (31),4.87,2003,R
203,204.,Dizzy Dean+ (25),4.86,1935,R
204,204.,Jacob deGrom (31),4.86,2019,R
205,204.,Greg Maddux+ (34),4.86,2000,R
206,207.,Al Leiter (32),4.85,1998,L
207,207.,Joe Niekro (37),4.85,1982,R
208,207.,Herb Pennock+ (30),4.85,1924,L
209,207.,Rick Reuschel (28),4.85,1977,R
210,207.,Max Scherzer (33),4.85,2018,R
211,212.,Curt Schilling (37),4.84,2004,R
212,212.,Bill Singer (25),4.84,1969,R
213,214.,Joe Horlen (29),4.83,1967,R
214,215.,Andy Pettitte (25),4.82,1997,L
215,216.,Tommy Thomas (27),4.81,1927,R
216,216.,Frank Viola (27),4.81,1987,L
217,218.,Tom Glavine+ (31),4.80,1997,L
218,218.,Bobby Shantz (26),4.80,1952,L
219,220.,Steve Carlton+ (24),4.79,1969,L
220,220.,Barry Zito (24),4.79,2002,L
221,222.,Teddy Higuera (30),4.78,1988,L
222,223.,Tiny Bonham (28),4.76,1942,R
223,223.,Roger Clemens (28),4.76,1991,R
224,223.,Johan Santana (29),4.76,2008,L
225,226.,Chris Carpenter (30),4.75,2005,R
226,227.,Pedro Martinez+ (26),4.72,1998,R
227,227.,Billy Pierce (26),4.72,1953,L
228,227.,Eppa Rixey+ (34),4.72,1925,L
229,230.,Felix Hernandez (24),4.71,2010,R
230,231.,Kyle Hendricks (26),4.70,2016,R
231,231.,Darryl Kile (28),4.70,1997,R
232,231.,Johan Santana (26),4.70,2005,L
233,231.,Lefty Stewart (29),4.70,1930,L
234,231.,Bill Walker (27),4.70,1931,L
235,236.,Luis Tiant (33),4.69,1974,R
236,237.,Johnny Allen (31),4.68,1936,R
237,237.,Jesse Haines+ (33),4.68,1927,R
238,237.,Adam Wainwright (28),4.68,2010,R
239,240.,Walter Johnson+ (36),4.67,1924,R
240,240.,Hal Newhouser+ (24),4.67,1945,L
241,242.,Adam Wainwright (27),4.66,2009,R
242,243.,Don Drysdale+ (23),4.65,1960,R
243,243.,Jon Matlack (24),4.65,1974,L
244,243.,Steve Rogers (32),4.65,1982,R
245,246.,Lefty Grove+ (26),4.64,1926,L
246,246.,Frank Viola (28),4.64,1988,L
247,248.,Felix Hernandez (28),4.62,2014,R
248,249.,Ralph Branca (21),4.61,1947,R
249,250.,Red Ruffing+ (27),4.60,1932,R
250,250.,Hyun Jin Ryu (32),4.60,2019,L
251,252.,Bob Lemon+ (31),4.59,1952,R
252,253.,Mort Cooper (31),4.58,1944,R
253,253.,Greg Maddux+ (30),4.58,1996,R
254,253.,Kevin Millwood (24),4.58,1999,R
255,256.,Tim Hudson (27),4.57,2003,R
256,256.,Thornton Lee (34),4.57,1941,L
257,258.,Felix Hernandez (23),4.55,2009,R
258,258.,Jon Lester (32),4.55,2016,L
259,258.,Schoolboy Rowe (24),4.55,1934,R
260,261.,Howie Pollet (28),4.54,1949,L
261,261.,Chris Sale (29),4.54,2018,L
262,261.,Don Sutton+ (27),4.54,1972,R
263,264.,Burleigh Grimes+ (27),4.53,1921,R
264,265.,Kevin Appier (24),4.52,1992,R
265,265.,Doug Corbett (27),4.52,1980,R
266,267.,Ray Kremer (32),4.51,1927,R
267,267.,Charles Nagy (29),4.51,1996,R
268,267.,Bret Saberhagen (23),4.51,1987,R
269,267.,Don Sutton+ (35),4.51,1980,R
270,271.,Sam McDowell (27),4.50,1970,L
271,272.,Kevin Brown (32),4.49,1997,R
272,273.,Mike Mussina+ (26),4.48,1995,R
273,273.,Bucky Walters (35),4.48,1944,R
274,275.,Ken Hill (30),4.47,1996,R
275,275.,Dave McNally (25),4.47,1968,L
276,275.,Frank Tanana (21),4.47,1975,L
277,275.,Adam Wainwright (32),4.47,2014,R
278,279.,Steve Carlton+ (32),4.46,1977,L
279,279.,Roy Halladay+ (31),4.46,2008,R
280,279.,Dallas Keuchel (27),4.46,2015,L
281,279.,Tom Seaver+ (25),4.46,1970,R
282,279.,James Shields (29),4.46,2011,R
283,284.,Dennis Eckersley+ (24),4.45,1979,R
284,284.,Orel Hershiser (30),4.45,1989,R
285,284.,Teddy Higuera (28),4.45,1986,L
286,284.,Tim Hudson (34),4.45,2010,R
287,284.,Jim Palmer+ (32),4.45,1978,R
288,284.,Roger Wolff (34),4.45,1945,R
289,290.,David Cone (31),4.44,1994,R
290,290.,Ron Guidry (28),4.44,1979,L
291,290.,Randy Johnson+ (40),4.44,2004,L
292,293.,Bill Hands (29),4.43,1969,R
293,293.,Claude Osteen (29),4.43,1969,L
294,293.,Mike Witt (25),4.43,1986,R
295,296.,Bobo Newsom (32),4.42,1940,R
296,297.,Bert Blyleven+ (38),4.41,1989,R
297,298.,Roger Clemens (29),4.40,1992,R
298,298.,Scott Perry (27),4.40,1918,R
299,298.,David Price (26),4.40,2012,L
300,301.,Mike Garcia (30),4.39,1954,R
301,301.,Juan Guzman (29),4.39,1996,R
302,301.,Clayton Kershaw (24),4.39,2012,L
303,301.,Sal Maglie (34),4.39,1951,R
304,301.,Andy Messersmith (28),4.39,1974,R
305,301.,Jim Palmer+ (26),4.39,1972,R
306,301.,Dave Stewart (33),4.39,1990,R
307,308.,Johnny Allen (32),4.38,1937,R
308,308.,Cliff Lee (32),4.38,2011,L
309,308.,Mark Prior (22),4.38,2003,R
310,308.,Don Sutton+ (28),4.38,1973,R
311,312.,Bob Feller+ (28),4.37,1947,R
312,313.,Whitey Ford+ (29),4.35,1958,L
313,313.,Bob Gibson+ (36),4.35,1972,R
314,313.,Catfish Hunter+ (26),4.35,1972,R
315,313.,Urban Shocker (31),4.35,1922,R
316,313.,Dontrelle Willis (23),4.35,2005,L
317,318.,Rich Gossage+ (25),4.34,1977,R
318,318.,Jimmy Key (32),4.34,1993,L
319,318.,Bret Saberhagen (21),4.34,1985,R
320,321.,Bill Lee (26),4.33,1973,L
321,321.,Ted Lyons+ (26),4.33,1927,R
322,323.,Mudcat Grant (34),4.31,1970,R
323,323.,Al Leiter (30),4.31,1996,L
324,323.,John Smoltz+ (29),4.31,1996,R
325,323.,Frank Viola (30),4.31,1990,L
326,327.,Tommy Bridges (29),4.30,1936,R
327,328.,Jim Bunning+ (33),4.29,1965,R
328,328.,Clayton Kershaw (23),4.29,2011,L
329,328.,Robin Roberts+ (25),4.29,1952,R
330,328.,Justin Thompson (24),4.29,1997,L
331,332.,Johnny Cueto (28),4.28,2014,R
332,332.,Ubaldo Jimenez (26),4.28,2010,R
333,334.,Bert Blyleven+ (26),4.27,1977,R
334,334.,Jack Flaherty (23),4.27,2019,R
335,334.,Carl Hubbell+ (29),4.27,1932,L
336,337.,Tom Candiotti (33),4.26,1991,R
337,337.,Roy Oswalt (28),4.26,2006,R
338,337.,Charlie Root (30),4.26,1929,R
339,337.,Curt Schilling (35),4.26,2002,R
340,337.,Monty Stratton (25),4.26,1937,R
341,342.,Trevor Bauer (27),4.25,2018,R
342,342.,Bill Bevens (29),4.25,1946,R
343,342.,Clayton Kershaw (29),4.25,2017,L
344,342.,Warren Spahn+ (30),4.25,1951,L
345,346.,Roger Clemens (25),4.24,1988,R
346,346.,Mike Garcia (25),4.24,1949,R
347,346.,Jim Kern (30),4.24,1979,R
348,346.,Hal Schumacher (24),4.24,1935,R
349,350.,Joe Mays (25),4.23,2001,R
350,351.,Bobo Newsom (31),4.22,1939,R
351,352.,Pete Alexander+ (40),4.21,1927,R
352,352.,Joe Horlen (26),4.21,1964,R
353,352.,Josh Johnson (26),4.21,2010,R
354,352.,Ray Kremer (31),4.21,1926,R
355,356.,Dave Stieb (25),4.20,1983,R
356,356.,Justin Verlander (29),4.20,2012,R
357,358.,Kevin Appier (28),4.19,1996,R
358,358.,Roger Clemens (33),4.19,1996,R
359,358.,Stan Coveleski+ (31),4.19,1921,R
360,358.,Pedro Martinez+ (33),4.19,2005,R
361,358.,Billy Pierce (25),4.19,1952,L
362,358.,Red Ruffing+ (31),4.19,1936,R
363,358.,Nolan Ryan+ (26),4.19,1973,R
364,365.,Kyle Freeland (25),4.18,2018,L
365,365.,Camilo Pascual (29),4.18,1963,R
366,367.,Eddie Cicotte (35),4.17,1919,R
367,367.,Bob Shaw (26),4.17,1959,R
368,369.,Alex Fernandez (26),4.16,1996,R
369,369.,Camilo Pascual (25),4.16,1959,R
370,371.,Mel Harder (25),4.14,1935,R
371,371.,Darryl Kile (32),4.14,2001,R
372,371.,Herb Pennock+ (34),4.14,1928,L
373,371.,Frank Tanana (22),4.14,1976,L
374,371.,Early Wynn+ (34),4.14,1954,R
375,376.,Hank Aguirre (31),4.12,1962,L
376,376.,Jair Jurrjens (23),4.12,2009,R
377,376.,Preacher Roe (33),4.12,1949,L
378,376.,Bucky Walters (32),4.12,1941,R
379,380.,Bob Gibson+ (30),4.11,1966,R
380,381.,Preacher Roe (34),4.10,1950,L
381,382.,Roger Clemens (31),4.09,1994,R
382,382.,Bob Purkey (32),4.09,1962,R
383,384.,Ernie Broglio (24),4.08,1960,R
384,384.,Virgil Trucks (37),4.08,1954,R
385,386.,Bob Gibson+ (34),4.07,1970,R
386,387.,Charlie Root (27),4.06,1926,R
387,387.,Ted Wilks (28),4.06,1944,R
388,389.,David Cone (34),4.04,1997,R
389,389.,Jim Palmer+ (23),4.04,1969,R
390,389.,Virgil Trucks (36),4.04,1953,R
391,392.,Pete Alexander+ (33),4.03,1920,R
392,392.,Al Benton (38),4.03,1949,R
393,392.,Dizzy Dean+ (26),4.03,1936,R
394,392.,Zack Greinke (35),4.03,2019,R
395,392.,Mike Mussina+ (32),4.03,2001,R
396,392.,Bob Tewksbury (31),4.03,1992,R
397,398.,Paul Derringer (31),4.02,1938,R
398,398.,Bob Gibson+ (26),4.02,1962,R
399,398.,Rich Harden (26),4.02,2008,R
400,401.,Kevin Brown (38),4.01,2003,R
401,401.,Matt Cain (24),4.01,2009,R
402,401.,Chris Carpenter (31),4.01,2006,R
403,401.,Tim Hudson (26),4.01,2002,R
404,401.,Kevin Tapani (27),4.01,1991,R
405,406.,Doyle Alexander (36),4.00,1987,R
406,406.,Roy Halladay+ (28),4.00,2005,R
407,406.,Willie Hernandez (29),4.00,1984,L
408,406.,Randy Johnson+ (29),4.00,1993,L
409,406.,Corey Kluber (28),4.00,2014,R
410,406.,Jim Maloney (25),4.00,1965,R
411,406.,Eppa Rixey+ (31),4.00,1922,L
412,406.,Rube Walberg (34),4.00,1931,L
413,414.,Joaquin Andujar (29),3.99,1982,R
414,414.,Cliff Melton (25),3.99,1937,L
415,416.,Mike Garcia (28),3.98,1952,R
416,417.,Kevin Brown (34),3.97,1999,R
417,417.,Whitey Ford+ (33),3.97,1962,L
418,417.,Tex Hughson (26),3.97,1942,R
419,417.,Vern Law (29),3.97,1959,R
420,417.,Mike Mussina+ (25),3.97,1994,R
421,417.,Johnny Podres (24),3.97,1957,L
422,423.,Bert Blyleven+ (33),3.96,1984,R
423,423.,David Price (29),3.96,2015,L
424,423.,Frank Sullivan (27),3.96,1957,R
425,423.,Jarrod Washburn (27),3.96,2002,L
426,427.,Jim Bunning+ (35),3.95,1967,R
427,427.,Steve McCatty (27),3.95,1981,R
428,429.,Chuck Finley (27),3.94,1990,L
429,429.,Roy Halladay+ (25),3.94,2002,R
430,429.,Justin Verlander (33),3.94,2016,R
431,432.,Cy Blanton (26),3.93,1935,R
432,432.,Mariano Rivera+ (26),3.93,1996,R
433,434.,Johnny Antonelli (29),3.92,1959,L
434,434.,Paul Dean (22),3.92,1935,R
435,434.,Carl Mays (28),3.92,1920,R
436,434.,Kris Medlen (26),3.92,2012,R
437,434.,Jeff Pfeffer (28),3.92,1916,R
438,434.,CC Sabathia (26),3.92,2007,L
439,434.,Chris Sale (28),3.92,2017,L
440,434.,Early Wynn+ (31),3.92,1951,R
441,442.,Gerrit Cole (27),3.91,2018,R
442,442.,General Crowder (33),3.91,1932,R
443,442.,Whitey Ford+ (32),3.91,1961,L
444,442.,Gary Peters (29),3.91,1966,L
445,442.,Eppa Rixey+ (32),3.91,1923,L
446,442.,Dave Roberts (26),3.91,1971,L
447,442.,Nolan Ryan+ (30),3.91,1977,R
448,442.,Ben Sheets (25),3.91,2004,R
449,442.,Urban Shocker (30),3.91,1921,R
450,442.,Ray Starr (36),3.91,1942,R
451,442.,Dazzy Vance+ (34),3.91,1925,R
452,453.,Tex Hughson (30),3.90,1946,R
453,453.,Rick Rhoden (33),3.90,1986,R
454,453.,J.R. Richard (29),3.90,1979,R
455,453.,Don Wilson (26),3.90,1971,R
456,457.,Red Lucas (27),3.89,1929,R
457,457.,Kenny Rogers (33),3.89,1998,L
458,457.,Curt Schilling (31),3.89,1998,R
459,460.,Ed Brandt (28),3.88,1933,L
460,460.,Liván Hernández (29),3.88,2004,R
461,460.,Max Lanier (28),3.88,1944,L
462,460.,Max Scherzer (31),3.88,2016,R
463,460.,Mike Soroka (21),3.88,2019,R
464,465.,Jim Abbott (23),3.87,1991,L
465,465.,Jim Bouton (24),3.87,1963,R
466,465.,Bartolo Colon (29),3.87,2002,R
467,465.,Wes Ferrell (22),3.87,1930,R
468,465.,Lefty Grove+ (33),3.87,1933,L
469,465.,Mark Gubicza (25),3.87,1988,R
470,465.,Hisashi Iwakuma (32),3.87,2013,R
471,465.,Bob Shawkey (25),3.87,1916,R
472,465.,Warren Spahn+ (36),3.87,1957,L
473,474.,Bert Blyleven+ (23),3.86,1974,R
474,474.,Mark Fidrych (21),3.86,1976,R
475,474.,Greg Maddux+ (35),3.86,2001,R
476,474.,Bobo Newsom (38),3.86,1946,R
477,474.,Monte Pearson (27),3.86,1936,R
478,474.,Elmer Riddle (26),3.86,1941,R
479,480.,Tommy Bridges (27),3.85,1934,R
480,480.,Mickey Lolich (30),3.85,1971,L
481,480.,Jim O'Toole (27),3.85,1964,L
482,483.,Mark Buehrle (22),3.84,2001,L
483,483.,Alex Fernandez (23),3.84,1993,R
484,485.,Paul Derringer (33),3.83,1940,R
485,485.,Steve Rogers (23),3.83,1973,R
486,485.,Chris Short (26),3.83,1964,L
487,488.,Don Drysdale+ (25),3.82,1962,R
488,488.,Jack Harshman (28),3.82,1956,L
489,488.,Fergie Jenkins+ (28),3.82,1971,R
490,488.,Lon Warneke (25),3.82,1934,R
491,492.,Garland Braxton (28),3.81,1928,L
492,492.,Max Scherzer (30),3.81,2015,R
493,492.,Javier Vazquez (32),3.81,2009,R
494,495.,Roger Clemens (41),3.80,2004,R
495,495.,Wes Ferrell (28),3.80,1936,R
496,497.,Jim Bunning+ (32),3.79,1964,R
497,497.,David Cone (30),3.79,1993,R
498,497.,Johnny Cueto (30),3.79,2016,R
499,497.,Bill Swift (31),3.79,1993,R
